participant_id,answer_accuracy,elapsed_time,trial_type,condition,current_stimulus_index,target_left,target_right,correct_answer,key_pressed,questions_order,question_index,question_condition,textures_order_for_question,texture_index,texture_condition,trial_number
d898612d-8efd-4339-8d57-7a6ee42b21f1,1,3025,training,bar,3,carrot,celery,carrot,ArrowLeft,"fewer, more",0,FEWER,"geo, color, icon",0,geo,0
d898612d-8efd-4339-8d57-7a6ee42b21f1,1,2104,training,bar,21,mushroom,eggplant,eggplant,ArrowRight,"fewer, more",0,FEWER,"geo, color, icon",0,geo,1
d898612d-8efd-4339-8d57-7a6ee42b21f1,1,2557,training,bar,0,corn,carrot,corn,ArrowLeft,"fewer, more",0,FEWER,"geo, color, icon",0,geo,2
d898612d-8efd-4339-8d57-7a6ee42b21f1,1,2836,real,bar,5,olive,celery,olive,ArrowLeft,"fewer, more",0,FEWER,"geo, color, icon",0,geo,0
d898612d-8efd-4339-8d57-7a6ee42b21f1,1,2738,real,bar,0,eggplant,corn,eggplant,ArrowLeft,"fewer, more",0,FEWER,"geo, color, icon",0,geo,1
d898612d-8efd-4339-8d57-7a6ee42b21f1,1,2332,real,bar,8,celery,corn,celery,ArrowLeft,"fewer, more",0,FEWER,"geo, color, icon",0,geo,2
d898612d-8efd-4339-8d57-7a6ee42b21f1,0,3160,real,bar,4,mushroom,carrot,mushroom,ArrowRight,"fewer, more",0,FEWER,"geo, color, icon",0,geo,3
d898612d-8efd-4339-8d57-7a6ee42b21f1,1,1756,real,bar,6,mushroom,olive,olive,ArrowRight,"fewer, more",0,FEWER,"geo, color, icon",0,geo,4
d898612d-8efd-4339-8d57-7a6ee42b21f1,1,3331,real,bar,7,corn,mushroom,mushroom,ArrowRight,"fewer, more",0,FEWER,"geo, color, icon",0,geo,5
d898612d-8efd-4339-8d57-7a6ee42b21f1,1,2927,real,bar,2,celery,mushroom,celery,ArrowLeft,"fewer, more",0,FEWER,"geo, color, icon",0,geo,6
d898612d-8efd-4339-8d57-7a6ee42b21f1,1,3983,real,bar,3,corn,olive,olive,ArrowRight,"fewer, more",0,FEWER,"geo, color, icon",0,geo,7
d898612d-8efd-4339-8d57-7a6ee42b21f1,1,3268,real,bar,9,mushroom,corn,corn,ArrowRight,"fewer, more",0,FEWER,"geo, color, icon",0,geo,8
d898612d-8efd-4339-8d57-7a6ee42b21f1,1,2191,real,bar,1,corn,tomato,corn,ArrowLeft,"fewer, more",0,FEWER,"geo, color, icon",0,geo,9
d898612d-8efd-4339-8d57-7a6ee42b21f1,1,3476,training,bar,12,celery,corn,celery,ArrowLeft,"fewer, more",0,FEWER,"geo, color, icon",1,color,0
