participant_id,answer_accuracy,elapsed_time,trial_type,condition,current_stimulus_index,target_left,target_right,correct_answer,key_pressed,questions_order,question_index,question_condition,textures_order_for_question,texture_index,texture_condition,trial_number
dcbf73e8-0a26-41f7-9007-40be1397e818,0,3742,training,pie,20,tomato,eggplant,tomato,ArrowRight,"fewer, more",0,FEWER,"color, geo, icon",0,color,0
dcbf73e8-0a26-41f7-9007-40be1397e818,1,4731,training,pie,28,celery,mushroom,celery,ArrowLeft,"fewer, more",0,FEWER,"color, geo, icon",0,color,1
dcbf73e8-0a26-41f7-9007-40be1397e818,1,3707,training,pie,12,corn,celery,celery,ArrowRight,"fewer, more",0,FEWER,"color, geo, icon",0,color,2
dcbf73e8-0a26-41f7-9007-40be1397e818,1,2469,real,pie,8,corn,celery,celery,ArrowRight,"fewer, more",0,FEWER,"color, geo, icon",0,color,0
dcbf73e8-0a26-41f7-9007-40be1397e818,1,2993,real,pie,9,corn,mushroom,corn,ArrowLeft,"fewer, more",0,FEWER,"color, geo, icon",0,color,1
dcbf73e8-0a26-41f7-9007-40be1397e818,1,3119,real,pie,1,tomato,corn,corn,ArrowRight,"fewer, more",0,FEWER,"color, geo, icon",0,color,2
dcbf73e8-0a26-41f7-9007-40be1397e818,1,3034,real,pie,6,olive,mushroom,olive,ArrowLeft,"fewer, more",0,FEWER,"color, geo, icon",0,color,3
dcbf73e8-0a26-41f7-9007-40be1397e818,1,2908,real,pie,2,mushroom,celery,celery,ArrowRight,"fewer, more",0,FEWER,"color, geo, icon",0,color,4
dcbf73e8-0a26-41f7-9007-40be1397e818,1,3029,real,pie,3,olive,corn,olive,ArrowLeft,"fewer, more",0,FEWER,"color, geo, icon",0,color,5
dcbf73e8-0a26-41f7-9007-40be1397e818,0,2488,real,pie,7,mushroom,corn,mushroom,ArrowRight,"fewer, more",0,FEWER,"color, geo, icon",0,color,6
dcbf73e8-0a26-41f7-9007-40be1397e818,1,3846,real,pie,4,carrot,mushroom,mushroom,ArrowRight,"fewer, more",0,FEWER,"color, geo, icon",0,color,7
