participant_id,answer_accuracy,elapsed_time,trial_type,condition,current_stimulus_index,target_left,target_right,correct_answer,key_pressed,questions_order,question_index,question_condition,textures_order_for_question,texture_index,texture_condition,trial_number
df3a52b2-4dcf-4c4f-8aa5-529d6c9214d2,1,1887,training,bar,13,olive,carrot,olive,ArrowLeft,"fewer, more",0,FEWER,"icon, geo, color",0,icon,0
df3a52b2-4dcf-4c4f-8aa5-529d6c9214d2,1,1584,training,bar,2,tomato,mushroom,tomato,ArrowLeft,"fewer, more",0,FEWER,"icon, geo, color",0,icon,1
df3a52b2-4dcf-4c4f-8aa5-529d6c9214d2,0,3631,training,bar,22,corn,mushroom,mushroom,ArrowLeft,"fewer, more",0,FEWER,"icon, geo, color",0,icon,2
df3a52b2-4dcf-4c4f-8aa5-529d6c9214d2,1,3399,real,bar,8,celery,corn,celery,ArrowLeft,"fewer, more",0,FEWER,"icon, geo, color",0,icon,0
df3a52b2-4dcf-4c4f-8aa5-529d6c9214d2,0,1458,real,bar,2,celery,mushroom,celery,ArrowRight,"fewer, more",0,FEWER,"icon, geo, color",0,icon,1
df3a52b2-4dcf-4c4f-8aa5-529d6c9214d2,1,2332,real,bar,0,eggplant,corn,eggplant,ArrowLeft,"fewer, more",0,FEWER,"icon, geo, color",0,icon,2
df3a52b2-4dcf-4c4f-8aa5-529d6c9214d2,1,2186,real,bar,1,corn,tomato,corn,ArrowLeft,"fewer, more",0,FEWER,"icon, geo, color",0,icon,3
df3a52b2-4dcf-4c4f-8aa5-529d6c9214d2,0,1626,real,bar,4,mushroom,carrot,mushroom,ArrowRight,"fewer, more",0,FEWER,"icon, geo, color",0,icon,4
df3a52b2-4dcf-4c4f-8aa5-529d6c9214d2,0,2738,real,bar,7,corn,mushroom,mushroom,ArrowLeft,"fewer, more",0,FEWER,"icon, geo, color",0,icon,5
df3a52b2-4dcf-4c4f-8aa5-529d6c9214d2,1,4005,real,bar,9,mushroom,corn,corn,ArrowRight,"fewer, more",0,FEWER,"icon, geo, color",0,icon,6
df3a52b2-4dcf-4c4f-8aa5-529d6c9214d2,1,2125,real,bar,6,mushroom,olive,olive,ArrowRight,"fewer, more",0,FEWER,"icon, geo, color",0,icon,7
df3a52b2-4dcf-4c4f-8aa5-529d6c9214d2,1,4154,real,bar,3,corn,olive,olive,ArrowRight,"fewer, more",0,FEWER,"icon, geo, color",0,icon,8
df3a52b2-4dcf-4c4f-8aa5-529d6c9214d2,1,4114,real,bar,5,olive,celery,olive,ArrowLeft,"fewer, more",0,FEWER,"icon, geo, color",0,icon,9
df3a52b2-4dcf-4c4f-8aa5-529d6c9214d2,1,2727,training,bar,4,celery,carrot,carrot,ArrowRight,"fewer, more",0,FEWER,"icon, geo, color",1,geo,0
df3a52b2-4dcf-4c4f-8aa5-529d6c9214d2,1,1173,training,bar,12,celery,corn,celery,ArrowLeft,"fewer, more",0,FEWER,"icon, geo, color",1,geo,1
df3a52b2-4dcf-4c4f-8aa5-529d6c9214d2,0,2199,training,bar,10,celery,eggplant,eggplant,ArrowLeft,"fewer, more",0,FEWER,"icon, geo, color",1,geo,2
df3a52b2-4dcf-4c4f-8aa5-529d6c9214d2,1,4105,real,bar,3,corn,olive,olive,ArrowRight,"fewer, more",0,FEWER,"icon, geo, color",1,geo,0
df3a52b2-4dcf-4c4f-8aa5-529d6c9214d2,1,2696,real,bar,2,celery,mushroom,celery,ArrowLeft,"fewer, more",0,FEWER,"icon, geo, color",1,geo,1
df3a52b2-4dcf-4c4f-8aa5-529d6c9214d2,1,2060,real,bar,7,corn,mushroom,mushroom,ArrowRight,"fewer, more",0,FEWER,"icon, geo, color",1,geo,2
df3a52b2-4dcf-4c4f-8aa5-529d6c9214d2,1,1731,real,bar,1,corn,tomato,corn,ArrowLeft,"fewer, more",0,FEWER,"icon, geo, color",1,geo,3
df3a52b2-4dcf-4c4f-8aa5-529d6c9214d2,1,4309,real,bar,0,eggplant,corn,eggplant,ArrowLeft,"fewer, more",0,FEWER,"icon, geo, color",1,geo,4
df3a52b2-4dcf-4c4f-8aa5-529d6c9214d2,1,1158,real,bar,4,mushroom,carrot,mushroom,ArrowLeft,"fewer, more",0,FEWER,"icon, geo, color",1,geo,5
df3a52b2-4dcf-4c4f-8aa5-529d6c9214d2,1,2424,real,bar,8,celery,corn,celery,ArrowLeft,"fewer, more",0,FEWER,"icon, geo, color",1,geo,6
df3a52b2-4dcf-4c4f-8aa5-529d6c9214d2,1,2376,real,bar,6,mushroom,olive,olive,ArrowRight,"fewer, more",0,FEWER,"icon, geo, color",1,geo,7
df3a52b2-4dcf-4c4f-8aa5-529d6c9214d2,-1,5000,real,bar,9,mushroom,corn,corn,none,"fewer, more",0,FEWER,"icon, geo, color",1,geo,9
df3a52b2-4dcf-4c4f-8aa5-529d6c9214d2,1,2423,training,bar,5,olive,carrot,carrot,ArrowRight,"fewer, more",0,FEWER,"icon, geo, color",2,color,0
df3a52b2-4dcf-4c4f-8aa5-529d6c9214d2,1,3788,training,bar,16,mushroom,olive,olive,ArrowRight,"fewer, more",0,FEWER,"icon, geo, color",2,color,1
df3a52b2-4dcf-4c4f-8aa5-529d6c9214d2,1,1523,training,bar,14,eggplant,tomato,eggplant,ArrowLeft,"fewer, more",0,FEWER,"icon, geo, color",2,color,2
df3a52b2-4dcf-4c4f-8aa5-529d6c9214d2,1,880,real,bar,1,corn,tomato,corn,ArrowLeft,"fewer, more",0,FEWER,"icon, geo, color",2,color,0
df3a52b2-4dcf-4c4f-8aa5-529d6c9214d2,1,1084,real,bar,9,mushroom,corn,corn,ArrowRight,"fewer, more",0,FEWER,"icon, geo, color",2,color,1
df3a52b2-4dcf-4c4f-8aa5-529d6c9214d2,1,2256,real,bar,3,corn,olive,olive,ArrowRight,"fewer, more",0,FEWER,"icon, geo, color",2,color,2
df3a52b2-4dcf-4c4f-8aa5-529d6c9214d2,1,1604,real,bar,4,mushroom,carrot,mushroom,ArrowLeft,"fewer, more",0,FEWER,"icon, geo, color",2,color,3
df3a52b2-4dcf-4c4f-8aa5-529d6c9214d2,1,1677,real,bar,7,corn,mushroom,mushroom,ArrowRight,"fewer, more",0,FEWER,"icon, geo, color",2,color,4
df3a52b2-4dcf-4c4f-8aa5-529d6c9214d2,1,1599,real,bar,8,celery,corn,celery,ArrowLeft,"fewer, more",0,FEWER,"icon, geo, color",2,color,5
df3a52b2-4dcf-4c4f-8aa5-529d6c9214d2,1,993,real,bar,2,celery,mushroom,celery,ArrowLeft,"fewer, more",0,FEWER,"icon, geo, color",2,color,6
df3a52b2-4dcf-4c4f-8aa5-529d6c9214d2,1,1483,real,bar,6,mushroom,olive,olive,ArrowRight,"fewer, more",0,FEWER,"icon, geo, color",2,color,7
df3a52b2-4dcf-4c4f-8aa5-529d6c9214d2,1,3066,real,bar,5,olive,celery,olive,ArrowLeft,"fewer, more",0,FEWER,"icon, geo, color",2,color,8
df3a52b2-4dcf-4c4f-8aa5-529d6c9214d2,1,3909,real,bar,0,eggplant,corn,eggplant,ArrowLeft,"fewer, more",0,FEWER,"icon, geo, color",2,color,9
df3a52b2-4dcf-4c4f-8aa5-529d6c9214d2,1,4391,training,bar,4,celery,carrot,celery,ArrowLeft,"fewer, more",1,MORE,"color, geo, icon",0,color,0
df3a52b2-4dcf-4c4f-8aa5-529d6c9214d2,1,1699,training,bar,20,eggplant,tomato,eggplant,ArrowLeft,"fewer, more",1,MORE,"color, geo, icon",0,color,1
df3a52b2-4dcf-4c4f-8aa5-529d6c9214d2,1,2747,training,bar,8,olive,eggplant,eggplant,ArrowRight,"fewer, more",1,MORE,"color, geo, icon",0,color,2
df3a52b2-4dcf-4c4f-8aa5-529d6c9214d2,1,1097,real,bar,1,corn,tomato,tomato,ArrowRight,"fewer, more",1,MORE,"color, geo, icon",0,color,0
df3a52b2-4dcf-4c4f-8aa5-529d6c9214d2,1,851,real,bar,9,mushroom,corn,mushroom,ArrowLeft,"fewer, more",1,MORE,"color, geo, icon",0,color,1
df3a52b2-4dcf-4c4f-8aa5-529d6c9214d2,1,985,real,bar,3,corn,olive,corn,ArrowLeft,"fewer, more",1,MORE,"color, geo, icon",0,color,2
df3a52b2-4dcf-4c4f-8aa5-529d6c9214d2,1,2170,real,bar,4,mushroom,carrot,carrot,ArrowRight,"fewer, more",1,MORE,"color, geo, icon",0,color,3
df3a52b2-4dcf-4c4f-8aa5-529d6c9214d2,1,1863,real,bar,7,corn,mushroom,corn,ArrowLeft,"fewer, more",1,MORE,"color, geo, icon",0,color,4
df3a52b2-4dcf-4c4f-8aa5-529d6c9214d2,1,1155,real,bar,8,celery,corn,corn,ArrowRight,"fewer, more",1,MORE,"color, geo, icon",0,color,5
df3a52b2-4dcf-4c4f-8aa5-529d6c9214d2,1,2641,real,bar,2,celery,mushroom,mushroom,ArrowRight,"fewer, more",1,MORE,"color, geo, icon",0,color,6
df3a52b2-4dcf-4c4f-8aa5-529d6c9214d2,1,2483,real,bar,6,mushroom,olive,mushroom,ArrowLeft,"fewer, more",1,MORE,"color, geo, icon",0,color,7
df3a52b2-4dcf-4c4f-8aa5-529d6c9214d2,1,2649,real,bar,5,olive,celery,celery,ArrowRight,"fewer, more",1,MORE,"color, geo, icon",0,color,8
df3a52b2-4dcf-4c4f-8aa5-529d6c9214d2,1,3213,real,bar,0,eggplant,corn,corn,ArrowRight,"fewer, more",1,MORE,"color, geo, icon",0,color,9
df3a52b2-4dcf-4c4f-8aa5-529d6c9214d2,1,2337,training,bar,14,eggplant,tomato,tomato,ArrowRight,"fewer, more",1,MORE,"color, geo, icon",1,geo,0
df3a52b2-4dcf-4c4f-8aa5-529d6c9214d2,1,2515,training,bar,2,tomato,mushroom,mushroom,ArrowRight,"fewer, more",1,MORE,"color, geo, icon",1,geo,1
df3a52b2-4dcf-4c4f-8aa5-529d6c9214d2,1,1782,training,bar,5,olive,carrot,olive,ArrowLeft,"fewer, more",1,MORE,"color, geo, icon",1,geo,2
df3a52b2-4dcf-4c4f-8aa5-529d6c9214d2,1,1069,real,bar,3,corn,olive,corn,ArrowLeft,"fewer, more",1,MORE,"color, geo, icon",1,geo,0
df3a52b2-4dcf-4c4f-8aa5-529d6c9214d2,1,3045,real,bar,2,celery,mushroom,mushroom,ArrowRight,"fewer, more",1,MORE,"color, geo, icon",1,geo,1
df3a52b2-4dcf-4c4f-8aa5-529d6c9214d2,1,2041,real,bar,7,corn,mushroom,corn,ArrowLeft,"fewer, more",1,MORE,"color, geo, icon",1,geo,2
df3a52b2-4dcf-4c4f-8aa5-529d6c9214d2,1,2465,real,bar,1,corn,tomato,tomato,ArrowRight,"fewer, more",1,MORE,"color, geo, icon",1,geo,3
df3a52b2-4dcf-4c4f-8aa5-529d6c9214d2,1,3246,real,bar,0,eggplant,corn,corn,ArrowRight,"fewer, more",1,MORE,"color, geo, icon",1,geo,4
df3a52b2-4dcf-4c4f-8aa5-529d6c9214d2,1,2778,real,bar,4,mushroom,carrot,carrot,ArrowRight,"fewer, more",1,MORE,"color, geo, icon",1,geo,5
