participant_id,answer_accuracy,elapsed_time,trial_type,condition,current_stimulus_index,target_left,target_right,correct_answer,key_pressed,questions_order,question_index,question_condition,textures_order_for_question,texture_index,texture_condition,trial_number
e6e9366d-01c4-43bb-9850-111ca887b793,-1,5000,training,pie,26,olive,mushroom,olive,none,"more, fewer",0,MORE,"color, icon, geo",0,color,0
e6e9366d-01c4-43bb-9850-111ca887b793,0,3495,training,pie,17,mushroom,corn,mushroom,ArrowRight,"more, fewer",0,MORE,"color, icon, geo",0,color,1
e6e9366d-01c4-43bb-9850-111ca887b793,1,3807,training,pie,0,carrot,corn,carrot,ArrowLeft,"more, fewer",0,MORE,"color, icon, geo",0,color,2
e6e9366d-01c4-43bb-9850-111ca887b793,1,1777,real,pie,4,carrot,mushroom,carrot,ArrowLeft,"more, fewer",0,MORE,"color, icon, geo",0,color,0
e6e9366d-01c4-43bb-9850-111ca887b793,1,2047,real,pie,8,corn,celery,corn,ArrowLeft,"more, fewer",0,MORE,"color, icon, geo",0,color,1
e6e9366d-01c4-43bb-9850-111ca887b793,1,2623,real,pie,3,olive,corn,corn,ArrowRight,"more, fewer",0,MORE,"color, icon, geo",0,color,2
e6e9366d-01c4-43bb-9850-111ca887b793,1,2552,real,pie,9,corn,mushroom,mushroom,ArrowRight,"more, fewer",0,MORE,"color, icon, geo",0,color,3
e6e9366d-01c4-43bb-9850-111ca887b793,0,2279,real,pie,0,eggplant,corn,corn,ArrowLeft,"more, fewer",0,MORE,"color, icon, geo",0,color,4
e6e9366d-01c4-43bb-9850-111ca887b793,1,1752,real,pie,2,mushroom,celery,mushroom,ArrowLeft,"more, fewer",0,MORE,"color, icon, geo",0,color,5
e6e9366d-01c4-43bb-9850-111ca887b793,1,1520,real,pie,1,tomato,corn,tomato,ArrowLeft,"more, fewer",0,MORE,"color, icon, geo",0,color,6
e6e9366d-01c4-43bb-9850-111ca887b793,1,3464,real,pie,6,olive,mushroom,mushroom,ArrowRight,"more, fewer",0,MORE,"color, icon, geo",0,color,7
e6e9366d-01c4-43bb-9850-111ca887b793,1,2184,real,pie,7,mushroom,corn,corn,ArrowRight,"more, fewer",0,MORE,"color, icon, geo",0,color,8
e6e9366d-01c4-43bb-9850-111ca887b793,1,2719,real,pie,5,celery,olive,celery,ArrowLeft,"more, fewer",0,MORE,"color, icon, geo",0,color,9
e6e9366d-01c4-43bb-9850-111ca887b793,0,1991,training,pie,3,celery,carrot,celery,ArrowRight,"more, fewer",0,MORE,"color, icon, geo",1,icon,0
e6e9366d-01c4-43bb-9850-111ca887b793,1,3080,training,pie,15,eggplant,tomato,tomato,ArrowRight,"more, fewer",0,MORE,"color, icon, geo",1,icon,1
e6e9366d-01c4-43bb-9850-111ca887b793,1,2464,training,pie,28,celery,mushroom,mushroom,ArrowRight,"more, fewer",0,MORE,"color, icon, geo",1,icon,2
e6e9366d-01c4-43bb-9850-111ca887b793,1,3224,real,pie,2,mushroom,celery,mushroom,ArrowLeft,"more, fewer",0,MORE,"color, icon, geo",1,icon,0
e6e9366d-01c4-43bb-9850-111ca887b793,1,3608,real,pie,4,carrot,mushroom,carrot,ArrowLeft,"more, fewer",0,MORE,"color, icon, geo",1,icon,1
e6e9366d-01c4-43bb-9850-111ca887b793,0,3791,real,pie,3,olive,corn,corn,ArrowLeft,"more, fewer",0,MORE,"color, icon, geo",1,icon,2
e6e9366d-01c4-43bb-9850-111ca887b793,1,3183,real,pie,6,olive,mushroom,mushroom,ArrowRight,"more, fewer",0,MORE,"color, icon, geo",1,icon,3
e6e9366d-01c4-43bb-9850-111ca887b793,0,3750,real,pie,7,mushroom,corn,corn,ArrowLeft,"more, fewer",0,MORE,"color, icon, geo",1,icon,4
e6e9366d-01c4-43bb-9850-111ca887b793,1,4161,real,pie,1,tomato,corn,tomato,ArrowLeft,"more, fewer",0,MORE,"color, icon, geo",1,icon,5
e6e9366d-01c4-43bb-9850-111ca887b793,1,1576,real,pie,8,corn,celery,corn,ArrowLeft,"more, fewer",0,MORE,"color, icon, geo",1,icon,6
e6e9366d-01c4-43bb-9850-111ca887b793,1,3736,real,pie,9,corn,mushroom,mushroom,ArrowRight,"more, fewer",0,MORE,"color, icon, geo",1,icon,7
e6e9366d-01c4-43bb-9850-111ca887b793,1,1273,real,pie,5,celery,olive,celery,ArrowLeft,"more, fewer",0,MORE,"color, icon, geo",1,icon,8
e6e9366d-01c4-43bb-9850-111ca887b793,1,2080,real,pie,0,eggplant,corn,corn,ArrowRight,"more, fewer",0,MORE,"color, icon, geo",1,icon,9
e6e9366d-01c4-43bb-9850-111ca887b793,0,2600,training,pie,25,eggplant,corn,corn,ArrowLeft,"more, fewer",0,MORE,"color, icon, geo",2,geo,0
e6e9366d-01c4-43bb-9850-111ca887b793,0,3824,training,pie,4,carrot,celery,celery,ArrowLeft,"more, fewer",0,MORE,"color, icon, geo",2,geo,1
e6e9366d-01c4-43bb-9850-111ca887b793,1,3319,training,pie,5,olive,carrot,olive,ArrowLeft,"more, fewer",0,MORE,"color, icon, geo",2,geo,2
e6e9366d-01c4-43bb-9850-111ca887b793,1,2712,real,pie,2,mushroom,celery,mushroom,ArrowLeft,"more, fewer",0,MORE,"color, icon, geo",2,geo,0
e6e9366d-01c4-43bb-9850-111ca887b793,1,1800,real,pie,3,olive,corn,corn,ArrowRight,"more, fewer",0,MORE,"color, icon, geo",2,geo,1
e6e9366d-01c4-43bb-9850-111ca887b793,1,1704,real,pie,0,eggplant,corn,corn,ArrowRight,"more, fewer",0,MORE,"color, icon, geo",2,geo,2
e6e9366d-01c4-43bb-9850-111ca887b793,1,1945,real,pie,7,mushroom,corn,corn,ArrowRight,"more, fewer",0,MORE,"color, icon, geo",2,geo,3
e6e9366d-01c4-43bb-9850-111ca887b793,1,2671,real,pie,9,corn,mushroom,mushroom,ArrowRight,"more, fewer",0,MORE,"color, icon, geo",2,geo,4
e6e9366d-01c4-43bb-9850-111ca887b793,1,2456,real,pie,6,olive,mushroom,mushroom,ArrowRight,"more, fewer",0,MORE,"color, icon, geo",2,geo,5
e6e9366d-01c4-43bb-9850-111ca887b793,1,1832,real,pie,1,tomato,corn,tomato,ArrowLeft,"more, fewer",0,MORE,"color, icon, geo",2,geo,6
e6e9366d-01c4-43bb-9850-111ca887b793,1,1199,real,pie,8,corn,celery,corn,ArrowLeft,"more, fewer",0,MORE,"color, icon, geo",2,geo,7
e6e9366d-01c4-43bb-9850-111ca887b793,1,1423,real,pie,5,celery,olive,celery,ArrowLeft,"more, fewer",0,MORE,"color, icon, geo",2,geo,8
e6e9366d-01c4-43bb-9850-111ca887b793,1,4088,real,pie,4,carrot,mushroom,carrot,ArrowLeft,"more, fewer",0,MORE,"color, icon, geo",2,geo,9
e6e9366d-01c4-43bb-9850-111ca887b793,0,1919,training,pie,17,mushroom,corn,corn,ArrowLeft,"more, fewer",1,FEWER,"color, geo, icon",0,color,0
e6e9366d-01c4-43bb-9850-111ca887b793,0,2423,training,pie,9,eggplant,mushroom,eggplant,ArrowRight,"more, fewer",1,FEWER,"color, geo, icon",0,color,1
e6e9366d-01c4-43bb-9850-111ca887b793,0,1144,training,pie,26,olive,mushroom,mushroom,ArrowLeft,"more, fewer",1,FEWER,"color, geo, icon",0,color,2
e6e9366d-01c4-43bb-9850-111ca887b793,1,3456,real,pie,4,carrot,mushroom,mushroom,ArrowRight,"more, fewer",1,FEWER,"color, geo, icon",0,color,0
