participant_id,answer_accuracy,elapsed_time,trial_type,condition,current_stimulus_index,target_left,target_right,correct_answer,key_pressed,questions_order,question_index,question_condition,textures_order_for_question,texture_index,texture_condition,trial_number
f00ba955-5b59-4667-9892-388908b01e5f,-1,5000,training,bar,24,celery,mushroom,mushroom,none,"fewer, more",0,FEWER,"icon, color, geo",0,icon,0
f00ba955-5b59-4667-9892-388908b01e5f,1,3069,training,bar,12,celery,corn,celery,ArrowLeft,"fewer, more",0,FEWER,"icon, color, geo",0,icon,1
f00ba955-5b59-4667-9892-388908b01e5f,1,2550,training,bar,21,mushroom,eggplant,eggplant,ArrowRight,"fewer, more",0,FEWER,"icon, color, geo",0,icon,2
f00ba955-5b59-4667-9892-388908b01e5f,1,2560,real,bar,8,celery,corn,celery,ArrowLeft,"fewer, more",0,FEWER,"icon, color, geo",0,icon,0
f00ba955-5b59-4667-9892-388908b01e5f,1,2517,real,bar,0,eggplant,corn,eggplant,ArrowLeft,"fewer, more",0,FEWER,"icon, color, geo",0,icon,1
f00ba955-5b59-4667-9892-388908b01e5f,1,1506,real,bar,7,corn,mushroom,mushroom,ArrowRight,"fewer, more",0,FEWER,"icon, color, geo",0,icon,2
f00ba955-5b59-4667-9892-388908b01e5f,1,2579,real,bar,1,corn,tomato,corn,ArrowLeft,"fewer, more",0,FEWER,"icon, color, geo",0,icon,3
f00ba955-5b59-4667-9892-388908b01e5f,1,2589,real,bar,4,mushroom,carrot,mushroom,ArrowLeft,"fewer, more",0,FEWER,"icon, color, geo",0,icon,4
f00ba955-5b59-4667-9892-388908b01e5f,1,3755,real,bar,9,mushroom,corn,corn,ArrowRight,"fewer, more",0,FEWER,"icon, color, geo",0,icon,5
f00ba955-5b59-4667-9892-388908b01e5f,0,3741,real,bar,5,olive,celery,olive,ArrowRight,"fewer, more",0,FEWER,"icon, color, geo",0,icon,6
f00ba955-5b59-4667-9892-388908b01e5f,1,3857,real,bar,2,celery,mushroom,celery,ArrowLeft,"fewer, more",0,FEWER,"icon, color, geo",0,icon,7
f00ba955-5b59-4667-9892-388908b01e5f,1,3176,real,bar,6,mushroom,olive,olive,ArrowRight,"fewer, more",0,FEWER,"icon, color, geo",0,icon,8
f00ba955-5b59-4667-9892-388908b01e5f,1,2239,real,bar,3,corn,olive,olive,ArrowRight,"fewer, more",0,FEWER,"icon, color, geo",0,icon,9
f00ba955-5b59-4667-9892-388908b01e5f,1,2674,training,bar,25,corn,eggplant,eggplant,ArrowRight,"fewer, more",0,FEWER,"icon, color, geo",1,color,0
f00ba955-5b59-4667-9892-388908b01e5f,1,1989,training,bar,26,mushroom,olive,mushroom,ArrowLeft,"fewer, more",0,FEWER,"icon, color, geo",1,color,1
f00ba955-5b59-4667-9892-388908b01e5f,1,3389,training,bar,11,tomato,carrot,carrot,ArrowRight,"fewer, more",0,FEWER,"icon, color, geo",1,color,2
f00ba955-5b59-4667-9892-388908b01e5f,1,1797,real,bar,1,corn,tomato,corn,ArrowLeft,"fewer, more",0,FEWER,"icon, color, geo",1,color,0
f00ba955-5b59-4667-9892-388908b01e5f,1,3111,real,bar,8,celery,corn,celery,ArrowLeft,"fewer, more",0,FEWER,"icon, color, geo",1,color,1
f00ba955-5b59-4667-9892-388908b01e5f,1,1492,real,bar,3,corn,olive,olive,ArrowRight,"fewer, more",0,FEWER,"icon, color, geo",1,color,2
f00ba955-5b59-4667-9892-388908b01e5f,1,2944,real,bar,5,olive,celery,olive,ArrowLeft,"fewer, more",0,FEWER,"icon, color, geo",1,color,3
f00ba955-5b59-4667-9892-388908b01e5f,1,1835,real,bar,6,mushroom,olive,olive,ArrowRight,"fewer, more",0,FEWER,"icon, color, geo",1,color,4
f00ba955-5b59-4667-9892-388908b01e5f,1,2207,real,bar,9,mushroom,corn,corn,ArrowRight,"fewer, more",0,FEWER,"icon, color, geo",1,color,5
f00ba955-5b59-4667-9892-388908b01e5f,1,3187,real,bar,0,eggplant,corn,eggplant,ArrowLeft,"fewer, more",0,FEWER,"icon, color, geo",1,color,6
f00ba955-5b59-4667-9892-388908b01e5f,0,2451,real,bar,4,mushroom,carrot,mushroom,ArrowRight,"fewer, more",0,FEWER,"icon, color, geo",1,color,7
f00ba955-5b59-4667-9892-388908b01e5f,1,3117,real,bar,7,corn,mushroom,mushroom,ArrowRight,"fewer, more",0,FEWER,"icon, color, geo",1,color,8
f00ba955-5b59-4667-9892-388908b01e5f,1,1979,real,bar,2,celery,mushroom,celery,ArrowLeft,"fewer, more",0,FEWER,"icon, color, geo",1,color,9
f00ba955-5b59-4667-9892-388908b01e5f,1,2163,training,bar,28,mushroom,celery,celery,ArrowRight,"fewer, more",0,FEWER,"icon, color, geo",2,geo,0
f00ba955-5b59-4667-9892-388908b01e5f,1,2927,training,bar,24,celery,mushroom,mushroom,ArrowRight,"fewer, more",0,FEWER,"icon, color, geo",2,geo,1
f00ba955-5b59-4667-9892-388908b01e5f,1,1936,training,bar,27,corn,olive,olive,ArrowRight,"fewer, more",0,FEWER,"icon, color, geo",2,geo,2
f00ba955-5b59-4667-9892-388908b01e5f,1,2571,real,bar,5,olive,celery,olive,ArrowLeft,"fewer, more",0,FEWER,"icon, color, geo",2,geo,0
f00ba955-5b59-4667-9892-388908b01e5f,1,2184,real,bar,7,corn,mushroom,mushroom,ArrowRight,"fewer, more",0,FEWER,"icon, color, geo",2,geo,1
f00ba955-5b59-4667-9892-388908b01e5f,1,1944,real,bar,6,mushroom,olive,olive,ArrowRight,"fewer, more",0,FEWER,"icon, color, geo",2,geo,2
f00ba955-5b59-4667-9892-388908b01e5f,1,2438,real,bar,1,corn,tomato,corn,ArrowLeft,"fewer, more",0,FEWER,"icon, color, geo",2,geo,3
f00ba955-5b59-4667-9892-388908b01e5f,1,2230,real,bar,0,eggplant,corn,eggplant,ArrowLeft,"fewer, more",0,FEWER,"icon, color, geo",2,geo,4
f00ba955-5b59-4667-9892-388908b01e5f,1,1595,real,bar,2,celery,mushroom,celery,ArrowLeft,"fewer, more",0,FEWER,"icon, color, geo",2,geo,5
f00ba955-5b59-4667-9892-388908b01e5f,1,1161,real,bar,9,mushroom,corn,corn,ArrowRight,"fewer, more",0,FEWER,"icon, color, geo",2,geo,6
f00ba955-5b59-4667-9892-388908b01e5f,1,1824,real,bar,4,mushroom,carrot,mushroom,ArrowLeft,"fewer, more",0,FEWER,"icon, color, geo",2,geo,7
f00ba955-5b59-4667-9892-388908b01e5f,1,1429,real,bar,3,corn,olive,olive,ArrowRight,"fewer, more",0,FEWER,"icon, color, geo",2,geo,8
