participant_id,answer_accuracy,elapsed_time,trial_type,condition,current_stimulus_index,target_left,target_right,correct_answer,key_pressed,questions_order,question_index,question_condition,textures_order_for_question,texture_index,texture_condition,trial_number
f262eed8-3076-44e7-9747-06f571483909,1,4096,training,bar,1,corn,mushroom,mushroom,ArrowRight,"more, fewer",0,MORE,"color, geo, icon",0,color,0
f262eed8-3076-44e7-9747-06f571483909,1,2688,training,bar,1,corn,mushroom,mushroom,ArrowRight,"more, fewer",0,MORE,"color, geo, icon",0,color,1
f262eed8-3076-44e7-9747-06f571483909,1,2390,training,bar,13,olive,carrot,carrot,ArrowRight,"more, fewer",0,MORE,"color, geo, icon",0,color,2
f262eed8-3076-44e7-9747-06f571483909,1,2013,real,bar,2,celery,mushroom,mushroom,ArrowRight,"more, fewer",0,MORE,"color, geo, icon",0,color,0
f262eed8-3076-44e7-9747-06f571483909,1,1557,real,bar,4,mushroom,carrot,carrot,ArrowRight,"more, fewer",0,MORE,"color, geo, icon",0,color,1
f262eed8-3076-44e7-9747-06f571483909,1,2742,real,bar,3,corn,olive,corn,ArrowLeft,"more, fewer",0,MORE,"color, geo, icon",0,color,2
f262eed8-3076-44e7-9747-06f571483909,1,2064,real,bar,8,celery,corn,corn,ArrowRight,"more, fewer",0,MORE,"color, geo, icon",0,color,3
f262eed8-3076-44e7-9747-06f571483909,1,2774,real,bar,9,mushroom,corn,mushroom,ArrowLeft,"more, fewer",0,MORE,"color, geo, icon",0,color,4
f262eed8-3076-44e7-9747-06f571483909,1,2652,real,bar,5,olive,celery,celery,ArrowRight,"more, fewer",0,MORE,"color, geo, icon",0,color,5
f262eed8-3076-44e7-9747-06f571483909,1,2990,real,bar,6,mushroom,olive,mushroom,ArrowLeft,"more, fewer",0,MORE,"color, geo, icon",0,color,6
f262eed8-3076-44e7-9747-06f571483909,1,2817,real,bar,0,eggplant,corn,corn,ArrowRight,"more, fewer",0,MORE,"color, geo, icon",0,color,7
f262eed8-3076-44e7-9747-06f571483909,1,2002,real,bar,7,corn,mushroom,corn,ArrowLeft,"more, fewer",0,MORE,"color, geo, icon",0,color,8
f262eed8-3076-44e7-9747-06f571483909,1,2105,real,bar,1,corn,tomato,tomato,ArrowRight,"more, fewer",0,MORE,"color, geo, icon",0,color,9
f262eed8-3076-44e7-9747-06f571483909,1,3153,training,bar,26,mushroom,olive,olive,ArrowRight,"more, fewer",0,MORE,"color, geo, icon",1,geo,0
f262eed8-3076-44e7-9747-06f571483909,1,2538,training,bar,2,tomato,mushroom,mushroom,ArrowRight,"more, fewer",0,MORE,"color, geo, icon",1,geo,1
f262eed8-3076-44e7-9747-06f571483909,-1,5000,training,bar,25,corn,eggplant,corn,none,"more, fewer",0,MORE,"color, geo, icon",1,geo,2
