participant_id,answer_accuracy,elapsed_time,trial_type,condition,current_stimulus_index,target_left,target_right,correct_answer,key_pressed,questions_order,question_index,question_condition,textures_order_for_question,texture_index,texture_condition,trial_number
f4c20e98-b1ec-49ec-b576-15947e8088f8,1,4506,training,pie,4,carrot,celery,celery,ArrowRight,"more, fewer",0,MORE,"color, geo, icon",0,color,0
f4c20e98-b1ec-49ec-b576-15947e8088f8,1,1910,training,pie,2,mushroom,tomato,mushroom,ArrowLeft,"more, fewer",0,MORE,"color, geo, icon",0,color,1
f4c20e98-b1ec-49ec-b576-15947e8088f8,1,2385,training,pie,17,mushroom,corn,mushroom,ArrowLeft,"more, fewer",0,MORE,"color, geo, icon",0,color,2
f4c20e98-b1ec-49ec-b576-15947e8088f8,1,2232,real,pie,3,olive,corn,corn,ArrowRight,"more, fewer",0,MORE,"color, geo, icon",0,color,0
f4c20e98-b1ec-49ec-b576-15947e8088f8,1,2820,real,pie,5,celery,olive,celery,ArrowLeft,"more, fewer",0,MORE,"color, geo, icon",0,color,1
f4c20e98-b1ec-49ec-b576-15947e8088f8,1,2055,real,pie,1,tomato,corn,tomato,ArrowLeft,"more, fewer",0,MORE,"color, geo, icon",0,color,2
f4c20e98-b1ec-49ec-b576-15947e8088f8,1,3144,real,pie,6,olive,mushroom,mushroom,ArrowRight,"more, fewer",0,MORE,"color, geo, icon",0,color,3
f4c20e98-b1ec-49ec-b576-15947e8088f8,1,1910,real,pie,7,mushroom,corn,corn,ArrowRight,"more, fewer",0,MORE,"color, geo, icon",0,color,4
f4c20e98-b1ec-49ec-b576-15947e8088f8,1,1703,real,pie,4,carrot,mushroom,carrot,ArrowLeft,"more, fewer",0,MORE,"color, geo, icon",0,color,5
f4c20e98-b1ec-49ec-b576-15947e8088f8,1,1736,real,pie,9,corn,mushroom,mushroom,ArrowRight,"more, fewer",0,MORE,"color, geo, icon",0,color,6
f4c20e98-b1ec-49ec-b576-15947e8088f8,0,3193,real,pie,0,eggplant,corn,corn,ArrowLeft,"more, fewer",0,MORE,"color, geo, icon",0,color,7
f4c20e98-b1ec-49ec-b576-15947e8088f8,1,1682,real,pie,8,corn,celery,corn,ArrowLeft,"more, fewer",0,MORE,"color, geo, icon",0,color,8
f4c20e98-b1ec-49ec-b576-15947e8088f8,1,2397,real,pie,2,mushroom,celery,mushroom,ArrowLeft,"more, fewer",0,MORE,"color, geo, icon",0,color,9
f4c20e98-b1ec-49ec-b576-15947e8088f8,1,1357,training,pie,20,tomato,eggplant,eggplant,ArrowRight,"more, fewer",0,MORE,"color, geo, icon",1,geo,0
