participant_id,answer_accuracy,elapsed_time,trial_type,condition,current_stimulus_index,target_left,target_right,correct_answer,key_pressed,questions_order,question_index,question_condition,textures_order_for_question,texture_index,texture_condition,trial_number
0392c158-c19b-4367-beb7-16169d592511,-1,5000,training,pie,3,celery,carrot,celery,none,"more, fewer",0,MORE,"icon, color, geo",0,icon,0
0392c158-c19b-4367-beb7-16169d592511,1,3057,training,pie,13,carrot,olive,carrot,ArrowLeft,"more, fewer",0,MORE,"icon, color, geo",0,icon,1
0392c158-c19b-4367-beb7-16169d592511,1,3170,training,pie,17,mushroom,corn,mushroom,ArrowLeft,"more, fewer",0,MORE,"icon, color, geo",0,icon,2
0392c158-c19b-4367-beb7-16169d592511,1,3100,real,pie,3,olive,corn,corn,ArrowRight,"more, fewer",0,MORE,"icon, color, geo",0,icon,0
0392c158-c19b-4367-beb7-16169d592511,1,3279,real,pie,4,carrot,mushroom,carrot,ArrowLeft,"more, fewer",0,MORE,"icon, color, geo",0,icon,1
0392c158-c19b-4367-beb7-16169d592511,1,4445,real,pie,1,tomato,corn,tomato,ArrowLeft,"more, fewer",0,MORE,"icon, color, geo",0,icon,2
0392c158-c19b-4367-beb7-16169d592511,1,3262,real,pie,0,eggplant,corn,corn,ArrowRight,"more, fewer",0,MORE,"icon, color, geo",0,icon,3
0392c158-c19b-4367-beb7-16169d592511,1,3075,real,pie,6,olive,mushroom,mushroom,ArrowRight,"more, fewer",0,MORE,"icon, color, geo",0,icon,4
0392c158-c19b-4367-beb7-16169d592511,0,4031,real,pie,2,mushroom,celery,mushroom,ArrowRight,"more, fewer",0,MORE,"icon, color, geo",0,icon,5
0392c158-c19b-4367-beb7-16169d592511,-1,5000,real,pie,9,corn,mushroom,mushroom,none,"more, fewer",0,MORE,"icon, color, geo",0,icon,6
0392c158-c19b-4367-beb7-16169d592511,1,3164,real,pie,7,mushroom,corn,corn,ArrowRight,"more, fewer",0,MORE,"icon, color, geo",0,icon,7
0392c158-c19b-4367-beb7-16169d592511,1,4968,real,pie,5,celery,olive,celery,ArrowLeft,"more, fewer",0,MORE,"icon, color, geo",0,icon,8
0392c158-c19b-4367-beb7-16169d592511,1,3723,real,pie,8,corn,celery,corn,ArrowLeft,"more, fewer",0,MORE,"icon, color, geo",0,icon,9
0392c158-c19b-4367-beb7-16169d592511,1,1661,training,pie,15,eggplant,tomato,tomato,ArrowRight,"more, fewer",0,MORE,"icon, color, geo",1,color,0
0392c158-c19b-4367-beb7-16169d592511,1,2196,training,pie,16,olive,mushroom,mushroom,ArrowRight,"more, fewer",0,MORE,"icon, color, geo",1,color,1
0392c158-c19b-4367-beb7-16169d592511,1,3175,training,pie,22,mushroom,corn,corn,ArrowRight,"more, fewer",0,MORE,"icon, color, geo",1,color,2
0392c158-c19b-4367-beb7-16169d592511,1,2238,real,pie,7,mushroom,corn,corn,ArrowRight,"more, fewer",0,MORE,"icon, color, geo",1,color,0
0392c158-c19b-4367-beb7-16169d592511,1,2158,real,pie,6,olive,mushroom,mushroom,ArrowRight,"more, fewer",0,MORE,"icon, color, geo",1,color,1
0392c158-c19b-4367-beb7-16169d592511,1,1728,real,pie,3,olive,corn,corn,ArrowRight,"more, fewer",0,MORE,"icon, color, geo",1,color,2
0392c158-c19b-4367-beb7-16169d592511,1,4468,real,pie,5,celery,olive,celery,ArrowLeft,"more, fewer",0,MORE,"icon, color, geo",1,color,3
0392c158-c19b-4367-beb7-16169d592511,1,2824,real,pie,8,corn,celery,corn,ArrowLeft,"more, fewer",0,MORE,"icon, color, geo",1,color,4
0392c158-c19b-4367-beb7-16169d592511,1,3312,real,pie,0,eggplant,corn,corn,ArrowRight,"more, fewer",0,MORE,"icon, color, geo",1,color,5
0392c158-c19b-4367-beb7-16169d592511,1,3595,real,pie,1,tomato,corn,tomato,ArrowLeft,"more, fewer",0,MORE,"icon, color, geo",1,color,6
