participant_id,answer_accuracy,elapsed_time,trial_type,condition,current_stimulus_index,target_left,target_right,correct_answer,key_pressed,questions_order,question_index,question_condition,textures_order_for_question,texture_index,texture_condition,trial_number
0b124f68-b561-40f8-841f-78d7bd652b59,1,1543,training,bar,14,eggplant,tomato,eggplant,ArrowLeft,"fewer, more",0,FEWER,"geo, color, icon",0,geo,0
0b124f68-b561-40f8-841f-78d7bd652b59,1,3633,training,bar,1,corn,mushroom,corn,ArrowLeft,"fewer, more",0,FEWER,"geo, color, icon",0,geo,1
0b124f68-b561-40f8-841f-78d7bd652b59,1,1403,training,bar,27,corn,olive,olive,ArrowRight,"fewer, more",0,FEWER,"geo, color, icon",0,geo,2
0b124f68-b561-40f8-841f-78d7bd652b59,1,1786,real,bar,3,corn,olive,olive,ArrowRight,"fewer, more",0,FEWER,"geo, color, icon",0,geo,0
0b124f68-b561-40f8-841f-78d7bd652b59,1,2764,real,bar,1,corn,tomato,corn,ArrowLeft,"fewer, more",0,FEWER,"geo, color, icon",0,geo,1
0b124f68-b561-40f8-841f-78d7bd652b59,1,3012,real,bar,4,mushroom,carrot,mushroom,ArrowLeft,"fewer, more",0,FEWER,"geo, color, icon",0,geo,2
0b124f68-b561-40f8-841f-78d7bd652b59,1,2411,real,bar,8,celery,corn,celery,ArrowLeft,"fewer, more",0,FEWER,"geo, color, icon",0,geo,3
0b124f68-b561-40f8-841f-78d7bd652b59,1,1938,real,bar,6,mushroom,olive,olive,ArrowRight,"fewer, more",0,FEWER,"geo, color, icon",0,geo,4
0b124f68-b561-40f8-841f-78d7bd652b59,1,2712,real,bar,9,mushroom,corn,corn,ArrowRight,"fewer, more",0,FEWER,"geo, color, icon",0,geo,5
0b124f68-b561-40f8-841f-78d7bd652b59,1,1666,real,bar,2,celery,mushroom,celery,ArrowLeft,"fewer, more",0,FEWER,"geo, color, icon",0,geo,6
0b124f68-b561-40f8-841f-78d7bd652b59,1,2539,real,bar,0,eggplant,corn,eggplant,ArrowLeft,"fewer, more",0,FEWER,"geo, color, icon",0,geo,7
0b124f68-b561-40f8-841f-78d7bd652b59,1,1221,real,bar,7,corn,mushroom,mushroom,ArrowRight,"fewer, more",0,FEWER,"geo, color, icon",0,geo,8
0b124f68-b561-40f8-841f-78d7bd652b59,1,4509,real,bar,5,olive,celery,olive,ArrowLeft,"fewer, more",0,FEWER,"geo, color, icon",0,geo,9
0b124f68-b561-40f8-841f-78d7bd652b59,1,2184,training,bar,3,carrot,celery,carrot,ArrowLeft,"fewer, more",0,FEWER,"geo, color, icon",1,color,0
0b124f68-b561-40f8-841f-78d7bd652b59,1,1687,training,bar,26,mushroom,olive,mushroom,ArrowLeft,"fewer, more",0,FEWER,"geo, color, icon",1,color,1
0b124f68-b561-40f8-841f-78d7bd652b59,1,1565,training,bar,28,mushroom,celery,celery,ArrowRight,"fewer, more",0,FEWER,"geo, color, icon",1,color,2
0b124f68-b561-40f8-841f-78d7bd652b59,1,1543,real,bar,9,mushroom,corn,corn,ArrowRight,"fewer, more",0,FEWER,"geo, color, icon",1,color,0
0b124f68-b561-40f8-841f-78d7bd652b59,1,4418,real,bar,5,olive,celery,olive,ArrowLeft,"fewer, more",0,FEWER,"geo, color, icon",1,color,1
0b124f68-b561-40f8-841f-78d7bd652b59,1,2035,real,bar,1,corn,tomato,corn,ArrowLeft,"fewer, more",0,FEWER,"geo, color, icon",1,color,2
0b124f68-b561-40f8-841f-78d7bd652b59,1,3362,real,bar,6,mushroom,olive,olive,ArrowRight,"fewer, more",0,FEWER,"geo, color, icon",1,color,3
0b124f68-b561-40f8-841f-78d7bd652b59,1,3621,real,bar,2,celery,mushroom,celery,ArrowLeft,"fewer, more",0,FEWER,"geo, color, icon",1,color,4
0b124f68-b561-40f8-841f-78d7bd652b59,1,1989,real,bar,7,corn,mushroom,mushroom,ArrowRight,"fewer, more",0,FEWER,"geo, color, icon",1,color,5
0b124f68-b561-40f8-841f-78d7bd652b59,1,1447,real,bar,3,corn,olive,olive,ArrowRight,"fewer, more",0,FEWER,"geo, color, icon",1,color,6
0b124f68-b561-40f8-841f-78d7bd652b59,1,3192,real,bar,8,celery,corn,celery,ArrowLeft,"fewer, more",0,FEWER,"geo, color, icon",1,color,7
0b124f68-b561-40f8-841f-78d7bd652b59,1,3082,real,bar,4,mushroom,carrot,mushroom,ArrowLeft,"fewer, more",0,FEWER,"geo, color, icon",1,color,8
0b124f68-b561-40f8-841f-78d7bd652b59,1,1809,real,bar,0,eggplant,corn,eggplant,ArrowLeft,"fewer, more",0,FEWER,"geo, color, icon",1,color,9
0b124f68-b561-40f8-841f-78d7bd652b59,1,3440,training,bar,10,celery,eggplant,eggplant,ArrowRight,"fewer, more",0,FEWER,"geo, color, icon",2,icon,0
0b124f68-b561-40f8-841f-78d7bd652b59,1,2444,training,bar,1,corn,mushroom,corn,ArrowLeft,"fewer, more",0,FEWER,"geo, color, icon",2,icon,1
0b124f68-b561-40f8-841f-78d7bd652b59,1,3506,training,bar,13,olive,carrot,olive,ArrowLeft,"fewer, more",0,FEWER,"geo, color, icon",2,icon,2
0b124f68-b561-40f8-841f-78d7bd652b59,1,1322,real,bar,9,mushroom,corn,corn,ArrowRight,"fewer, more",0,FEWER,"geo, color, icon",2,icon,0
0b124f68-b561-40f8-841f-78d7bd652b59,1,2501,real,bar,8,celery,corn,celery,ArrowLeft,"fewer, more",0,FEWER,"geo, color, icon",2,icon,1
0b124f68-b561-40f8-841f-78d7bd652b59,1,2774,real,bar,0,eggplant,corn,eggplant,ArrowLeft,"fewer, more",0,FEWER,"geo, color, icon",2,icon,2
0b124f68-b561-40f8-841f-78d7bd652b59,1,2359,real,bar,1,corn,tomato,corn,ArrowLeft,"fewer, more",0,FEWER,"geo, color, icon",2,icon,3
0b124f68-b561-40f8-841f-78d7bd652b59,1,1955,real,bar,7,corn,mushroom,mushroom,ArrowRight,"fewer, more",0,FEWER,"geo, color, icon",2,icon,4
0b124f68-b561-40f8-841f-78d7bd652b59,1,1907,real,bar,4,mushroom,carrot,mushroom,ArrowLeft,"fewer, more",0,FEWER,"geo, color, icon",2,icon,5
0b124f68-b561-40f8-841f-78d7bd652b59,0,4242,real,bar,3,corn,olive,olive,ArrowLeft,"fewer, more",0,FEWER,"geo, color, icon",2,icon,6
0b124f68-b561-40f8-841f-78d7bd652b59,1,4109,real,bar,5,olive,celery,olive,ArrowLeft,"fewer, more",0,FEWER,"geo, color, icon",2,icon,7
