participant_id,answer_accuracy,elapsed_time,trial_type,condition,current_stimulus_index,target_left,target_right,correct_answer,key_pressed,questions_order,question_index,question_condition,textures_order_for_question,texture_index,texture_condition,trial_number
0c142e13-82f5-469e-9d3c-3399259d178d,1,4467,training,bar,25,corn,eggplant,corn,ArrowLeft,"more, fewer",0,MORE,"color, icon, geo",0,color,0
0c142e13-82f5-469e-9d3c-3399259d178d,1,1782,training,bar,10,celery,eggplant,celery,ArrowLeft,"more, fewer",0,MORE,"color, icon, geo",0,color,1
0c142e13-82f5-469e-9d3c-3399259d178d,1,2527,training,bar,12,celery,corn,corn,ArrowRight,"more, fewer",0,MORE,"color, icon, geo",0,color,2
0c142e13-82f5-469e-9d3c-3399259d178d,1,1600,real,bar,4,mushroom,carrot,carrot,ArrowRight,"more, fewer",0,MORE,"color, icon, geo",0,color,0
0c142e13-82f5-469e-9d3c-3399259d178d,1,2180,real,bar,6,mushroom,olive,mushroom,ArrowLeft,"more, fewer",0,MORE,"color, icon, geo",0,color,1
0c142e13-82f5-469e-9d3c-3399259d178d,1,3243,real,bar,9,mushroom,corn,mushroom,ArrowLeft,"more, fewer",0,MORE,"color, icon, geo",0,color,2
0c142e13-82f5-469e-9d3c-3399259d178d,1,1374,real,bar,7,corn,mushroom,corn,ArrowLeft,"more, fewer",0,MORE,"color, icon, geo",0,color,3
0c142e13-82f5-469e-9d3c-3399259d178d,1,1980,real,bar,8,celery,corn,corn,ArrowRight,"more, fewer",0,MORE,"color, icon, geo",0,color,4
0c142e13-82f5-469e-9d3c-3399259d178d,1,4637,real,bar,3,corn,olive,corn,ArrowLeft,"more, fewer",0,MORE,"color, icon, geo",0,color,5
0c142e13-82f5-469e-9d3c-3399259d178d,1,2500,real,bar,1,corn,tomato,tomato,ArrowRight,"more, fewer",0,MORE,"color, icon, geo",0,color,6
0c142e13-82f5-469e-9d3c-3399259d178d,1,3255,real,bar,2,celery,mushroom,mushroom,ArrowRight,"more, fewer",0,MORE,"color, icon, geo",0,color,7
0c142e13-82f5-469e-9d3c-3399259d178d,1,3780,real,bar,0,eggplant,corn,corn,ArrowRight,"more, fewer",0,MORE,"color, icon, geo",0,color,8
0c142e13-82f5-469e-9d3c-3399259d178d,1,3180,real,bar,5,olive,celery,celery,ArrowRight,"more, fewer",0,MORE,"color, icon, geo",0,color,9
0c142e13-82f5-469e-9d3c-3399259d178d,-1,5000,training,bar,5,olive,carrot,olive,none,"more, fewer",0,MORE,"color, icon, geo",1,icon,0
0c142e13-82f5-469e-9d3c-3399259d178d,1,967,training,bar,26,mushroom,olive,olive,ArrowRight,"more, fewer",0,MORE,"color, icon, geo",1,icon,1
0c142e13-82f5-469e-9d3c-3399259d178d,0,265,training,bar,12,celery,corn,corn,ArrowLeft,"more, fewer",0,MORE,"color, icon, geo",1,icon,2
0c142e13-82f5-469e-9d3c-3399259d178d,0,325,real,bar,7,corn,mushroom,corn,ArrowRight,"more, fewer",0,MORE,"color, icon, geo",1,icon,0
0c142e13-82f5-469e-9d3c-3399259d178d,0,350,real,bar,4,mushroom,carrot,carrot,ArrowLeft,"more, fewer",0,MORE,"color, icon, geo",1,icon,1
0c142e13-82f5-469e-9d3c-3399259d178d,0,282,real,bar,9,mushroom,corn,mushroom,ArrowRight,"more, fewer",0,MORE,"color, icon, geo",1,icon,2
0c142e13-82f5-469e-9d3c-3399259d178d,0,324,real,bar,0,eggplant,corn,corn,ArrowLeft,"more, fewer",0,MORE,"color, icon, geo",1,icon,3
0c142e13-82f5-469e-9d3c-3399259d178d,1,255,real,bar,5,olive,celery,celery,ArrowRight,"more, fewer",0,MORE,"color, icon, geo",1,icon,4
0c142e13-82f5-469e-9d3c-3399259d178d,1,272,real,bar,2,celery,mushroom,mushroom,ArrowRight,"more, fewer",0,MORE,"color, icon, geo",1,icon,5
0c142e13-82f5-469e-9d3c-3399259d178d,1,253,real,bar,6,mushroom,olive,mushroom,ArrowLeft,"more, fewer",0,MORE,"color, icon, geo",1,icon,6
0c142e13-82f5-469e-9d3c-3399259d178d,1,266,real,bar,8,celery,corn,corn,ArrowRight,"more, fewer",0,MORE,"color, icon, geo",1,icon,7
0c142e13-82f5-469e-9d3c-3399259d178d,1,305,real,bar,3,corn,olive,corn,ArrowLeft,"more, fewer",0,MORE,"color, icon, geo",1,icon,8
0c142e13-82f5-469e-9d3c-3399259d178d,0,280,real,bar,1,corn,tomato,tomato,ArrowLeft,"more, fewer",0,MORE,"color, icon, geo",1,icon,9
0c142e13-82f5-469e-9d3c-3399259d178d,1,4293,training,bar,8,olive,eggplant,eggplant,ArrowRight,"more, fewer",0,MORE,"color, icon, geo",2,geo,0
0c142e13-82f5-469e-9d3c-3399259d178d,1,3850,training,bar,1,corn,mushroom,mushroom,ArrowRight,"more, fewer",0,MORE,"color, icon, geo",2,geo,1
0c142e13-82f5-469e-9d3c-3399259d178d,1,3387,training,bar,27,corn,olive,corn,ArrowLeft,"more, fewer",0,MORE,"color, icon, geo",2,geo,2
0c142e13-82f5-469e-9d3c-3399259d178d,0,306,real,bar,3,corn,olive,corn,ArrowRight,"more, fewer",0,MORE,"color, icon, geo",2,geo,0
0c142e13-82f5-469e-9d3c-3399259d178d,0,195,real,bar,6,mushroom,olive,mushroom,ArrowRight,"more, fewer",0,MORE,"color, icon, geo",2,geo,1
0c142e13-82f5-469e-9d3c-3399259d178d,0,222,real,bar,9,mushroom,corn,mushroom,ArrowRight,"more, fewer",0,MORE,"color, icon, geo",2,geo,2
0c142e13-82f5-469e-9d3c-3399259d178d,1,168,real,bar,5,olive,celery,celery,ArrowRight,"more, fewer",0,MORE,"color, icon, geo",2,geo,3
0c142e13-82f5-469e-9d3c-3399259d178d,0,287,real,bar,2,celery,mushroom,mushroom,ArrowLeft,"more, fewer",0,MORE,"color, icon, geo",2,geo,4
0c142e13-82f5-469e-9d3c-3399259d178d,1,208,real,bar,4,mushroom,carrot,carrot,ArrowRight,"more, fewer",0,MORE,"color, icon, geo",2,geo,5
0c142e13-82f5-469e-9d3c-3399259d178d,1,78,real,bar,8,celery,corn,corn,ArrowRight,"more, fewer",0,MORE,"color, icon, geo",2,geo,6
0c142e13-82f5-469e-9d3c-3399259d178d,1,206,real,bar,7,corn,mushroom,corn,ArrowLeft,"more, fewer",0,MORE,"color, icon, geo",2,geo,7
0c142e13-82f5-469e-9d3c-3399259d178d,0,301,real,bar,0,eggplant,corn,corn,ArrowLeft,"more, fewer",0,MORE,"color, icon, geo",2,geo,8
0c142e13-82f5-469e-9d3c-3399259d178d,1,171,real,bar,1,corn,tomato,tomato,ArrowRight,"more, fewer",0,MORE,"color, icon, geo",2,geo,9
0c142e13-82f5-469e-9d3c-3399259d178d,1,2468,training,bar,10,celery,eggplant,eggplant,ArrowRight,"more, fewer",1,FEWER,"color, icon, geo",0,color,0
