participant_id,answer_accuracy,elapsed_time,trial_type,condition,current_stimulus_index,target_left,target_right,correct_answer,key_pressed,questions_order,question_index,question_condition,textures_order_for_question,texture_index,texture_condition,trial_number
0c2e31dd-080f-43a8-9e78-eab30cf8b149,-1,5000,training,bar,2,tomato,mushroom,mushroom,none,"more, fewer",0,MORE,"geo, icon, color",0,geo,0
0c2e31dd-080f-43a8-9e78-eab30cf8b149,-1,5000,training,bar,26,mushroom,olive,olive,none,"more, fewer",0,MORE,"geo, icon, color",0,geo,1
0c2e31dd-080f-43a8-9e78-eab30cf8b149,1,2597,training,bar,27,corn,olive,corn,ArrowLeft,"more, fewer",0,MORE,"geo, icon, color",0,geo,2
0c2e31dd-080f-43a8-9e78-eab30cf8b149,1,4862,real,bar,3,corn,olive,corn,ArrowLeft,"more, fewer",0,MORE,"geo, icon, color",0,geo,0
0c2e31dd-080f-43a8-9e78-eab30cf8b149,1,3210,real,bar,7,corn,mushroom,corn,ArrowLeft,"more, fewer",0,MORE,"geo, icon, color",0,geo,1
0c2e31dd-080f-43a8-9e78-eab30cf8b149,1,3594,real,bar,1,corn,tomato,tomato,ArrowRight,"more, fewer",0,MORE,"geo, icon, color",0,geo,2
0c2e31dd-080f-43a8-9e78-eab30cf8b149,1,4257,real,bar,8,celery,corn,corn,ArrowRight,"more, fewer",0,MORE,"geo, icon, color",0,geo,3
0c2e31dd-080f-43a8-9e78-eab30cf8b149,1,3981,real,bar,4,mushroom,carrot,carrot,ArrowRight,"more, fewer",0,MORE,"geo, icon, color",0,geo,4
0c2e31dd-080f-43a8-9e78-eab30cf8b149,-1,5000,real,bar,9,mushroom,corn,mushroom,none,"more, fewer",0,MORE,"geo, icon, color",0,geo,5
0c2e31dd-080f-43a8-9e78-eab30cf8b149,1,3609,real,bar,2,celery,mushroom,mushroom,ArrowRight,"more, fewer",0,MORE,"geo, icon, color",0,geo,6
0c2e31dd-080f-43a8-9e78-eab30cf8b149,1,2181,real,bar,6,mushroom,olive,mushroom,ArrowLeft,"more, fewer",0,MORE,"geo, icon, color",0,geo,7
0c2e31dd-080f-43a8-9e78-eab30cf8b149,0,4330,real,bar,0,eggplant,corn,corn,ArrowLeft,"more, fewer",0,MORE,"geo, icon, color",0,geo,8
0c2e31dd-080f-43a8-9e78-eab30cf8b149,1,4141,real,bar,5,olive,celery,celery,ArrowRight,"more, fewer",0,MORE,"geo, icon, color",0,geo,9
0c2e31dd-080f-43a8-9e78-eab30cf8b149,1,4224,training,bar,22,corn,mushroom,corn,ArrowLeft,"more, fewer",0,MORE,"geo, icon, color",1,icon,0
0c2e31dd-080f-43a8-9e78-eab30cf8b149,1,3419,training,bar,10,celery,eggplant,celery,ArrowLeft,"more, fewer",0,MORE,"geo, icon, color",1,icon,1
0c2e31dd-080f-43a8-9e78-eab30cf8b149,1,4163,training,bar,11,tomato,carrot,tomato,ArrowLeft,"more, fewer",0,MORE,"geo, icon, color",1,icon,2
0c2e31dd-080f-43a8-9e78-eab30cf8b149,1,4551,real,bar,3,corn,olive,corn,ArrowLeft,"more, fewer",0,MORE,"geo, icon, color",1,icon,0
0c2e31dd-080f-43a8-9e78-eab30cf8b149,-1,5000,real,bar,1,corn,tomato,tomato,none,"more, fewer",0,MORE,"geo, icon, color",1,icon,1
0c2e31dd-080f-43a8-9e78-eab30cf8b149,1,4492,real,bar,9,mushroom,corn,mushroom,ArrowLeft,"more, fewer",0,MORE,"geo, icon, color",1,icon,2
