participant_id,answer_accuracy,elapsed_time,trial_type,condition,current_stimulus_index,target_left,target_right,correct_answer,key_pressed,questions_order,question_index,question_condition,textures_order_for_question,texture_index,texture_condition,trial_number
0e76dda5-95c7-4912-8826-714277b14c4a,1,682,training,bar,13,olive,carrot,carrot,ArrowRight,"more, fewer",0,MORE,"geo, icon, color",0,geo,0
0e76dda5-95c7-4912-8826-714277b14c4a,1,3143,training,bar,12,celery,corn,corn,ArrowRight,"more, fewer",0,MORE,"geo, icon, color",0,geo,1
0e76dda5-95c7-4912-8826-714277b14c4a,0,1244,training,bar,11,tomato,carrot,tomato,ArrowRight,"more, fewer",0,MORE,"geo, icon, color",0,geo,2
0e76dda5-95c7-4912-8826-714277b14c4a,1,2771,real,bar,7,corn,mushroom,corn,ArrowLeft,"more, fewer",0,MORE,"geo, icon, color",0,geo,0
0e76dda5-95c7-4912-8826-714277b14c4a,1,2284,real,bar,1,corn,tomato,tomato,ArrowRight,"more, fewer",0,MORE,"geo, icon, color",0,geo,1
0e76dda5-95c7-4912-8826-714277b14c4a,1,2012,real,bar,3,corn,olive,corn,ArrowLeft,"more, fewer",0,MORE,"geo, icon, color",0,geo,2
0e76dda5-95c7-4912-8826-714277b14c4a,0,1876,real,bar,9,mushroom,corn,mushroom,ArrowRight,"more, fewer",0,MORE,"geo, icon, color",0,geo,3
0e76dda5-95c7-4912-8826-714277b14c4a,1,1502,real,bar,2,celery,mushroom,mushroom,ArrowRight,"more, fewer",0,MORE,"geo, icon, color",0,geo,4
0e76dda5-95c7-4912-8826-714277b14c4a,1,1329,real,bar,4,mushroom,carrot,carrot,ArrowRight,"more, fewer",0,MORE,"geo, icon, color",0,geo,5
0e76dda5-95c7-4912-8826-714277b14c4a,1,2043,real,bar,6,mushroom,olive,mushroom,ArrowLeft,"more, fewer",0,MORE,"geo, icon, color",0,geo,6
0e76dda5-95c7-4912-8826-714277b14c4a,1,3307,real,bar,0,eggplant,corn,corn,ArrowRight,"more, fewer",0,MORE,"geo, icon, color",0,geo,7
0e76dda5-95c7-4912-8826-714277b14c4a,0,1905,real,bar,5,olive,celery,celery,ArrowLeft,"more, fewer",0,MORE,"geo, icon, color",0,geo,8
0e76dda5-95c7-4912-8826-714277b14c4a,1,1132,real,bar,8,celery,corn,corn,ArrowRight,"more, fewer",0,MORE,"geo, icon, color",0,geo,9
0e76dda5-95c7-4912-8826-714277b14c4a,0,3892,training,bar,2,tomato,mushroom,mushroom,ArrowLeft,"more, fewer",0,MORE,"geo, icon, color",1,icon,0
0e76dda5-95c7-4912-8826-714277b14c4a,1,1790,training,bar,14,eggplant,tomato,tomato,ArrowRight,"more, fewer",0,MORE,"geo, icon, color",1,icon,1
0e76dda5-95c7-4912-8826-714277b14c4a,0,2536,training,bar,26,mushroom,olive,olive,ArrowLeft,"more, fewer",0,MORE,"geo, icon, color",1,icon,2
0e76dda5-95c7-4912-8826-714277b14c4a,0,1910,real,bar,6,mushroom,olive,mushroom,ArrowRight,"more, fewer",0,MORE,"geo, icon, color",1,icon,0
