participant_id,answer_accuracy,elapsed_time,trial_type,condition,current_stimulus_index,target_left,target_right,correct_answer,key_pressed,questions_order,question_index,question_condition,textures_order_for_question,texture_index,texture_condition,trial_number
1a5cc2e8-11db-43f4-9696-80c602fffb49,-1,5000,training,pie,22,mushroom,corn,mushroom,none,"fewer, more",0,FEWER,"geo, icon, color",0,geo,0
1a5cc2e8-11db-43f4-9696-80c602fffb49,1,2815,training,pie,18,eggplant,corn,corn,ArrowRight,"fewer, more",0,FEWER,"geo, icon, color",0,geo,1
1a5cc2e8-11db-43f4-9696-80c602fffb49,1,3267,training,pie,5,olive,carrot,carrot,ArrowRight,"fewer, more",0,FEWER,"geo, icon, color",0,geo,2
1a5cc2e8-11db-43f4-9696-80c602fffb49,1,2715,real,pie,9,corn,mushroom,corn,ArrowLeft,"fewer, more",0,FEWER,"geo, icon, color",0,geo,0
1a5cc2e8-11db-43f4-9696-80c602fffb49,0,3805,real,pie,4,carrot,mushroom,mushroom,ArrowLeft,"fewer, more",0,FEWER,"geo, icon, color",0,geo,1
1a5cc2e8-11db-43f4-9696-80c602fffb49,1,3726,real,pie,2,mushroom,celery,celery,ArrowRight,"fewer, more",0,FEWER,"geo, icon, color",0,geo,2
1a5cc2e8-11db-43f4-9696-80c602fffb49,1,4566,real,pie,8,corn,celery,celery,ArrowRight,"fewer, more",0,FEWER,"geo, icon, color",0,geo,3
1a5cc2e8-11db-43f4-9696-80c602fffb49,1,4428,real,pie,6,olive,mushroom,olive,ArrowLeft,"fewer, more",0,FEWER,"geo, icon, color",0,geo,4
1a5cc2e8-11db-43f4-9696-80c602fffb49,1,3822,real,pie,7,mushroom,corn,mushroom,ArrowLeft,"fewer, more",0,FEWER,"geo, icon, color",0,geo,5
1a5cc2e8-11db-43f4-9696-80c602fffb49,1,2365,real,pie,3,olive,corn,olive,ArrowLeft,"fewer, more",0,FEWER,"geo, icon, color",0,geo,6
1a5cc2e8-11db-43f4-9696-80c602fffb49,1,4453,real,pie,0,eggplant,corn,eggplant,ArrowLeft,"fewer, more",0,FEWER,"geo, icon, color",0,geo,7
1a5cc2e8-11db-43f4-9696-80c602fffb49,1,4833,real,pie,1,tomato,corn,corn,ArrowRight,"fewer, more",0,FEWER,"geo, icon, color",0,geo,8
1a5cc2e8-11db-43f4-9696-80c602fffb49,-1,5000,real,pie,5,celery,olive,olive,"fewer, more",0,FEWER,"geo, icon, color",0,geo,9,
1a5cc2e8-11db-43f4-9696-80c602fffb49,-1,5000,training,pie,15,eggplant,tomato,eggplant,none,"fewer, more",0,FEWER,"geo, icon, color",1,icon,0
1a5cc2e8-11db-43f4-9696-80c602fffb49,1,3544,training,pie,28,celery,mushroom,celery,ArrowLeft,"fewer, more",0,FEWER,"geo, icon, color",1,icon,1
1a5cc2e8-11db-43f4-9696-80c602fffb49,1,4056,training,pie,19,eggplant,carrot,eggplant,ArrowLeft,"fewer, more",0,FEWER,"geo, icon, color",1,icon,2
1a5cc2e8-11db-43f4-9696-80c602fffb49,1,3019,real,pie,7,mushroom,corn,mushroom,ArrowLeft,"fewer, more",0,FEWER,"geo, icon, color",1,icon,0
1a5cc2e8-11db-43f4-9696-80c602fffb49,1,2382,real,pie,8,corn,celery,celery,ArrowRight,"fewer, more",0,FEWER,"geo, icon, color",1,icon,1
1a5cc2e8-11db-43f4-9696-80c602fffb49,1,3863,real,pie,9,corn,mushroom,corn,ArrowLeft,"fewer, more",0,FEWER,"geo, icon, color",1,icon,2
1a5cc2e8-11db-43f4-9696-80c602fffb49,1,2107,real,pie,2,mushroom,celery,celery,ArrowRight,"fewer, more",0,FEWER,"geo, icon, color",1,icon,3
1a5cc2e8-11db-43f4-9696-80c602fffb49,1,2557,real,pie,1,tomato,corn,corn,ArrowRight,"fewer, more",0,FEWER,"geo, icon, color",1,icon,4
1a5cc2e8-11db-43f4-9696-80c602fffb49,1,2918,real,pie,6,olive,mushroom,olive,ArrowLeft,"fewer, more",0,FEWER,"geo, icon, color",1,icon,5
1a5cc2e8-11db-43f4-9696-80c602fffb49,1,3567,real,pie,0,eggplant,corn,eggplant,ArrowLeft,"fewer, more",0,FEWER,"geo, icon, color",1,icon,6
1a5cc2e8-11db-43f4-9696-80c602fffb49,1,2170,real,pie,4,carrot,mushroom,mushroom,ArrowRight,"fewer, more",0,FEWER,"geo, icon, color",1,icon,7
1a5cc2e8-11db-43f4-9696-80c602fffb49,1,4432,real,pie,3,olive,corn,olive,ArrowLeft,"fewer, more",0,FEWER,"geo, icon, color",1,icon,8
1a5cc2e8-11db-43f4-9696-80c602fffb49,1,4265,real,pie,5,celery,olive,olive,ArrowRight,"fewer, more",0,FEWER,"geo, icon, color",1,icon,9
1a5cc2e8-11db-43f4-9696-80c602fffb49,1,3499,training,pie,2,mushroom,tomato,tomato,ArrowRight,"fewer, more",0,FEWER,"geo, icon, color",2,color,0
1a5cc2e8-11db-43f4-9696-80c602fffb49,1,3101,training,pie,16,olive,mushroom,olive,ArrowLeft,"fewer, more",0,FEWER,"geo, icon, color",2,color,1
1a5cc2e8-11db-43f4-9696-80c602fffb49,1,2500,training,pie,14,tomato,eggplant,eggplant,ArrowRight,"fewer, more",0,FEWER,"geo, icon, color",2,color,2
1a5cc2e8-11db-43f4-9696-80c602fffb49,1,2592,real,pie,4,carrot,mushroom,mushroom,ArrowRight,"fewer, more",0,FEWER,"geo, icon, color",2,color,0
1a5cc2e8-11db-43f4-9696-80c602fffb49,1,2278,real,pie,5,celery,olive,olive,ArrowRight,"fewer, more",0,FEWER,"geo, icon, color",2,color,1
1a5cc2e8-11db-43f4-9696-80c602fffb49,1,2600,real,pie,6,olive,mushroom,olive,ArrowLeft,"fewer, more",0,FEWER,"geo, icon, color",2,color,2
1a5cc2e8-11db-43f4-9696-80c602fffb49,1,2384,real,pie,1,tomato,corn,corn,ArrowRight,"fewer, more",0,FEWER,"geo, icon, color",2,color,3
1a5cc2e8-11db-43f4-9696-80c602fffb49,1,2460,real,pie,2,mushroom,celery,celery,ArrowRight,"fewer, more",0,FEWER,"geo, icon, color",2,color,4
1a5cc2e8-11db-43f4-9696-80c602fffb49,1,3771,real,pie,0,eggplant,corn,eggplant,ArrowLeft,"fewer, more",0,FEWER,"geo, icon, color",2,color,5
