participant_id,answer_accuracy,elapsed_time,trial_type,condition,current_stimulus_index,target_left,target_right,correct_answer,key_pressed,questions_order,question_index,question_condition,textures_order_for_question,texture_index,texture_condition,trial_number
1ad742bb-a845-4016-82a2-7eb997759d00,1,4074,training,pie,5,olive,carrot,olive,ArrowLeft,"more, fewer",0,MORE,"color, geo, icon",0,color,0
1ad742bb-a845-4016-82a2-7eb997759d00,1,2914,training,pie,0,carrot,corn,carrot,ArrowLeft,"more, fewer",0,MORE,"color, geo, icon",0,color,1
1ad742bb-a845-4016-82a2-7eb997759d00,1,3429,training,pie,19,eggplant,carrot,carrot,ArrowRight,"more, fewer",0,MORE,"color, geo, icon",0,color,2
1ad742bb-a845-4016-82a2-7eb997759d00,1,2774,real,pie,6,olive,mushroom,mushroom,ArrowRight,"more, fewer",0,MORE,"color, geo, icon",0,color,0
1ad742bb-a845-4016-82a2-7eb997759d00,1,2015,real,pie,3,olive,corn,corn,ArrowRight,"more, fewer",0,MORE,"color, geo, icon",0,color,1
1ad742bb-a845-4016-82a2-7eb997759d00,0,2593,real,pie,4,carrot,mushroom,carrot,ArrowRight,"more, fewer",0,MORE,"color, geo, icon",0,color,2
1ad742bb-a845-4016-82a2-7eb997759d00,1,2617,real,pie,9,corn,mushroom,mushroom,ArrowRight,"more, fewer",0,MORE,"color, geo, icon",0,color,3
1ad742bb-a845-4016-82a2-7eb997759d00,1,2567,real,pie,0,eggplant,corn,corn,ArrowRight,"more, fewer",0,MORE,"color, geo, icon",0,color,4
1ad742bb-a845-4016-82a2-7eb997759d00,1,2530,real,pie,2,mushroom,celery,mushroom,ArrowLeft,"more, fewer",0,MORE,"color, geo, icon",0,color,5
1ad742bb-a845-4016-82a2-7eb997759d00,1,2378,real,pie,7,mushroom,corn,corn,ArrowRight,"more, fewer",0,MORE,"color, geo, icon",0,color,6
1ad742bb-a845-4016-82a2-7eb997759d00,1,2230,real,pie,8,corn,celery,corn,ArrowLeft,"more, fewer",0,MORE,"color, geo, icon",0,color,7
1ad742bb-a845-4016-82a2-7eb997759d00,1,2526,real,pie,5,celery,olive,celery,ArrowLeft,"more, fewer",0,MORE,"color, geo, icon",0,color,8
1ad742bb-a845-4016-82a2-7eb997759d00,1,2655,real,pie,1,tomato,corn,tomato,ArrowLeft,"more, fewer",0,MORE,"color, geo, icon",0,color,9
1ad742bb-a845-4016-82a2-7eb997759d00,1,2939,training,pie,22,mushroom,corn,corn,ArrowRight,"more, fewer",0,MORE,"color, geo, icon",1,geo,0
1ad742bb-a845-4016-82a2-7eb997759d00,1,2607,training,pie,14,tomato,eggplant,tomato,ArrowLeft,"more, fewer",0,MORE,"color, geo, icon",1,geo,1
1ad742bb-a845-4016-82a2-7eb997759d00,1,2070,training,pie,2,mushroom,tomato,mushroom,ArrowLeft,"more, fewer",0,MORE,"color, geo, icon",1,geo,2
1ad742bb-a845-4016-82a2-7eb997759d00,1,2325,real,pie,5,celery,olive,celery,ArrowLeft,"more, fewer",0,MORE,"color, geo, icon",1,geo,0
1ad742bb-a845-4016-82a2-7eb997759d00,1,1743,real,pie,3,olive,corn,corn,ArrowRight,"more, fewer",0,MORE,"color, geo, icon",1,geo,1
1ad742bb-a845-4016-82a2-7eb997759d00,1,2564,real,pie,0,eggplant,corn,corn,ArrowRight,"more, fewer",0,MORE,"color, geo, icon",1,geo,2
1ad742bb-a845-4016-82a2-7eb997759d00,1,2604,real,pie,7,mushroom,corn,corn,ArrowRight,"more, fewer",0,MORE,"color, geo, icon",1,geo,3
1ad742bb-a845-4016-82a2-7eb997759d00,1,2086,real,pie,8,corn,celery,corn,ArrowLeft,"more, fewer",0,MORE,"color, geo, icon",1,geo,4
1ad742bb-a845-4016-82a2-7eb997759d00,1,2611,real,pie,4,carrot,mushroom,carrot,ArrowLeft,"more, fewer",0,MORE,"color, geo, icon",1,geo,5
1ad742bb-a845-4016-82a2-7eb997759d00,1,1683,real,pie,1,tomato,corn,tomato,ArrowLeft,"more, fewer",0,MORE,"color, geo, icon",1,geo,6
1ad742bb-a845-4016-82a2-7eb997759d00,1,2401,real,pie,2,mushroom,celery,mushroom,ArrowLeft,"more, fewer",0,MORE,"color, geo, icon",1,geo,7
1ad742bb-a845-4016-82a2-7eb997759d00,1,2880,real,pie,9,corn,mushroom,mushroom,ArrowRight,"more, fewer",0,MORE,"color, geo, icon",1,geo,8
1ad742bb-a845-4016-82a2-7eb997759d00,1,1900,real,pie,6,olive,mushroom,mushroom,ArrowRight,"more, fewer",0,MORE,"color, geo, icon",1,geo,9
1ad742bb-a845-4016-82a2-7eb997759d00,0,4544,training,pie,4,carrot,celery,celery,ArrowLeft,"more, fewer",0,MORE,"color, geo, icon",2,icon,0
1ad742bb-a845-4016-82a2-7eb997759d00,1,1949,training,pie,25,eggplant,corn,corn,ArrowRight,"more, fewer",0,MORE,"color, geo, icon",2,icon,1
1ad742bb-a845-4016-82a2-7eb997759d00,1,4748,training,pie,12,corn,celery,corn,ArrowLeft,"more, fewer",0,MORE,"color, geo, icon",2,icon,2
1ad742bb-a845-4016-82a2-7eb997759d00,1,2276,real,pie,4,carrot,mushroom,carrot,ArrowLeft,"more, fewer",0,MORE,"color, geo, icon",2,icon,0
1ad742bb-a845-4016-82a2-7eb997759d00,1,2869,real,pie,6,olive,mushroom,mushroom,ArrowRight,"more, fewer",0,MORE,"color, geo, icon",2,icon,1
1ad742bb-a845-4016-82a2-7eb997759d00,1,1439,real,pie,8,corn,celery,corn,ArrowLeft,"more, fewer",0,MORE,"color, geo, icon",2,icon,2
1ad742bb-a845-4016-82a2-7eb997759d00,1,2597,real,pie,7,mushroom,corn,corn,ArrowRight,"more, fewer",0,MORE,"color, geo, icon",2,icon,3
1ad742bb-a845-4016-82a2-7eb997759d00,1,4206,real,pie,5,celery,olive,celery,ArrowLeft,"more, fewer",0,MORE,"color, geo, icon",2,icon,4
1ad742bb-a845-4016-82a2-7eb997759d00,1,2050,real,pie,1,tomato,corn,tomato,ArrowLeft,"more, fewer",0,MORE,"color, geo, icon",2,icon,5
1ad742bb-a845-4016-82a2-7eb997759d00,1,3256,real,pie,9,corn,mushroom,mushroom,ArrowRight,"more, fewer",0,MORE,"color, geo, icon",2,icon,6
1ad742bb-a845-4016-82a2-7eb997759d00,1,1401,real,pie,3,olive,corn,corn,ArrowRight,"more, fewer",0,MORE,"color, geo, icon",2,icon,7
1ad742bb-a845-4016-82a2-7eb997759d00,1,2345,real,pie,2,mushroom,celery,mushroom,ArrowLeft,"more, fewer",0,MORE,"color, geo, icon",2,icon,8
1ad742bb-a845-4016-82a2-7eb997759d00,1,2714,real,pie,0,eggplant,corn,corn,ArrowRight,"more, fewer",0,MORE,"color, geo, icon",2,icon,9
1ad742bb-a845-4016-82a2-7eb997759d00,1,1942,training,pie,19,eggplant,carrot,eggplant,ArrowLeft,"more, fewer",1,FEWER,"geo, color, icon",0,geo,0
1ad742bb-a845-4016-82a2-7eb997759d00,1,4422,training,pie,7,celery,eggplant,eggplant,ArrowRight,"more, fewer",1,FEWER,"geo, color, icon",0,geo,1
1ad742bb-a845-4016-82a2-7eb997759d00,1,2430,training,pie,17,mushroom,corn,corn,ArrowRight,"more, fewer",1,FEWER,"geo, color, icon",0,geo,2
1ad742bb-a845-4016-82a2-7eb997759d00,1,2416,real,pie,5,celery,olive,olive,ArrowRight,"more, fewer",1,FEWER,"geo, color, icon",0,geo,0
1ad742bb-a845-4016-82a2-7eb997759d00,1,2153,real,pie,3,olive,corn,olive,ArrowLeft,"more, fewer",1,FEWER,"geo, color, icon",0,geo,1
1ad742bb-a845-4016-82a2-7eb997759d00,1,4569,real,pie,0,eggplant,corn,eggplant,ArrowLeft,"more, fewer",1,FEWER,"geo, color, icon",0,geo,2
1ad742bb-a845-4016-82a2-7eb997759d00,1,4743,real,pie,7,mushroom,corn,mushroom,ArrowLeft,"more, fewer",1,FEWER,"geo, color, icon",0,geo,3
1ad742bb-a845-4016-82a2-7eb997759d00,1,3323,real,pie,8,corn,celery,celery,ArrowRight,"more, fewer",1,FEWER,"geo, color, icon",0,geo,4
1ad742bb-a845-4016-82a2-7eb997759d00,1,2467,real,pie,4,carrot,mushroom,mushroom,ArrowRight,"more, fewer",1,FEWER,"geo, color, icon",0,geo,5
1ad742bb-a845-4016-82a2-7eb997759d00,1,1679,real,pie,1,tomato,corn,corn,ArrowRight,"more, fewer",1,FEWER,"geo, color, icon",0,geo,6
