participant_id,answer_accuracy,elapsed_time,trial_type,condition,current_stimulus_index,target_left,target_right,correct_answer,key_pressed,questions_order,question_index,question_condition,textures_order_for_question,texture_index,texture_condition,trial_number
1c31ec36-99f9-4acd-b285-e4ff95c23020,1,2187,training,bar,3,carrot,celery,carrot,ArrowLeft,"fewer, more",0,FEWER,"geo, icon, color",0,geo,0
1c31ec36-99f9-4acd-b285-e4ff95c23020,1,956,training,bar,3,carrot,celery,carrot,ArrowLeft,"fewer, more",0,FEWER,"geo, icon, color",0,geo,1
1c31ec36-99f9-4acd-b285-e4ff95c23020,0,1297,training,bar,1,corn,mushroom,corn,ArrowRight,"fewer, more",0,FEWER,"geo, icon, color",0,geo,2
1c31ec36-99f9-4acd-b285-e4ff95c23020,1,1262,real,bar,8,celery,corn,celery,ArrowLeft,"fewer, more",0,FEWER,"geo, icon, color",0,geo,0
1c31ec36-99f9-4acd-b285-e4ff95c23020,1,2115,real,bar,5,olive,celery,olive,ArrowLeft,"fewer, more",0,FEWER,"geo, icon, color",0,geo,1
1c31ec36-99f9-4acd-b285-e4ff95c23020,1,2477,real,bar,1,corn,tomato,corn,ArrowLeft,"fewer, more",0,FEWER,"geo, icon, color",0,geo,2
1c31ec36-99f9-4acd-b285-e4ff95c23020,1,1566,real,bar,6,mushroom,olive,olive,ArrowRight,"fewer, more",0,FEWER,"geo, icon, color",0,geo,3
1c31ec36-99f9-4acd-b285-e4ff95c23020,0,3214,real,bar,4,mushroom,carrot,mushroom,ArrowRight,"fewer, more",0,FEWER,"geo, icon, color",0,geo,4
1c31ec36-99f9-4acd-b285-e4ff95c23020,1,2107,real,bar,2,celery,mushroom,celery,ArrowLeft,"fewer, more",0,FEWER,"geo, icon, color",0,geo,5
1c31ec36-99f9-4acd-b285-e4ff95c23020,0,3260,real,bar,0,eggplant,corn,eggplant,ArrowRight,"fewer, more",0,FEWER,"geo, icon, color",0,geo,6
1c31ec36-99f9-4acd-b285-e4ff95c23020,1,2801,real,bar,3,corn,olive,olive,ArrowRight,"fewer, more",0,FEWER,"geo, icon, color",0,geo,7
1c31ec36-99f9-4acd-b285-e4ff95c23020,1,2236,real,bar,9,mushroom,corn,corn,ArrowRight,"fewer, more",0,FEWER,"geo, icon, color",0,geo,8
1c31ec36-99f9-4acd-b285-e4ff95c23020,1,2170,real,bar,7,corn,mushroom,mushroom,ArrowRight,"fewer, more",0,FEWER,"geo, icon, color",0,geo,9
1c31ec36-99f9-4acd-b285-e4ff95c23020,1,2448,training,bar,3,carrot,celery,carrot,ArrowLeft,"fewer, more",0,FEWER,"geo, icon, color",1,icon,0
1c31ec36-99f9-4acd-b285-e4ff95c23020,1,3703,training,bar,18,corn,eggplant,corn,ArrowLeft,"fewer, more",0,FEWER,"geo, icon, color",1,icon,1
1c31ec36-99f9-4acd-b285-e4ff95c23020,1,1471,training,bar,13,olive,carrot,olive,ArrowLeft,"fewer, more",0,FEWER,"geo, icon, color",1,icon,2
1c31ec36-99f9-4acd-b285-e4ff95c23020,1,1201,real,bar,1,corn,tomato,corn,ArrowLeft,"fewer, more",0,FEWER,"geo, icon, color",1,icon,0
1c31ec36-99f9-4acd-b285-e4ff95c23020,1,3275,real,bar,7,corn,mushroom,mushroom,ArrowRight,"fewer, more",0,FEWER,"geo, icon, color",1,icon,1
1c31ec36-99f9-4acd-b285-e4ff95c23020,1,3779,real,bar,0,eggplant,corn,eggplant,ArrowLeft,"fewer, more",0,FEWER,"geo, icon, color",1,icon,2
1c31ec36-99f9-4acd-b285-e4ff95c23020,1,2317,real,bar,6,mushroom,olive,olive,ArrowRight,"fewer, more",0,FEWER,"geo, icon, color",1,icon,3
1c31ec36-99f9-4acd-b285-e4ff95c23020,1,1388,real,bar,4,mushroom,carrot,mushroom,ArrowLeft,"fewer, more",0,FEWER,"geo, icon, color",1,icon,4
1c31ec36-99f9-4acd-b285-e4ff95c23020,1,1633,real,bar,2,celery,mushroom,celery,ArrowLeft,"fewer, more",0,FEWER,"geo, icon, color",1,icon,5
1c31ec36-99f9-4acd-b285-e4ff95c23020,1,2112,real,bar,8,celery,corn,celery,ArrowLeft,"fewer, more",0,FEWER,"geo, icon, color",1,icon,6
1c31ec36-99f9-4acd-b285-e4ff95c23020,1,1380,real,bar,3,corn,olive,olive,ArrowRight,"fewer, more",0,FEWER,"geo, icon, color",1,icon,7
1c31ec36-99f9-4acd-b285-e4ff95c23020,1,3434,real,bar,9,mushroom,corn,corn,ArrowRight,"fewer, more",0,FEWER,"geo, icon, color",1,icon,8
1c31ec36-99f9-4acd-b285-e4ff95c23020,1,4194,real,bar,5,olive,celery,olive,ArrowLeft,"fewer, more",0,FEWER,"geo, icon, color",1,icon,9
1c31ec36-99f9-4acd-b285-e4ff95c23020,1,1878,training,bar,25,corn,eggplant,eggplant,ArrowRight,"fewer, more",0,FEWER,"geo, icon, color",2,color,0
1c31ec36-99f9-4acd-b285-e4ff95c23020,1,1926,training,bar,14,eggplant,tomato,eggplant,ArrowLeft,"fewer, more",0,FEWER,"geo, icon, color",2,color,1
1c31ec36-99f9-4acd-b285-e4ff95c23020,1,2890,training,bar,2,tomato,mushroom,tomato,ArrowLeft,"fewer, more",0,FEWER,"geo, icon, color",2,color,2
1c31ec36-99f9-4acd-b285-e4ff95c23020,1,1146,real,bar,9,mushroom,corn,corn,ArrowRight,"fewer, more",0,FEWER,"geo, icon, color",2,color,0
1c31ec36-99f9-4acd-b285-e4ff95c23020,1,1352,real,bar,6,mushroom,olive,olive,ArrowRight,"fewer, more",0,FEWER,"geo, icon, color",2,color,1
1c31ec36-99f9-4acd-b285-e4ff95c23020,1,1597,real,bar,8,celery,corn,celery,ArrowLeft,"fewer, more",0,FEWER,"geo, icon, color",2,color,2
1c31ec36-99f9-4acd-b285-e4ff95c23020,1,3748,real,bar,7,corn,mushroom,mushroom,ArrowRight,"fewer, more",0,FEWER,"geo, icon, color",2,color,3
1c31ec36-99f9-4acd-b285-e4ff95c23020,1,2323,real,bar,1,corn,tomato,corn,ArrowLeft,"fewer, more",0,FEWER,"geo, icon, color",2,color,4
1c31ec36-99f9-4acd-b285-e4ff95c23020,1,4542,real,bar,0,eggplant,corn,eggplant,ArrowLeft,"fewer, more",0,FEWER,"geo, icon, color",2,color,5
1c31ec36-99f9-4acd-b285-e4ff95c23020,1,1219,real,bar,4,mushroom,carrot,mushroom,ArrowLeft,"fewer, more",0,FEWER,"geo, icon, color",2,color,6
1c31ec36-99f9-4acd-b285-e4ff95c23020,1,1732,real,bar,2,celery,mushroom,celery,ArrowLeft,"fewer, more",0,FEWER,"geo, icon, color",2,color,7
1c31ec36-99f9-4acd-b285-e4ff95c23020,1,3587,real,bar,5,olive,celery,olive,ArrowLeft,"fewer, more",0,FEWER,"geo, icon, color",2,color,8
1c31ec36-99f9-4acd-b285-e4ff95c23020,1,2871,real,bar,3,corn,olive,olive,ArrowRight,"fewer, more",0,FEWER,"geo, icon, color",2,color,9
1c31ec36-99f9-4acd-b285-e4ff95c23020,1,3202,training,bar,19,carrot,eggplant,carrot,ArrowLeft,"fewer, more",1,MORE,"geo, color, icon",0,geo,0
1c31ec36-99f9-4acd-b285-e4ff95c23020,1,913,training,bar,15,eggplant,tomato,tomato,ArrowRight,"fewer, more",1,MORE,"geo, color, icon",0,geo,1
1c31ec36-99f9-4acd-b285-e4ff95c23020,1,2033,training,bar,28,mushroom,celery,mushroom,ArrowLeft,"fewer, more",1,MORE,"geo, color, icon",0,geo,2
