participant_id,answer_accuracy,elapsed_time,trial_type,condition,current_stimulus_index,target_left,target_right,correct_answer,key_pressed,questions_order,question_index,question_condition,textures_order_for_question,texture_index,texture_condition,trial_number
1e578af3-b7d0-47ee-b4c0-90cc6ad9ab65,1,2026,training,pie,14,tomato,eggplant,tomato,ArrowLeft,"more, fewer",0,MORE,"geo, icon, color",0,geo,0
1e578af3-b7d0-47ee-b4c0-90cc6ad9ab65,0,2059,training,pie,8,olive,eggplant,eggplant,ArrowLeft,"more, fewer",0,MORE,"geo, icon, color",0,geo,1
1e578af3-b7d0-47ee-b4c0-90cc6ad9ab65,1,1641,training,pie,19,eggplant,carrot,carrot,ArrowRight,"more, fewer",0,MORE,"geo, icon, color",0,geo,2
1e578af3-b7d0-47ee-b4c0-90cc6ad9ab65,1,715,real,pie,5,celery,olive,celery,ArrowLeft,"more, fewer",0,MORE,"geo, icon, color",0,geo,0
1e578af3-b7d0-47ee-b4c0-90cc6ad9ab65,1,1270,real,pie,1,tomato,corn,tomato,ArrowLeft,"more, fewer",0,MORE,"geo, icon, color",0,geo,1
1e578af3-b7d0-47ee-b4c0-90cc6ad9ab65,1,979,real,pie,4,carrot,mushroom,carrot,ArrowLeft,"more, fewer",0,MORE,"geo, icon, color",0,geo,2
1e578af3-b7d0-47ee-b4c0-90cc6ad9ab65,0,1058,real,pie,9,corn,mushroom,mushroom,ArrowLeft,"more, fewer",0,MORE,"geo, icon, color",0,geo,3
1e578af3-b7d0-47ee-b4c0-90cc6ad9ab65,1,2788,real,pie,8,corn,celery,corn,ArrowLeft,"more, fewer",0,MORE,"geo, icon, color",0,geo,4
1e578af3-b7d0-47ee-b4c0-90cc6ad9ab65,1,1736,real,pie,3,olive,corn,corn,ArrowRight,"more, fewer",0,MORE,"geo, icon, color",0,geo,5
1e578af3-b7d0-47ee-b4c0-90cc6ad9ab65,1,2405,real,pie,6,olive,mushroom,mushroom,ArrowRight,"more, fewer",0,MORE,"geo, icon, color",0,geo,6
1e578af3-b7d0-47ee-b4c0-90cc6ad9ab65,0,788,real,pie,2,mushroom,celery,mushroom,ArrowRight,"more, fewer",0,MORE,"geo, icon, color",0,geo,7
1e578af3-b7d0-47ee-b4c0-90cc6ad9ab65,1,2070,real,pie,7,mushroom,corn,corn,ArrowRight,"more, fewer",0,MORE,"geo, icon, color",0,geo,8
1e578af3-b7d0-47ee-b4c0-90cc6ad9ab65,1,2543,real,pie,0,eggplant,corn,corn,ArrowRight,"more, fewer",0,MORE,"geo, icon, color",0,geo,9
1e578af3-b7d0-47ee-b4c0-90cc6ad9ab65,1,1366,training,pie,5,olive,carrot,olive,ArrowLeft,"more, fewer",0,MORE,"geo, icon, color",1,icon,0
1e578af3-b7d0-47ee-b4c0-90cc6ad9ab65,0,2362,training,pie,15,eggplant,tomato,tomato,ArrowLeft,"more, fewer",0,MORE,"geo, icon, color",1,icon,1
1e578af3-b7d0-47ee-b4c0-90cc6ad9ab65,1,1770,training,pie,4,carrot,celery,celery,ArrowRight,"more, fewer",0,MORE,"geo, icon, color",1,icon,2
1e578af3-b7d0-47ee-b4c0-90cc6ad9ab65,0,2928,real,pie,0,eggplant,corn,corn,ArrowLeft,"more, fewer",0,MORE,"geo, icon, color",1,icon,0
1e578af3-b7d0-47ee-b4c0-90cc6ad9ab65,1,2716,real,pie,1,tomato,corn,tomato,ArrowLeft,"more, fewer",0,MORE,"geo, icon, color",1,icon,1
1e578af3-b7d0-47ee-b4c0-90cc6ad9ab65,1,3374,real,pie,2,mushroom,celery,mushroom,ArrowLeft,"more, fewer",0,MORE,"geo, icon, color",1,icon,2
1e578af3-b7d0-47ee-b4c0-90cc6ad9ab65,1,2496,real,pie,6,olive,mushroom,mushroom,ArrowRight,"more, fewer",0,MORE,"geo, icon, color",1,icon,3
1e578af3-b7d0-47ee-b4c0-90cc6ad9ab65,1,3152,real,pie,4,carrot,mushroom,carrot,ArrowLeft,"more, fewer",0,MORE,"geo, icon, color",1,icon,4
1e578af3-b7d0-47ee-b4c0-90cc6ad9ab65,1,1967,real,pie,7,mushroom,corn,corn,ArrowRight,"more, fewer",0,MORE,"geo, icon, color",1,icon,5
1e578af3-b7d0-47ee-b4c0-90cc6ad9ab65,1,2691,real,pie,8,corn,celery,corn,ArrowLeft,"more, fewer",0,MORE,"geo, icon, color",1,icon,6
1e578af3-b7d0-47ee-b4c0-90cc6ad9ab65,0,2825,real,pie,5,celery,olive,celery,ArrowRight,"more, fewer",0,MORE,"geo, icon, color",1,icon,7
1e578af3-b7d0-47ee-b4c0-90cc6ad9ab65,1,1846,real,pie,3,olive,corn,corn,ArrowRight,"more, fewer",0,MORE,"geo, icon, color",1,icon,8
1e578af3-b7d0-47ee-b4c0-90cc6ad9ab65,1,2994,real,pie,9,corn,mushroom,mushroom,ArrowRight,"more, fewer",0,MORE,"geo, icon, color",1,icon,9
1e578af3-b7d0-47ee-b4c0-90cc6ad9ab65,1,2379,training,pie,10,eggplant,celery,celery,ArrowRight,"more, fewer",0,MORE,"geo, icon, color",2,color,0
1e578af3-b7d0-47ee-b4c0-90cc6ad9ab65,1,3011,training,pie,3,celery,carrot,celery,ArrowLeft,"more, fewer",0,MORE,"geo, icon, color",2,color,1
1e578af3-b7d0-47ee-b4c0-90cc6ad9ab65,0,3086,training,pie,8,olive,eggplant,eggplant,ArrowLeft,"more, fewer",0,MORE,"geo, icon, color",2,color,2
1e578af3-b7d0-47ee-b4c0-90cc6ad9ab65,1,1283,real,pie,7,mushroom,corn,corn,ArrowRight,"more, fewer",0,MORE,"geo, icon, color",2,color,0
1e578af3-b7d0-47ee-b4c0-90cc6ad9ab65,1,2397,real,pie,5,celery,olive,celery,ArrowLeft,"more, fewer",0,MORE,"geo, icon, color",2,color,1
