participant_id,answer_accuracy,elapsed_time,trial_type,condition,current_stimulus_index,target_left,target_right,correct_answer,key_pressed,questions_order,question_index,question_condition,textures_order_for_question,texture_index,texture_condition,trial_number
20546548-48b8-44ae-8da5-f89a7a190947,-1,5000,training,bar,8,olive,eggplant,eggplant,none,"more, fewer",0,MORE,"icon, geo, color",0,icon,0
20546548-48b8-44ae-8da5-f89a7a190947,1,3905,training,bar,0,corn,carrot,carrot,ArrowRight,"more, fewer",0,MORE,"icon, geo, color",0,icon,1
20546548-48b8-44ae-8da5-f89a7a190947,1,3520,training,bar,5,olive,carrot,olive,ArrowLeft,"more, fewer",0,MORE,"icon, geo, color",0,icon,2
20546548-48b8-44ae-8da5-f89a7a190947,1,1959,real,bar,1,corn,tomato,tomato,ArrowRight,"more, fewer",0,MORE,"icon, geo, color",0,icon,0
20546548-48b8-44ae-8da5-f89a7a190947,1,3008,real,bar,5,olive,celery,celery,ArrowRight,"more, fewer",0,MORE,"icon, geo, color",0,icon,1
20546548-48b8-44ae-8da5-f89a7a190947,1,2616,real,bar,2,celery,mushroom,mushroom,ArrowRight,"more, fewer",0,MORE,"icon, geo, color",0,icon,2
20546548-48b8-44ae-8da5-f89a7a190947,1,2504,real,bar,7,corn,mushroom,corn,ArrowLeft,"more, fewer",0,MORE,"icon, geo, color",0,icon,3
20546548-48b8-44ae-8da5-f89a7a190947,1,2760,real,bar,4,mushroom,carrot,carrot,ArrowRight,"more, fewer",0,MORE,"icon, geo, color",0,icon,4
20546548-48b8-44ae-8da5-f89a7a190947,1,3248,real,bar,6,mushroom,olive,mushroom,ArrowLeft,"more, fewer",0,MORE,"icon, geo, color",0,icon,5
20546548-48b8-44ae-8da5-f89a7a190947,1,2888,real,bar,0,eggplant,corn,corn,ArrowRight,"more, fewer",0,MORE,"icon, geo, color",0,icon,6
20546548-48b8-44ae-8da5-f89a7a190947,1,4473,real,bar,9,mushroom,corn,mushroom,ArrowLeft,"more, fewer",0,MORE,"icon, geo, color",0,icon,7
20546548-48b8-44ae-8da5-f89a7a190947,1,2984,real,bar,8,celery,corn,corn,ArrowRight,"more, fewer",0,MORE,"icon, geo, color",0,icon,8
20546548-48b8-44ae-8da5-f89a7a190947,1,1895,real,bar,3,corn,olive,corn,ArrowLeft,"more, fewer",0,MORE,"icon, geo, color",0,icon,9
20546548-48b8-44ae-8da5-f89a7a190947,1,1945,training,bar,11,tomato,carrot,tomato,ArrowLeft,"more, fewer",0,MORE,"icon, geo, color",1,geo,0
20546548-48b8-44ae-8da5-f89a7a190947,1,2696,training,bar,3,carrot,celery,celery,ArrowRight,"more, fewer",0,MORE,"icon, geo, color",1,geo,1
20546548-48b8-44ae-8da5-f89a7a190947,1,4848,training,bar,16,mushroom,olive,mushroom,ArrowLeft,"more, fewer",0,MORE,"icon, geo, color",1,geo,2
20546548-48b8-44ae-8da5-f89a7a190947,1,3712,real,bar,1,corn,tomato,tomato,ArrowRight,"more, fewer",0,MORE,"icon, geo, color",1,geo,0
20546548-48b8-44ae-8da5-f89a7a190947,1,3329,real,bar,3,corn,olive,corn,ArrowLeft,"more, fewer",0,MORE,"icon, geo, color",1,geo,1
20546548-48b8-44ae-8da5-f89a7a190947,1,4704,real,bar,9,mushroom,corn,mushroom,ArrowLeft,"more, fewer",0,MORE,"icon, geo, color",1,geo,2
20546548-48b8-44ae-8da5-f89a7a190947,1,2967,real,bar,6,mushroom,olive,mushroom,ArrowLeft,"more, fewer",0,MORE,"icon, geo, color",1,geo,3
20546548-48b8-44ae-8da5-f89a7a190947,1,2368,real,bar,4,mushroom,carrot,carrot,ArrowRight,"more, fewer",0,MORE,"icon, geo, color",1,geo,4
20546548-48b8-44ae-8da5-f89a7a190947,1,2664,real,bar,2,celery,mushroom,mushroom,ArrowRight,"more, fewer",0,MORE,"icon, geo, color",1,geo,5
20546548-48b8-44ae-8da5-f89a7a190947,1,1792,real,bar,7,corn,mushroom,corn,ArrowLeft,"more, fewer",0,MORE,"icon, geo, color",1,geo,6
20546548-48b8-44ae-8da5-f89a7a190947,1,2440,real,bar,5,olive,celery,celery,ArrowRight,"more, fewer",0,MORE,"icon, geo, color",1,geo,7
20546548-48b8-44ae-8da5-f89a7a190947,1,2641,real,bar,8,celery,corn,corn,ArrowRight,"more, fewer",0,MORE,"icon, geo, color",1,geo,8
20546548-48b8-44ae-8da5-f89a7a190947,1,4151,real,bar,0,eggplant,corn,corn,ArrowRight,"more, fewer",0,MORE,"icon, geo, color",1,geo,9
20546548-48b8-44ae-8da5-f89a7a190947,1,2736,training,bar,20,eggplant,tomato,eggplant,ArrowLeft,"more, fewer",0,MORE,"icon, geo, color",2,color,0
20546548-48b8-44ae-8da5-f89a7a190947,1,1840,training,bar,14,eggplant,tomato,tomato,ArrowRight,"more, fewer",0,MORE,"icon, geo, color",2,color,1
20546548-48b8-44ae-8da5-f89a7a190947,1,2808,training,bar,5,olive,carrot,olive,ArrowLeft,"more, fewer",0,MORE,"icon, geo, color",2,color,2
20546548-48b8-44ae-8da5-f89a7a190947,1,3112,real,bar,1,corn,tomato,tomato,ArrowRight,"more, fewer",0,MORE,"icon, geo, color",2,color,0
20546548-48b8-44ae-8da5-f89a7a190947,1,3065,real,bar,4,mushroom,carrot,carrot,ArrowRight,"more, fewer",0,MORE,"icon, geo, color",2,color,1
20546548-48b8-44ae-8da5-f89a7a190947,1,4048,real,bar,2,celery,mushroom,mushroom,ArrowRight,"more, fewer",0,MORE,"icon, geo, color",2,color,2
20546548-48b8-44ae-8da5-f89a7a190947,1,3368,real,bar,8,celery,corn,corn,ArrowRight,"more, fewer",0,MORE,"icon, geo, color",2,color,3
20546548-48b8-44ae-8da5-f89a7a190947,1,3295,real,bar,0,eggplant,corn,corn,ArrowRight,"more, fewer",0,MORE,"icon, geo, color",2,color,4
20546548-48b8-44ae-8da5-f89a7a190947,1,2968,real,bar,5,olive,celery,celery,ArrowRight,"more, fewer",0,MORE,"icon, geo, color",2,color,5
20546548-48b8-44ae-8da5-f89a7a190947,1,2832,real,bar,9,mushroom,corn,mushroom,ArrowLeft,"more, fewer",0,MORE,"icon, geo, color",2,color,6
20546548-48b8-44ae-8da5-f89a7a190947,1,2432,real,bar,7,corn,mushroom,corn,ArrowLeft,"more, fewer",0,MORE,"icon, geo, color",2,color,7
20546548-48b8-44ae-8da5-f89a7a190947,1,2848,real,bar,6,mushroom,olive,mushroom,ArrowLeft,"more, fewer",0,MORE,"icon, geo, color",2,color,8
20546548-48b8-44ae-8da5-f89a7a190947,1,2631,real,bar,3,corn,olive,corn,ArrowLeft,"more, fewer",0,MORE,"icon, geo, color",2,color,9
20546548-48b8-44ae-8da5-f89a7a190947,1,2152,training,bar,27,corn,olive,olive,ArrowRight,"more, fewer",1,FEWER,"geo, icon, color",0,geo,0
20546548-48b8-44ae-8da5-f89a7a190947,1,3864,training,bar,27,corn,olive,olive,ArrowRight,"more, fewer",1,FEWER,"geo, icon, color",0,geo,1
20546548-48b8-44ae-8da5-f89a7a190947,1,3248,training,bar,8,olive,eggplant,olive,ArrowLeft,"more, fewer",1,FEWER,"geo, icon, color",0,geo,2
20546548-48b8-44ae-8da5-f89a7a190947,1,3175,real,bar,1,corn,tomato,corn,ArrowLeft,"more, fewer",1,FEWER,"geo, icon, color",0,geo,0
20546548-48b8-44ae-8da5-f89a7a190947,1,2503,real,bar,3,corn,olive,olive,ArrowRight,"more, fewer",1,FEWER,"geo, icon, color",0,geo,1
20546548-48b8-44ae-8da5-f89a7a190947,1,2288,real,bar,9,mushroom,corn,corn,ArrowRight,"more, fewer",1,FEWER,"geo, icon, color",0,geo,2
20546548-48b8-44ae-8da5-f89a7a190947,1,2864,real,bar,6,mushroom,olive,olive,ArrowRight,"more, fewer",1,FEWER,"geo, icon, color",0,geo,3
20546548-48b8-44ae-8da5-f89a7a190947,1,2536,real,bar,4,mushroom,carrot,mushroom,ArrowLeft,"more, fewer",1,FEWER,"geo, icon, color",0,geo,4
20546548-48b8-44ae-8da5-f89a7a190947,1,2448,real,bar,2,celery,mushroom,celery,ArrowLeft,"more, fewer",1,FEWER,"geo, icon, color",0,geo,5
20546548-48b8-44ae-8da5-f89a7a190947,1,3335,real,bar,7,corn,mushroom,mushroom,ArrowRight,"more, fewer",1,FEWER,"geo, icon, color",0,geo,6
20546548-48b8-44ae-8da5-f89a7a190947,1,3208,real,bar,5,olive,celery,olive,ArrowLeft,"more, fewer",1,FEWER,"geo, icon, color",0,geo,7
20546548-48b8-44ae-8da5-f89a7a190947,1,3000,real,bar,8,celery,corn,celery,ArrowLeft,"more, fewer",1,FEWER,"geo, icon, color",0,geo,8
20546548-48b8-44ae-8da5-f89a7a190947,1,4623,real,bar,0,eggplant,corn,eggplant,ArrowLeft,"more, fewer",1,FEWER,"geo, icon, color",0,geo,9
