participant_id,answer_accuracy,elapsed_time,trial_type,condition,current_stimulus_index,target_left,target_right,correct_answer,key_pressed,questions_order,question_index,question_condition,textures_order_for_question,texture_index,texture_condition,trial_number
227e0675-ec8a-4f90-8403-db90f118111a,1,3119,training,bar,13,olive,carrot,carrot,ArrowRight,"more, fewer",0,MORE,"color, icon, geo",0,color,0
227e0675-ec8a-4f90-8403-db90f118111a,1,4250,training,bar,19,carrot,eggplant,carrot,ArrowLeft,"more, fewer",0,MORE,"color, icon, geo",0,color,1
227e0675-ec8a-4f90-8403-db90f118111a,1,3754,training,bar,25,corn,eggplant,corn,ArrowLeft,"more, fewer",0,MORE,"color, icon, geo",0,color,2
227e0675-ec8a-4f90-8403-db90f118111a,1,2337,real,bar,2,celery,mushroom,mushroom,ArrowRight,"more, fewer",0,MORE,"color, icon, geo",0,color,0
227e0675-ec8a-4f90-8403-db90f118111a,1,2364,real,bar,4,mushroom,carrot,carrot,ArrowRight,"more, fewer",0,MORE,"color, icon, geo",0,color,1
227e0675-ec8a-4f90-8403-db90f118111a,1,2105,real,bar,6,mushroom,olive,mushroom,ArrowLeft,"more, fewer",0,MORE,"color, icon, geo",0,color,2
227e0675-ec8a-4f90-8403-db90f118111a,1,4786,real,bar,3,corn,olive,corn,ArrowLeft,"more, fewer",0,MORE,"color, icon, geo",0,color,3
227e0675-ec8a-4f90-8403-db90f118111a,1,1683,real,bar,9,mushroom,corn,mushroom,ArrowLeft,"more, fewer",0,MORE,"color, icon, geo",0,color,4
227e0675-ec8a-4f90-8403-db90f118111a,1,2314,real,bar,1,corn,tomato,tomato,ArrowRight,"more, fewer",0,MORE,"color, icon, geo",0,color,5
227e0675-ec8a-4f90-8403-db90f118111a,1,2531,real,bar,8,celery,corn,corn,ArrowRight,"more, fewer",0,MORE,"color, icon, geo",0,color,6
227e0675-ec8a-4f90-8403-db90f118111a,1,2689,real,bar,5,olive,celery,celery,ArrowRight,"more, fewer",0,MORE,"color, icon, geo",0,color,7
227e0675-ec8a-4f90-8403-db90f118111a,1,2653,real,bar,0,eggplant,corn,corn,ArrowRight,"more, fewer",0,MORE,"color, icon, geo",0,color,8
227e0675-ec8a-4f90-8403-db90f118111a,1,1670,real,bar,7,corn,mushroom,corn,ArrowLeft,"more, fewer",0,MORE,"color, icon, geo",0,color,9
227e0675-ec8a-4f90-8403-db90f118111a,-1,5000,training,bar,12,celery,corn,corn,none,"more, fewer",0,MORE,"color, icon, geo",1,icon,0
227e0675-ec8a-4f90-8403-db90f118111a,1,1709,training,bar,4,celery,carrot,celery,ArrowLeft,"more, fewer",0,MORE,"color, icon, geo",1,icon,1
227e0675-ec8a-4f90-8403-db90f118111a,1,2284,training,bar,19,carrot,eggplant,carrot,ArrowLeft,"more, fewer",0,MORE,"color, icon, geo",1,icon,2
227e0675-ec8a-4f90-8403-db90f118111a,1,1314,real,bar,7,corn,mushroom,corn,ArrowLeft,"more, fewer",0,MORE,"color, icon, geo",1,icon,0
227e0675-ec8a-4f90-8403-db90f118111a,1,2019,real,bar,4,mushroom,carrot,carrot,ArrowRight,"more, fewer",0,MORE,"color, icon, geo",1,icon,1
227e0675-ec8a-4f90-8403-db90f118111a,1,2323,real,bar,2,celery,mushroom,mushroom,ArrowRight,"more, fewer",0,MORE,"color, icon, geo",1,icon,2
227e0675-ec8a-4f90-8403-db90f118111a,1,2417,real,bar,6,mushroom,olive,mushroom,ArrowLeft,"more, fewer",0,MORE,"color, icon, geo",1,icon,3
227e0675-ec8a-4f90-8403-db90f118111a,1,2112,real,bar,3,corn,olive,corn,ArrowLeft,"more, fewer",0,MORE,"color, icon, geo",1,icon,4
227e0675-ec8a-4f90-8403-db90f118111a,1,2392,real,bar,5,olive,celery,celery,ArrowRight,"more, fewer",0,MORE,"color, icon, geo",1,icon,5
227e0675-ec8a-4f90-8403-db90f118111a,1,3011,real,bar,0,eggplant,corn,corn,ArrowRight,"more, fewer",0,MORE,"color, icon, geo",1,icon,6
227e0675-ec8a-4f90-8403-db90f118111a,1,2246,real,bar,9,mushroom,corn,mushroom,ArrowLeft,"more, fewer",0,MORE,"color, icon, geo",1,icon,7
227e0675-ec8a-4f90-8403-db90f118111a,1,2523,real,bar,1,corn,tomato,tomato,ArrowRight,"more, fewer",0,MORE,"color, icon, geo",1,icon,8
227e0675-ec8a-4f90-8403-db90f118111a,1,3276,real,bar,8,celery,corn,corn,ArrowRight,"more, fewer",0,MORE,"color, icon, geo",1,icon,9
