participant_id,answer_accuracy,elapsed_time,trial_type,condition,current_stimulus_index,target_left,target_right,correct_answer,key_pressed,questions_order,question_index,question_condition,textures_order_for_question,texture_index,texture_condition,trial_number
278ae2bd-1ee7-4100-867c-8d0b6c0fb7ae,-1,5000,training,bar,5,olive,carrot,olive,none,"more, fewer",0,MORE,"geo, icon, color",0,geo,0
278ae2bd-1ee7-4100-867c-8d0b6c0fb7ae,1,2331,training,bar,9,mushroom,eggplant,mushroom,ArrowLeft,"more, fewer",0,MORE,"geo, icon, color",0,geo,1
278ae2bd-1ee7-4100-867c-8d0b6c0fb7ae,1,3168,training,bar,1,corn,mushroom,mushroom,ArrowRight,"more, fewer",0,MORE,"geo, icon, color",0,geo,2
278ae2bd-1ee7-4100-867c-8d0b6c0fb7ae,1,2193,real,bar,3,corn,olive,corn,ArrowLeft,"more, fewer",0,MORE,"geo, icon, color",0,geo,0
278ae2bd-1ee7-4100-867c-8d0b6c0fb7ae,1,1800,real,bar,5,olive,celery,celery,ArrowRight,"more, fewer",0,MORE,"geo, icon, color",0,geo,1
278ae2bd-1ee7-4100-867c-8d0b6c0fb7ae,1,2287,real,bar,4,mushroom,carrot,carrot,ArrowRight,"more, fewer",0,MORE,"geo, icon, color",0,geo,2
278ae2bd-1ee7-4100-867c-8d0b6c0fb7ae,1,2760,real,bar,0,eggplant,corn,corn,ArrowRight,"more, fewer",0,MORE,"geo, icon, color",0,geo,3
278ae2bd-1ee7-4100-867c-8d0b6c0fb7ae,1,4098,real,bar,9,mushroom,corn,mushroom,ArrowLeft,"more, fewer",0,MORE,"geo, icon, color",0,geo,4
278ae2bd-1ee7-4100-867c-8d0b6c0fb7ae,1,1793,real,bar,7,corn,mushroom,corn,ArrowLeft,"more, fewer",0,MORE,"geo, icon, color",0,geo,5
278ae2bd-1ee7-4100-867c-8d0b6c0fb7ae,1,2392,real,bar,2,celery,mushroom,mushroom,ArrowRight,"more, fewer",0,MORE,"geo, icon, color",0,geo,6
278ae2bd-1ee7-4100-867c-8d0b6c0fb7ae,1,3677,real,bar,8,celery,corn,corn,ArrowRight,"more, fewer",0,MORE,"geo, icon, color",0,geo,7
278ae2bd-1ee7-4100-867c-8d0b6c0fb7ae,1,2902,real,bar,6,mushroom,olive,mushroom,ArrowLeft,"more, fewer",0,MORE,"geo, icon, color",0,geo,8
278ae2bd-1ee7-4100-867c-8d0b6c0fb7ae,1,3250,real,bar,1,corn,tomato,tomato,ArrowRight,"more, fewer",0,MORE,"geo, icon, color",0,geo,9
278ae2bd-1ee7-4100-867c-8d0b6c0fb7ae,1,4732,training,bar,14,eggplant,tomato,tomato,ArrowRight,"more, fewer",0,MORE,"geo, icon, color",1,icon,0
278ae2bd-1ee7-4100-867c-8d0b6c0fb7ae,1,4130,training,bar,3,carrot,celery,celery,ArrowRight,"more, fewer",0,MORE,"geo, icon, color",1,icon,1
278ae2bd-1ee7-4100-867c-8d0b6c0fb7ae,-1,5000,training,bar,12,celery,corn,corn,none,"more, fewer",0,MORE,"geo, icon, color",1,icon,2
278ae2bd-1ee7-4100-867c-8d0b6c0fb7ae,1,1129,real,bar,7,corn,mushroom,corn,ArrowLeft,"more, fewer",0,MORE,"geo, icon, color",1,icon,0
278ae2bd-1ee7-4100-867c-8d0b6c0fb7ae,1,2407,real,bar,0,eggplant,corn,corn,ArrowRight,"more, fewer",0,MORE,"geo, icon, color",1,icon,1
278ae2bd-1ee7-4100-867c-8d0b6c0fb7ae,1,2374,real,bar,2,celery,mushroom,mushroom,ArrowRight,"more, fewer",0,MORE,"geo, icon, color",1,icon,2
278ae2bd-1ee7-4100-867c-8d0b6c0fb7ae,1,2181,real,bar,1,corn,tomato,tomato,ArrowRight,"more, fewer",0,MORE,"geo, icon, color",1,icon,3
278ae2bd-1ee7-4100-867c-8d0b6c0fb7ae,1,1703,real,bar,9,mushroom,corn,mushroom,ArrowLeft,"more, fewer",0,MORE,"geo, icon, color",1,icon,4
278ae2bd-1ee7-4100-867c-8d0b6c0fb7ae,0,923,real,bar,3,corn,olive,corn,ArrowRight,"more, fewer",0,MORE,"geo, icon, color",1,icon,5
278ae2bd-1ee7-4100-867c-8d0b6c0fb7ae,0,3012,real,bar,5,olive,celery,celery,ArrowLeft,"more, fewer",0,MORE,"geo, icon, color",1,icon,6
278ae2bd-1ee7-4100-867c-8d0b6c0fb7ae,1,1709,real,bar,8,celery,corn,corn,ArrowRight,"more, fewer",0,MORE,"geo, icon, color",1,icon,7
278ae2bd-1ee7-4100-867c-8d0b6c0fb7ae,1,3170,real,bar,4,mushroom,carrot,carrot,ArrowRight,"more, fewer",0,MORE,"geo, icon, color",1,icon,8
278ae2bd-1ee7-4100-867c-8d0b6c0fb7ae,1,2694,real,bar,6,mushroom,olive,mushroom,ArrowLeft,"more, fewer",0,MORE,"geo, icon, color",1,icon,9
278ae2bd-1ee7-4100-867c-8d0b6c0fb7ae,-1,5000,training,bar,5,olive,carrot,olive,none,"more, fewer",0,MORE,"geo, icon, color",2,color,0
278ae2bd-1ee7-4100-867c-8d0b6c0fb7ae,1,2857,training,bar,23,carrot,olive,olive,ArrowRight,"more, fewer",0,MORE,"geo, icon, color",2,color,1
278ae2bd-1ee7-4100-867c-8d0b6c0fb7ae,0,3851,training,bar,25,corn,eggplant,corn,ArrowRight,"more, fewer",0,MORE,"geo, icon, color",2,color,2
278ae2bd-1ee7-4100-867c-8d0b6c0fb7ae,1,2603,real,bar,5,olive,celery,celery,ArrowRight,"more, fewer",0,MORE,"geo, icon, color",2,color,0
278ae2bd-1ee7-4100-867c-8d0b6c0fb7ae,1,3749,real,bar,8,celery,corn,corn,ArrowRight,"more, fewer",0,MORE,"geo, icon, color",2,color,1
278ae2bd-1ee7-4100-867c-8d0b6c0fb7ae,1,3272,real,bar,7,corn,mushroom,corn,ArrowLeft,"more, fewer",0,MORE,"geo, icon, color",2,color,2
278ae2bd-1ee7-4100-867c-8d0b6c0fb7ae,1,3644,real,bar,9,mushroom,corn,mushroom,ArrowLeft,"more, fewer",0,MORE,"geo, icon, color",2,color,3
