participant_id,answer_accuracy,elapsed_time,trial_type,condition,current_stimulus_index,target_left,target_right,correct_answer,key_pressed,questions_order,question_index,question_condition,textures_order_for_question,texture_index,texture_condition,trial_number
2be8ebce-464c-4a11-b1fc-7ffd146b94ee,1,1944,training,pie,5,olive,carrot,olive,ArrowLeft,"more, fewer",0,MORE,"icon, geo, color",0,icon,0
2be8ebce-464c-4a11-b1fc-7ffd146b94ee,1,2130,training,pie,10,eggplant,celery,celery,ArrowRight,"more, fewer",0,MORE,"icon, geo, color",0,icon,1
2be8ebce-464c-4a11-b1fc-7ffd146b94ee,1,3412,training,pie,1,mushroom,corn,mushroom,ArrowLeft,"more, fewer",0,MORE,"icon, geo, color",0,icon,2
2be8ebce-464c-4a11-b1fc-7ffd146b94ee,0,2745,real,pie,5,celery,olive,celery,ArrowRight,"more, fewer",0,MORE,"icon, geo, color",0,icon,0
2be8ebce-464c-4a11-b1fc-7ffd146b94ee,1,2910,real,pie,4,carrot,mushroom,carrot,ArrowLeft,"more, fewer",0,MORE,"icon, geo, color",0,icon,1
2be8ebce-464c-4a11-b1fc-7ffd146b94ee,1,1590,real,pie,0,eggplant,corn,corn,ArrowRight,"more, fewer",0,MORE,"icon, geo, color",0,icon,2
2be8ebce-464c-4a11-b1fc-7ffd146b94ee,1,2128,real,pie,8,corn,celery,corn,ArrowLeft,"more, fewer",0,MORE,"icon, geo, color",0,icon,3
2be8ebce-464c-4a11-b1fc-7ffd146b94ee,1,2522,real,pie,7,mushroom,corn,corn,ArrowRight,"more, fewer",0,MORE,"icon, geo, color",0,icon,4
2be8ebce-464c-4a11-b1fc-7ffd146b94ee,1,2920,real,pie,1,tomato,corn,tomato,ArrowLeft,"more, fewer",0,MORE,"icon, geo, color",0,icon,5
2be8ebce-464c-4a11-b1fc-7ffd146b94ee,1,3246,real,pie,3,olive,corn,corn,ArrowRight,"more, fewer",0,MORE,"icon, geo, color",0,icon,6
2be8ebce-464c-4a11-b1fc-7ffd146b94ee,1,3510,real,pie,9,corn,mushroom,mushroom,ArrowRight,"more, fewer",0,MORE,"icon, geo, color",0,icon,7
2be8ebce-464c-4a11-b1fc-7ffd146b94ee,1,2840,real,pie,6,olive,mushroom,mushroom,ArrowRight,"more, fewer",0,MORE,"icon, geo, color",0,icon,8
2be8ebce-464c-4a11-b1fc-7ffd146b94ee,1,3930,real,pie,2,mushroom,celery,mushroom,ArrowLeft,"more, fewer",0,MORE,"icon, geo, color",0,icon,9
2be8ebce-464c-4a11-b1fc-7ffd146b94ee,1,3249,training,pie,14,tomato,eggplant,tomato,ArrowLeft,"more, fewer",0,MORE,"icon, geo, color",1,geo,0
2be8ebce-464c-4a11-b1fc-7ffd146b94ee,1,1478,training,pie,20,tomato,eggplant,eggplant,ArrowRight,"more, fewer",0,MORE,"icon, geo, color",1,geo,1
2be8ebce-464c-4a11-b1fc-7ffd146b94ee,1,1823,training,pie,2,mushroom,tomato,mushroom,ArrowLeft,"more, fewer",0,MORE,"icon, geo, color",1,geo,2
2be8ebce-464c-4a11-b1fc-7ffd146b94ee,1,2871,real,pie,9,corn,mushroom,mushroom,ArrowRight,"more, fewer",0,MORE,"icon, geo, color",1,geo,0
2be8ebce-464c-4a11-b1fc-7ffd146b94ee,1,3577,real,pie,4,carrot,mushroom,carrot,ArrowLeft,"more, fewer",0,MORE,"icon, geo, color",1,geo,1
2be8ebce-464c-4a11-b1fc-7ffd146b94ee,1,2087,real,pie,6,olive,mushroom,mushroom,ArrowRight,"more, fewer",0,MORE,"icon, geo, color",1,geo,2
2be8ebce-464c-4a11-b1fc-7ffd146b94ee,1,2231,real,pie,3,olive,corn,corn,ArrowRight,"more, fewer",0,MORE,"icon, geo, color",1,geo,3
2be8ebce-464c-4a11-b1fc-7ffd146b94ee,1,2962,real,pie,2,mushroom,celery,mushroom,ArrowLeft,"more, fewer",0,MORE,"icon, geo, color",1,geo,4
2be8ebce-464c-4a11-b1fc-7ffd146b94ee,1,1811,real,pie,0,eggplant,corn,corn,ArrowRight,"more, fewer",0,MORE,"icon, geo, color",1,geo,5
2be8ebce-464c-4a11-b1fc-7ffd146b94ee,1,1094,real,pie,5,celery,olive,celery,ArrowLeft,"more, fewer",0,MORE,"icon, geo, color",1,geo,6
2be8ebce-464c-4a11-b1fc-7ffd146b94ee,1,1230,real,pie,8,corn,celery,corn,ArrowLeft,"more, fewer",0,MORE,"icon, geo, color",1,geo,7
2be8ebce-464c-4a11-b1fc-7ffd146b94ee,1,1647,real,pie,1,tomato,corn,tomato,ArrowLeft,"more, fewer",0,MORE,"icon, geo, color",1,geo,8
2be8ebce-464c-4a11-b1fc-7ffd146b94ee,1,2593,real,pie,7,mushroom,corn,corn,ArrowRight,"more, fewer",0,MORE,"icon, geo, color",1,geo,9
2be8ebce-464c-4a11-b1fc-7ffd146b94ee,1,2223,training,pie,13,carrot,olive,carrot,ArrowLeft,"more, fewer",0,MORE,"icon, geo, color",2,color,0
2be8ebce-464c-4a11-b1fc-7ffd146b94ee,1,1587,training,pie,26,olive,mushroom,olive,ArrowLeft,"more, fewer",0,MORE,"icon, geo, color",2,color,1
2be8ebce-464c-4a11-b1fc-7ffd146b94ee,1,3391,training,pie,0,carrot,corn,carrot,ArrowLeft,"more, fewer",0,MORE,"icon, geo, color",2,color,2
2be8ebce-464c-4a11-b1fc-7ffd146b94ee,1,2266,real,pie,5,celery,olive,celery,ArrowLeft,"more, fewer",0,MORE,"icon, geo, color",2,color,0
2be8ebce-464c-4a11-b1fc-7ffd146b94ee,1,1849,real,pie,8,corn,celery,corn,ArrowLeft,"more, fewer",0,MORE,"icon, geo, color",2,color,1
2be8ebce-464c-4a11-b1fc-7ffd146b94ee,1,3026,real,pie,3,olive,corn,corn,ArrowRight,"more, fewer",0,MORE,"icon, geo, color",2,color,2
2be8ebce-464c-4a11-b1fc-7ffd146b94ee,1,2183,real,pie,0,eggplant,corn,corn,ArrowRight,"more, fewer",0,MORE,"icon, geo, color",2,color,3
2be8ebce-464c-4a11-b1fc-7ffd146b94ee,1,3459,real,pie,9,corn,mushroom,mushroom,ArrowRight,"more, fewer",0,MORE,"icon, geo, color",2,color,4
2be8ebce-464c-4a11-b1fc-7ffd146b94ee,1,3035,real,pie,4,carrot,mushroom,carrot,ArrowLeft,"more, fewer",0,MORE,"icon, geo, color",2,color,5
2be8ebce-464c-4a11-b1fc-7ffd146b94ee,1,2250,real,pie,7,mushroom,corn,corn,ArrowRight,"more, fewer",0,MORE,"icon, geo, color",2,color,6
2be8ebce-464c-4a11-b1fc-7ffd146b94ee,1,2660,real,pie,6,olive,mushroom,mushroom,ArrowRight,"more, fewer",0,MORE,"icon, geo, color",2,color,7
2be8ebce-464c-4a11-b1fc-7ffd146b94ee,1,2515,real,pie,2,mushroom,celery,mushroom,ArrowLeft,"more, fewer",0,MORE,"icon, geo, color",2,color,8
2be8ebce-464c-4a11-b1fc-7ffd146b94ee,1,2482,real,pie,1,tomato,corn,tomato,ArrowLeft,"more, fewer",0,MORE,"icon, geo, color",2,color,9
2be8ebce-464c-4a11-b1fc-7ffd146b94ee,1,1826,training,pie,10,eggplant,celery,eggplant,ArrowLeft,"more, fewer",1,FEWER,"geo, color, icon",0,geo,0
2be8ebce-464c-4a11-b1fc-7ffd146b94ee,1,1521,training,pie,18,eggplant,corn,corn,ArrowRight,"more, fewer",1,FEWER,"geo, color, icon",0,geo,1
2be8ebce-464c-4a11-b1fc-7ffd146b94ee,1,2722,training,pie,13,carrot,olive,olive,ArrowRight,"more, fewer",1,FEWER,"geo, color, icon",0,geo,2
2be8ebce-464c-4a11-b1fc-7ffd146b94ee,1,3245,real,pie,9,corn,mushroom,corn,ArrowLeft,"more, fewer",1,FEWER,"geo, color, icon",0,geo,0
2be8ebce-464c-4a11-b1fc-7ffd146b94ee,1,2288,real,pie,4,carrot,mushroom,mushroom,ArrowRight,"more, fewer",1,FEWER,"geo, color, icon",0,geo,1
2be8ebce-464c-4a11-b1fc-7ffd146b94ee,1,3005,real,pie,6,olive,mushroom,olive,ArrowLeft,"more, fewer",1,FEWER,"geo, color, icon",0,geo,2
2be8ebce-464c-4a11-b1fc-7ffd146b94ee,1,2247,real,pie,3,olive,corn,olive,ArrowLeft,"more, fewer",1,FEWER,"geo, color, icon",0,geo,3
2be8ebce-464c-4a11-b1fc-7ffd146b94ee,1,2427,real,pie,2,mushroom,celery,celery,ArrowRight,"more, fewer",1,FEWER,"geo, color, icon",0,geo,4
2be8ebce-464c-4a11-b1fc-7ffd146b94ee,1,2528,real,pie,0,eggplant,corn,eggplant,ArrowLeft,"more, fewer",1,FEWER,"geo, color, icon",0,geo,5
2be8ebce-464c-4a11-b1fc-7ffd146b94ee,1,2986,real,pie,5,celery,olive,olive,ArrowRight,"more, fewer",1,FEWER,"geo, color, icon",0,geo,6
2be8ebce-464c-4a11-b1fc-7ffd146b94ee,1,1533,real,pie,8,corn,celery,celery,ArrowRight,"more, fewer",1,FEWER,"geo, color, icon",0,geo,7
2be8ebce-464c-4a11-b1fc-7ffd146b94ee,1,2734,real,pie,1,tomato,corn,corn,ArrowRight,"more, fewer",1,FEWER,"geo, color, icon",0,geo,8
2be8ebce-464c-4a11-b1fc-7ffd146b94ee,1,3738,real,pie,7,mushroom,corn,mushroom,ArrowLeft,"more, fewer",1,FEWER,"geo, color, icon",0,geo,9
2be8ebce-464c-4a11-b1fc-7ffd146b94ee,1,2363,training,pie,9,eggplant,mushroom,eggplant,ArrowLeft,"more, fewer",1,FEWER,"geo, color, icon",1,color,0
2be8ebce-464c-4a11-b1fc-7ffd146b94ee,1,2124,training,pie,22,mushroom,corn,mushroom,ArrowLeft,"more, fewer",1,FEWER,"geo, color, icon",1,color,1
2be8ebce-464c-4a11-b1fc-7ffd146b94ee,1,2279,training,pie,16,olive,mushroom,olive,ArrowLeft,"more, fewer",1,FEWER,"geo, color, icon",1,color,2
2be8ebce-464c-4a11-b1fc-7ffd146b94ee,1,2067,real,pie,5,celery,olive,olive,ArrowRight,"more, fewer",1,FEWER,"geo, color, icon",1,color,0
2be8ebce-464c-4a11-b1fc-7ffd146b94ee,1,2894,real,pie,8,corn,celery,celery,ArrowRight,"more, fewer",1,FEWER,"geo, color, icon",1,color,1
2be8ebce-464c-4a11-b1fc-7ffd146b94ee,1,1973,real,pie,3,olive,corn,olive,ArrowLeft,"more, fewer",1,FEWER,"geo, color, icon",1,color,2
2be8ebce-464c-4a11-b1fc-7ffd146b94ee,1,1908,real,pie,0,eggplant,corn,eggplant,ArrowLeft,"more, fewer",1,FEWER,"geo, color, icon",1,color,3
2be8ebce-464c-4a11-b1fc-7ffd146b94ee,1,2259,real,pie,9,corn,mushroom,corn,ArrowLeft,"more, fewer",1,FEWER,"geo, color, icon",1,color,4
2be8ebce-464c-4a11-b1fc-7ffd146b94ee,1,2616,real,pie,4,carrot,mushroom,mushroom,ArrowRight,"more, fewer",1,FEWER,"geo, color, icon",1,color,5
2be8ebce-464c-4a11-b1fc-7ffd146b94ee,1,2910,real,pie,7,mushroom,corn,mushroom,ArrowLeft,"more, fewer",1,FEWER,"geo, color, icon",1,color,6
2be8ebce-464c-4a11-b1fc-7ffd146b94ee,1,2490,real,pie,6,olive,mushroom,olive,ArrowLeft,"more, fewer",1,FEWER,"geo, color, icon",1,color,7
2be8ebce-464c-4a11-b1fc-7ffd146b94ee,1,2462,real,pie,2,mushroom,celery,celery,ArrowRight,"more, fewer",1,FEWER,"geo, color, icon",1,color,8
2be8ebce-464c-4a11-b1fc-7ffd146b94ee,1,2372,real,pie,1,tomato,corn,corn,ArrowRight,"more, fewer",1,FEWER,"geo, color, icon",1,color,9
2be8ebce-464c-4a11-b1fc-7ffd146b94ee,-1,5000,training,pie,3,celery,carrot,carrot,none,"more, fewer",1,FEWER,"geo, color, icon",2,icon,0
2be8ebce-464c-4a11-b1fc-7ffd146b94ee,1,2649,training,pie,3,celery,carrot,carrot,ArrowRight,"more, fewer",1,FEWER,"geo, color, icon",2,icon,1
2be8ebce-464c-4a11-b1fc-7ffd146b94ee,1,1973,training,pie,20,tomato,eggplant,tomato,ArrowLeft,"more, fewer",1,FEWER,"geo, color, icon",2,icon,2
2be8ebce-464c-4a11-b1fc-7ffd146b94ee,1,4162,real,pie,5,celery,olive,olive,ArrowRight,"more, fewer",1,FEWER,"geo, color, icon",2,icon,0
2be8ebce-464c-4a11-b1fc-7ffd146b94ee,1,2572,real,pie,4,carrot,mushroom,mushroom,ArrowRight,"more, fewer",1,FEWER,"geo, color, icon",2,icon,1
2be8ebce-464c-4a11-b1fc-7ffd146b94ee,1,1649,real,pie,0,eggplant,corn,eggplant,ArrowLeft,"more, fewer",1,FEWER,"geo, color, icon",2,icon,2
2be8ebce-464c-4a11-b1fc-7ffd146b94ee,1,2378,real,pie,8,corn,celery,celery,ArrowRight,"more, fewer",1,FEWER,"geo, color, icon",2,icon,3
2be8ebce-464c-4a11-b1fc-7ffd146b94ee,1,1810,real,pie,7,mushroom,corn,mushroom,ArrowLeft,"more, fewer",1,FEWER,"geo, color, icon",2,icon,4
2be8ebce-464c-4a11-b1fc-7ffd146b94ee,1,1526,real,pie,1,tomato,corn,corn,ArrowRight,"more, fewer",1,FEWER,"geo, color, icon",2,icon,5
