participant_id,answer_accuracy,elapsed_time,trial_type,condition,current_stimulus_index,target_left,target_right,correct_answer,key_pressed,questions_order,question_index,question_condition,textures_order_for_question,texture_index,texture_condition,trial_number
31955294-3b9f-48e1-9490-deb1a5f40565,1,1966,training,bar,13,olive,carrot,carrot,ArrowRight,"more, fewer",0,MORE,"color, geo, icon",0,color,0
31955294-3b9f-48e1-9490-deb1a5f40565,1,2906,training,bar,21,mushroom,eggplant,mushroom,ArrowLeft,"more, fewer",0,MORE,"color, geo, icon",0,color,1
31955294-3b9f-48e1-9490-deb1a5f40565,1,1387,training,bar,1,corn,mushroom,mushroom,ArrowRight,"more, fewer",0,MORE,"color, geo, icon",0,color,2
31955294-3b9f-48e1-9490-deb1a5f40565,1,1433,real,bar,9,mushroom,corn,mushroom,ArrowLeft,"more, fewer",0,MORE,"color, geo, icon",0,color,0
31955294-3b9f-48e1-9490-deb1a5f40565,1,1671,real,bar,4,mushroom,carrot,carrot,ArrowRight,"more, fewer",0,MORE,"color, geo, icon",0,color,1
31955294-3b9f-48e1-9490-deb1a5f40565,1,1130,real,bar,0,eggplant,corn,corn,ArrowRight,"more, fewer",0,MORE,"color, geo, icon",0,color,2
31955294-3b9f-48e1-9490-deb1a5f40565,1,1392,real,bar,1,corn,tomato,tomato,ArrowRight,"more, fewer",0,MORE,"color, geo, icon",0,color,3
31955294-3b9f-48e1-9490-deb1a5f40565,1,1133,real,bar,2,celery,mushroom,mushroom,ArrowRight,"more, fewer",0,MORE,"color, geo, icon",0,color,4
31955294-3b9f-48e1-9490-deb1a5f40565,0,1331,real,bar,8,celery,corn,corn,ArrowLeft,"more, fewer",0,MORE,"color, geo, icon",0,color,5
31955294-3b9f-48e1-9490-deb1a5f40565,1,1570,real,bar,3,corn,olive,corn,ArrowLeft,"more, fewer",0,MORE,"color, geo, icon",0,color,6
31955294-3b9f-48e1-9490-deb1a5f40565,1,1528,real,bar,6,mushroom,olive,mushroom,ArrowLeft,"more, fewer",0,MORE,"color, geo, icon",0,color,7
31955294-3b9f-48e1-9490-deb1a5f40565,1,2227,real,bar,5,olive,celery,celery,ArrowRight,"more, fewer",0,MORE,"color, geo, icon",0,color,8
31955294-3b9f-48e1-9490-deb1a5f40565,1,889,real,bar,7,corn,mushroom,corn,ArrowLeft,"more, fewer",0,MORE,"color, geo, icon",0,color,9
31955294-3b9f-48e1-9490-deb1a5f40565,1,1442,training,bar,7,eggplant,celery,celery,ArrowRight,"more, fewer",0,MORE,"color, geo, icon",1,geo,0
31955294-3b9f-48e1-9490-deb1a5f40565,1,1557,training,bar,9,mushroom,eggplant,mushroom,ArrowLeft,"more, fewer",0,MORE,"color, geo, icon",1,geo,1
31955294-3b9f-48e1-9490-deb1a5f40565,1,1281,training,bar,19,carrot,eggplant,carrot,ArrowLeft,"more, fewer",0,MORE,"color, geo, icon",1,geo,2
31955294-3b9f-48e1-9490-deb1a5f40565,1,1133,real,bar,9,mushroom,corn,mushroom,ArrowLeft,"more, fewer",0,MORE,"color, geo, icon",1,geo,0
31955294-3b9f-48e1-9490-deb1a5f40565,1,1651,real,bar,1,corn,tomato,tomato,ArrowRight,"more, fewer",0,MORE,"color, geo, icon",1,geo,1
31955294-3b9f-48e1-9490-deb1a5f40565,1,1339,real,bar,4,mushroom,carrot,carrot,ArrowRight,"more, fewer",0,MORE,"color, geo, icon",1,geo,2
31955294-3b9f-48e1-9490-deb1a5f40565,1,1697,real,bar,5,olive,celery,celery,ArrowRight,"more, fewer",0,MORE,"color, geo, icon",1,geo,3
31955294-3b9f-48e1-9490-deb1a5f40565,1,1407,real,bar,7,corn,mushroom,corn,ArrowLeft,"more, fewer",0,MORE,"color, geo, icon",1,geo,4
31955294-3b9f-48e1-9490-deb1a5f40565,1,1598,real,bar,6,mushroom,olive,mushroom,ArrowLeft,"more, fewer",0,MORE,"color, geo, icon",1,geo,5
31955294-3b9f-48e1-9490-deb1a5f40565,0,1609,real,bar,8,celery,corn,corn,ArrowLeft,"more, fewer",0,MORE,"color, geo, icon",1,geo,6
31955294-3b9f-48e1-9490-deb1a5f40565,1,1415,real,bar,0,eggplant,corn,corn,ArrowRight,"more, fewer",0,MORE,"color, geo, icon",1,geo,7
31955294-3b9f-48e1-9490-deb1a5f40565,1,1401,real,bar,3,corn,olive,corn,ArrowLeft,"more, fewer",0,MORE,"color, geo, icon",1,geo,8
31955294-3b9f-48e1-9490-deb1a5f40565,1,1897,real,bar,2,celery,mushroom,mushroom,ArrowRight,"more, fewer",0,MORE,"color, geo, icon",1,geo,9
31955294-3b9f-48e1-9490-deb1a5f40565,1,1763,training,bar,12,celery,corn,corn,ArrowRight,"more, fewer",0,MORE,"color, geo, icon",2,icon,0
31955294-3b9f-48e1-9490-deb1a5f40565,1,1839,training,bar,26,mushroom,olive,olive,ArrowRight,"more, fewer",0,MORE,"color, geo, icon",2,icon,1
31955294-3b9f-48e1-9490-deb1a5f40565,1,1364,training,bar,28,mushroom,celery,mushroom,ArrowLeft,"more, fewer",0,MORE,"color, geo, icon",2,icon,2
31955294-3b9f-48e1-9490-deb1a5f40565,1,1591,real,bar,5,olive,celery,celery,ArrowRight,"more, fewer",0,MORE,"color, geo, icon",2,icon,0
31955294-3b9f-48e1-9490-deb1a5f40565,1,1569,real,bar,7,corn,mushroom,corn,ArrowLeft,"more, fewer",0,MORE,"color, geo, icon",2,icon,1
31955294-3b9f-48e1-9490-deb1a5f40565,0,1738,real,bar,4,mushroom,carrot,carrot,ArrowLeft,"more, fewer",0,MORE,"color, geo, icon",2,icon,2
31955294-3b9f-48e1-9490-deb1a5f40565,1,1291,real,bar,9,mushroom,corn,mushroom,ArrowLeft,"more, fewer",0,MORE,"color, geo, icon",2,icon,3
31955294-3b9f-48e1-9490-deb1a5f40565,1,1443,real,bar,1,corn,tomato,tomato,ArrowRight,"more, fewer",0,MORE,"color, geo, icon",2,icon,4
31955294-3b9f-48e1-9490-deb1a5f40565,0,1588,real,bar,8,celery,corn,corn,ArrowLeft,"more, fewer",0,MORE,"color, geo, icon",2,icon,5
31955294-3b9f-48e1-9490-deb1a5f40565,1,1381,real,bar,3,corn,olive,corn,ArrowLeft,"more, fewer",0,MORE,"color, geo, icon",2,icon,6
31955294-3b9f-48e1-9490-deb1a5f40565,1,1966,real,bar,2,celery,mushroom,mushroom,ArrowRight,"more, fewer",0,MORE,"color, geo, icon",2,icon,7
31955294-3b9f-48e1-9490-deb1a5f40565,1,1419,real,bar,6,mushroom,olive,mushroom,ArrowLeft,"more, fewer",0,MORE,"color, geo, icon",2,icon,8
31955294-3b9f-48e1-9490-deb1a5f40565,1,3130,real,bar,0,eggplant,corn,corn,ArrowRight,"more, fewer",0,MORE,"color, geo, icon",2,icon,9
31955294-3b9f-48e1-9490-deb1a5f40565,1,1732,training,bar,20,eggplant,tomato,tomato,ArrowRight,"more, fewer",1,FEWER,"color, icon, geo",0,color,0
31955294-3b9f-48e1-9490-deb1a5f40565,1,1503,training,bar,20,eggplant,tomato,tomato,ArrowRight,"more, fewer",1,FEWER,"color, icon, geo",0,color,1
31955294-3b9f-48e1-9490-deb1a5f40565,1,1285,training,bar,20,eggplant,tomato,tomato,ArrowRight,"more, fewer",1,FEWER,"color, icon, geo",0,color,2
31955294-3b9f-48e1-9490-deb1a5f40565,1,995,real,bar,9,mushroom,corn,corn,ArrowRight,"more, fewer",1,FEWER,"color, icon, geo",0,color,0
31955294-3b9f-48e1-9490-deb1a5f40565,1,1544,real,bar,4,mushroom,carrot,mushroom,ArrowLeft,"more, fewer",1,FEWER,"color, icon, geo",0,color,1
31955294-3b9f-48e1-9490-deb1a5f40565,1,1862,real,bar,0,eggplant,corn,eggplant,ArrowLeft,"more, fewer",1,FEWER,"color, icon, geo",0,color,2
31955294-3b9f-48e1-9490-deb1a5f40565,1,1645,real,bar,1,corn,tomato,corn,ArrowLeft,"more, fewer",1,FEWER,"color, icon, geo",0,color,3
31955294-3b9f-48e1-9490-deb1a5f40565,1,1408,real,bar,2,celery,mushroom,celery,ArrowLeft,"more, fewer",1,FEWER,"color, icon, geo",0,color,4
31955294-3b9f-48e1-9490-deb1a5f40565,1,1671,real,bar,8,celery,corn,celery,ArrowLeft,"more, fewer",1,FEWER,"color, icon, geo",0,color,5
31955294-3b9f-48e1-9490-deb1a5f40565,1,3122,real,bar,3,corn,olive,olive,ArrowRight,"more, fewer",1,FEWER,"color, icon, geo",0,color,6
31955294-3b9f-48e1-9490-deb1a5f40565,1,1826,real,bar,6,mushroom,olive,olive,ArrowRight,"more, fewer",1,FEWER,"color, icon, geo",0,color,7
31955294-3b9f-48e1-9490-deb1a5f40565,1,1789,real,bar,5,olive,celery,olive,ArrowLeft,"more, fewer",1,FEWER,"color, icon, geo",0,color,8
31955294-3b9f-48e1-9490-deb1a5f40565,1,1538,real,bar,7,corn,mushroom,mushroom,ArrowRight,"more, fewer",1,FEWER,"color, icon, geo",0,color,9
31955294-3b9f-48e1-9490-deb1a5f40565,1,2910,training,bar,11,tomato,carrot,carrot,ArrowRight,"more, fewer",1,FEWER,"color, icon, geo",1,icon,0
31955294-3b9f-48e1-9490-deb1a5f40565,1,2610,training,bar,8,olive,eggplant,olive,ArrowLeft,"more, fewer",1,FEWER,"color, icon, geo",1,icon,1
31955294-3b9f-48e1-9490-deb1a5f40565,1,1675,training,bar,8,olive,eggplant,olive,ArrowLeft,"more, fewer",1,FEWER,"color, icon, geo",1,icon,2
31955294-3b9f-48e1-9490-deb1a5f40565,1,1652,real,bar,5,olive,celery,olive,ArrowLeft,"more, fewer",1,FEWER,"color, icon, geo",1,icon,0
31955294-3b9f-48e1-9490-deb1a5f40565,1,2363,real,bar,7,corn,mushroom,mushroom,ArrowRight,"more, fewer",1,FEWER,"color, icon, geo",1,icon,1
31955294-3b9f-48e1-9490-deb1a5f40565,1,1718,real,bar,4,mushroom,carrot,mushroom,ArrowLeft,"more, fewer",1,FEWER,"color, icon, geo",1,icon,2
31955294-3b9f-48e1-9490-deb1a5f40565,1,1228,real,bar,9,mushroom,corn,corn,ArrowRight,"more, fewer",1,FEWER,"color, icon, geo",1,icon,3
31955294-3b9f-48e1-9490-deb1a5f40565,1,1522,real,bar,1,corn,tomato,corn,ArrowLeft,"more, fewer",1,FEWER,"color, icon, geo",1,icon,4
31955294-3b9f-48e1-9490-deb1a5f40565,1,1978,real,bar,8,celery,corn,celery,ArrowLeft,"more, fewer",1,FEWER,"color, icon, geo",1,icon,5
31955294-3b9f-48e1-9490-deb1a5f40565,1,1535,real,bar,3,corn,olive,olive,ArrowRight,"more, fewer",1,FEWER,"color, icon, geo",1,icon,6
31955294-3b9f-48e1-9490-deb1a5f40565,1,1521,real,bar,2,celery,mushroom,celery,ArrowLeft,"more, fewer",1,FEWER,"color, icon, geo",1,icon,7
31955294-3b9f-48e1-9490-deb1a5f40565,1,1589,real,bar,6,mushroom,olive,olive,ArrowRight,"more, fewer",1,FEWER,"color, icon, geo",1,icon,8
31955294-3b9f-48e1-9490-deb1a5f40565,1,2412,real,bar,0,eggplant,corn,eggplant,ArrowLeft,"more, fewer",1,FEWER,"color, icon, geo",1,icon,9
31955294-3b9f-48e1-9490-deb1a5f40565,1,1785,training,bar,22,corn,mushroom,mushroom,ArrowRight,"more, fewer",1,FEWER,"color, icon, geo",2,geo,0
31955294-3b9f-48e1-9490-deb1a5f40565,1,1541,training,bar,26,mushroom,olive,mushroom,ArrowLeft,"more, fewer",1,FEWER,"color, icon, geo",2,geo,1
31955294-3b9f-48e1-9490-deb1a5f40565,1,1348,training,bar,21,mushroom,eggplant,eggplant,ArrowRight,"more, fewer",1,FEWER,"color, icon, geo",2,geo,2
31955294-3b9f-48e1-9490-deb1a5f40565,1,1040,real,bar,9,mushroom,corn,corn,ArrowRight,"more, fewer",1,FEWER,"color, icon, geo",2,geo,0
31955294-3b9f-48e1-9490-deb1a5f40565,1,1571,real,bar,1,corn,tomato,corn,ArrowLeft,"more, fewer",1,FEWER,"color, icon, geo",2,geo,1
31955294-3b9f-48e1-9490-deb1a5f40565,1,1305,real,bar,4,mushroom,carrot,mushroom,ArrowLeft,"more, fewer",1,FEWER,"color, icon, geo",2,geo,2
31955294-3b9f-48e1-9490-deb1a5f40565,1,1555,real,bar,5,olive,celery,olive,ArrowLeft,"more, fewer",1,FEWER,"color, icon, geo",2,geo,3
31955294-3b9f-48e1-9490-deb1a5f40565,1,1229,real,bar,7,corn,mushroom,mushroom,ArrowRight,"more, fewer",1,FEWER,"color, icon, geo",2,geo,4
31955294-3b9f-48e1-9490-deb1a5f40565,1,1779,real,bar,6,mushroom,olive,olive,ArrowRight,"more, fewer",1,FEWER,"color, icon, geo",2,geo,5
31955294-3b9f-48e1-9490-deb1a5f40565,1,1915,real,bar,8,celery,corn,celery,ArrowLeft,"more, fewer",1,FEWER,"color, icon, geo",2,geo,6
31955294-3b9f-48e1-9490-deb1a5f40565,1,1505,real,bar,0,eggplant,corn,eggplant,ArrowLeft,"more, fewer",1,FEWER,"color, icon, geo",2,geo,7
31955294-3b9f-48e1-9490-deb1a5f40565,1,1265,real,bar,3,corn,olive,olive,ArrowRight,"more, fewer",1,FEWER,"color, icon, geo",2,geo,8
31955294-3b9f-48e1-9490-deb1a5f40565,1,1521,real,bar,2,celery,mushroom,celery,ArrowLeft,"more, fewer",1,FEWER,"color, icon, geo",2,geo,9
