participant_id,answer_accuracy,elapsed_time,trial_type,condition,current_stimulus_index,target_left,target_right,correct_answer,key_pressed,questions_order,question_index,question_condition,textures_order_for_question,texture_index,texture_condition,trial_number
3a0eddbd-3e77-4de5-bd2e-68a9f1f60b88,1,2367,training,bar,25,corn,eggplant,corn,ArrowLeft,"more, fewer",0,MORE,"icon, geo, color",0,icon,0
3a0eddbd-3e77-4de5-bd2e-68a9f1f60b88,1,2552,training,bar,3,carrot,celery,celery,ArrowRight,"more, fewer",0,MORE,"icon, geo, color",0,icon,1
3a0eddbd-3e77-4de5-bd2e-68a9f1f60b88,1,2240,training,bar,16,mushroom,olive,mushroom,ArrowLeft,"more, fewer",0,MORE,"icon, geo, color",0,icon,2
3a0eddbd-3e77-4de5-bd2e-68a9f1f60b88,1,3426,real,bar,9,mushroom,corn,mushroom,ArrowLeft,"more, fewer",0,MORE,"icon, geo, color",0,icon,0
3a0eddbd-3e77-4de5-bd2e-68a9f1f60b88,1,3085,real,bar,1,corn,tomato,tomato,ArrowRight,"more, fewer",0,MORE,"icon, geo, color",0,icon,1
3a0eddbd-3e77-4de5-bd2e-68a9f1f60b88,0,3252,real,bar,0,eggplant,corn,corn,ArrowLeft,"more, fewer",0,MORE,"icon, geo, color",0,icon,2
3a0eddbd-3e77-4de5-bd2e-68a9f1f60b88,1,2165,real,bar,3,corn,olive,corn,ArrowLeft,"more, fewer",0,MORE,"icon, geo, color",0,icon,3
3a0eddbd-3e77-4de5-bd2e-68a9f1f60b88,-1,5000,real,bar,8,celery,corn,corn,none,"more, fewer",0,MORE,"icon, geo, color",0,icon,4
3a0eddbd-3e77-4de5-bd2e-68a9f1f60b88,1,3167,real,bar,4,mushroom,carrot,carrot,ArrowRight,"more, fewer",0,MORE,"icon, geo, color",0,icon,5
3a0eddbd-3e77-4de5-bd2e-68a9f1f60b88,1,4272,real,bar,7,corn,mushroom,corn,ArrowLeft,"more, fewer",0,MORE,"icon, geo, color",0,icon,6
3a0eddbd-3e77-4de5-bd2e-68a9f1f60b88,1,2369,real,bar,5,olive,celery,celery,ArrowRight,"more, fewer",0,MORE,"icon, geo, color",0,icon,7
3a0eddbd-3e77-4de5-bd2e-68a9f1f60b88,1,2310,real,bar,2,celery,mushroom,mushroom,ArrowRight,"more, fewer",0,MORE,"icon, geo, color",0,icon,8
3a0eddbd-3e77-4de5-bd2e-68a9f1f60b88,1,2418,real,bar,6,mushroom,olive,mushroom,ArrowLeft,"more, fewer",0,MORE,"icon, geo, color",0,icon,9
