participant_id,answer_accuracy,elapsed_time,trial_type,condition,current_stimulus_index,target_left,target_right,correct_answer,key_pressed,questions_order,question_index,question_condition,textures_order_for_question,texture_index,texture_condition,trial_number
3cb34125-4123-450b-af77-3bbd0602fe64,0,4468,training,bar,22,corn,mushroom,mushroom,ArrowLeft,"fewer, more",0,FEWER,"icon, color, geo",0,icon,0
3cb34125-4123-450b-af77-3bbd0602fe64,1,1143,training,bar,22,corn,mushroom,mushroom,ArrowRight,"fewer, more",0,FEWER,"icon, color, geo",0,icon,1
3cb34125-4123-450b-af77-3bbd0602fe64,1,4080,training,bar,1,corn,mushroom,corn,ArrowLeft,"fewer, more",0,FEWER,"icon, color, geo",0,icon,2
3cb34125-4123-450b-af77-3bbd0602fe64,1,2111,real,bar,2,celery,mushroom,celery,ArrowLeft,"fewer, more",0,FEWER,"icon, color, geo",0,icon,0
3cb34125-4123-450b-af77-3bbd0602fe64,1,2205,real,bar,1,corn,tomato,corn,ArrowLeft,"fewer, more",0,FEWER,"icon, color, geo",0,icon,1
3cb34125-4123-450b-af77-3bbd0602fe64,1,3041,real,bar,8,celery,corn,celery,ArrowLeft,"fewer, more",0,FEWER,"icon, color, geo",0,icon,2
3cb34125-4123-450b-af77-3bbd0602fe64,1,1830,real,bar,3,corn,olive,olive,ArrowRight,"fewer, more",0,FEWER,"icon, color, geo",0,icon,3
3cb34125-4123-450b-af77-3bbd0602fe64,1,2233,real,bar,9,mushroom,corn,corn,ArrowRight,"fewer, more",0,FEWER,"icon, color, geo",0,icon,4
3cb34125-4123-450b-af77-3bbd0602fe64,0,1129,real,bar,4,mushroom,carrot,mushroom,ArrowRight,"fewer, more",0,FEWER,"icon, color, geo",0,icon,5
3cb34125-4123-450b-af77-3bbd0602fe64,1,2180,real,bar,6,mushroom,olive,olive,ArrowRight,"fewer, more",0,FEWER,"icon, color, geo",0,icon,6
3cb34125-4123-450b-af77-3bbd0602fe64,-1,5000,real,bar,0,eggplant,corn,eggplant,none,"fewer, more",0,FEWER,"icon, color, geo",0,icon,7
3cb34125-4123-450b-af77-3bbd0602fe64,1,2003,real,bar,7,corn,mushroom,mushroom,ArrowRight,"fewer, more",0,FEWER,"icon, color, geo",0,icon,8
3cb34125-4123-450b-af77-3bbd0602fe64,1,4384,real,bar,5,olive,celery,olive,ArrowLeft,"fewer, more",0,FEWER,"icon, color, geo",0,icon,9
3cb34125-4123-450b-af77-3bbd0602fe64,1,2141,training,bar,22,corn,mushroom,mushroom,ArrowRight,"fewer, more",0,FEWER,"icon, color, geo",1,color,0
3cb34125-4123-450b-af77-3bbd0602fe64,1,3377,training,bar,6,celery,mushroom,mushroom,ArrowRight,"fewer, more",0,FEWER,"icon, color, geo",1,color,1
3cb34125-4123-450b-af77-3bbd0602fe64,1,1808,training,bar,27,corn,olive,olive,ArrowRight,"fewer, more",0,FEWER,"icon, color, geo",1,color,2
3cb34125-4123-450b-af77-3bbd0602fe64,1,3350,real,bar,0,eggplant,corn,eggplant,ArrowLeft,"fewer, more",0,FEWER,"icon, color, geo",1,color,0
3cb34125-4123-450b-af77-3bbd0602fe64,0,1762,real,bar,9,mushroom,corn,corn,ArrowLeft,"fewer, more",0,FEWER,"icon, color, geo",1,color,1
3cb34125-4123-450b-af77-3bbd0602fe64,1,2547,real,bar,5,olive,celery,olive,ArrowLeft,"fewer, more",0,FEWER,"icon, color, geo",1,color,2
3cb34125-4123-450b-af77-3bbd0602fe64,1,2430,real,bar,6,mushroom,olive,olive,ArrowRight,"fewer, more",0,FEWER,"icon, color, geo",1,color,3
3cb34125-4123-450b-af77-3bbd0602fe64,1,1278,real,bar,2,celery,mushroom,celery,ArrowLeft,"fewer, more",0,FEWER,"icon, color, geo",1,color,4
3cb34125-4123-450b-af77-3bbd0602fe64,1,1429,real,bar,4,mushroom,carrot,mushroom,ArrowLeft,"fewer, more",0,FEWER,"icon, color, geo",1,color,5
3cb34125-4123-450b-af77-3bbd0602fe64,1,1634,real,bar,3,corn,olive,olive,ArrowRight,"fewer, more",0,FEWER,"icon, color, geo",1,color,6
3cb34125-4123-450b-af77-3bbd0602fe64,1,1847,real,bar,8,celery,corn,celery,ArrowLeft,"fewer, more",0,FEWER,"icon, color, geo",1,color,7
3cb34125-4123-450b-af77-3bbd0602fe64,0,1924,real,bar,7,corn,mushroom,mushroom,ArrowLeft,"fewer, more",0,FEWER,"icon, color, geo",1,color,8
3cb34125-4123-450b-af77-3bbd0602fe64,0,2766,real,bar,1,corn,tomato,corn,ArrowRight,"fewer, more",0,FEWER,"icon, color, geo",1,color,9
