participant_id,answer_accuracy,elapsed_time,trial_type,condition,current_stimulus_index,target_left,target_right,correct_answer,key_pressed,questions_order,question_index,question_condition,textures_order_for_question,texture_index,texture_condition,trial_number
43433db4-10cd-4d93-83e7-88d8661cbb7e,-1,5000,training,pie,18,eggplant,corn,corn,none,"fewer, more",0,FEWER,"geo, color, icon",0,geo,0
43433db4-10cd-4d93-83e7-88d8661cbb7e,1,1797,training,pie,12,corn,celery,celery,ArrowRight,"fewer, more",0,FEWER,"geo, color, icon",0,geo,1
43433db4-10cd-4d93-83e7-88d8661cbb7e,1,2555,training,pie,5,olive,carrot,carrot,ArrowRight,"fewer, more",0,FEWER,"geo, color, icon",0,geo,2
43433db4-10cd-4d93-83e7-88d8661cbb7e,1,2995,real,pie,2,mushroom,celery,celery,ArrowRight,"fewer, more",0,FEWER,"geo, color, icon",0,geo,0
43433db4-10cd-4d93-83e7-88d8661cbb7e,1,3231,real,pie,4,carrot,mushroom,mushroom,ArrowRight,"fewer, more",0,FEWER,"geo, color, icon",0,geo,1
43433db4-10cd-4d93-83e7-88d8661cbb7e,1,2927,real,pie,0,eggplant,corn,eggplant,ArrowLeft,"fewer, more",0,FEWER,"geo, color, icon",0,geo,2
43433db4-10cd-4d93-83e7-88d8661cbb7e,1,2374,real,pie,6,olive,mushroom,olive,ArrowLeft,"fewer, more",0,FEWER,"geo, color, icon",0,geo,3
43433db4-10cd-4d93-83e7-88d8661cbb7e,0,3082,real,pie,5,celery,olive,olive,ArrowLeft,"fewer, more",0,FEWER,"geo, color, icon",0,geo,4
43433db4-10cd-4d93-83e7-88d8661cbb7e,1,3922,real,pie,1,tomato,corn,corn,ArrowRight,"fewer, more",0,FEWER,"geo, color, icon",0,geo,5
43433db4-10cd-4d93-83e7-88d8661cbb7e,1,2736,real,pie,7,mushroom,corn,mushroom,ArrowLeft,"fewer, more",0,FEWER,"geo, color, icon",0,geo,6
43433db4-10cd-4d93-83e7-88d8661cbb7e,1,1807,real,pie,3,olive,corn,olive,ArrowLeft,"fewer, more",0,FEWER,"geo, color, icon",0,geo,7
43433db4-10cd-4d93-83e7-88d8661cbb7e,1,2743,real,pie,9,corn,mushroom,corn,ArrowLeft,"fewer, more",0,FEWER,"geo, color, icon",0,geo,8
43433db4-10cd-4d93-83e7-88d8661cbb7e,1,2223,real,pie,8,corn,celery,celery,ArrowRight,"fewer, more",0,FEWER,"geo, color, icon",0,geo,9
43433db4-10cd-4d93-83e7-88d8661cbb7e,1,3055,training,pie,28,celery,mushroom,celery,ArrowLeft,"fewer, more",0,FEWER,"geo, color, icon",1,color,0
43433db4-10cd-4d93-83e7-88d8661cbb7e,1,2264,training,pie,5,olive,carrot,carrot,ArrowRight,"fewer, more",0,FEWER,"geo, color, icon",1,color,1
43433db4-10cd-4d93-83e7-88d8661cbb7e,1,3058,training,pie,2,mushroom,tomato,tomato,ArrowRight,"fewer, more",0,FEWER,"geo, color, icon",1,color,2
43433db4-10cd-4d93-83e7-88d8661cbb7e,1,2530,real,pie,3,olive,corn,olive,ArrowLeft,"fewer, more",0,FEWER,"geo, color, icon",1,color,0
43433db4-10cd-4d93-83e7-88d8661cbb7e,1,3121,real,pie,7,mushroom,corn,mushroom,ArrowLeft,"fewer, more",0,FEWER,"geo, color, icon",1,color,1
43433db4-10cd-4d93-83e7-88d8661cbb7e,1,2067,real,pie,6,olive,mushroom,olive,ArrowLeft,"fewer, more",0,FEWER,"geo, color, icon",1,color,2
43433db4-10cd-4d93-83e7-88d8661cbb7e,1,2718,real,pie,1,tomato,corn,corn,ArrowRight,"fewer, more",0,FEWER,"geo, color, icon",1,color,3
43433db4-10cd-4d93-83e7-88d8661cbb7e,1,3892,real,pie,9,corn,mushroom,corn,ArrowLeft,"fewer, more",0,FEWER,"geo, color, icon",1,color,4
43433db4-10cd-4d93-83e7-88d8661cbb7e,1,3610,real,pie,2,mushroom,celery,celery,ArrowRight,"fewer, more",0,FEWER,"geo, color, icon",1,color,5
43433db4-10cd-4d93-83e7-88d8661cbb7e,1,2533,real,pie,8,corn,celery,celery,ArrowRight,"fewer, more",0,FEWER,"geo, color, icon",1,color,6
43433db4-10cd-4d93-83e7-88d8661cbb7e,1,3234,real,pie,5,celery,olive,olive,ArrowRight,"fewer, more",0,FEWER,"geo, color, icon",1,color,7
43433db4-10cd-4d93-83e7-88d8661cbb7e,1,4331,real,pie,0,eggplant,corn,eggplant,ArrowLeft,"fewer, more",0,FEWER,"geo, color, icon",1,color,8
43433db4-10cd-4d93-83e7-88d8661cbb7e,1,2688,real,pie,4,carrot,mushroom,mushroom,ArrowRight,"fewer, more",0,FEWER,"geo, color, icon",1,color,9
43433db4-10cd-4d93-83e7-88d8661cbb7e,1,3043,training,pie,23,olive,carrot,carrot,ArrowRight,"fewer, more",0,FEWER,"geo, color, icon",2,icon,0
43433db4-10cd-4d93-83e7-88d8661cbb7e,1,2926,training,pie,27,corn,olive,olive,ArrowRight,"fewer, more",0,FEWER,"geo, color, icon",2,icon,1
43433db4-10cd-4d93-83e7-88d8661cbb7e,1,2804,training,pie,27,corn,olive,olive,ArrowRight,"fewer, more",0,FEWER,"geo, color, icon",2,icon,2
43433db4-10cd-4d93-83e7-88d8661cbb7e,1,2353,real,pie,8,corn,celery,celery,ArrowRight,"fewer, more",0,FEWER,"geo, color, icon",2,icon,0
43433db4-10cd-4d93-83e7-88d8661cbb7e,1,2181,real,pie,2,mushroom,celery,celery,ArrowRight,"fewer, more",0,FEWER,"geo, color, icon",2,icon,1
43433db4-10cd-4d93-83e7-88d8661cbb7e,1,3487,real,pie,1,tomato,corn,corn,ArrowRight,"fewer, more",0,FEWER,"geo, color, icon",2,icon,2
43433db4-10cd-4d93-83e7-88d8661cbb7e,1,2264,real,pie,7,mushroom,corn,mushroom,ArrowLeft,"fewer, more",0,FEWER,"geo, color, icon",2,icon,3
43433db4-10cd-4d93-83e7-88d8661cbb7e,1,2644,real,pie,0,eggplant,corn,eggplant,ArrowLeft,"fewer, more",0,FEWER,"geo, color, icon",2,icon,4
43433db4-10cd-4d93-83e7-88d8661cbb7e,1,2138,real,pie,9,corn,mushroom,corn,ArrowLeft,"fewer, more",0,FEWER,"geo, color, icon",2,icon,5
43433db4-10cd-4d93-83e7-88d8661cbb7e,1,3713,real,pie,5,celery,olive,olive,ArrowRight,"fewer, more",0,FEWER,"geo, color, icon",2,icon,6
43433db4-10cd-4d93-83e7-88d8661cbb7e,1,2591,real,pie,6,olive,mushroom,olive,ArrowLeft,"fewer, more",0,FEWER,"geo, color, icon",2,icon,7
43433db4-10cd-4d93-83e7-88d8661cbb7e,1,3283,real,pie,3,olive,corn,olive,ArrowLeft,"fewer, more",0,FEWER,"geo, color, icon",2,icon,8
43433db4-10cd-4d93-83e7-88d8661cbb7e,1,3672,real,pie,4,carrot,mushroom,mushroom,ArrowRight,"fewer, more",0,FEWER,"geo, color, icon",2,icon,9
43433db4-10cd-4d93-83e7-88d8661cbb7e,1,4206,training,pie,19,eggplant,carrot,carrot,ArrowRight,"fewer, more",1,MORE,"icon, color, geo",0,icon,0
43433db4-10cd-4d93-83e7-88d8661cbb7e,1,1473,training,pie,15,eggplant,tomato,tomato,ArrowRight,"fewer, more",1,MORE,"icon, color, geo",0,icon,1
43433db4-10cd-4d93-83e7-88d8661cbb7e,1,2350,training,pie,23,olive,carrot,olive,ArrowLeft,"fewer, more",1,MORE,"icon, color, geo",0,icon,2
43433db4-10cd-4d93-83e7-88d8661cbb7e,1,1740,real,pie,8,corn,celery,corn,ArrowLeft,"fewer, more",1,MORE,"icon, color, geo",0,icon,0
43433db4-10cd-4d93-83e7-88d8661cbb7e,1,3057,real,pie,2,mushroom,celery,mushroom,ArrowLeft,"fewer, more",1,MORE,"icon, color, geo",0,icon,1
43433db4-10cd-4d93-83e7-88d8661cbb7e,1,3305,real,pie,1,tomato,corn,tomato,ArrowLeft,"fewer, more",1,MORE,"icon, color, geo",0,icon,2
43433db4-10cd-4d93-83e7-88d8661cbb7e,1,1397,real,pie,7,mushroom,corn,corn,ArrowRight,"fewer, more",1,MORE,"icon, color, geo",0,icon,3
43433db4-10cd-4d93-83e7-88d8661cbb7e,1,2792,real,pie,0,eggplant,corn,corn,ArrowRight,"fewer, more",1,MORE,"icon, color, geo",0,icon,4
43433db4-10cd-4d93-83e7-88d8661cbb7e,1,4293,real,pie,9,corn,mushroom,mushroom,ArrowRight,"fewer, more",1,MORE,"icon, color, geo",0,icon,5
43433db4-10cd-4d93-83e7-88d8661cbb7e,0,1867,real,pie,5,celery,olive,celery,ArrowRight,"fewer, more",1,MORE,"icon, color, geo",0,icon,6
43433db4-10cd-4d93-83e7-88d8661cbb7e,1,2063,real,pie,6,olive,mushroom,mushroom,ArrowRight,"fewer, more",1,MORE,"icon, color, geo",0,icon,7
43433db4-10cd-4d93-83e7-88d8661cbb7e,0,3151,real,pie,3,olive,corn,corn,ArrowLeft,"fewer, more",1,MORE,"icon, color, geo",0,icon,8
43433db4-10cd-4d93-83e7-88d8661cbb7e,1,4142,real,pie,4,carrot,mushroom,carrot,ArrowLeft,"fewer, more",1,MORE,"icon, color, geo",0,icon,9
43433db4-10cd-4d93-83e7-88d8661cbb7e,1,3739,training,pie,13,carrot,olive,carrot,ArrowLeft,"fewer, more",1,MORE,"icon, color, geo",1,color,0
43433db4-10cd-4d93-83e7-88d8661cbb7e,1,3301,training,pie,18,eggplant,corn,eggplant,ArrowLeft,"fewer, more",1,MORE,"icon, color, geo",1,color,1
43433db4-10cd-4d93-83e7-88d8661cbb7e,1,4168,training,pie,7,celery,eggplant,celery,ArrowLeft,"fewer, more",1,MORE,"icon, color, geo",1,color,2
43433db4-10cd-4d93-83e7-88d8661cbb7e,1,2021,real,pie,3,olive,corn,corn,ArrowRight,"fewer, more",1,MORE,"icon, color, geo",1,color,0
43433db4-10cd-4d93-83e7-88d8661cbb7e,1,2441,real,pie,7,mushroom,corn,corn,ArrowRight,"fewer, more",1,MORE,"icon, color, geo",1,color,1
43433db4-10cd-4d93-83e7-88d8661cbb7e,1,2884,real,pie,6,olive,mushroom,mushroom,ArrowRight,"fewer, more",1,MORE,"icon, color, geo",1,color,2
43433db4-10cd-4d93-83e7-88d8661cbb7e,1,2570,real,pie,1,tomato,corn,tomato,ArrowLeft,"fewer, more",1,MORE,"icon, color, geo",1,color,3
43433db4-10cd-4d93-83e7-88d8661cbb7e,1,3304,real,pie,9,corn,mushroom,mushroom,ArrowRight,"fewer, more",1,MORE,"icon, color, geo",1,color,4
43433db4-10cd-4d93-83e7-88d8661cbb7e,1,3225,real,pie,2,mushroom,celery,mushroom,ArrowLeft,"fewer, more",1,MORE,"icon, color, geo",1,color,5
43433db4-10cd-4d93-83e7-88d8661cbb7e,1,1785,real,pie,8,corn,celery,corn,ArrowLeft,"fewer, more",1,MORE,"icon, color, geo",1,color,6
43433db4-10cd-4d93-83e7-88d8661cbb7e,1,3029,real,pie,5,celery,olive,celery,ArrowLeft,"fewer, more",1,MORE,"icon, color, geo",1,color,7
43433db4-10cd-4d93-83e7-88d8661cbb7e,1,3804,real,pie,0,eggplant,corn,corn,ArrowRight,"fewer, more",1,MORE,"icon, color, geo",1,color,8
43433db4-10cd-4d93-83e7-88d8661cbb7e,1,2813,real,pie,4,carrot,mushroom,carrot,ArrowLeft,"fewer, more",1,MORE,"icon, color, geo",1,color,9
43433db4-10cd-4d93-83e7-88d8661cbb7e,1,2171,training,pie,8,olive,eggplant,eggplant,ArrowRight,"fewer, more",1,MORE,"icon, color, geo",2,geo,0
43433db4-10cd-4d93-83e7-88d8661cbb7e,1,1912,training,pie,6,celery,mushroom,celery,ArrowLeft,"fewer, more",1,MORE,"icon, color, geo",2,geo,1
43433db4-10cd-4d93-83e7-88d8661cbb7e,1,2530,training,pie,28,celery,mushroom,mushroom,ArrowRight,"fewer, more",1,MORE,"icon, color, geo",2,geo,2
43433db4-10cd-4d93-83e7-88d8661cbb7e,1,2197,real,pie,2,mushroom,celery,mushroom,ArrowLeft,"fewer, more",1,MORE,"icon, color, geo",2,geo,0
43433db4-10cd-4d93-83e7-88d8661cbb7e,1,2796,real,pie,4,carrot,mushroom,carrot,ArrowLeft,"fewer, more",1,MORE,"icon, color, geo",2,geo,1
43433db4-10cd-4d93-83e7-88d8661cbb7e,1,2836,real,pie,0,eggplant,corn,corn,ArrowRight,"fewer, more",1,MORE,"icon, color, geo",2,geo,2
