participant_id,answer_accuracy,elapsed_time,trial_type,condition,current_stimulus_index,target_left,target_right,correct_answer,key_pressed,questions_order,question_index,question_condition,textures_order_for_question,texture_index,texture_condition,trial_number
43fda1c3-4729-4811-b706-dd1f9483ca61,1,4088,training,bar,6,celery,mushroom,mushroom,ArrowRight,"fewer, more",0,FEWER,"icon, color, geo",0,icon,0
43fda1c3-4729-4811-b706-dd1f9483ca61,1,2292,training,bar,2,tomato,mushroom,tomato,ArrowLeft,"fewer, more",0,FEWER,"icon, color, geo",0,icon,1
43fda1c3-4729-4811-b706-dd1f9483ca61,1,3702,training,bar,14,eggplant,tomato,eggplant,ArrowLeft,"fewer, more",0,FEWER,"icon, color, geo",0,icon,2
43fda1c3-4729-4811-b706-dd1f9483ca61,1,2454,real,bar,3,corn,olive,olive,ArrowRight,"fewer, more",0,FEWER,"icon, color, geo",0,icon,0
43fda1c3-4729-4811-b706-dd1f9483ca61,-1,5000,real,bar,0,eggplant,corn,eggplant,none,"fewer, more",0,FEWER,"icon, color, geo",0,icon,1
43fda1c3-4729-4811-b706-dd1f9483ca61,0,2652,real,bar,8,celery,corn,celery,ArrowRight,"fewer, more",0,FEWER,"icon, color, geo",0,icon,2
43fda1c3-4729-4811-b706-dd1f9483ca61,1,1104,real,bar,2,celery,mushroom,celery,ArrowLeft,"fewer, more",0,FEWER,"icon, color, geo",0,icon,3
43fda1c3-4729-4811-b706-dd1f9483ca61,1,2596,real,bar,7,corn,mushroom,mushroom,ArrowRight,"fewer, more",0,FEWER,"icon, color, geo",0,icon,4
43fda1c3-4729-4811-b706-dd1f9483ca61,1,2749,real,bar,5,olive,celery,olive,ArrowLeft,"fewer, more",0,FEWER,"icon, color, geo",0,icon,5
43fda1c3-4729-4811-b706-dd1f9483ca61,1,1741,real,bar,6,mushroom,olive,olive,ArrowRight,"fewer, more",0,FEWER,"icon, color, geo",0,icon,6
43fda1c3-4729-4811-b706-dd1f9483ca61,0,1402,real,bar,4,mushroom,carrot,mushroom,ArrowRight,"fewer, more",0,FEWER,"icon, color, geo",0,icon,7
43fda1c3-4729-4811-b706-dd1f9483ca61,1,1309,real,bar,1,corn,tomato,corn,ArrowLeft,"fewer, more",0,FEWER,"icon, color, geo",0,icon,8
43fda1c3-4729-4811-b706-dd1f9483ca61,1,1932,real,bar,9,mushroom,corn,corn,ArrowRight,"fewer, more",0,FEWER,"icon, color, geo",0,icon,9
43fda1c3-4729-4811-b706-dd1f9483ca61,1,3489,training,bar,19,carrot,eggplant,eggplant,ArrowRight,"fewer, more",0,FEWER,"icon, color, geo",1,color,0
43fda1c3-4729-4811-b706-dd1f9483ca61,1,1732,training,bar,5,olive,carrot,carrot,ArrowRight,"fewer, more",0,FEWER,"icon, color, geo",1,color,1
43fda1c3-4729-4811-b706-dd1f9483ca61,1,1109,training,bar,28,mushroom,celery,celery,ArrowRight,"fewer, more",0,FEWER,"icon, color, geo",1,color,2
43fda1c3-4729-4811-b706-dd1f9483ca61,1,2032,real,bar,1,corn,tomato,corn,ArrowLeft,"fewer, more",0,FEWER,"icon, color, geo",1,color,0
