participant_id,answer_accuracy,elapsed_time,trial_type,condition,current_stimulus_index,target_left,target_right,correct_answer,key_pressed,questions_order,question_index,question_condition,textures_order_for_question,texture_index,texture_condition,trial_number
45508501-6822-4cdc-ae6b-d7bf7cfb3b55,1,1962,training,bar,26,mushroom,olive,olive,ArrowRight,"more, fewer",0,MORE,"color, icon, geo",0,color,0
45508501-6822-4cdc-ae6b-d7bf7cfb3b55,1,4225,training,bar,0,corn,carrot,carrot,ArrowRight,"more, fewer",0,MORE,"color, icon, geo",0,color,1
45508501-6822-4cdc-ae6b-d7bf7cfb3b55,1,3192,training,bar,0,corn,carrot,carrot,ArrowRight,"more, fewer",0,MORE,"color, icon, geo",0,color,2
45508501-6822-4cdc-ae6b-d7bf7cfb3b55,1,2170,real,bar,3,corn,olive,corn,ArrowLeft,"more, fewer",0,MORE,"color, icon, geo",0,color,0
45508501-6822-4cdc-ae6b-d7bf7cfb3b55,1,2023,real,bar,4,mushroom,carrot,carrot,ArrowRight,"more, fewer",0,MORE,"color, icon, geo",0,color,1
45508501-6822-4cdc-ae6b-d7bf7cfb3b55,1,3038,real,bar,0,eggplant,corn,corn,ArrowRight,"more, fewer",0,MORE,"color, icon, geo",0,color,2
45508501-6822-4cdc-ae6b-d7bf7cfb3b55,1,1585,real,bar,7,corn,mushroom,corn,ArrowLeft,"more, fewer",0,MORE,"color, icon, geo",0,color,3
45508501-6822-4cdc-ae6b-d7bf7cfb3b55,1,3170,real,bar,8,celery,corn,corn,ArrowRight,"more, fewer",0,MORE,"color, icon, geo",0,color,4
45508501-6822-4cdc-ae6b-d7bf7cfb3b55,1,1855,real,bar,5,olive,celery,celery,ArrowRight,"more, fewer",0,MORE,"color, icon, geo",0,color,5
45508501-6822-4cdc-ae6b-d7bf7cfb3b55,0,3380,real,bar,1,corn,tomato,tomato,ArrowLeft,"more, fewer",0,MORE,"color, icon, geo",0,color,6
45508501-6822-4cdc-ae6b-d7bf7cfb3b55,-1,5000,real,bar,9,mushroom,corn,mushroom,none,"more, fewer",0,MORE,"color, icon, geo",0,color,7
45508501-6822-4cdc-ae6b-d7bf7cfb3b55,1,3917,real,bar,6,mushroom,olive,mushroom,ArrowLeft,"more, fewer",0,MORE,"color, icon, geo",0,color,8
45508501-6822-4cdc-ae6b-d7bf7cfb3b55,1,1903,real,bar,2,celery,mushroom,mushroom,ArrowRight,"more, fewer",0,MORE,"color, icon, geo",0,color,9
45508501-6822-4cdc-ae6b-d7bf7cfb3b55,-1,5000,training,bar,12,celery,corn,corn,none,"more, fewer",0,MORE,"color, icon, geo",1,icon,0
45508501-6822-4cdc-ae6b-d7bf7cfb3b55,1,2744,training,bar,18,corn,eggplant,eggplant,ArrowRight,"more, fewer",0,MORE,"color, icon, geo",1,icon,1
45508501-6822-4cdc-ae6b-d7bf7cfb3b55,1,3665,training,bar,6,celery,mushroom,celery,ArrowLeft,"more, fewer",0,MORE,"color, icon, geo",1,icon,2
45508501-6822-4cdc-ae6b-d7bf7cfb3b55,1,3442,real,bar,4,mushroom,carrot,carrot,ArrowRight,"more, fewer",0,MORE,"color, icon, geo",1,icon,0
45508501-6822-4cdc-ae6b-d7bf7cfb3b55,1,2742,real,bar,1,corn,tomato,tomato,ArrowRight,"more, fewer",0,MORE,"color, icon, geo",1,icon,1
45508501-6822-4cdc-ae6b-d7bf7cfb3b55,1,3422,real,bar,8,celery,corn,corn,ArrowRight,"more, fewer",0,MORE,"color, icon, geo",1,icon,2
45508501-6822-4cdc-ae6b-d7bf7cfb3b55,1,3152,real,bar,9,mushroom,corn,mushroom,ArrowLeft,"more, fewer",0,MORE,"color, icon, geo",1,icon,3
45508501-6822-4cdc-ae6b-d7bf7cfb3b55,-1,5000,real,bar,7,corn,mushroom,corn,none,"more, fewer",0,MORE,"color, icon, geo",1,icon,4
45508501-6822-4cdc-ae6b-d7bf7cfb3b55,1,2595,real,bar,6,mushroom,olive,mushroom,ArrowLeft,"more, fewer",0,MORE,"color, icon, geo",1,icon,5
45508501-6822-4cdc-ae6b-d7bf7cfb3b55,1,2756,real,bar,5,olive,celery,celery,ArrowRight,"more, fewer",0,MORE,"color, icon, geo",1,icon,6
45508501-6822-4cdc-ae6b-d7bf7cfb3b55,1,3206,real,bar,2,celery,mushroom,mushroom,ArrowRight,"more, fewer",0,MORE,"color, icon, geo",1,icon,7
45508501-6822-4cdc-ae6b-d7bf7cfb3b55,1,4209,real,bar,0,eggplant,corn,corn,ArrowRight,"more, fewer",0,MORE,"color, icon, geo",1,icon,8
45508501-6822-4cdc-ae6b-d7bf7cfb3b55,1,1929,real,bar,3,corn,olive,corn,ArrowLeft,"more, fewer",0,MORE,"color, icon, geo",1,icon,9
45508501-6822-4cdc-ae6b-d7bf7cfb3b55,1,2118,training,bar,24,celery,mushroom,celery,ArrowLeft,"more, fewer",0,MORE,"color, icon, geo",2,geo,0
45508501-6822-4cdc-ae6b-d7bf7cfb3b55,1,1554,training,bar,10,celery,eggplant,celery,ArrowLeft,"more, fewer",0,MORE,"color, icon, geo",2,geo,1
45508501-6822-4cdc-ae6b-d7bf7cfb3b55,1,1573,training,bar,28,mushroom,celery,mushroom,ArrowLeft,"more, fewer",0,MORE,"color, icon, geo",2,geo,2
45508501-6822-4cdc-ae6b-d7bf7cfb3b55,1,3261,real,bar,6,mushroom,olive,mushroom,ArrowLeft,"more, fewer",0,MORE,"color, icon, geo",2,geo,0
45508501-6822-4cdc-ae6b-d7bf7cfb3b55,1,2929,real,bar,2,celery,mushroom,mushroom,ArrowRight,"more, fewer",0,MORE,"color, icon, geo",2,geo,1
45508501-6822-4cdc-ae6b-d7bf7cfb3b55,1,1700,real,bar,9,mushroom,corn,mushroom,ArrowLeft,"more, fewer",0,MORE,"color, icon, geo",2,geo,2
45508501-6822-4cdc-ae6b-d7bf7cfb3b55,0,1942,real,bar,0,eggplant,corn,corn,ArrowLeft,"more, fewer",0,MORE,"color, icon, geo",2,geo,3
45508501-6822-4cdc-ae6b-d7bf7cfb3b55,1,3158,real,bar,5,olive,celery,celery,ArrowRight,"more, fewer",0,MORE,"color, icon, geo",2,geo,4
45508501-6822-4cdc-ae6b-d7bf7cfb3b55,1,1581,real,bar,7,corn,mushroom,corn,ArrowLeft,"more, fewer",0,MORE,"color, icon, geo",2,geo,5
45508501-6822-4cdc-ae6b-d7bf7cfb3b55,0,3084,real,bar,3,corn,olive,corn,ArrowRight,"more, fewer",0,MORE,"color, icon, geo",2,geo,6
45508501-6822-4cdc-ae6b-d7bf7cfb3b55,1,4287,real,bar,1,corn,tomato,tomato,ArrowRight,"more, fewer",0,MORE,"color, icon, geo",2,geo,7
45508501-6822-4cdc-ae6b-d7bf7cfb3b55,1,2467,real,bar,8,celery,corn,corn,ArrowRight,"more, fewer",0,MORE,"color, icon, geo",2,geo,8
45508501-6822-4cdc-ae6b-d7bf7cfb3b55,1,2306,real,bar,4,mushroom,carrot,carrot,ArrowRight,"more, fewer",0,MORE,"color, icon, geo",2,geo,9
45508501-6822-4cdc-ae6b-d7bf7cfb3b55,1,2022,training,bar,16,mushroom,olive,olive,ArrowRight,"more, fewer",1,FEWER,"geo, icon, color",0,geo,0
45508501-6822-4cdc-ae6b-d7bf7cfb3b55,1,2669,training,bar,3,carrot,celery,carrot,ArrowLeft,"more, fewer",1,FEWER,"geo, icon, color",0,geo,1
45508501-6822-4cdc-ae6b-d7bf7cfb3b55,1,3131,training,bar,17,corn,mushroom,corn,ArrowLeft,"more, fewer",1,FEWER,"geo, icon, color",0,geo,2
45508501-6822-4cdc-ae6b-d7bf7cfb3b55,1,2675,real,bar,6,mushroom,olive,olive,ArrowRight,"more, fewer",1,FEWER,"geo, icon, color",0,geo,0
45508501-6822-4cdc-ae6b-d7bf7cfb3b55,1,2265,real,bar,2,celery,mushroom,celery,ArrowLeft,"more, fewer",1,FEWER,"geo, icon, color",0,geo,1
