participant_id,answer_accuracy,elapsed_time,trial_type,condition,current_stimulus_index,target_left,target_right,correct_answer,key_pressed,questions_order,question_index,question_condition,textures_order_for_question,texture_index,texture_condition,trial_number
4703ebba-faed-4996-afef-6040e4f9cfc5,-1,5000,training,pie,0,carrot,corn,corn,none,"fewer, more",0,FEWER,"icon, color, geo",0,icon,0
4703ebba-faed-4996-afef-6040e4f9cfc5,-1,5000,training,pie,3,celery,carrot,carrot,none,"fewer, more",0,FEWER,"icon, color, geo",0,icon,1
4703ebba-faed-4996-afef-6040e4f9cfc5,1,2520,training,pie,3,celery,carrot,carrot,ArrowRight,"fewer, more",0,FEWER,"icon, color, geo",0,icon,2
4703ebba-faed-4996-afef-6040e4f9cfc5,0,2327,real,pie,4,carrot,mushroom,mushroom,ArrowLeft,"fewer, more",0,FEWER,"icon, color, geo",0,icon,0
4703ebba-faed-4996-afef-6040e4f9cfc5,1,2215,real,pie,8,corn,celery,celery,ArrowRight,"fewer, more",0,FEWER,"icon, color, geo",0,icon,1
4703ebba-faed-4996-afef-6040e4f9cfc5,0,4153,real,pie,7,mushroom,corn,mushroom,ArrowRight,"fewer, more",0,FEWER,"icon, color, geo",0,icon,2
4703ebba-faed-4996-afef-6040e4f9cfc5,1,2129,real,pie,9,corn,mushroom,corn,ArrowLeft,"fewer, more",0,FEWER,"icon, color, geo",0,icon,3
4703ebba-faed-4996-afef-6040e4f9cfc5,1,1640,real,pie,6,olive,mushroom,olive,ArrowLeft,"fewer, more",0,FEWER,"icon, color, geo",0,icon,4
4703ebba-faed-4996-afef-6040e4f9cfc5,1,2494,real,pie,3,olive,corn,olive,ArrowLeft,"fewer, more",0,FEWER,"icon, color, geo",0,icon,5
4703ebba-faed-4996-afef-6040e4f9cfc5,1,1762,real,pie,2,mushroom,celery,celery,ArrowRight,"fewer, more",0,FEWER,"icon, color, geo",0,icon,6
4703ebba-faed-4996-afef-6040e4f9cfc5,1,3312,real,pie,1,tomato,corn,corn,ArrowRight,"fewer, more",0,FEWER,"icon, color, geo",0,icon,7
4703ebba-faed-4996-afef-6040e4f9cfc5,1,3126,real,pie,0,eggplant,corn,eggplant,ArrowLeft,"fewer, more",0,FEWER,"icon, color, geo",0,icon,8
4703ebba-faed-4996-afef-6040e4f9cfc5,1,2788,real,pie,5,celery,olive,olive,ArrowRight,"fewer, more",0,FEWER,"icon, color, geo",0,icon,9
4703ebba-faed-4996-afef-6040e4f9cfc5,1,3001,training,pie,23,olive,carrot,carrot,ArrowRight,"fewer, more",0,FEWER,"icon, color, geo",1,color,0
4703ebba-faed-4996-afef-6040e4f9cfc5,1,3862,training,pie,6,celery,mushroom,mushroom,ArrowRight,"fewer, more",0,FEWER,"icon, color, geo",1,color,1
4703ebba-faed-4996-afef-6040e4f9cfc5,1,2794,training,pie,6,celery,mushroom,mushroom,ArrowRight,"fewer, more",0,FEWER,"icon, color, geo",1,color,2
4703ebba-faed-4996-afef-6040e4f9cfc5,1,2350,real,pie,6,olive,mushroom,olive,ArrowLeft,"fewer, more",0,FEWER,"icon, color, geo",1,color,0
4703ebba-faed-4996-afef-6040e4f9cfc5,1,2016,real,pie,5,celery,olive,olive,ArrowRight,"fewer, more",0,FEWER,"icon, color, geo",1,color,1
4703ebba-faed-4996-afef-6040e4f9cfc5,1,2425,real,pie,7,mushroom,corn,mushroom,ArrowLeft,"fewer, more",0,FEWER,"icon, color, geo",1,color,2
4703ebba-faed-4996-afef-6040e4f9cfc5,1,2255,real,pie,4,carrot,mushroom,mushroom,ArrowRight,"fewer, more",0,FEWER,"icon, color, geo",1,color,3
4703ebba-faed-4996-afef-6040e4f9cfc5,1,2792,real,pie,3,olive,corn,olive,ArrowLeft,"fewer, more",0,FEWER,"icon, color, geo",1,color,4
4703ebba-faed-4996-afef-6040e4f9cfc5,1,1958,real,pie,2,mushroom,celery,celery,ArrowRight,"fewer, more",0,FEWER,"icon, color, geo",1,color,5
4703ebba-faed-4996-afef-6040e4f9cfc5,1,2089,real,pie,1,tomato,corn,corn,ArrowRight,"fewer, more",0,FEWER,"icon, color, geo",1,color,6
4703ebba-faed-4996-afef-6040e4f9cfc5,1,2576,real,pie,9,corn,mushroom,corn,ArrowLeft,"fewer, more",0,FEWER,"icon, color, geo",1,color,7
