participant_id,answer_accuracy,elapsed_time,trial_type,condition,current_stimulus_index,target_left,target_right,correct_answer,key_pressed,questions_order,question_index,question_condition,textures_order_for_question,texture_index,texture_condition,trial_number
4733f8c6-0c48-4263-8765-5277b532b9ae,1,2406,training,pie,14,tomato,eggplant,eggplant,ArrowRight,"fewer, more",0,FEWER,"color, geo, icon",0,color,0
4733f8c6-0c48-4263-8765-5277b532b9ae,1,1972,training,pie,9,eggplant,mushroom,eggplant,ArrowLeft,"fewer, more",0,FEWER,"color, geo, icon",0,color,1
4733f8c6-0c48-4263-8765-5277b532b9ae,1,2148,training,pie,17,mushroom,corn,corn,ArrowRight,"fewer, more",0,FEWER,"color, geo, icon",0,color,2
4733f8c6-0c48-4263-8765-5277b532b9ae,1,2338,real,pie,9,corn,mushroom,corn,ArrowLeft,"fewer, more",0,FEWER,"color, geo, icon",0,color,0
4733f8c6-0c48-4263-8765-5277b532b9ae,1,1941,real,pie,2,mushroom,celery,celery,ArrowRight,"fewer, more",0,FEWER,"color, geo, icon",0,color,1
4733f8c6-0c48-4263-8765-5277b532b9ae,1,2266,real,pie,3,olive,corn,olive,ArrowLeft,"fewer, more",0,FEWER,"color, geo, icon",0,color,2
4733f8c6-0c48-4263-8765-5277b532b9ae,1,1951,real,pie,8,corn,celery,celery,ArrowRight,"fewer, more",0,FEWER,"color, geo, icon",0,color,3
4733f8c6-0c48-4263-8765-5277b532b9ae,1,3567,real,pie,0,eggplant,corn,eggplant,ArrowLeft,"fewer, more",0,FEWER,"color, geo, icon",0,color,4
4733f8c6-0c48-4263-8765-5277b532b9ae,1,2160,real,pie,6,olive,mushroom,olive,ArrowLeft,"fewer, more",0,FEWER,"color, geo, icon",0,color,5
4733f8c6-0c48-4263-8765-5277b532b9ae,1,1139,real,pie,4,carrot,mushroom,mushroom,ArrowRight,"fewer, more",0,FEWER,"color, geo, icon",0,color,6
4733f8c6-0c48-4263-8765-5277b532b9ae,1,2449,real,pie,5,celery,olive,olive,ArrowRight,"fewer, more",0,FEWER,"color, geo, icon",0,color,7
4733f8c6-0c48-4263-8765-5277b532b9ae,1,2517,real,pie,7,mushroom,corn,mushroom,ArrowLeft,"fewer, more",0,FEWER,"color, geo, icon",0,color,8
4733f8c6-0c48-4263-8765-5277b532b9ae,1,1591,real,pie,1,tomato,corn,corn,ArrowRight,"fewer, more",0,FEWER,"color, geo, icon",0,color,9
4733f8c6-0c48-4263-8765-5277b532b9ae,1,1965,training,pie,7,celery,eggplant,eggplant,ArrowRight,"fewer, more",0,FEWER,"color, geo, icon",1,geo,0
4733f8c6-0c48-4263-8765-5277b532b9ae,1,1985,training,pie,17,mushroom,corn,corn,ArrowRight,"fewer, more",0,FEWER,"color, geo, icon",1,geo,1
4733f8c6-0c48-4263-8765-5277b532b9ae,1,2248,training,pie,7,celery,eggplant,eggplant,ArrowRight,"fewer, more",0,FEWER,"color, geo, icon",1,geo,2
4733f8c6-0c48-4263-8765-5277b532b9ae,0,2161,real,pie,9,corn,mushroom,corn,ArrowRight,"fewer, more",0,FEWER,"color, geo, icon",1,geo,0
4733f8c6-0c48-4263-8765-5277b532b9ae,1,2110,real,pie,4,carrot,mushroom,mushroom,ArrowRight,"fewer, more",0,FEWER,"color, geo, icon",1,geo,1
4733f8c6-0c48-4263-8765-5277b532b9ae,1,2310,real,pie,7,mushroom,corn,mushroom,ArrowLeft,"fewer, more",0,FEWER,"color, geo, icon",1,geo,2
4733f8c6-0c48-4263-8765-5277b532b9ae,1,1512,real,pie,8,corn,celery,celery,ArrowRight,"fewer, more",0,FEWER,"color, geo, icon",1,geo,3
4733f8c6-0c48-4263-8765-5277b532b9ae,1,2303,real,pie,6,olive,mushroom,olive,ArrowLeft,"fewer, more",0,FEWER,"color, geo, icon",1,geo,4
4733f8c6-0c48-4263-8765-5277b532b9ae,1,2043,real,pie,2,mushroom,celery,celery,ArrowRight,"fewer, more",0,FEWER,"color, geo, icon",1,geo,5
4733f8c6-0c48-4263-8765-5277b532b9ae,1,3347,real,pie,0,eggplant,corn,eggplant,ArrowLeft,"fewer, more",0,FEWER,"color, geo, icon",1,geo,6
4733f8c6-0c48-4263-8765-5277b532b9ae,1,2265,real,pie,5,celery,olive,olive,ArrowRight,"fewer, more",0,FEWER,"color, geo, icon",1,geo,7
4733f8c6-0c48-4263-8765-5277b532b9ae,1,2014,real,pie,1,tomato,corn,corn,ArrowRight,"fewer, more",0,FEWER,"color, geo, icon",1,geo,8
4733f8c6-0c48-4263-8765-5277b532b9ae,1,2839,real,pie,3,olive,corn,olive,ArrowLeft,"fewer, more",0,FEWER,"color, geo, icon",1,geo,9
4733f8c6-0c48-4263-8765-5277b532b9ae,1,2164,training,pie,26,olive,mushroom,mushroom,ArrowRight,"fewer, more",0,FEWER,"color, geo, icon",2,icon,0
4733f8c6-0c48-4263-8765-5277b532b9ae,1,1504,training,pie,13,carrot,olive,olive,ArrowRight,"fewer, more",0,FEWER,"color, geo, icon",2,icon,1
4733f8c6-0c48-4263-8765-5277b532b9ae,1,3710,training,pie,0,carrot,corn,corn,ArrowRight,"fewer, more",0,FEWER,"color, geo, icon",2,icon,2
4733f8c6-0c48-4263-8765-5277b532b9ae,0,3124,real,pie,7,mushroom,corn,mushroom,ArrowRight,"fewer, more",0,FEWER,"color, geo, icon",2,icon,0
4733f8c6-0c48-4263-8765-5277b532b9ae,1,2248,real,pie,2,mushroom,celery,celery,ArrowRight,"fewer, more",0,FEWER,"color, geo, icon",2,icon,1
4733f8c6-0c48-4263-8765-5277b532b9ae,1,1305,real,pie,4,carrot,mushroom,mushroom,ArrowRight,"fewer, more",0,FEWER,"color, geo, icon",2,icon,2
4733f8c6-0c48-4263-8765-5277b532b9ae,1,1654,real,pie,3,olive,corn,olive,ArrowLeft,"fewer, more",0,FEWER,"color, geo, icon",2,icon,3
