participant_id,answer_accuracy,elapsed_time,trial_type,condition,current_stimulus_index,target_left,target_right,correct_answer,key_pressed,questions_order,question_index,question_condition,textures_order_for_question,texture_index,texture_condition,trial_number
47694fe4-1745-4401-a665-4c586d4c0318,1,2823,training,bar,12,celery,corn,celery,ArrowLeft,"fewer, more",0,FEWER,"geo, icon, color",0,geo,0
47694fe4-1745-4401-a665-4c586d4c0318,-1,5000,training,bar,24,celery,mushroom,mushroom,none,"fewer, more",0,FEWER,"geo, icon, color",0,geo,1
47694fe4-1745-4401-a665-4c586d4c0318,-1,5000,training,bar,7,eggplant,celery,eggplant,none,"fewer, more",0,FEWER,"geo, icon, color",0,geo,2
47694fe4-1745-4401-a665-4c586d4c0318,0,3919,real,bar,7,corn,mushroom,mushroom,ArrowLeft,"fewer, more",0,FEWER,"geo, icon, color",0,geo,0
47694fe4-1745-4401-a665-4c586d4c0318,1,1647,real,bar,6,mushroom,olive,olive,ArrowRight,"fewer, more",0,FEWER,"geo, icon, color",0,geo,1
47694fe4-1745-4401-a665-4c586d4c0318,-1,5000,real,bar,9,mushroom,corn,corn,none,"fewer, more",0,FEWER,"geo, icon, color",0,geo,2
47694fe4-1745-4401-a665-4c586d4c0318,1,4720,real,bar,2,celery,mushroom,celery,ArrowLeft,"fewer, more",0,FEWER,"geo, icon, color",0,geo,3
47694fe4-1745-4401-a665-4c586d4c0318,1,4872,real,bar,0,eggplant,corn,eggplant,ArrowLeft,"fewer, more",0,FEWER,"geo, icon, color",0,geo,4
47694fe4-1745-4401-a665-4c586d4c0318,1,2640,real,bar,1,corn,tomato,corn,ArrowLeft,"fewer, more",0,FEWER,"geo, icon, color",0,geo,5
47694fe4-1745-4401-a665-4c586d4c0318,1,2185,real,bar,5,olive,celery,olive,ArrowLeft,"fewer, more",0,FEWER,"geo, icon, color",0,geo,6
47694fe4-1745-4401-a665-4c586d4c0318,1,1824,real,bar,8,celery,corn,celery,ArrowLeft,"fewer, more",0,FEWER,"geo, icon, color",0,geo,7
47694fe4-1745-4401-a665-4c586d4c0318,1,3760,real,bar,3,corn,olive,olive,ArrowRight,"fewer, more",0,FEWER,"geo, icon, color",0,geo,8
47694fe4-1745-4401-a665-4c586d4c0318,1,1352,real,bar,4,mushroom,carrot,mushroom,ArrowLeft,"fewer, more",0,FEWER,"geo, icon, color",0,geo,9
47694fe4-1745-4401-a665-4c586d4c0318,1,2576,training,bar,20,eggplant,tomato,tomato,ArrowRight,"fewer, more",0,FEWER,"geo, icon, color",1,icon,0
47694fe4-1745-4401-a665-4c586d4c0318,1,1528,training,bar,26,mushroom,olive,mushroom,ArrowLeft,"fewer, more",0,FEWER,"geo, icon, color",1,icon,1
47694fe4-1745-4401-a665-4c586d4c0318,1,1520,training,bar,13,olive,carrot,olive,ArrowLeft,"fewer, more",0,FEWER,"geo, icon, color",1,icon,2
47694fe4-1745-4401-a665-4c586d4c0318,0,3816,real,bar,7,corn,mushroom,mushroom,ArrowLeft,"fewer, more",0,FEWER,"geo, icon, color",1,icon,0
