participant_id,answer_accuracy,elapsed_time,trial_type,condition,current_stimulus_index,target_left,target_right,correct_answer,key_pressed,questions_order,question_index,question_condition,textures_order_for_question,texture_index,texture_condition,trial_number
4aff1621-01bf-49f1-bf8e-e7bcf8e4fe8f,-1,5000,training,pie,8,olive,eggplant,eggplant,none,"more, fewer",0,MORE,"icon, color, geo",0,icon,0
4aff1621-01bf-49f1-bf8e-e7bcf8e4fe8f,1,2848,training,pie,23,olive,carrot,olive,ArrowLeft,"more, fewer",0,MORE,"icon, color, geo",0,icon,1
4aff1621-01bf-49f1-bf8e-e7bcf8e4fe8f,1,3584,training,pie,0,carrot,corn,carrot,ArrowLeft,"more, fewer",0,MORE,"icon, color, geo",0,icon,2
4aff1621-01bf-49f1-bf8e-e7bcf8e4fe8f,1,2400,real,pie,3,olive,corn,corn,ArrowRight,"more, fewer",0,MORE,"icon, color, geo",0,icon,0
4aff1621-01bf-49f1-bf8e-e7bcf8e4fe8f,0,2296,real,pie,9,corn,mushroom,mushroom,ArrowLeft,"more, fewer",0,MORE,"icon, color, geo",0,icon,1
4aff1621-01bf-49f1-bf8e-e7bcf8e4fe8f,1,3712,real,pie,6,olive,mushroom,mushroom,ArrowRight,"more, fewer",0,MORE,"icon, color, geo",0,icon,2
4aff1621-01bf-49f1-bf8e-e7bcf8e4fe8f,1,3481,real,pie,4,carrot,mushroom,carrot,ArrowLeft,"more, fewer",0,MORE,"icon, color, geo",0,icon,3
4aff1621-01bf-49f1-bf8e-e7bcf8e4fe8f,1,2617,real,pie,1,tomato,corn,tomato,ArrowLeft,"more, fewer",0,MORE,"icon, color, geo",0,icon,4
4aff1621-01bf-49f1-bf8e-e7bcf8e4fe8f,1,2849,real,pie,5,celery,olive,celery,ArrowLeft,"more, fewer",0,MORE,"icon, color, geo",0,icon,5
4aff1621-01bf-49f1-bf8e-e7bcf8e4fe8f,1,2008,real,pie,8,corn,celery,corn,ArrowLeft,"more, fewer",0,MORE,"icon, color, geo",0,icon,6
4aff1621-01bf-49f1-bf8e-e7bcf8e4fe8f,1,3488,real,pie,2,mushroom,celery,mushroom,ArrowLeft,"more, fewer",0,MORE,"icon, color, geo",0,icon,7
4aff1621-01bf-49f1-bf8e-e7bcf8e4fe8f,1,2032,real,pie,0,eggplant,corn,corn,ArrowRight,"more, fewer",0,MORE,"icon, color, geo",0,icon,8
4aff1621-01bf-49f1-bf8e-e7bcf8e4fe8f,1,2296,real,pie,7,mushroom,corn,corn,ArrowRight,"more, fewer",0,MORE,"icon, color, geo",0,icon,9
4aff1621-01bf-49f1-bf8e-e7bcf8e4fe8f,-1,5000,training,pie,23,olive,carrot,olive,none,"more, fewer",0,MORE,"icon, color, geo",1,color,0
4aff1621-01bf-49f1-bf8e-e7bcf8e4fe8f,1,3025,training,pie,16,olive,mushroom,mushroom,ArrowRight,"more, fewer",0,MORE,"icon, color, geo",1,color,1
4aff1621-01bf-49f1-bf8e-e7bcf8e4fe8f,1,3000,training,pie,21,eggplant,mushroom,mushroom,ArrowRight,"more, fewer",0,MORE,"icon, color, geo",1,color,2
4aff1621-01bf-49f1-bf8e-e7bcf8e4fe8f,1,3616,real,pie,5,celery,olive,celery,ArrowLeft,"more, fewer",0,MORE,"icon, color, geo",1,color,0
4aff1621-01bf-49f1-bf8e-e7bcf8e4fe8f,1,2617,real,pie,2,mushroom,celery,mushroom,ArrowLeft,"more, fewer",0,MORE,"icon, color, geo",1,color,1
4aff1621-01bf-49f1-bf8e-e7bcf8e4fe8f,1,1737,real,pie,1,tomato,corn,tomato,ArrowLeft,"more, fewer",0,MORE,"icon, color, geo",1,color,2
4aff1621-01bf-49f1-bf8e-e7bcf8e4fe8f,1,3568,real,pie,0,eggplant,corn,corn,ArrowRight,"more, fewer",0,MORE,"icon, color, geo",1,color,3
4aff1621-01bf-49f1-bf8e-e7bcf8e4fe8f,1,1912,real,pie,4,carrot,mushroom,carrot,ArrowLeft,"more, fewer",0,MORE,"icon, color, geo",1,color,4
