participant_id,answer_accuracy,elapsed_time,trial_type,condition,current_stimulus_index,target_left,target_right,correct_answer,key_pressed,questions_order,question_index,question_condition,textures_order_for_question,texture_index,texture_condition,trial_number
5188f5ba-3ddf-4822-8e9d-137330605c17,-1,5000,training,bar,12,celery,corn,celery,none,"fewer, more",0,FEWER,"color, icon, geo",0,color,0
5188f5ba-3ddf-4822-8e9d-137330605c17,1,2711,training,bar,22,corn,mushroom,mushroom,ArrowRight,"fewer, more",0,FEWER,"color, icon, geo",0,color,1
5188f5ba-3ddf-4822-8e9d-137330605c17,1,3293,training,bar,21,mushroom,eggplant,eggplant,ArrowRight,"fewer, more",0,FEWER,"color, icon, geo",0,color,2
5188f5ba-3ddf-4822-8e9d-137330605c17,1,3371,real,bar,8,celery,corn,celery,ArrowLeft,"fewer, more",0,FEWER,"color, icon, geo",0,color,0
5188f5ba-3ddf-4822-8e9d-137330605c17,1,3724,real,bar,7,corn,mushroom,mushroom,ArrowRight,"fewer, more",0,FEWER,"color, icon, geo",0,color,1
5188f5ba-3ddf-4822-8e9d-137330605c17,1,3568,real,bar,5,olive,celery,olive,ArrowLeft,"fewer, more",0,FEWER,"color, icon, geo",0,color,2
5188f5ba-3ddf-4822-8e9d-137330605c17,1,2347,real,bar,2,celery,mushroom,celery,ArrowLeft,"fewer, more",0,FEWER,"color, icon, geo",0,color,3
5188f5ba-3ddf-4822-8e9d-137330605c17,1,3454,real,bar,4,mushroom,carrot,mushroom,ArrowLeft,"fewer, more",0,FEWER,"color, icon, geo",0,color,4
5188f5ba-3ddf-4822-8e9d-137330605c17,1,2707,real,bar,6,mushroom,olive,olive,ArrowRight,"fewer, more",0,FEWER,"color, icon, geo",0,color,5
5188f5ba-3ddf-4822-8e9d-137330605c17,1,3912,real,bar,0,eggplant,corn,eggplant,ArrowLeft,"fewer, more",0,FEWER,"color, icon, geo",0,color,6
5188f5ba-3ddf-4822-8e9d-137330605c17,1,2084,real,bar,9,mushroom,corn,corn,ArrowRight,"fewer, more",0,FEWER,"color, icon, geo",0,color,7
5188f5ba-3ddf-4822-8e9d-137330605c17,1,3154,real,bar,1,corn,tomato,corn,ArrowLeft,"fewer, more",0,FEWER,"color, icon, geo",0,color,8
5188f5ba-3ddf-4822-8e9d-137330605c17,1,2408,real,bar,3,corn,olive,olive,ArrowRight,"fewer, more",0,FEWER,"color, icon, geo",0,color,9
