participant_id,answer_accuracy,elapsed_time,trial_type,condition,current_stimulus_index,target_left,target_right,correct_answer,key_pressed,questions_order,question_index,question_condition,textures_order_for_question,texture_index,texture_condition,trial_number
52ded35c-7a99-42df-a3cc-0b59d5f6dab1,-1,5000,training,pie,4,carrot,celery,celery,none,"more, fewer",0,MORE,"icon, color, geo",0,icon,0
52ded35c-7a99-42df-a3cc-0b59d5f6dab1,1,4119,training,pie,2,mushroom,tomato,mushroom,ArrowLeft,"more, fewer",0,MORE,"icon, color, geo",0,icon,1
52ded35c-7a99-42df-a3cc-0b59d5f6dab1,1,3128,training,pie,19,eggplant,carrot,carrot,ArrowRight,"more, fewer",0,MORE,"icon, color, geo",0,icon,2
52ded35c-7a99-42df-a3cc-0b59d5f6dab1,1,2240,real,pie,7,mushroom,corn,corn,ArrowRight,"more, fewer",0,MORE,"icon, color, geo",0,icon,0
52ded35c-7a99-42df-a3cc-0b59d5f6dab1,1,3184,real,pie,4,carrot,mushroom,carrot,ArrowLeft,"more, fewer",0,MORE,"icon, color, geo",0,icon,1
52ded35c-7a99-42df-a3cc-0b59d5f6dab1,1,4256,real,pie,6,olive,mushroom,mushroom,ArrowRight,"more, fewer",0,MORE,"icon, color, geo",0,icon,2
52ded35c-7a99-42df-a3cc-0b59d5f6dab1,1,2432,real,pie,1,tomato,corn,tomato,ArrowLeft,"more, fewer",0,MORE,"icon, color, geo",0,icon,3
52ded35c-7a99-42df-a3cc-0b59d5f6dab1,1,3697,real,pie,5,celery,olive,celery,ArrowLeft,"more, fewer",0,MORE,"icon, color, geo",0,icon,4
52ded35c-7a99-42df-a3cc-0b59d5f6dab1,1,3120,real,pie,0,eggplant,corn,corn,ArrowRight,"more, fewer",0,MORE,"icon, color, geo",0,icon,5
52ded35c-7a99-42df-a3cc-0b59d5f6dab1,1,3409,real,pie,2,mushroom,celery,mushroom,ArrowLeft,"more, fewer",0,MORE,"icon, color, geo",0,icon,6
52ded35c-7a99-42df-a3cc-0b59d5f6dab1,1,3360,real,pie,9,corn,mushroom,mushroom,ArrowRight,"more, fewer",0,MORE,"icon, color, geo",0,icon,7
52ded35c-7a99-42df-a3cc-0b59d5f6dab1,1,3088,real,pie,3,olive,corn,corn,ArrowRight,"more, fewer",0,MORE,"icon, color, geo",0,icon,8
52ded35c-7a99-42df-a3cc-0b59d5f6dab1,1,1800,real,pie,8,corn,celery,corn,ArrowLeft,"more, fewer",0,MORE,"icon, color, geo",0,icon,9
52ded35c-7a99-42df-a3cc-0b59d5f6dab1,1,2616,training,pie,9,eggplant,mushroom,mushroom,ArrowRight,"more, fewer",0,MORE,"icon, color, geo",1,color,0
52ded35c-7a99-42df-a3cc-0b59d5f6dab1,1,3991,training,pie,21,eggplant,mushroom,mushroom,ArrowRight,"more, fewer",0,MORE,"icon, color, geo",1,color,1
52ded35c-7a99-42df-a3cc-0b59d5f6dab1,1,2112,training,pie,12,corn,celery,corn,ArrowLeft,"more, fewer",0,MORE,"icon, color, geo",1,color,2
52ded35c-7a99-42df-a3cc-0b59d5f6dab1,1,2591,real,pie,8,corn,celery,corn,ArrowLeft,"more, fewer",0,MORE,"icon, color, geo",1,color,0
52ded35c-7a99-42df-a3cc-0b59d5f6dab1,1,4136,real,pie,0,eggplant,corn,corn,ArrowRight,"more, fewer",0,MORE,"icon, color, geo",1,color,1
52ded35c-7a99-42df-a3cc-0b59d5f6dab1,1,3168,real,pie,6,olive,mushroom,mushroom,ArrowRight,"more, fewer",0,MORE,"icon, color, geo",1,color,2
52ded35c-7a99-42df-a3cc-0b59d5f6dab1,1,3265,real,pie,1,tomato,corn,tomato,ArrowLeft,"more, fewer",0,MORE,"icon, color, geo",1,color,3
52ded35c-7a99-42df-a3cc-0b59d5f6dab1,1,1632,real,pie,5,celery,olive,celery,ArrowLeft,"more, fewer",0,MORE,"icon, color, geo",1,color,4
52ded35c-7a99-42df-a3cc-0b59d5f6dab1,1,2120,real,pie,7,mushroom,corn,corn,ArrowRight,"more, fewer",0,MORE,"icon, color, geo",1,color,5
52ded35c-7a99-42df-a3cc-0b59d5f6dab1,1,2336,real,pie,3,olive,corn,corn,ArrowRight,"more, fewer",0,MORE,"icon, color, geo",1,color,6
52ded35c-7a99-42df-a3cc-0b59d5f6dab1,1,2544,real,pie,2,mushroom,celery,mushroom,ArrowLeft,"more, fewer",0,MORE,"icon, color, geo",1,color,7
52ded35c-7a99-42df-a3cc-0b59d5f6dab1,1,2832,real,pie,9,corn,mushroom,mushroom,ArrowRight,"more, fewer",0,MORE,"icon, color, geo",1,color,8
52ded35c-7a99-42df-a3cc-0b59d5f6dab1,1,4344,real,pie,4,carrot,mushroom,carrot,ArrowLeft,"more, fewer",0,MORE,"icon, color, geo",1,color,9
52ded35c-7a99-42df-a3cc-0b59d5f6dab1,1,2992,training,pie,17,mushroom,corn,mushroom,ArrowLeft,"more, fewer",0,MORE,"icon, color, geo",2,geo,0
52ded35c-7a99-42df-a3cc-0b59d5f6dab1,1,1800,training,pie,22,mushroom,corn,corn,ArrowRight,"more, fewer",0,MORE,"icon, color, geo",2,geo,1
52ded35c-7a99-42df-a3cc-0b59d5f6dab1,1,2752,training,pie,8,olive,eggplant,eggplant,ArrowRight,"more, fewer",0,MORE,"icon, color, geo",2,geo,2
52ded35c-7a99-42df-a3cc-0b59d5f6dab1,1,3688,real,pie,6,olive,mushroom,mushroom,ArrowRight,"more, fewer",0,MORE,"icon, color, geo",2,geo,0
52ded35c-7a99-42df-a3cc-0b59d5f6dab1,1,2648,real,pie,5,celery,olive,celery,ArrowLeft,"more, fewer",0,MORE,"icon, color, geo",2,geo,1
52ded35c-7a99-42df-a3cc-0b59d5f6dab1,1,2767,real,pie,9,corn,mushroom,mushroom,ArrowRight,"more, fewer",0,MORE,"icon, color, geo",2,geo,2
52ded35c-7a99-42df-a3cc-0b59d5f6dab1,1,3231,real,pie,2,mushroom,celery,mushroom,ArrowLeft,"more, fewer",0,MORE,"icon, color, geo",2,geo,3
52ded35c-7a99-42df-a3cc-0b59d5f6dab1,1,2128,real,pie,1,tomato,corn,tomato,ArrowLeft,"more, fewer",0,MORE,"icon, color, geo",2,geo,4
52ded35c-7a99-42df-a3cc-0b59d5f6dab1,1,1416,real,pie,4,carrot,mushroom,carrot,ArrowLeft,"more, fewer",0,MORE,"icon, color, geo",2,geo,5
52ded35c-7a99-42df-a3cc-0b59d5f6dab1,1,2367,real,pie,0,eggplant,corn,corn,ArrowRight,"more, fewer",0,MORE,"icon, color, geo",2,geo,6
52ded35c-7a99-42df-a3cc-0b59d5f6dab1,1,2408,real,pie,8,corn,celery,corn,ArrowLeft,"more, fewer",0,MORE,"icon, color, geo",2,geo,7
52ded35c-7a99-42df-a3cc-0b59d5f6dab1,-1,5000,real,pie,7,mushroom,corn,corn,none,"more, fewer",0,MORE,"icon, color, geo",2,geo,8
52ded35c-7a99-42df-a3cc-0b59d5f6dab1,1,1929,real,pie,3,olive,corn,corn,ArrowRight,"more, fewer",0,MORE,"icon, color, geo",2,geo,9
52ded35c-7a99-42df-a3cc-0b59d5f6dab1,1,3288,training,pie,18,eggplant,corn,corn,ArrowRight,"more, fewer",1,FEWER,"color, icon, geo",0,color,0
52ded35c-7a99-42df-a3cc-0b59d5f6dab1,1,3648,training,pie,8,olive,eggplant,olive,ArrowLeft,"more, fewer",1,FEWER,"color, icon, geo",0,color,1
52ded35c-7a99-42df-a3cc-0b59d5f6dab1,1,2201,training,pie,20,tomato,eggplant,tomato,ArrowLeft,"more, fewer",1,FEWER,"color, icon, geo",0,color,2
52ded35c-7a99-42df-a3cc-0b59d5f6dab1,1,1640,real,pie,8,corn,celery,celery,ArrowRight,"more, fewer",1,FEWER,"color, icon, geo",0,color,0
52ded35c-7a99-42df-a3cc-0b59d5f6dab1,0,3512,real,pie,0,eggplant,corn,eggplant,ArrowRight,"more, fewer",1,FEWER,"color, icon, geo",0,color,1
52ded35c-7a99-42df-a3cc-0b59d5f6dab1,1,3464,real,pie,6,olive,mushroom,olive,ArrowLeft,"more, fewer",1,FEWER,"color, icon, geo",0,color,2
52ded35c-7a99-42df-a3cc-0b59d5f6dab1,1,2512,real,pie,1,tomato,corn,corn,ArrowRight,"more, fewer",1,FEWER,"color, icon, geo",0,color,3
52ded35c-7a99-42df-a3cc-0b59d5f6dab1,1,3752,real,pie,5,celery,olive,olive,ArrowRight,"more, fewer",1,FEWER,"color, icon, geo",0,color,4
52ded35c-7a99-42df-a3cc-0b59d5f6dab1,1,3296,real,pie,7,mushroom,corn,mushroom,ArrowLeft,"more, fewer",1,FEWER,"color, icon, geo",0,color,5
52ded35c-7a99-42df-a3cc-0b59d5f6dab1,1,2559,real,pie,3,olive,corn,olive,ArrowLeft,"more, fewer",1,FEWER,"color, icon, geo",0,color,6
52ded35c-7a99-42df-a3cc-0b59d5f6dab1,1,2536,real,pie,2,mushroom,celery,celery,ArrowRight,"more, fewer",1,FEWER,"color, icon, geo",0,color,7
