participant_id,answer_accuracy,elapsed_time,trial_type,condition,current_stimulus_index,target_left,target_right,correct_answer,key_pressed,questions_order,question_index,question_condition,textures_order_for_question,texture_index,texture_condition,trial_number
533e3e71-7c61-4059-9a4f-2a1714a7a205,1,3545,training,pie,6,celery,mushroom,celery,ArrowLeft,"more, fewer",0,MORE,"geo, color, icon",0,geo,0
533e3e71-7c61-4059-9a4f-2a1714a7a205,-1,5000,training,pie,8,olive,eggplant,eggplant,none,"more, fewer",0,MORE,"geo, color, icon",0,geo,1
533e3e71-7c61-4059-9a4f-2a1714a7a205,1,2128,training,pie,20,tomato,eggplant,eggplant,ArrowRight,"more, fewer",0,MORE,"geo, color, icon",0,geo,2
533e3e71-7c61-4059-9a4f-2a1714a7a205,1,2744,real,pie,9,corn,mushroom,mushroom,ArrowRight,"more, fewer",0,MORE,"geo, color, icon",0,geo,0
533e3e71-7c61-4059-9a4f-2a1714a7a205,1,2464,real,pie,6,olive,mushroom,mushroom,ArrowRight,"more, fewer",0,MORE,"geo, color, icon",0,geo,1
533e3e71-7c61-4059-9a4f-2a1714a7a205,1,2672,real,pie,3,olive,corn,corn,ArrowRight,"more, fewer",0,MORE,"geo, color, icon",0,geo,2
533e3e71-7c61-4059-9a4f-2a1714a7a205,1,4015,real,pie,0,eggplant,corn,corn,ArrowRight,"more, fewer",0,MORE,"geo, color, icon",0,geo,3
533e3e71-7c61-4059-9a4f-2a1714a7a205,1,2640,real,pie,4,carrot,mushroom,carrot,ArrowLeft,"more, fewer",0,MORE,"geo, color, icon",0,geo,4
533e3e71-7c61-4059-9a4f-2a1714a7a205,0,2408,real,pie,5,celery,olive,celery,ArrowRight,"more, fewer",0,MORE,"geo, color, icon",0,geo,5
533e3e71-7c61-4059-9a4f-2a1714a7a205,1,2880,real,pie,7,mushroom,corn,corn,ArrowRight,"more, fewer",0,MORE,"geo, color, icon",0,geo,6
533e3e71-7c61-4059-9a4f-2a1714a7a205,1,2720,real,pie,8,corn,celery,corn,ArrowLeft,"more, fewer",0,MORE,"geo, color, icon",0,geo,7
533e3e71-7c61-4059-9a4f-2a1714a7a205,0,2728,real,pie,2,mushroom,celery,mushroom,ArrowRight,"more, fewer",0,MORE,"geo, color, icon",0,geo,8
533e3e71-7c61-4059-9a4f-2a1714a7a205,1,3441,real,pie,1,tomato,corn,tomato,ArrowLeft,"more, fewer",0,MORE,"geo, color, icon",0,geo,9
533e3e71-7c61-4059-9a4f-2a1714a7a205,0,3168,training,pie,27,corn,olive,corn,ArrowRight,"more, fewer",0,MORE,"geo, color, icon",1,color,0
533e3e71-7c61-4059-9a4f-2a1714a7a205,1,1808,training,pie,23,olive,carrot,olive,ArrowLeft,"more, fewer",0,MORE,"geo, color, icon",1,color,1
533e3e71-7c61-4059-9a4f-2a1714a7a205,1,3304,training,pie,28,celery,mushroom,mushroom,ArrowRight,"more, fewer",0,MORE,"geo, color, icon",1,color,2
533e3e71-7c61-4059-9a4f-2a1714a7a205,1,3096,real,pie,9,corn,mushroom,mushroom,ArrowRight,"more, fewer",0,MORE,"geo, color, icon",1,color,0
533e3e71-7c61-4059-9a4f-2a1714a7a205,1,3352,real,pie,4,carrot,mushroom,carrot,ArrowLeft,"more, fewer",0,MORE,"geo, color, icon",1,color,1
533e3e71-7c61-4059-9a4f-2a1714a7a205,1,2680,real,pie,1,tomato,corn,tomato,ArrowLeft,"more, fewer",0,MORE,"geo, color, icon",1,color,2
533e3e71-7c61-4059-9a4f-2a1714a7a205,1,3528,real,pie,5,celery,olive,celery,ArrowLeft,"more, fewer",0,MORE,"geo, color, icon",1,color,3
533e3e71-7c61-4059-9a4f-2a1714a7a205,1,4952,real,pie,0,eggplant,corn,corn,ArrowRight,"more, fewer",0,MORE,"geo, color, icon",1,color,4
533e3e71-7c61-4059-9a4f-2a1714a7a205,1,2568,real,pie,6,olive,mushroom,mushroom,ArrowRight,"more, fewer",0,MORE,"geo, color, icon",1,color,5
533e3e71-7c61-4059-9a4f-2a1714a7a205,1,3360,real,pie,7,mushroom,corn,corn,ArrowRight,"more, fewer",0,MORE,"geo, color, icon",1,color,6
533e3e71-7c61-4059-9a4f-2a1714a7a205,1,4320,real,pie,3,olive,corn,corn,ArrowRight,"more, fewer",0,MORE,"geo, color, icon",1,color,7
533e3e71-7c61-4059-9a4f-2a1714a7a205,1,3263,real,pie,2,mushroom,celery,mushroom,ArrowLeft,"more, fewer",0,MORE,"geo, color, icon",1,color,8
533e3e71-7c61-4059-9a4f-2a1714a7a205,1,2831,real,pie,8,corn,celery,corn,ArrowLeft,"more, fewer",0,MORE,"geo, color, icon",1,color,9
533e3e71-7c61-4059-9a4f-2a1714a7a205,1,2903,training,pie,20,tomato,eggplant,eggplant,ArrowRight,"more, fewer",0,MORE,"geo, color, icon",2,icon,0
533e3e71-7c61-4059-9a4f-2a1714a7a205,1,3559,training,pie,14,tomato,eggplant,tomato,ArrowLeft,"more, fewer",0,MORE,"geo, color, icon",2,icon,1
533e3e71-7c61-4059-9a4f-2a1714a7a205,1,3376,training,pie,16,olive,mushroom,mushroom,ArrowRight,"more, fewer",0,MORE,"geo, color, icon",2,icon,2
533e3e71-7c61-4059-9a4f-2a1714a7a205,1,2328,real,pie,8,corn,celery,corn,ArrowLeft,"more, fewer",0,MORE,"geo, color, icon",2,icon,0
533e3e71-7c61-4059-9a4f-2a1714a7a205,1,1480,real,pie,1,tomato,corn,tomato,ArrowLeft,"more, fewer",0,MORE,"geo, color, icon",2,icon,1
533e3e71-7c61-4059-9a4f-2a1714a7a205,1,3464,real,pie,6,olive,mushroom,mushroom,ArrowRight,"more, fewer",0,MORE,"geo, color, icon",2,icon,2
533e3e71-7c61-4059-9a4f-2a1714a7a205,1,2712,real,pie,4,carrot,mushroom,carrot,ArrowLeft,"more, fewer",0,MORE,"geo, color, icon",2,icon,3
533e3e71-7c61-4059-9a4f-2a1714a7a205,1,1992,real,pie,3,olive,corn,corn,ArrowRight,"more, fewer",0,MORE,"geo, color, icon",2,icon,4
533e3e71-7c61-4059-9a4f-2a1714a7a205,0,2991,real,pie,9,corn,mushroom,mushroom,ArrowLeft,"more, fewer",0,MORE,"geo, color, icon",2,icon,5
533e3e71-7c61-4059-9a4f-2a1714a7a205,1,3032,real,pie,2,mushroom,celery,mushroom,ArrowLeft,"more, fewer",0,MORE,"geo, color, icon",2,icon,6
533e3e71-7c61-4059-9a4f-2a1714a7a205,1,4672,real,pie,0,eggplant,corn,corn,ArrowRight,"more, fewer",0,MORE,"geo, color, icon",2,icon,7
533e3e71-7c61-4059-9a4f-2a1714a7a205,1,2208,real,pie,7,mushroom,corn,corn,ArrowRight,"more, fewer",0,MORE,"geo, color, icon",2,icon,8
533e3e71-7c61-4059-9a4f-2a1714a7a205,0,2920,real,pie,5,celery,olive,celery,ArrowRight,"more, fewer",0,MORE,"geo, color, icon",2,icon,9
533e3e71-7c61-4059-9a4f-2a1714a7a205,1,4240,training,pie,2,mushroom,tomato,tomato,ArrowRight,"more, fewer",1,FEWER,"color, icon, geo",0,color,0
533e3e71-7c61-4059-9a4f-2a1714a7a205,-1,5000,training,pie,3,celery,carrot,carrot,none,"more, fewer",1,FEWER,"color, icon, geo",0,color,1
533e3e71-7c61-4059-9a4f-2a1714a7a205,1,4504,training,pie,19,eggplant,carrot,eggplant,ArrowLeft,"more, fewer",1,FEWER,"color, icon, geo",0,color,2
533e3e71-7c61-4059-9a4f-2a1714a7a205,1,4152,real,pie,9,corn,mushroom,corn,ArrowLeft,"more, fewer",1,FEWER,"color, icon, geo",0,color,0
533e3e71-7c61-4059-9a4f-2a1714a7a205,0,2032,real,pie,4,carrot,mushroom,mushroom,ArrowLeft,"more, fewer",1,FEWER,"color, icon, geo",0,color,1
533e3e71-7c61-4059-9a4f-2a1714a7a205,1,2336,real,pie,1,tomato,corn,corn,ArrowRight,"more, fewer",1,FEWER,"color, icon, geo",0,color,2
533e3e71-7c61-4059-9a4f-2a1714a7a205,1,4192,real,pie,5,celery,olive,olive,ArrowRight,"more, fewer",1,FEWER,"color, icon, geo",0,color,3
533e3e71-7c61-4059-9a4f-2a1714a7a205,-1,5000,real,pie,0,eggplant,corn,eggplant,none,"more, fewer",1,FEWER,"color, icon, geo",0,color,4
533e3e71-7c61-4059-9a4f-2a1714a7a205,1,2880,real,pie,6,olive,mushroom,olive,ArrowLeft,"more, fewer",1,FEWER,"color, icon, geo",0,color,5
533e3e71-7c61-4059-9a4f-2a1714a7a205,1,2560,real,pie,7,mushroom,corn,mushroom,ArrowLeft,"more, fewer",1,FEWER,"color, icon, geo",0,color,6
533e3e71-7c61-4059-9a4f-2a1714a7a205,1,3680,real,pie,3,olive,corn,olive,ArrowLeft,"more, fewer",1,FEWER,"color, icon, geo",0,color,7
533e3e71-7c61-4059-9a4f-2a1714a7a205,1,3072,real,pie,2,mushroom,celery,celery,ArrowRight,"more, fewer",1,FEWER,"color, icon, geo",0,color,8
533e3e71-7c61-4059-9a4f-2a1714a7a205,1,3544,real,pie,8,corn,celery,celery,ArrowRight,"more, fewer",1,FEWER,"color, icon, geo",0,color,9
533e3e71-7c61-4059-9a4f-2a1714a7a205,-1,5000,training,pie,7,celery,eggplant,eggplant,none,"more, fewer",1,FEWER,"color, icon, geo",1,icon,0
533e3e71-7c61-4059-9a4f-2a1714a7a205,1,3600,training,pie,27,corn,olive,olive,ArrowRight,"more, fewer",1,FEWER,"color, icon, geo",1,icon,1
533e3e71-7c61-4059-9a4f-2a1714a7a205,1,2920,training,pie,25,eggplant,corn,eggplant,ArrowLeft,"more, fewer",1,FEWER,"color, icon, geo",1,icon,2
533e3e71-7c61-4059-9a4f-2a1714a7a205,1,3183,real,pie,8,corn,celery,celery,ArrowRight,"more, fewer",1,FEWER,"color, icon, geo",1,icon,0
533e3e71-7c61-4059-9a4f-2a1714a7a205,-1,5000,real,pie,1,tomato,corn,corn,none,"more, fewer",1,FEWER,"color, icon, geo",1,icon,1
533e3e71-7c61-4059-9a4f-2a1714a7a205,0,3040,real,pie,6,olive,mushroom,olive,ArrowRight,"more, fewer",1,FEWER,"color, icon, geo",1,icon,2
533e3e71-7c61-4059-9a4f-2a1714a7a205,1,3696,real,pie,4,carrot,mushroom,mushroom,ArrowRight,"more, fewer",1,FEWER,"color, icon, geo",1,icon,3
533e3e71-7c61-4059-9a4f-2a1714a7a205,1,2952,real,pie,3,olive,corn,olive,ArrowLeft,"more, fewer",1,FEWER,"color, icon, geo",1,icon,4
533e3e71-7c61-4059-9a4f-2a1714a7a205,0,2584,real,pie,9,corn,mushroom,corn,ArrowRight,"more, fewer",1,FEWER,"color, icon, geo",1,icon,5
533e3e71-7c61-4059-9a4f-2a1714a7a205,1,2807,real,pie,2,mushroom,celery,celery,ArrowRight,"more, fewer",1,FEWER,"color, icon, geo",1,icon,6
533e3e71-7c61-4059-9a4f-2a1714a7a205,1,2623,real,pie,0,eggplant,corn,eggplant,ArrowLeft,"more, fewer",1,FEWER,"color, icon, geo",1,icon,7
533e3e71-7c61-4059-9a4f-2a1714a7a205,1,2192,real,pie,7,mushroom,corn,mushroom,ArrowLeft,"more, fewer",1,FEWER,"color, icon, geo",1,icon,8
533e3e71-7c61-4059-9a4f-2a1714a7a205,0,2520,real,pie,5,celery,olive,olive,ArrowLeft,"more, fewer",1,FEWER,"color, icon, geo",1,icon,9
533e3e71-7c61-4059-9a4f-2a1714a7a205,1,3048,training,pie,5,olive,carrot,carrot,ArrowRight,"more, fewer",1,FEWER,"color, icon, geo",2,geo,0
533e3e71-7c61-4059-9a4f-2a1714a7a205,1,2392,training,pie,18,eggplant,corn,corn,ArrowRight,"more, fewer",1,FEWER,"color, icon, geo",2,geo,1
533e3e71-7c61-4059-9a4f-2a1714a7a205,1,2840,training,pie,17,mushroom,corn,corn,ArrowRight,"more, fewer",1,FEWER,"color, icon, geo",2,geo,2
533e3e71-7c61-4059-9a4f-2a1714a7a205,1,4280,real,pie,9,corn,mushroom,corn,ArrowLeft,"more, fewer",1,FEWER,"color, icon, geo",2,geo,0
533e3e71-7c61-4059-9a4f-2a1714a7a205,0,2000,real,pie,6,olive,mushroom,olive,ArrowRight,"more, fewer",1,FEWER,"color, icon, geo",2,geo,1
533e3e71-7c61-4059-9a4f-2a1714a7a205,1,2832,real,pie,3,olive,corn,olive,ArrowLeft,"more, fewer",1,FEWER,"color, icon, geo",2,geo,2
533e3e71-7c61-4059-9a4f-2a1714a7a205,1,2976,real,pie,0,eggplant,corn,eggplant,ArrowLeft,"more, fewer",1,FEWER,"color, icon, geo",2,geo,3
533e3e71-7c61-4059-9a4f-2a1714a7a205,1,3896,real,pie,4,carrot,mushroom,mushroom,ArrowRight,"more, fewer",1,FEWER,"color, icon, geo",2,geo,4
533e3e71-7c61-4059-9a4f-2a1714a7a205,0,3872,real,pie,5,celery,olive,olive,ArrowLeft,"more, fewer",1,FEWER,"color, icon, geo",2,geo,5
533e3e71-7c61-4059-9a4f-2a1714a7a205,0,2008,real,pie,7,mushroom,corn,mushroom,ArrowRight,"more, fewer",1,FEWER,"color, icon, geo",2,geo,6
533e3e71-7c61-4059-9a4f-2a1714a7a205,1,1872,real,pie,8,corn,celery,celery,ArrowRight,"more, fewer",1,FEWER,"color, icon, geo",2,geo,7
533e3e71-7c61-4059-9a4f-2a1714a7a205,1,1712,real,pie,2,mushroom,celery,celery,ArrowRight,"more, fewer",1,FEWER,"color, icon, geo",2,geo,8
533e3e71-7c61-4059-9a4f-2a1714a7a205,0,3216,real,pie,1,tomato,corn,corn,ArrowLeft,"more, fewer",1,FEWER,"color, icon, geo",2,geo,9
