participant_id,answer_accuracy,elapsed_time,trial_type,condition,current_stimulus_index,target_left,target_right,correct_answer,key_pressed,questions_order,question_index,question_condition,textures_order_for_question,texture_index,texture_condition,trial_number
545df376-22b2-442a-b4d9-ddcd80922ef3,0,4207,training,bar,7,eggplant,celery,eggplant,ArrowRight,"fewer, more",0,FEWER,"geo, icon, color",0,geo,0
545df376-22b2-442a-b4d9-ddcd80922ef3,1,2389,training,bar,7,eggplant,celery,eggplant,ArrowLeft,"fewer, more",0,FEWER,"geo, icon, color",0,geo,1
545df376-22b2-442a-b4d9-ddcd80922ef3,1,4277,training,bar,27,corn,olive,olive,ArrowRight,"fewer, more",0,FEWER,"geo, icon, color",0,geo,2
545df376-22b2-442a-b4d9-ddcd80922ef3,1,3985,real,bar,2,celery,mushroom,celery,ArrowLeft,"fewer, more",0,FEWER,"geo, icon, color",0,geo,0
545df376-22b2-442a-b4d9-ddcd80922ef3,1,1969,real,bar,3,corn,olive,olive,ArrowRight,"fewer, more",0,FEWER,"geo, icon, color",0,geo,1
545df376-22b2-442a-b4d9-ddcd80922ef3,1,3868,real,bar,8,celery,corn,celery,ArrowLeft,"fewer, more",0,FEWER,"geo, icon, color",0,geo,2
545df376-22b2-442a-b4d9-ddcd80922ef3,1,3194,real,bar,4,mushroom,carrot,mushroom,ArrowLeft,"fewer, more",0,FEWER,"geo, icon, color",0,geo,3
545df376-22b2-442a-b4d9-ddcd80922ef3,1,2585,real,bar,1,corn,tomato,corn,ArrowLeft,"fewer, more",0,FEWER,"geo, icon, color",0,geo,4
545df376-22b2-442a-b4d9-ddcd80922ef3,1,4442,real,bar,6,mushroom,olive,olive,ArrowRight,"fewer, more",0,FEWER,"geo, icon, color",0,geo,5
545df376-22b2-442a-b4d9-ddcd80922ef3,1,4130,real,bar,7,corn,mushroom,mushroom,ArrowRight,"fewer, more",0,FEWER,"geo, icon, color",0,geo,6
545df376-22b2-442a-b4d9-ddcd80922ef3,1,2054,real,bar,0,eggplant,corn,eggplant,ArrowLeft,"fewer, more",0,FEWER,"geo, icon, color",0,geo,7
545df376-22b2-442a-b4d9-ddcd80922ef3,1,2133,real,bar,9,mushroom,corn,corn,ArrowRight,"fewer, more",0,FEWER,"geo, icon, color",0,geo,8
545df376-22b2-442a-b4d9-ddcd80922ef3,1,3667,real,bar,5,olive,celery,olive,ArrowLeft,"fewer, more",0,FEWER,"geo, icon, color",0,geo,9
545df376-22b2-442a-b4d9-ddcd80922ef3,1,2076,training,bar,20,eggplant,tomato,tomato,ArrowRight,"fewer, more",0,FEWER,"geo, icon, color",1,icon,0
545df376-22b2-442a-b4d9-ddcd80922ef3,1,4083,training,bar,22,corn,mushroom,mushroom,ArrowRight,"fewer, more",0,FEWER,"geo, icon, color",1,icon,1
545df376-22b2-442a-b4d9-ddcd80922ef3,1,3075,training,bar,12,celery,corn,celery,ArrowLeft,"fewer, more",0,FEWER,"geo, icon, color",1,icon,2
545df376-22b2-442a-b4d9-ddcd80922ef3,1,1552,real,bar,9,mushroom,corn,corn,ArrowRight,"fewer, more",0,FEWER,"geo, icon, color",1,icon,0
545df376-22b2-442a-b4d9-ddcd80922ef3,1,3131,real,bar,5,olive,celery,olive,ArrowLeft,"fewer, more",0,FEWER,"geo, icon, color",1,icon,1
545df376-22b2-442a-b4d9-ddcd80922ef3,1,2589,real,bar,8,celery,corn,celery,ArrowLeft,"fewer, more",0,FEWER,"geo, icon, color",1,icon,2
545df376-22b2-442a-b4d9-ddcd80922ef3,1,1232,real,bar,2,celery,mushroom,celery,ArrowLeft,"fewer, more",0,FEWER,"geo, icon, color",1,icon,3
545df376-22b2-442a-b4d9-ddcd80922ef3,1,3502,real,bar,7,corn,mushroom,mushroom,ArrowRight,"fewer, more",0,FEWER,"geo, icon, color",1,icon,4
545df376-22b2-442a-b4d9-ddcd80922ef3,1,2487,real,bar,0,eggplant,corn,eggplant,ArrowLeft,"fewer, more",0,FEWER,"geo, icon, color",1,icon,5
545df376-22b2-442a-b4d9-ddcd80922ef3,1,2982,real,bar,3,corn,olive,olive,ArrowRight,"fewer, more",0,FEWER,"geo, icon, color",1,icon,6
545df376-22b2-442a-b4d9-ddcd80922ef3,1,2029,real,bar,4,mushroom,carrot,mushroom,ArrowLeft,"fewer, more",0,FEWER,"geo, icon, color",1,icon,7
545df376-22b2-442a-b4d9-ddcd80922ef3,1,1408,real,bar,6,mushroom,olive,olive,ArrowRight,"fewer, more",0,FEWER,"geo, icon, color",1,icon,8
545df376-22b2-442a-b4d9-ddcd80922ef3,1,1722,real,bar,1,corn,tomato,corn,ArrowLeft,"fewer, more",0,FEWER,"geo, icon, color",1,icon,9
545df376-22b2-442a-b4d9-ddcd80922ef3,1,1773,training,bar,23,carrot,olive,carrot,ArrowLeft,"fewer, more",0,FEWER,"geo, icon, color",2,color,0
545df376-22b2-442a-b4d9-ddcd80922ef3,1,2275,training,bar,12,celery,corn,celery,ArrowLeft,"fewer, more",0,FEWER,"geo, icon, color",2,color,1
545df376-22b2-442a-b4d9-ddcd80922ef3,1,1437,training,bar,12,celery,corn,celery,ArrowLeft,"fewer, more",0,FEWER,"geo, icon, color",2,color,2
545df376-22b2-442a-b4d9-ddcd80922ef3,0,1391,real,bar,9,mushroom,corn,corn,ArrowLeft,"fewer, more",0,FEWER,"geo, icon, color",2,color,0
545df376-22b2-442a-b4d9-ddcd80922ef3,1,3012,real,bar,8,celery,corn,celery,ArrowLeft,"fewer, more",0,FEWER,"geo, icon, color",2,color,1
545df376-22b2-442a-b4d9-ddcd80922ef3,1,3958,real,bar,3,corn,olive,olive,ArrowRight,"fewer, more",0,FEWER,"geo, icon, color",2,color,2
545df376-22b2-442a-b4d9-ddcd80922ef3,1,2914,real,bar,5,olive,celery,olive,ArrowLeft,"fewer, more",0,FEWER,"geo, icon, color",2,color,3
545df376-22b2-442a-b4d9-ddcd80922ef3,1,2321,real,bar,7,corn,mushroom,mushroom,ArrowRight,"fewer, more",0,FEWER,"geo, icon, color",2,color,4
545df376-22b2-442a-b4d9-ddcd80922ef3,1,3199,real,bar,1,corn,tomato,corn,ArrowLeft,"fewer, more",0,FEWER,"geo, icon, color",2,color,5
545df376-22b2-442a-b4d9-ddcd80922ef3,1,2161,real,bar,0,eggplant,corn,eggplant,ArrowLeft,"fewer, more",0,FEWER,"geo, icon, color",2,color,6
545df376-22b2-442a-b4d9-ddcd80922ef3,1,1380,real,bar,6,mushroom,olive,olive,ArrowRight,"fewer, more",0,FEWER,"geo, icon, color",2,color,7
545df376-22b2-442a-b4d9-ddcd80922ef3,0,1255,real,bar,4,mushroom,carrot,mushroom,ArrowRight,"fewer, more",0,FEWER,"geo, icon, color",2,color,8
545df376-22b2-442a-b4d9-ddcd80922ef3,1,1380,real,bar,2,celery,mushroom,celery,ArrowLeft,"fewer, more",0,FEWER,"geo, icon, color",2,color,9
545df376-22b2-442a-b4d9-ddcd80922ef3,1,4381,training,bar,9,mushroom,eggplant,mushroom,ArrowLeft,"fewer, more",1,MORE,"geo, color, icon",0,geo,0
545df376-22b2-442a-b4d9-ddcd80922ef3,1,3822,training,bar,27,corn,olive,corn,ArrowLeft,"fewer, more",1,MORE,"geo, color, icon",0,geo,1
545df376-22b2-442a-b4d9-ddcd80922ef3,1,3667,training,bar,9,mushroom,eggplant,mushroom,ArrowLeft,"fewer, more",1,MORE,"geo, color, icon",0,geo,2
545df376-22b2-442a-b4d9-ddcd80922ef3,1,2065,real,bar,2,celery,mushroom,mushroom,ArrowRight,"fewer, more",1,MORE,"geo, color, icon",0,geo,0
545df376-22b2-442a-b4d9-ddcd80922ef3,1,4358,real,bar,3,corn,olive,corn,ArrowLeft,"fewer, more",1,MORE,"geo, color, icon",0,geo,1
545df376-22b2-442a-b4d9-ddcd80922ef3,1,1557,real,bar,8,celery,corn,corn,ArrowRight,"fewer, more",1,MORE,"geo, color, icon",0,geo,2
545df376-22b2-442a-b4d9-ddcd80922ef3,1,2133,real,bar,4,mushroom,carrot,carrot,ArrowRight,"fewer, more",1,MORE,"geo, color, icon",0,geo,3
545df376-22b2-442a-b4d9-ddcd80922ef3,1,2020,real,bar,1,corn,tomato,tomato,ArrowRight,"fewer, more",1,MORE,"geo, color, icon",0,geo,4
545df376-22b2-442a-b4d9-ddcd80922ef3,1,3188,real,bar,6,mushroom,olive,mushroom,ArrowLeft,"fewer, more",1,MORE,"geo, color, icon",0,geo,5
545df376-22b2-442a-b4d9-ddcd80922ef3,0,3205,real,bar,7,corn,mushroom,corn,ArrowRight,"fewer, more",1,MORE,"geo, color, icon",0,geo,6
545df376-22b2-442a-b4d9-ddcd80922ef3,1,4414,real,bar,0,eggplant,corn,corn,ArrowRight,"fewer, more",1,MORE,"geo, color, icon",0,geo,7
545df376-22b2-442a-b4d9-ddcd80922ef3,1,2031,real,bar,9,mushroom,corn,mushroom,ArrowLeft,"fewer, more",1,MORE,"geo, color, icon",0,geo,8
545df376-22b2-442a-b4d9-ddcd80922ef3,1,3728,real,bar,5,olive,celery,celery,ArrowRight,"fewer, more",1,MORE,"geo, color, icon",0,geo,9
545df376-22b2-442a-b4d9-ddcd80922ef3,1,1762,training,bar,27,corn,olive,corn,ArrowLeft,"fewer, more",1,MORE,"geo, color, icon",1,color,0
545df376-22b2-442a-b4d9-ddcd80922ef3,1,1911,training,bar,2,tomato,mushroom,mushroom,ArrowRight,"fewer, more",1,MORE,"geo, color, icon",1,color,1
545df376-22b2-442a-b4d9-ddcd80922ef3,1,3303,training,bar,11,tomato,carrot,tomato,ArrowLeft,"fewer, more",1,MORE,"geo, color, icon",1,color,2
545df376-22b2-442a-b4d9-ddcd80922ef3,1,2885,real,bar,9,mushroom,corn,mushroom,ArrowLeft,"fewer, more",1,MORE,"geo, color, icon",1,color,0
545df376-22b2-442a-b4d9-ddcd80922ef3,1,2036,real,bar,8,celery,corn,corn,ArrowRight,"fewer, more",1,MORE,"geo, color, icon",1,color,1
545df376-22b2-442a-b4d9-ddcd80922ef3,1,1678,real,bar,3,corn,olive,corn,ArrowLeft,"fewer, more",1,MORE,"geo, color, icon",1,color,2
545df376-22b2-442a-b4d9-ddcd80922ef3,1,1728,real,bar,5,olive,celery,celery,ArrowRight,"fewer, more",1,MORE,"geo, color, icon",1,color,3
545df376-22b2-442a-b4d9-ddcd80922ef3,1,2600,real,bar,7,corn,mushroom,corn,ArrowLeft,"fewer, more",1,MORE,"geo, color, icon",1,color,4
545df376-22b2-442a-b4d9-ddcd80922ef3,1,3817,real,bar,1,corn,tomato,tomato,ArrowRight,"fewer, more",1,MORE,"geo, color, icon",1,color,5
545df376-22b2-442a-b4d9-ddcd80922ef3,1,3656,real,bar,0,eggplant,corn,corn,ArrowRight,"fewer, more",1,MORE,"geo, color, icon",1,color,6
545df376-22b2-442a-b4d9-ddcd80922ef3,1,2286,real,bar,6,mushroom,olive,mushroom,ArrowLeft,"fewer, more",1,MORE,"geo, color, icon",1,color,7
545df376-22b2-442a-b4d9-ddcd80922ef3,1,3285,real,bar,4,mushroom,carrot,carrot,ArrowRight,"fewer, more",1,MORE,"geo, color, icon",1,color,8
545df376-22b2-442a-b4d9-ddcd80922ef3,1,4392,real,bar,2,celery,mushroom,mushroom,ArrowRight,"fewer, more",1,MORE,"geo, color, icon",1,color,9
