participant_id,answer_accuracy,elapsed_time,trial_type,condition,current_stimulus_index,target_left,target_right,correct_answer,key_pressed,questions_order,question_index,question_condition,textures_order_for_question,texture_index,texture_condition,trial_number
572c4ad8-6a2e-44dd-a4f9-f229a9003f4f,1,3398,training,pie,1,mushroom,corn,mushroom,ArrowLeft,"more, fewer",0,MORE,"geo, color, icon",0,geo,0
572c4ad8-6a2e-44dd-a4f9-f229a9003f4f,1,4273,training,pie,26,olive,mushroom,olive,ArrowLeft,"more, fewer",0,MORE,"geo, color, icon",0,geo,1
572c4ad8-6a2e-44dd-a4f9-f229a9003f4f,1,1995,training,pie,7,celery,eggplant,celery,ArrowLeft,"more, fewer",0,MORE,"geo, color, icon",0,geo,2
572c4ad8-6a2e-44dd-a4f9-f229a9003f4f,1,2847,real,pie,0,eggplant,corn,corn,ArrowRight,"more, fewer",0,MORE,"geo, color, icon",0,geo,0
572c4ad8-6a2e-44dd-a4f9-f229a9003f4f,1,2722,real,pie,2,mushroom,celery,mushroom,ArrowLeft,"more, fewer",0,MORE,"geo, color, icon",0,geo,1
572c4ad8-6a2e-44dd-a4f9-f229a9003f4f,1,2526,real,pie,1,tomato,corn,tomato,ArrowLeft,"more, fewer",0,MORE,"geo, color, icon",0,geo,2
572c4ad8-6a2e-44dd-a4f9-f229a9003f4f,1,3773,real,pie,7,mushroom,corn,corn,ArrowRight,"more, fewer",0,MORE,"geo, color, icon",0,geo,3
572c4ad8-6a2e-44dd-a4f9-f229a9003f4f,1,2554,real,pie,8,corn,celery,corn,ArrowLeft,"more, fewer",0,MORE,"geo, color, icon",0,geo,4
572c4ad8-6a2e-44dd-a4f9-f229a9003f4f,1,3662,real,pie,9,corn,mushroom,mushroom,ArrowRight,"more, fewer",0,MORE,"geo, color, icon",0,geo,5
572c4ad8-6a2e-44dd-a4f9-f229a9003f4f,0,2057,real,pie,3,olive,corn,corn,ArrowLeft,"more, fewer",0,MORE,"geo, color, icon",0,geo,6
572c4ad8-6a2e-44dd-a4f9-f229a9003f4f,1,3405,real,pie,4,carrot,mushroom,carrot,ArrowLeft,"more, fewer",0,MORE,"geo, color, icon",0,geo,7
572c4ad8-6a2e-44dd-a4f9-f229a9003f4f,1,3923,real,pie,5,celery,olive,celery,ArrowLeft,"more, fewer",0,MORE,"geo, color, icon",0,geo,8
572c4ad8-6a2e-44dd-a4f9-f229a9003f4f,1,3013,real,pie,6,olive,mushroom,mushroom,ArrowRight,"more, fewer",0,MORE,"geo, color, icon",0,geo,9
572c4ad8-6a2e-44dd-a4f9-f229a9003f4f,1,2388,training,pie,9,eggplant,mushroom,mushroom,ArrowRight,"more, fewer",0,MORE,"geo, color, icon",1,color,0
572c4ad8-6a2e-44dd-a4f9-f229a9003f4f,1,3244,training,pie,12,corn,celery,corn,ArrowLeft,"more, fewer",0,MORE,"geo, color, icon",1,color,1
572c4ad8-6a2e-44dd-a4f9-f229a9003f4f,1,4063,training,pie,5,olive,carrot,olive,ArrowLeft,"more, fewer",0,MORE,"geo, color, icon",1,color,2
572c4ad8-6a2e-44dd-a4f9-f229a9003f4f,1,4852,real,pie,0,eggplant,corn,corn,ArrowRight,"more, fewer",0,MORE,"geo, color, icon",1,color,0
572c4ad8-6a2e-44dd-a4f9-f229a9003f4f,1,2467,real,pie,7,mushroom,corn,corn,ArrowRight,"more, fewer",0,MORE,"geo, color, icon",1,color,1
572c4ad8-6a2e-44dd-a4f9-f229a9003f4f,1,2568,real,pie,2,mushroom,celery,mushroom,ArrowLeft,"more, fewer",0,MORE,"geo, color, icon",1,color,2
572c4ad8-6a2e-44dd-a4f9-f229a9003f4f,1,2954,real,pie,4,carrot,mushroom,carrot,ArrowLeft,"more, fewer",0,MORE,"geo, color, icon",1,color,3
572c4ad8-6a2e-44dd-a4f9-f229a9003f4f,1,3203,real,pie,3,olive,corn,corn,ArrowRight,"more, fewer",0,MORE,"geo, color, icon",1,color,4
572c4ad8-6a2e-44dd-a4f9-f229a9003f4f,1,3424,real,pie,6,olive,mushroom,mushroom,ArrowRight,"more, fewer",0,MORE,"geo, color, icon",1,color,5
572c4ad8-6a2e-44dd-a4f9-f229a9003f4f,1,2556,real,pie,1,tomato,corn,tomato,ArrowLeft,"more, fewer",0,MORE,"geo, color, icon",1,color,6
572c4ad8-6a2e-44dd-a4f9-f229a9003f4f,1,2295,real,pie,8,corn,celery,corn,ArrowLeft,"more, fewer",0,MORE,"geo, color, icon",1,color,7
572c4ad8-6a2e-44dd-a4f9-f229a9003f4f,1,2698,real,pie,5,celery,olive,celery,ArrowLeft,"more, fewer",0,MORE,"geo, color, icon",1,color,8
572c4ad8-6a2e-44dd-a4f9-f229a9003f4f,1,2904,real,pie,9,corn,mushroom,mushroom,ArrowRight,"more, fewer",0,MORE,"geo, color, icon",1,color,9
572c4ad8-6a2e-44dd-a4f9-f229a9003f4f,1,1898,training,pie,24,mushroom,celery,celery,ArrowRight,"more, fewer",0,MORE,"geo, color, icon",2,icon,0
572c4ad8-6a2e-44dd-a4f9-f229a9003f4f,1,4846,training,pie,4,carrot,celery,celery,ArrowRight,"more, fewer",0,MORE,"geo, color, icon",2,icon,1
572c4ad8-6a2e-44dd-a4f9-f229a9003f4f,1,2360,training,pie,14,tomato,eggplant,tomato,ArrowLeft,"more, fewer",0,MORE,"geo, color, icon",2,icon,2
572c4ad8-6a2e-44dd-a4f9-f229a9003f4f,1,2434,real,pie,7,mushroom,corn,corn,ArrowRight,"more, fewer",0,MORE,"geo, color, icon",2,icon,0
572c4ad8-6a2e-44dd-a4f9-f229a9003f4f,1,2052,real,pie,1,tomato,corn,tomato,ArrowLeft,"more, fewer",0,MORE,"geo, color, icon",2,icon,1
572c4ad8-6a2e-44dd-a4f9-f229a9003f4f,1,2560,real,pie,8,corn,celery,corn,ArrowLeft,"more, fewer",0,MORE,"geo, color, icon",2,icon,2
572c4ad8-6a2e-44dd-a4f9-f229a9003f4f,1,2444,real,pie,6,olive,mushroom,mushroom,ArrowRight,"more, fewer",0,MORE,"geo, color, icon",2,icon,3
572c4ad8-6a2e-44dd-a4f9-f229a9003f4f,1,3319,real,pie,2,mushroom,celery,mushroom,ArrowLeft,"more, fewer",0,MORE,"geo, color, icon",2,icon,4
572c4ad8-6a2e-44dd-a4f9-f229a9003f4f,1,2607,real,pie,3,olive,corn,corn,ArrowRight,"more, fewer",0,MORE,"geo, color, icon",2,icon,5
572c4ad8-6a2e-44dd-a4f9-f229a9003f4f,0,3007,real,pie,5,celery,olive,celery,ArrowRight,"more, fewer",0,MORE,"geo, color, icon",2,icon,6
572c4ad8-6a2e-44dd-a4f9-f229a9003f4f,1,2517,real,pie,9,corn,mushroom,mushroom,ArrowRight,"more, fewer",0,MORE,"geo, color, icon",2,icon,7
572c4ad8-6a2e-44dd-a4f9-f229a9003f4f,1,2286,real,pie,0,eggplant,corn,corn,ArrowRight,"more, fewer",0,MORE,"geo, color, icon",2,icon,8
572c4ad8-6a2e-44dd-a4f9-f229a9003f4f,1,2970,real,pie,4,carrot,mushroom,carrot,ArrowLeft,"more, fewer",0,MORE,"geo, color, icon",2,icon,9
572c4ad8-6a2e-44dd-a4f9-f229a9003f4f,0,3586,training,pie,2,mushroom,tomato,tomato,ArrowLeft,"more, fewer",1,FEWER,"color, geo, icon",0,color,0
572c4ad8-6a2e-44dd-a4f9-f229a9003f4f,1,2656,training,pie,19,eggplant,carrot,eggplant,ArrowLeft,"more, fewer",1,FEWER,"color, geo, icon",0,color,1
572c4ad8-6a2e-44dd-a4f9-f229a9003f4f,1,1947,training,pie,19,eggplant,carrot,eggplant,ArrowLeft,"more, fewer",1,FEWER,"color, geo, icon",0,color,2
572c4ad8-6a2e-44dd-a4f9-f229a9003f4f,1,5006,real,pie,0,eggplant,corn,eggplant,ArrowLeft,"more, fewer",1,FEWER,"color, geo, icon",0,color,0
572c4ad8-6a2e-44dd-a4f9-f229a9003f4f,1,2785,real,pie,7,mushroom,corn,mushroom,ArrowLeft,"more, fewer",1,FEWER,"color, geo, icon",0,color,1
572c4ad8-6a2e-44dd-a4f9-f229a9003f4f,0,3904,real,pie,2,mushroom,celery,celery,ArrowLeft,"more, fewer",1,FEWER,"color, geo, icon",0,color,2
572c4ad8-6a2e-44dd-a4f9-f229a9003f4f,1,4268,real,pie,4,carrot,mushroom,mushroom,ArrowRight,"more, fewer",1,FEWER,"color, geo, icon",0,color,3
572c4ad8-6a2e-44dd-a4f9-f229a9003f4f,1,2062,real,pie,3,olive,corn,olive,ArrowLeft,"more, fewer",1,FEWER,"color, geo, icon",0,color,4
572c4ad8-6a2e-44dd-a4f9-f229a9003f4f,1,3524,real,pie,6,olive,mushroom,olive,ArrowLeft,"more, fewer",1,FEWER,"color, geo, icon",0,color,5
572c4ad8-6a2e-44dd-a4f9-f229a9003f4f,1,2667,real,pie,1,tomato,corn,corn,ArrowRight,"more, fewer",1,FEWER,"color, geo, icon",0,color,6
572c4ad8-6a2e-44dd-a4f9-f229a9003f4f,1,3050,real,pie,8,corn,celery,celery,ArrowRight,"more, fewer",1,FEWER,"color, geo, icon",0,color,7
572c4ad8-6a2e-44dd-a4f9-f229a9003f4f,1,3153,real,pie,5,celery,olive,olive,ArrowRight,"more, fewer",1,FEWER,"color, geo, icon",0,color,8
572c4ad8-6a2e-44dd-a4f9-f229a9003f4f,1,2320,real,pie,9,corn,mushroom,corn,ArrowLeft,"more, fewer",1,FEWER,"color, geo, icon",0,color,9
572c4ad8-6a2e-44dd-a4f9-f229a9003f4f,1,2810,training,pie,16,olive,mushroom,olive,ArrowLeft,"more, fewer",1,FEWER,"color, geo, icon",1,geo,0
572c4ad8-6a2e-44dd-a4f9-f229a9003f4f,0,3621,training,pie,24,mushroom,celery,mushroom,ArrowRight,"more, fewer",1,FEWER,"color, geo, icon",1,geo,1
572c4ad8-6a2e-44dd-a4f9-f229a9003f4f,1,2307,training,pie,10,eggplant,celery,eggplant,ArrowLeft,"more, fewer",1,FEWER,"color, geo, icon",1,geo,2
572c4ad8-6a2e-44dd-a4f9-f229a9003f4f,1,3470,real,pie,0,eggplant,corn,eggplant,ArrowLeft,"more, fewer",1,FEWER,"color, geo, icon",1,geo,0
572c4ad8-6a2e-44dd-a4f9-f229a9003f4f,1,2728,real,pie,2,mushroom,celery,celery,ArrowRight,"more, fewer",1,FEWER,"color, geo, icon",1,geo,1
572c4ad8-6a2e-44dd-a4f9-f229a9003f4f,1,3081,real,pie,1,tomato,corn,corn,ArrowRight,"more, fewer",1,FEWER,"color, geo, icon",1,geo,2
572c4ad8-6a2e-44dd-a4f9-f229a9003f4f,1,2748,real,pie,7,mushroom,corn,mushroom,ArrowLeft,"more, fewer",1,FEWER,"color, geo, icon",1,geo,3
572c4ad8-6a2e-44dd-a4f9-f229a9003f4f,1,2301,real,pie,8,corn,celery,celery,ArrowRight,"more, fewer",1,FEWER,"color, geo, icon",1,geo,4
572c4ad8-6a2e-44dd-a4f9-f229a9003f4f,1,3681,real,pie,9,corn,mushroom,corn,ArrowLeft,"more, fewer",1,FEWER,"color, geo, icon",1,geo,5
572c4ad8-6a2e-44dd-a4f9-f229a9003f4f,1,1843,real,pie,3,olive,corn,olive,ArrowLeft,"more, fewer",1,FEWER,"color, geo, icon",1,geo,6
572c4ad8-6a2e-44dd-a4f9-f229a9003f4f,-1,5000,real,pie,4,carrot,mushroom,mushroom,none,"more, fewer",1,FEWER,"color, geo, icon",1,geo,7
572c4ad8-6a2e-44dd-a4f9-f229a9003f4f,0,2712,real,pie,5,celery,olive,olive,ArrowLeft,"more, fewer",1,FEWER,"color, geo, icon",1,geo,8
572c4ad8-6a2e-44dd-a4f9-f229a9003f4f,1,3477,real,pie,6,olive,mushroom,olive,ArrowLeft,"more, fewer",1,FEWER,"color, geo, icon",1,geo,9
572c4ad8-6a2e-44dd-a4f9-f229a9003f4f,1,2712,training,pie,25,eggplant,corn,eggplant,ArrowLeft,"more, fewer",1,FEWER,"color, geo, icon",2,icon,0
