participant_id,answer_accuracy,elapsed_time,trial_type,condition,current_stimulus_index,target_left,target_right,correct_answer,key_pressed,questions_order,question_index,question_condition,textures_order_for_question,texture_index,texture_condition,trial_number
57b6b5b9-a92f-4b9e-806c-6f023dde730f,0,1715,training,bar,4,celery,carrot,carrot,ArrowLeft,"fewer, more",0,FEWER,"color, icon, geo",0,color,0
57b6b5b9-a92f-4b9e-806c-6f023dde730f,1,2929,training,bar,5,olive,carrot,carrot,ArrowRight,"fewer, more",0,FEWER,"color, icon, geo",0,color,1
57b6b5b9-a92f-4b9e-806c-6f023dde730f,1,2915,training,bar,7,eggplant,celery,eggplant,ArrowLeft,"fewer, more",0,FEWER,"color, icon, geo",0,color,2
57b6b5b9-a92f-4b9e-806c-6f023dde730f,1,1391,real,bar,2,celery,mushroom,celery,ArrowLeft,"fewer, more",0,FEWER,"color, icon, geo",0,color,0
57b6b5b9-a92f-4b9e-806c-6f023dde730f,1,4849,real,bar,3,corn,olive,olive,ArrowRight,"fewer, more",0,FEWER,"color, icon, geo",0,color,1
57b6b5b9-a92f-4b9e-806c-6f023dde730f,1,1811,real,bar,9,mushroom,corn,corn,ArrowRight,"fewer, more",0,FEWER,"color, icon, geo",0,color,2
57b6b5b9-a92f-4b9e-806c-6f023dde730f,1,1515,real,bar,1,corn,tomato,corn,ArrowLeft,"fewer, more",0,FEWER,"color, icon, geo",0,color,3
57b6b5b9-a92f-4b9e-806c-6f023dde730f,1,2610,real,bar,8,celery,corn,celery,ArrowLeft,"fewer, more",0,FEWER,"color, icon, geo",0,color,4
57b6b5b9-a92f-4b9e-806c-6f023dde730f,1,2711,real,bar,5,olive,celery,olive,ArrowLeft,"fewer, more",0,FEWER,"color, icon, geo",0,color,5
57b6b5b9-a92f-4b9e-806c-6f023dde730f,1,2008,real,bar,4,mushroom,carrot,mushroom,ArrowLeft,"fewer, more",0,FEWER,"color, icon, geo",0,color,6
57b6b5b9-a92f-4b9e-806c-6f023dde730f,1,1827,real,bar,6,mushroom,olive,olive,ArrowRight,"fewer, more",0,FEWER,"color, icon, geo",0,color,7
57b6b5b9-a92f-4b9e-806c-6f023dde730f,1,3509,real,bar,7,corn,mushroom,mushroom,ArrowRight,"fewer, more",0,FEWER,"color, icon, geo",0,color,8
57b6b5b9-a92f-4b9e-806c-6f023dde730f,1,2490,real,bar,0,eggplant,corn,eggplant,ArrowLeft,"fewer, more",0,FEWER,"color, icon, geo",0,color,9
57b6b5b9-a92f-4b9e-806c-6f023dde730f,1,2456,training,bar,3,carrot,celery,carrot,ArrowLeft,"fewer, more",0,FEWER,"color, icon, geo",1,icon,0
57b6b5b9-a92f-4b9e-806c-6f023dde730f,1,3980,training,bar,25,corn,eggplant,eggplant,ArrowRight,"fewer, more",0,FEWER,"color, icon, geo",1,icon,1
57b6b5b9-a92f-4b9e-806c-6f023dde730f,1,2917,training,bar,13,olive,carrot,olive,ArrowLeft,"fewer, more",0,FEWER,"color, icon, geo",1,icon,2
57b6b5b9-a92f-4b9e-806c-6f023dde730f,1,2094,real,bar,9,mushroom,corn,corn,ArrowRight,"fewer, more",0,FEWER,"color, icon, geo",1,icon,0
57b6b5b9-a92f-4b9e-806c-6f023dde730f,1,1858,real,bar,6,mushroom,olive,olive,ArrowRight,"fewer, more",0,FEWER,"color, icon, geo",1,icon,1
57b6b5b9-a92f-4b9e-806c-6f023dde730f,1,2929,real,bar,0,eggplant,corn,eggplant,ArrowLeft,"fewer, more",0,FEWER,"color, icon, geo",1,icon,2
57b6b5b9-a92f-4b9e-806c-6f023dde730f,1,1844,real,bar,8,celery,corn,celery,ArrowLeft,"fewer, more",0,FEWER,"color, icon, geo",1,icon,3
57b6b5b9-a92f-4b9e-806c-6f023dde730f,1,1771,real,bar,2,celery,mushroom,celery,ArrowLeft,"fewer, more",0,FEWER,"color, icon, geo",1,icon,4
57b6b5b9-a92f-4b9e-806c-6f023dde730f,1,3670,real,bar,7,corn,mushroom,mushroom,ArrowRight,"fewer, more",0,FEWER,"color, icon, geo",1,icon,5
57b6b5b9-a92f-4b9e-806c-6f023dde730f,1,2847,real,bar,5,olive,celery,olive,ArrowLeft,"fewer, more",0,FEWER,"color, icon, geo",1,icon,6
57b6b5b9-a92f-4b9e-806c-6f023dde730f,1,3226,real,bar,4,mushroom,carrot,mushroom,ArrowLeft,"fewer, more",0,FEWER,"color, icon, geo",1,icon,7
57b6b5b9-a92f-4b9e-806c-6f023dde730f,1,2077,real,bar,3,corn,olive,olive,ArrowRight,"fewer, more",0,FEWER,"color, icon, geo",1,icon,8
57b6b5b9-a92f-4b9e-806c-6f023dde730f,1,2383,real,bar,1,corn,tomato,corn,ArrowLeft,"fewer, more",0,FEWER,"color, icon, geo",1,icon,9
57b6b5b9-a92f-4b9e-806c-6f023dde730f,1,4583,training,bar,25,corn,eggplant,eggplant,ArrowRight,"fewer, more",0,FEWER,"color, icon, geo",2,geo,0
