participant_id,answer_accuracy,elapsed_time,trial_type,condition,current_stimulus_index,target_left,target_right,correct_answer,key_pressed,questions_order,question_index,question_condition,textures_order_for_question,texture_index,texture_condition,trial_number
5b1f2d9a-eb80-4e99-925c-a408301b1ac9,-1,5000,training,pie,5,olive,carrot,olive,none,"more, fewer",0,MORE,"color, icon, geo",0,color,0
5b1f2d9a-eb80-4e99-925c-a408301b1ac9,1,2643,training,pie,4,carrot,celery,celery,ArrowRight,"more, fewer",0,MORE,"color, icon, geo",0,color,1
5b1f2d9a-eb80-4e99-925c-a408301b1ac9,1,2645,training,pie,25,eggplant,corn,corn,ArrowRight,"more, fewer",0,MORE,"color, icon, geo",0,color,2
5b1f2d9a-eb80-4e99-925c-a408301b1ac9,1,3125,real,pie,1,tomato,corn,tomato,ArrowLeft,"more, fewer",0,MORE,"color, icon, geo",0,color,0
5b1f2d9a-eb80-4e99-925c-a408301b1ac9,1,3205,real,pie,9,corn,mushroom,mushroom,ArrowRight,"more, fewer",0,MORE,"color, icon, geo",0,color,1
5b1f2d9a-eb80-4e99-925c-a408301b1ac9,1,2889,real,pie,0,eggplant,corn,corn,ArrowRight,"more, fewer",0,MORE,"color, icon, geo",0,color,2
5b1f2d9a-eb80-4e99-925c-a408301b1ac9,1,3828,real,pie,8,corn,celery,corn,ArrowLeft,"more, fewer",0,MORE,"color, icon, geo",0,color,3
5b1f2d9a-eb80-4e99-925c-a408301b1ac9,1,2465,real,pie,3,olive,corn,corn,ArrowRight,"more, fewer",0,MORE,"color, icon, geo",0,color,4
5b1f2d9a-eb80-4e99-925c-a408301b1ac9,1,3200,real,pie,4,carrot,mushroom,carrot,ArrowLeft,"more, fewer",0,MORE,"color, icon, geo",0,color,5
5b1f2d9a-eb80-4e99-925c-a408301b1ac9,1,2951,real,pie,6,olive,mushroom,mushroom,ArrowRight,"more, fewer",0,MORE,"color, icon, geo",0,color,6
5b1f2d9a-eb80-4e99-925c-a408301b1ac9,1,3330,real,pie,5,celery,olive,celery,ArrowLeft,"more, fewer",0,MORE,"color, icon, geo",0,color,7
5b1f2d9a-eb80-4e99-925c-a408301b1ac9,1,3404,real,pie,7,mushroom,corn,corn,ArrowRight,"more, fewer",0,MORE,"color, icon, geo",0,color,8
5b1f2d9a-eb80-4e99-925c-a408301b1ac9,1,2377,real,pie,2,mushroom,celery,mushroom,ArrowLeft,"more, fewer",0,MORE,"color, icon, geo",0,color,9
5b1f2d9a-eb80-4e99-925c-a408301b1ac9,1,2753,training,pie,13,carrot,olive,carrot,ArrowLeft,"more, fewer",0,MORE,"color, icon, geo",1,icon,0
5b1f2d9a-eb80-4e99-925c-a408301b1ac9,1,2923,training,pie,21,eggplant,mushroom,mushroom,ArrowRight,"more, fewer",0,MORE,"color, icon, geo",1,icon,1
5b1f2d9a-eb80-4e99-925c-a408301b1ac9,1,3435,training,pie,18,eggplant,corn,eggplant,ArrowLeft,"more, fewer",0,MORE,"color, icon, geo",1,icon,2
