participant_id,answer_accuracy,elapsed_time,trial_type,condition,current_stimulus_index,target_left,target_right,correct_answer,key_pressed,questions_order,question_index,question_condition,textures_order_for_question,texture_index,texture_condition,trial_number
5b4023a3-f786-4be2-8ef0-ff01e42a4a72,1,2426,training,pie,9,eggplant,mushroom,mushroom,ArrowRight,"more, fewer",0,MORE,"geo, icon, color",0,geo,0
5b4023a3-f786-4be2-8ef0-ff01e42a4a72,-1,5000,training,pie,16,olive,mushroom,mushroom,none,"more, fewer",0,MORE,"geo, icon, color",0,geo,1
5b4023a3-f786-4be2-8ef0-ff01e42a4a72,0,1815,training,pie,0,carrot,corn,carrot,ArrowRight,"more, fewer",0,MORE,"geo, icon, color",0,geo,2
5b4023a3-f786-4be2-8ef0-ff01e42a4a72,-1,5000,real,pie,5,celery,olive,celery,none,"more, fewer",0,MORE,"geo, icon, color",0,geo,1
5b4023a3-f786-4be2-8ef0-ff01e42a4a72,-1,5000,real,pie,4,carrot,mushroom,carrot,none,"more, fewer",0,MORE,"geo, icon, color",0,geo,2
5b4023a3-f786-4be2-8ef0-ff01e42a4a72,1,4152,real,pie,1,tomato,corn,tomato,ArrowLeft,"more, fewer",0,MORE,"geo, icon, color",0,geo,3
5b4023a3-f786-4be2-8ef0-ff01e42a4a72,1,4495,real,pie,7,mushroom,corn,corn,ArrowRight,"more, fewer",0,MORE,"geo, icon, color",0,geo,4
5b4023a3-f786-4be2-8ef0-ff01e42a4a72,1,4283,real,pie,6,olive,mushroom,mushroom,ArrowRight,"more, fewer",0,MORE,"geo, icon, color",0,geo,5
5b4023a3-f786-4be2-8ef0-ff01e42a4a72,1,3459,real,pie,3,olive,corn,corn,ArrowRight,"more, fewer",0,MORE,"geo, icon, color",0,geo,6
5b4023a3-f786-4be2-8ef0-ff01e42a4a72,1,2637,real,pie,9,corn,mushroom,mushroom,ArrowRight,"more, fewer",0,MORE,"geo, icon, color",0,geo,7
5b4023a3-f786-4be2-8ef0-ff01e42a4a72,1,4677,real,pie,0,eggplant,corn,corn,ArrowRight,"more, fewer",0,MORE,"geo, icon, color",0,geo,8
5b4023a3-f786-4be2-8ef0-ff01e42a4a72,1,3996,real,pie,2,mushroom,celery,mushroom,ArrowLeft,"more, fewer",0,MORE,"geo, icon, color",0,geo,9
5b4023a3-f786-4be2-8ef0-ff01e42a4a72,1,4645,training,pie,24,mushroom,celery,celery,ArrowRight,"more, fewer",0,MORE,"geo, icon, color",1,icon,0
5b4023a3-f786-4be2-8ef0-ff01e42a4a72,1,3486,training,pie,20,tomato,eggplant,eggplant,ArrowRight,"more, fewer",0,MORE,"geo, icon, color",1,icon,1
5b4023a3-f786-4be2-8ef0-ff01e42a4a72,1,3471,training,pie,7,celery,eggplant,celery,ArrowLeft,"more, fewer",0,MORE,"geo, icon, color",1,icon,2
5b4023a3-f786-4be2-8ef0-ff01e42a4a72,1,4198,real,pie,0,eggplant,corn,corn,ArrowRight,"more, fewer",0,MORE,"geo, icon, color",1,icon,0
5b4023a3-f786-4be2-8ef0-ff01e42a4a72,1,3182,real,pie,6,olive,mushroom,mushroom,ArrowRight,"more, fewer",0,MORE,"geo, icon, color",1,icon,1
5b4023a3-f786-4be2-8ef0-ff01e42a4a72,1,4036,real,pie,5,celery,olive,celery,ArrowLeft,"more, fewer",0,MORE,"geo, icon, color",1,icon,2
5b4023a3-f786-4be2-8ef0-ff01e42a4a72,1,2996,real,pie,2,mushroom,celery,mushroom,ArrowLeft,"more, fewer",0,MORE,"geo, icon, color",1,icon,3
5b4023a3-f786-4be2-8ef0-ff01e42a4a72,1,4199,real,pie,7,mushroom,corn,corn,ArrowRight,"more, fewer",0,MORE,"geo, icon, color",1,icon,4
5b4023a3-f786-4be2-8ef0-ff01e42a4a72,1,2714,real,pie,8,corn,celery,corn,ArrowLeft,"more, fewer",0,MORE,"geo, icon, color",1,icon,5
5b4023a3-f786-4be2-8ef0-ff01e42a4a72,1,3821,real,pie,4,carrot,mushroom,carrot,ArrowLeft,"more, fewer",0,MORE,"geo, icon, color",1,icon,6
5b4023a3-f786-4be2-8ef0-ff01e42a4a72,1,3352,real,pie,1,tomato,corn,tomato,ArrowLeft,"more, fewer",0,MORE,"geo, icon, color",1,icon,7
5b4023a3-f786-4be2-8ef0-ff01e42a4a72,1,2917,real,pie,3,olive,corn,corn,ArrowRight,"more, fewer",0,MORE,"geo, icon, color",1,icon,8
5b4023a3-f786-4be2-8ef0-ff01e42a4a72,1,2676,real,pie,9,corn,mushroom,mushroom,ArrowRight,"more, fewer",0,MORE,"geo, icon, color",1,icon,9
5b4023a3-f786-4be2-8ef0-ff01e42a4a72,1,3130,training,pie,23,olive,carrot,olive,ArrowLeft,"more, fewer",0,MORE,"geo, icon, color",2,color,0
5b4023a3-f786-4be2-8ef0-ff01e42a4a72,1,4193,training,pie,19,eggplant,carrot,carrot,ArrowRight,"more, fewer",0,MORE,"geo, icon, color",2,color,1
5b4023a3-f786-4be2-8ef0-ff01e42a4a72,1,3167,training,pie,13,carrot,olive,carrot,ArrowLeft,"more, fewer",0,MORE,"geo, icon, color",2,color,2
5b4023a3-f786-4be2-8ef0-ff01e42a4a72,1,2635,real,pie,6,olive,mushroom,mushroom,ArrowRight,"more, fewer",0,MORE,"geo, icon, color",2,color,0
5b4023a3-f786-4be2-8ef0-ff01e42a4a72,1,3061,real,pie,7,mushroom,corn,corn,ArrowRight,"more, fewer",0,MORE,"geo, icon, color",2,color,1
5b4023a3-f786-4be2-8ef0-ff01e42a4a72,1,2747,real,pie,2,mushroom,celery,mushroom,ArrowLeft,"more, fewer",0,MORE,"geo, icon, color",2,color,2
5b4023a3-f786-4be2-8ef0-ff01e42a4a72,1,3363,real,pie,0,eggplant,corn,corn,ArrowRight,"more, fewer",0,MORE,"geo, icon, color",2,color,3
5b4023a3-f786-4be2-8ef0-ff01e42a4a72,1,3981,real,pie,1,tomato,corn,tomato,ArrowLeft,"more, fewer",0,MORE,"geo, icon, color",2,color,4
5b4023a3-f786-4be2-8ef0-ff01e42a4a72,1,2476,real,pie,4,carrot,mushroom,carrot,ArrowLeft,"more, fewer",0,MORE,"geo, icon, color",2,color,5
5b4023a3-f786-4be2-8ef0-ff01e42a4a72,1,2866,real,pie,8,corn,celery,corn,ArrowLeft,"more, fewer",0,MORE,"geo, icon, color",2,color,6
5b4023a3-f786-4be2-8ef0-ff01e42a4a72,1,4204,real,pie,5,celery,olive,celery,ArrowLeft,"more, fewer",0,MORE,"geo, icon, color",2,color,7
5b4023a3-f786-4be2-8ef0-ff01e42a4a72,-1,5000,real,pie,3,olive,corn,corn,none,"more, fewer",0,MORE,"geo, icon, color",2,color,8
5b4023a3-f786-4be2-8ef0-ff01e42a4a72,1,3161,real,pie,9,corn,mushroom,mushroom,ArrowRight,"more, fewer",0,MORE,"geo, icon, color",2,color,9
5b4023a3-f786-4be2-8ef0-ff01e42a4a72,1,2155,training,pie,28,celery,mushroom,celery,ArrowLeft,"more, fewer",1,FEWER,"color, geo, icon",0,color,0
5b4023a3-f786-4be2-8ef0-ff01e42a4a72,1,3261,training,pie,11,carrot,tomato,carrot,ArrowLeft,"more, fewer",1,FEWER,"color, geo, icon",0,color,1
5b4023a3-f786-4be2-8ef0-ff01e42a4a72,1,2957,training,pie,16,olive,mushroom,olive,ArrowLeft,"more, fewer",1,FEWER,"color, geo, icon",0,color,2
5b4023a3-f786-4be2-8ef0-ff01e42a4a72,1,1639,real,pie,6,olive,mushroom,olive,ArrowLeft,"more, fewer",1,FEWER,"color, geo, icon",0,color,0
5b4023a3-f786-4be2-8ef0-ff01e42a4a72,0,3982,real,pie,7,mushroom,corn,mushroom,ArrowRight,"more, fewer",1,FEWER,"color, geo, icon",0,color,1
5b4023a3-f786-4be2-8ef0-ff01e42a4a72,1,4177,real,pie,2,mushroom,celery,celery,ArrowRight,"more, fewer",1,FEWER,"color, geo, icon",0,color,2
5b4023a3-f786-4be2-8ef0-ff01e42a4a72,1,4230,real,pie,0,eggplant,corn,eggplant,ArrowLeft,"more, fewer",1,FEWER,"color, geo, icon",0,color,3
5b4023a3-f786-4be2-8ef0-ff01e42a4a72,1,2901,real,pie,1,tomato,corn,corn,ArrowRight,"more, fewer",1,FEWER,"color, geo, icon",0,color,4
5b4023a3-f786-4be2-8ef0-ff01e42a4a72,1,3039,real,pie,4,carrot,mushroom,mushroom,ArrowRight,"more, fewer",1,FEWER,"color, geo, icon",0,color,5
5b4023a3-f786-4be2-8ef0-ff01e42a4a72,1,2811,real,pie,8,corn,celery,celery,ArrowRight,"more, fewer",1,FEWER,"color, geo, icon",0,color,6
5b4023a3-f786-4be2-8ef0-ff01e42a4a72,1,4158,real,pie,5,celery,olive,olive,ArrowRight,"more, fewer",1,FEWER,"color, geo, icon",0,color,7
5b4023a3-f786-4be2-8ef0-ff01e42a4a72,1,2297,real,pie,3,olive,corn,olive,ArrowLeft,"more, fewer",1,FEWER,"color, geo, icon",0,color,8
5b4023a3-f786-4be2-8ef0-ff01e42a4a72,1,2991,real,pie,9,corn,mushroom,corn,ArrowLeft,"more, fewer",1,FEWER,"color, geo, icon",0,color,9
5b4023a3-f786-4be2-8ef0-ff01e42a4a72,1,3906,training,pie,26,olive,mushroom,mushroom,ArrowRight,"more, fewer",1,FEWER,"color, geo, icon",1,geo,0
5b4023a3-f786-4be2-8ef0-ff01e42a4a72,-1,5000,training,pie,19,eggplant,carrot,eggplant,none,"more, fewer",1,FEWER,"color, geo, icon",1,geo,1
5b4023a3-f786-4be2-8ef0-ff01e42a4a72,1,3058,training,pie,22,mushroom,corn,mushroom,ArrowLeft,"more, fewer",1,FEWER,"color, geo, icon",1,geo,2
5b4023a3-f786-4be2-8ef0-ff01e42a4a72,1,3856,real,pie,8,corn,celery,celery,ArrowRight,"more, fewer",1,FEWER,"color, geo, icon",1,geo,0
5b4023a3-f786-4be2-8ef0-ff01e42a4a72,1,4297,real,pie,5,celery,olive,olive,ArrowRight,"more, fewer",1,FEWER,"color, geo, icon",1,geo,1
5b4023a3-f786-4be2-8ef0-ff01e42a4a72,0,4576,real,pie,4,carrot,mushroom,mushroom,ArrowLeft,"more, fewer",1,FEWER,"color, geo, icon",1,geo,2
5b4023a3-f786-4be2-8ef0-ff01e42a4a72,1,2985,real,pie,1,tomato,corn,corn,ArrowRight,"more, fewer",1,FEWER,"color, geo, icon",1,geo,3
5b4023a3-f786-4be2-8ef0-ff01e42a4a72,1,4427,real,pie,7,mushroom,corn,mushroom,ArrowLeft,"more, fewer",1,FEWER,"color, geo, icon",1,geo,4
5b4023a3-f786-4be2-8ef0-ff01e42a4a72,1,3462,real,pie,6,olive,mushroom,olive,ArrowLeft,"more, fewer",1,FEWER,"color, geo, icon",1,geo,5
5b4023a3-f786-4be2-8ef0-ff01e42a4a72,1,4452,real,pie,3,olive,corn,olive,ArrowLeft,"more, fewer",1,FEWER,"color, geo, icon",1,geo,6
5b4023a3-f786-4be2-8ef0-ff01e42a4a72,1,3281,real,pie,9,corn,mushroom,corn,ArrowLeft,"more, fewer",1,FEWER,"color, geo, icon",1,geo,7
5b4023a3-f786-4be2-8ef0-ff01e42a4a72,-1,5000,real,pie,0,eggplant,corn,eggplant,none,"more, fewer",1,FEWER,"color, geo, icon",1,geo,8
5b4023a3-f786-4be2-8ef0-ff01e42a4a72,1,3621,real,pie,2,mushroom,celery,celery,ArrowRight,"more, fewer",1,FEWER,"color, geo, icon",1,geo,9
5b4023a3-f786-4be2-8ef0-ff01e42a4a72,1,2434,training,pie,11,carrot,tomato,carrot,ArrowLeft,"more, fewer",1,FEWER,"color, geo, icon",2,icon,0
5b4023a3-f786-4be2-8ef0-ff01e42a4a72,1,2616,training,pie,22,mushroom,corn,mushroom,ArrowLeft,"more, fewer",1,FEWER,"color, geo, icon",2,icon,1
5b4023a3-f786-4be2-8ef0-ff01e42a4a72,1,3421,training,pie,11,carrot,tomato,carrot,ArrowLeft,"more, fewer",1,FEWER,"color, geo, icon",2,icon,2
5b4023a3-f786-4be2-8ef0-ff01e42a4a72,-1,5000,real,pie,0,eggplant,corn,eggplant,none,"more, fewer",1,FEWER,"color, geo, icon",2,icon,0
5b4023a3-f786-4be2-8ef0-ff01e42a4a72,1,2320,real,pie,6,olive,mushroom,olive,ArrowLeft,"more, fewer",1,FEWER,"color, geo, icon",2,icon,1
5b4023a3-f786-4be2-8ef0-ff01e42a4a72,1,3206,real,pie,5,celery,olive,olive,ArrowRight,"more, fewer",1,FEWER,"color, geo, icon",2,icon,2
5b4023a3-f786-4be2-8ef0-ff01e42a4a72,1,3187,real,pie,2,mushroom,celery,celery,ArrowRight,"more, fewer",1,FEWER,"color, geo, icon",2,icon,3
5b4023a3-f786-4be2-8ef0-ff01e42a4a72,1,3308,real,pie,7,mushroom,corn,mushroom,ArrowLeft,"more, fewer",1,FEWER,"color, geo, icon",2,icon,4
5b4023a3-f786-4be2-8ef0-ff01e42a4a72,1,2054,real,pie,8,corn,celery,celery,ArrowRight,"more, fewer",1,FEWER,"color, geo, icon",2,icon,5
5b4023a3-f786-4be2-8ef0-ff01e42a4a72,1,2555,real,pie,4,carrot,mushroom,mushroom,ArrowRight,"more, fewer",1,FEWER,"color, geo, icon",2,icon,6
5b4023a3-f786-4be2-8ef0-ff01e42a4a72,1,3408,real,pie,1,tomato,corn,corn,ArrowRight,"more, fewer",1,FEWER,"color, geo, icon",2,icon,7
5b4023a3-f786-4be2-8ef0-ff01e42a4a72,1,2765,real,pie,3,olive,corn,olive,ArrowLeft,"more, fewer",1,FEWER,"color, geo, icon",2,icon,8
5b4023a3-f786-4be2-8ef0-ff01e42a4a72,1,3491,real,pie,9,corn,mushroom,corn,ArrowLeft,"more, fewer",1,FEWER,"color, geo, icon",2,icon,9
