participant_id,answer_accuracy,elapsed_time,trial_type,condition,current_stimulus_index,target_left,target_right,correct_answer,key_pressed,questions_order,question_index,question_condition,textures_order_for_question,texture_index,texture_condition,trial_number
5fb0e87c-3c6b-4c1a-8f62-d1821e65977b,-1,5000,training,bar,8,olive,eggplant,eggplant,none,"more, fewer",0,MORE,"geo, icon, color",0,geo,0
5fb0e87c-3c6b-4c1a-8f62-d1821e65977b,1,3984,training,bar,22,corn,mushroom,corn,ArrowLeft,"more, fewer",0,MORE,"geo, icon, color",0,geo,1
5fb0e87c-3c6b-4c1a-8f62-d1821e65977b,1,2488,training,bar,5,olive,carrot,olive,ArrowLeft,"more, fewer",0,MORE,"geo, icon, color",0,geo,2
5fb0e87c-3c6b-4c1a-8f62-d1821e65977b,1,2304,real,bar,6,mushroom,olive,mushroom,ArrowLeft,"more, fewer",0,MORE,"geo, icon, color",0,geo,0
5fb0e87c-3c6b-4c1a-8f62-d1821e65977b,1,1496,real,bar,8,celery,corn,corn,ArrowRight,"more, fewer",0,MORE,"geo, icon, color",0,geo,1
5fb0e87c-3c6b-4c1a-8f62-d1821e65977b,0,2680,real,bar,0,eggplant,corn,corn,ArrowLeft,"more, fewer",0,MORE,"geo, icon, color",0,geo,2
5fb0e87c-3c6b-4c1a-8f62-d1821e65977b,1,2264,real,bar,5,olive,celery,celery,ArrowRight,"more, fewer",0,MORE,"geo, icon, color",0,geo,3
5fb0e87c-3c6b-4c1a-8f62-d1821e65977b,1,1496,real,bar,3,corn,olive,corn,ArrowLeft,"more, fewer",0,MORE,"geo, icon, color",0,geo,4
5fb0e87c-3c6b-4c1a-8f62-d1821e65977b,0,2705,real,bar,9,mushroom,corn,mushroom,ArrowRight,"more, fewer",0,MORE,"geo, icon, color",0,geo,5
5fb0e87c-3c6b-4c1a-8f62-d1821e65977b,1,1880,real,bar,2,celery,mushroom,mushroom,ArrowRight,"more, fewer",0,MORE,"geo, icon, color",0,geo,6
5fb0e87c-3c6b-4c1a-8f62-d1821e65977b,1,3104,real,bar,1,corn,tomato,tomato,ArrowRight,"more, fewer",0,MORE,"geo, icon, color",0,geo,7
5fb0e87c-3c6b-4c1a-8f62-d1821e65977b,1,1216,real,bar,7,corn,mushroom,corn,ArrowLeft,"more, fewer",0,MORE,"geo, icon, color",0,geo,8
5fb0e87c-3c6b-4c1a-8f62-d1821e65977b,1,2368,real,bar,4,mushroom,carrot,carrot,ArrowRight,"more, fewer",0,MORE,"geo, icon, color",0,geo,9
5fb0e87c-3c6b-4c1a-8f62-d1821e65977b,1,2920,training,bar,22,corn,mushroom,corn,ArrowLeft,"more, fewer",0,MORE,"geo, icon, color",1,icon,0
5fb0e87c-3c6b-4c1a-8f62-d1821e65977b,0,2950,training,bar,7,eggplant,celery,celery,ArrowLeft,"more, fewer",0,MORE,"geo, icon, color",1,icon,1
5fb0e87c-3c6b-4c1a-8f62-d1821e65977b,1,1896,training,bar,6,celery,mushroom,celery,ArrowLeft,"more, fewer",0,MORE,"geo, icon, color",1,icon,2
5fb0e87c-3c6b-4c1a-8f62-d1821e65977b,1,1576,real,bar,3,corn,olive,corn,ArrowLeft,"more, fewer",0,MORE,"geo, icon, color",1,icon,0
5fb0e87c-3c6b-4c1a-8f62-d1821e65977b,1,2601,real,bar,4,mushroom,carrot,carrot,ArrowRight,"more, fewer",0,MORE,"geo, icon, color",1,icon,1
5fb0e87c-3c6b-4c1a-8f62-d1821e65977b,1,1873,real,bar,5,olive,celery,celery,ArrowRight,"more, fewer",0,MORE,"geo, icon, color",1,icon,2
5fb0e87c-3c6b-4c1a-8f62-d1821e65977b,0,1664,real,bar,8,celery,corn,corn,ArrowLeft,"more, fewer",0,MORE,"geo, icon, color",1,icon,3
5fb0e87c-3c6b-4c1a-8f62-d1821e65977b,1,3753,real,bar,0,eggplant,corn,corn,ArrowRight,"more, fewer",0,MORE,"geo, icon, color",1,icon,4
5fb0e87c-3c6b-4c1a-8f62-d1821e65977b,1,2336,real,bar,2,celery,mushroom,mushroom,ArrowRight,"more, fewer",0,MORE,"geo, icon, color",1,icon,5
5fb0e87c-3c6b-4c1a-8f62-d1821e65977b,1,3344,real,bar,1,corn,tomato,tomato,ArrowRight,"more, fewer",0,MORE,"geo, icon, color",1,icon,6
5fb0e87c-3c6b-4c1a-8f62-d1821e65977b,1,1134,real,bar,7,corn,mushroom,corn,ArrowLeft,"more, fewer",0,MORE,"geo, icon, color",1,icon,7
5fb0e87c-3c6b-4c1a-8f62-d1821e65977b,1,3169,real,bar,6,mushroom,olive,mushroom,ArrowLeft,"more, fewer",0,MORE,"geo, icon, color",1,icon,8
5fb0e87c-3c6b-4c1a-8f62-d1821e65977b,1,2928,real,bar,9,mushroom,corn,mushroom,ArrowLeft,"more, fewer",0,MORE,"geo, icon, color",1,icon,9
5fb0e87c-3c6b-4c1a-8f62-d1821e65977b,0,2463,training,bar,11,tomato,carrot,tomato,ArrowRight,"more, fewer",0,MORE,"geo, icon, color",2,color,0
5fb0e87c-3c6b-4c1a-8f62-d1821e65977b,1,3296,training,bar,0,corn,carrot,carrot,ArrowRight,"more, fewer",0,MORE,"geo, icon, color",2,color,1
5fb0e87c-3c6b-4c1a-8f62-d1821e65977b,1,2560,training,bar,1,corn,mushroom,mushroom,ArrowRight,"more, fewer",0,MORE,"geo, icon, color",2,color,2
5fb0e87c-3c6b-4c1a-8f62-d1821e65977b,1,2544,real,bar,1,corn,tomato,tomato,ArrowRight,"more, fewer",0,MORE,"geo, icon, color",2,color,0
5fb0e87c-3c6b-4c1a-8f62-d1821e65977b,1,2288,real,bar,4,mushroom,carrot,carrot,ArrowRight,"more, fewer",0,MORE,"geo, icon, color",2,color,1
5fb0e87c-3c6b-4c1a-8f62-d1821e65977b,1,2816,real,bar,2,celery,mushroom,mushroom,ArrowRight,"more, fewer",0,MORE,"geo, icon, color",2,color,2
5fb0e87c-3c6b-4c1a-8f62-d1821e65977b,0,3632,real,bar,6,mushroom,olive,mushroom,ArrowRight,"more, fewer",0,MORE,"geo, icon, color",2,color,3
5fb0e87c-3c6b-4c1a-8f62-d1821e65977b,0,1552,real,bar,5,olive,celery,celery,ArrowLeft,"more, fewer",0,MORE,"geo, icon, color",2,color,4
5fb0e87c-3c6b-4c1a-8f62-d1821e65977b,0,3200,real,bar,0,eggplant,corn,corn,ArrowLeft,"more, fewer",0,MORE,"geo, icon, color",2,color,5
5fb0e87c-3c6b-4c1a-8f62-d1821e65977b,1,1440,real,bar,3,corn,olive,corn,ArrowLeft,"more, fewer",0,MORE,"geo, icon, color",2,color,6
5fb0e87c-3c6b-4c1a-8f62-d1821e65977b,1,1295,real,bar,7,corn,mushroom,corn,ArrowLeft,"more, fewer",0,MORE,"geo, icon, color",2,color,7
5fb0e87c-3c6b-4c1a-8f62-d1821e65977b,1,1592,real,bar,8,celery,corn,corn,ArrowRight,"more, fewer",0,MORE,"geo, icon, color",2,color,8
5fb0e87c-3c6b-4c1a-8f62-d1821e65977b,1,2920,real,bar,9,mushroom,corn,mushroom,ArrowLeft,"more, fewer",0,MORE,"geo, icon, color",2,color,9
5fb0e87c-3c6b-4c1a-8f62-d1821e65977b,0,2352,training,bar,18,corn,eggplant,corn,ArrowRight,"more, fewer",1,FEWER,"geo, icon, color",0,geo,0
5fb0e87c-3c6b-4c1a-8f62-d1821e65977b,1,1544,training,bar,9,mushroom,eggplant,eggplant,ArrowRight,"more, fewer",1,FEWER,"geo, icon, color",0,geo,1
5fb0e87c-3c6b-4c1a-8f62-d1821e65977b,1,1408,training,bar,11,tomato,carrot,carrot,ArrowRight,"more, fewer",1,FEWER,"geo, icon, color",0,geo,2
5fb0e87c-3c6b-4c1a-8f62-d1821e65977b,0,2520,real,bar,6,mushroom,olive,olive,ArrowLeft,"more, fewer",1,FEWER,"geo, icon, color",0,geo,0
5fb0e87c-3c6b-4c1a-8f62-d1821e65977b,1,2072,real,bar,8,celery,corn,celery,ArrowLeft,"more, fewer",1,FEWER,"geo, icon, color",0,geo,1
5fb0e87c-3c6b-4c1a-8f62-d1821e65977b,1,2192,real,bar,0,eggplant,corn,eggplant,ArrowLeft,"more, fewer",1,FEWER,"geo, icon, color",0,geo,2
5fb0e87c-3c6b-4c1a-8f62-d1821e65977b,1,1944,real,bar,5,olive,celery,olive,ArrowLeft,"more, fewer",1,FEWER,"geo, icon, color",0,geo,3
5fb0e87c-3c6b-4c1a-8f62-d1821e65977b,1,2216,real,bar,3,corn,olive,olive,ArrowRight,"more, fewer",1,FEWER,"geo, icon, color",0,geo,4
5fb0e87c-3c6b-4c1a-8f62-d1821e65977b,0,1504,real,bar,9,mushroom,corn,corn,ArrowLeft,"more, fewer",1,FEWER,"geo, icon, color",0,geo,5
5fb0e87c-3c6b-4c1a-8f62-d1821e65977b,1,1664,real,bar,2,celery,mushroom,celery,ArrowLeft,"more, fewer",1,FEWER,"geo, icon, color",0,geo,6
5fb0e87c-3c6b-4c1a-8f62-d1821e65977b,1,1152,real,bar,1,corn,tomato,corn,ArrowLeft,"more, fewer",1,FEWER,"geo, icon, color",0,geo,7
5fb0e87c-3c6b-4c1a-8f62-d1821e65977b,1,1136,real,bar,7,corn,mushroom,mushroom,ArrowRight,"more, fewer",1,FEWER,"geo, icon, color",0,geo,8
5fb0e87c-3c6b-4c1a-8f62-d1821e65977b,1,1736,real,bar,4,mushroom,carrot,mushroom,ArrowLeft,"more, fewer",1,FEWER,"geo, icon, color",0,geo,9
5fb0e87c-3c6b-4c1a-8f62-d1821e65977b,0,2576,training,bar,4,celery,carrot,carrot,ArrowLeft,"more, fewer",1,FEWER,"geo, icon, color",1,icon,0
5fb0e87c-3c6b-4c1a-8f62-d1821e65977b,1,2096,training,bar,20,eggplant,tomato,tomato,ArrowRight,"more, fewer",1,FEWER,"geo, icon, color",1,icon,1
5fb0e87c-3c6b-4c1a-8f62-d1821e65977b,0,2504,training,bar,13,olive,carrot,olive,ArrowRight,"more, fewer",1,FEWER,"geo, icon, color",1,icon,2
5fb0e87c-3c6b-4c1a-8f62-d1821e65977b,0,1928,real,bar,3,corn,olive,olive,ArrowLeft,"more, fewer",1,FEWER,"geo, icon, color",1,icon,0
5fb0e87c-3c6b-4c1a-8f62-d1821e65977b,1,1200,real,bar,4,mushroom,carrot,mushroom,ArrowLeft,"more, fewer",1,FEWER,"geo, icon, color",1,icon,1
5fb0e87c-3c6b-4c1a-8f62-d1821e65977b,1,2888,real,bar,5,olive,celery,olive,ArrowLeft,"more, fewer",1,FEWER,"geo, icon, color",1,icon,2
5fb0e87c-3c6b-4c1a-8f62-d1821e65977b,1,2804,real,bar,8,celery,corn,celery,ArrowLeft,"more, fewer",1,FEWER,"geo, icon, color",1,icon,3
5fb0e87c-3c6b-4c1a-8f62-d1821e65977b,1,3432,real,bar,0,eggplant,corn,eggplant,ArrowLeft,"more, fewer",1,FEWER,"geo, icon, color",1,icon,4
5fb0e87c-3c6b-4c1a-8f62-d1821e65977b,1,2808,real,bar,2,celery,mushroom,celery,ArrowLeft,"more, fewer",1,FEWER,"geo, icon, color",1,icon,5
5fb0e87c-3c6b-4c1a-8f62-d1821e65977b,1,1817,real,bar,1,corn,tomato,corn,ArrowLeft,"more, fewer",1,FEWER,"geo, icon, color",1,icon,6
5fb0e87c-3c6b-4c1a-8f62-d1821e65977b,1,3168,real,bar,7,corn,mushroom,mushroom,ArrowRight,"more, fewer",1,FEWER,"geo, icon, color",1,icon,7
5fb0e87c-3c6b-4c1a-8f62-d1821e65977b,0,3864,real,bar,6,mushroom,olive,olive,ArrowLeft,"more, fewer",1,FEWER,"geo, icon, color",1,icon,8
5fb0e87c-3c6b-4c1a-8f62-d1821e65977b,0,4096,real,bar,9,mushroom,corn,corn,ArrowLeft,"more, fewer",1,FEWER,"geo, icon, color",1,icon,9
5fb0e87c-3c6b-4c1a-8f62-d1821e65977b,1,3488,training,bar,9,mushroom,eggplant,eggplant,ArrowRight,"more, fewer",1,FEWER,"geo, icon, color",2,color,0
5fb0e87c-3c6b-4c1a-8f62-d1821e65977b,1,2712,training,bar,0,corn,carrot,corn,ArrowLeft,"more, fewer",1,FEWER,"geo, icon, color",2,color,1
5fb0e87c-3c6b-4c1a-8f62-d1821e65977b,1,2640,training,bar,8,olive,eggplant,olive,ArrowLeft,"more, fewer",1,FEWER,"geo, icon, color",2,color,2
5fb0e87c-3c6b-4c1a-8f62-d1821e65977b,1,1744,real,bar,1,corn,tomato,corn,ArrowLeft,"more, fewer",1,FEWER,"geo, icon, color",2,color,0
5fb0e87c-3c6b-4c1a-8f62-d1821e65977b,1,1848,real,bar,4,mushroom,carrot,mushroom,ArrowLeft,"more, fewer",1,FEWER,"geo, icon, color",2,color,1
5fb0e87c-3c6b-4c1a-8f62-d1821e65977b,1,1080,real,bar,2,celery,mushroom,celery,ArrowLeft,"more, fewer",1,FEWER,"geo, icon, color",2,color,2
5fb0e87c-3c6b-4c1a-8f62-d1821e65977b,1,3064,real,bar,6,mushroom,olive,olive,ArrowRight,"more, fewer",1,FEWER,"geo, icon, color",2,color,3
5fb0e87c-3c6b-4c1a-8f62-d1821e65977b,0,2240,real,bar,5,olive,celery,olive,ArrowRight,"more, fewer",1,FEWER,"geo, icon, color",2,color,4
5fb0e87c-3c6b-4c1a-8f62-d1821e65977b,1,1960,real,bar,0,eggplant,corn,eggplant,ArrowLeft,"more, fewer",1,FEWER,"geo, icon, color",2,color,5
5fb0e87c-3c6b-4c1a-8f62-d1821e65977b,1,1664,real,bar,3,corn,olive,olive,ArrowRight,"more, fewer",1,FEWER,"geo, icon, color",2,color,6
5fb0e87c-3c6b-4c1a-8f62-d1821e65977b,1,3624,real,bar,7,corn,mushroom,mushroom,ArrowRight,"more, fewer",1,FEWER,"geo, icon, color",2,color,7
5fb0e87c-3c6b-4c1a-8f62-d1821e65977b,1,3208,real,bar,8,celery,corn,celery,ArrowLeft,"more, fewer",1,FEWER,"geo, icon, color",2,color,8
5fb0e87c-3c6b-4c1a-8f62-d1821e65977b,1,1874,real,bar,9,mushroom,corn,corn,ArrowRight,"more, fewer",1,FEWER,"geo, icon, color",2,color,9
