participant_id,answer_accuracy,elapsed_time,trial_type,condition,current_stimulus_index,target_left,target_right,correct_answer,key_pressed,questions_order,question_index,question_condition,textures_order_for_question,texture_index,texture_condition,trial_number
6203f3c8-7399-4116-a1de-33caa6dd3051,-1,5000,training,pie,1,mushroom,corn,mushroom,none,"more, fewer",0,MORE,"color, geo, icon",0,color,0
6203f3c8-7399-4116-a1de-33caa6dd3051,1,2337,training,pie,3,celery,carrot,celery,ArrowLeft,"more, fewer",0,MORE,"color, geo, icon",0,color,1
6203f3c8-7399-4116-a1de-33caa6dd3051,1,2431,training,pie,1,mushroom,corn,mushroom,ArrowLeft,"more, fewer",0,MORE,"color, geo, icon",0,color,2
6203f3c8-7399-4116-a1de-33caa6dd3051,1,2713,real,pie,1,tomato,corn,tomato,ArrowLeft,"more, fewer",0,MORE,"color, geo, icon",0,color,0
6203f3c8-7399-4116-a1de-33caa6dd3051,1,3873,real,pie,3,olive,corn,corn,ArrowRight,"more, fewer",0,MORE,"color, geo, icon",0,color,1
6203f3c8-7399-4116-a1de-33caa6dd3051,1,4456,real,pie,0,eggplant,corn,corn,ArrowRight,"more, fewer",0,MORE,"color, geo, icon",0,color,2
6203f3c8-7399-4116-a1de-33caa6dd3051,1,1528,real,pie,7,mushroom,corn,corn,ArrowRight,"more, fewer",0,MORE,"color, geo, icon",0,color,3
6203f3c8-7399-4116-a1de-33caa6dd3051,1,4864,real,pie,6,olive,mushroom,mushroom,ArrowRight,"more, fewer",0,MORE,"color, geo, icon",0,color,4
6203f3c8-7399-4116-a1de-33caa6dd3051,1,1488,real,pie,8,corn,celery,corn,ArrowLeft,"more, fewer",0,MORE,"color, geo, icon",0,color,5
6203f3c8-7399-4116-a1de-33caa6dd3051,1,2072,real,pie,9,corn,mushroom,mushroom,ArrowRight,"more, fewer",0,MORE,"color, geo, icon",0,color,6
6203f3c8-7399-4116-a1de-33caa6dd3051,1,3624,real,pie,4,carrot,mushroom,carrot,ArrowLeft,"more, fewer",0,MORE,"color, geo, icon",0,color,7
6203f3c8-7399-4116-a1de-33caa6dd3051,1,2104,real,pie,2,mushroom,celery,mushroom,ArrowLeft,"more, fewer",0,MORE,"color, geo, icon",0,color,8
6203f3c8-7399-4116-a1de-33caa6dd3051,1,2464,real,pie,5,celery,olive,celery,ArrowLeft,"more, fewer",0,MORE,"color, geo, icon",0,color,9
6203f3c8-7399-4116-a1de-33caa6dd3051,1,3967,training,pie,17,mushroom,corn,mushroom,ArrowLeft,"more, fewer",0,MORE,"color, geo, icon",1,geo,0
6203f3c8-7399-4116-a1de-33caa6dd3051,1,2904,training,pie,0,carrot,corn,carrot,ArrowLeft,"more, fewer",0,MORE,"color, geo, icon",1,geo,1
6203f3c8-7399-4116-a1de-33caa6dd3051,1,1287,training,pie,20,tomato,eggplant,eggplant,ArrowRight,"more, fewer",0,MORE,"color, geo, icon",1,geo,2
6203f3c8-7399-4116-a1de-33caa6dd3051,1,3224,real,pie,1,tomato,corn,tomato,ArrowLeft,"more, fewer",0,MORE,"color, geo, icon",1,geo,0
6203f3c8-7399-4116-a1de-33caa6dd3051,1,2463,real,pie,3,olive,corn,corn,ArrowRight,"more, fewer",0,MORE,"color, geo, icon",1,geo,1
6203f3c8-7399-4116-a1de-33caa6dd3051,1,1240,real,pie,5,celery,olive,celery,ArrowLeft,"more, fewer",0,MORE,"color, geo, icon",1,geo,2
6203f3c8-7399-4116-a1de-33caa6dd3051,1,2208,real,pie,6,olive,mushroom,mushroom,ArrowRight,"more, fewer",0,MORE,"color, geo, icon",1,geo,3
6203f3c8-7399-4116-a1de-33caa6dd3051,1,2400,real,pie,8,corn,celery,corn,ArrowLeft,"more, fewer",0,MORE,"color, geo, icon",1,geo,4
6203f3c8-7399-4116-a1de-33caa6dd3051,1,2816,real,pie,9,corn,mushroom,mushroom,ArrowRight,"more, fewer",0,MORE,"color, geo, icon",1,geo,5
6203f3c8-7399-4116-a1de-33caa6dd3051,1,3209,real,pie,0,eggplant,corn,corn,ArrowRight,"more, fewer",0,MORE,"color, geo, icon",1,geo,6
6203f3c8-7399-4116-a1de-33caa6dd3051,1,1416,real,pie,7,mushroom,corn,corn,ArrowRight,"more, fewer",0,MORE,"color, geo, icon",1,geo,7
