participant_id,answer_accuracy,elapsed_time,trial_type,condition,current_stimulus_index,target_left,target_right,correct_answer,key_pressed,questions_order,question_index,question_condition,textures_order_for_question,texture_index,texture_condition,trial_number
640ec4ee-2a4e-4047-9463-2ef916b8dd86,1,2507,training,pie,1,mushroom,corn,corn,ArrowRight,"fewer, more",0,FEWER,"geo, color, icon",0,geo,0
640ec4ee-2a4e-4047-9463-2ef916b8dd86,1,3380,training,pie,4,carrot,celery,carrot,ArrowLeft,"fewer, more",0,FEWER,"geo, color, icon",0,geo,1
640ec4ee-2a4e-4047-9463-2ef916b8dd86,-1,5000,training,pie,12,corn,celery,celery,none,"fewer, more",0,FEWER,"geo, color, icon",0,geo,2
640ec4ee-2a4e-4047-9463-2ef916b8dd86,0,4361,real,pie,5,celery,olive,olive,ArrowLeft,"fewer, more",0,FEWER,"geo, color, icon",0,geo,0
640ec4ee-2a4e-4047-9463-2ef916b8dd86,0,2994,real,pie,4,carrot,mushroom,mushroom,ArrowLeft,"fewer, more",0,FEWER,"geo, color, icon",0,geo,1
640ec4ee-2a4e-4047-9463-2ef916b8dd86,1,3963,real,pie,7,mushroom,corn,mushroom,ArrowLeft,"fewer, more",0,FEWER,"geo, color, icon",0,geo,2
640ec4ee-2a4e-4047-9463-2ef916b8dd86,1,1739,real,pie,2,mushroom,celery,celery,ArrowRight,"fewer, more",0,FEWER,"geo, color, icon",0,geo,3
640ec4ee-2a4e-4047-9463-2ef916b8dd86,1,2071,real,pie,1,tomato,corn,corn,ArrowRight,"fewer, more",0,FEWER,"geo, color, icon",0,geo,4
640ec4ee-2a4e-4047-9463-2ef916b8dd86,0,2947,real,pie,9,corn,mushroom,corn,ArrowRight,"fewer, more",0,FEWER,"geo, color, icon",0,geo,5
640ec4ee-2a4e-4047-9463-2ef916b8dd86,1,1987,real,pie,0,eggplant,corn,eggplant,ArrowLeft,"fewer, more",0,FEWER,"geo, color, icon",0,geo,6
640ec4ee-2a4e-4047-9463-2ef916b8dd86,1,1706,real,pie,8,corn,celery,celery,ArrowRight,"fewer, more",0,FEWER,"geo, color, icon",0,geo,7
640ec4ee-2a4e-4047-9463-2ef916b8dd86,1,2417,real,pie,3,olive,corn,olive,ArrowLeft,"fewer, more",0,FEWER,"geo, color, icon",0,geo,8
640ec4ee-2a4e-4047-9463-2ef916b8dd86,0,2638,real,pie,6,olive,mushroom,olive,ArrowRight,"fewer, more",0,FEWER,"geo, color, icon",0,geo,9
640ec4ee-2a4e-4047-9463-2ef916b8dd86,1,1523,training,pie,6,celery,mushroom,mushroom,ArrowRight,"fewer, more",0,FEWER,"geo, color, icon",1,color,0
640ec4ee-2a4e-4047-9463-2ef916b8dd86,1,3590,training,pie,0,carrot,corn,corn,ArrowRight,"fewer, more",0,FEWER,"geo, color, icon",1,color,1
640ec4ee-2a4e-4047-9463-2ef916b8dd86,1,3554,training,pie,12,corn,celery,celery,ArrowRight,"fewer, more",0,FEWER,"geo, color, icon",1,color,2
640ec4ee-2a4e-4047-9463-2ef916b8dd86,1,1946,real,pie,4,carrot,mushroom,mushroom,ArrowRight,"fewer, more",0,FEWER,"geo, color, icon",1,color,0
640ec4ee-2a4e-4047-9463-2ef916b8dd86,1,2527,real,pie,7,mushroom,corn,mushroom,ArrowLeft,"fewer, more",0,FEWER,"geo, color, icon",1,color,1
640ec4ee-2a4e-4047-9463-2ef916b8dd86,1,2441,real,pie,5,celery,olive,olive,ArrowRight,"fewer, more",0,FEWER,"geo, color, icon",1,color,2
640ec4ee-2a4e-4047-9463-2ef916b8dd86,1,2234,real,pie,8,corn,celery,celery,ArrowRight,"fewer, more",0,FEWER,"geo, color, icon",1,color,3
640ec4ee-2a4e-4047-9463-2ef916b8dd86,1,2082,real,pie,3,olive,corn,olive,ArrowLeft,"fewer, more",0,FEWER,"geo, color, icon",1,color,4
640ec4ee-2a4e-4047-9463-2ef916b8dd86,1,2423,real,pie,2,mushroom,celery,celery,ArrowRight,"fewer, more",0,FEWER,"geo, color, icon",1,color,5
640ec4ee-2a4e-4047-9463-2ef916b8dd86,1,2565,real,pie,0,eggplant,corn,eggplant,ArrowLeft,"fewer, more",0,FEWER,"geo, color, icon",1,color,6
640ec4ee-2a4e-4047-9463-2ef916b8dd86,1,3917,real,pie,6,olive,mushroom,olive,ArrowLeft,"fewer, more",0,FEWER,"geo, color, icon",1,color,7
640ec4ee-2a4e-4047-9463-2ef916b8dd86,1,2295,real,pie,1,tomato,corn,corn,ArrowRight,"fewer, more",0,FEWER,"geo, color, icon",1,color,8
640ec4ee-2a4e-4047-9463-2ef916b8dd86,1,2016,real,pie,9,corn,mushroom,corn,ArrowLeft,"fewer, more",0,FEWER,"geo, color, icon",1,color,9
640ec4ee-2a4e-4047-9463-2ef916b8dd86,1,1896,training,pie,14,tomato,eggplant,eggplant,ArrowRight,"fewer, more",0,FEWER,"geo, color, icon",2,icon,0
640ec4ee-2a4e-4047-9463-2ef916b8dd86,1,3537,training,pie,28,celery,mushroom,celery,ArrowLeft,"fewer, more",0,FEWER,"geo, color, icon",2,icon,1
640ec4ee-2a4e-4047-9463-2ef916b8dd86,1,4072,training,pie,5,olive,carrot,carrot,ArrowRight,"fewer, more",0,FEWER,"geo, color, icon",2,icon,2
640ec4ee-2a4e-4047-9463-2ef916b8dd86,1,3114,real,pie,5,celery,olive,olive,ArrowRight,"fewer, more",0,FEWER,"geo, color, icon",2,icon,0
640ec4ee-2a4e-4047-9463-2ef916b8dd86,1,3231,real,pie,9,corn,mushroom,corn,ArrowLeft,"fewer, more",0,FEWER,"geo, color, icon",2,icon,1
640ec4ee-2a4e-4047-9463-2ef916b8dd86,1,3322,real,pie,3,olive,corn,olive,ArrowLeft,"fewer, more",0,FEWER,"geo, color, icon",2,icon,2
640ec4ee-2a4e-4047-9463-2ef916b8dd86,1,2727,real,pie,8,corn,celery,celery,ArrowRight,"fewer, more",0,FEWER,"geo, color, icon",2,icon,3
640ec4ee-2a4e-4047-9463-2ef916b8dd86,1,2703,real,pie,2,mushroom,celery,celery,ArrowRight,"fewer, more",0,FEWER,"geo, color, icon",2,icon,4
640ec4ee-2a4e-4047-9463-2ef916b8dd86,1,2474,real,pie,0,eggplant,corn,eggplant,ArrowLeft,"fewer, more",0,FEWER,"geo, color, icon",2,icon,5
640ec4ee-2a4e-4047-9463-2ef916b8dd86,1,3717,real,pie,4,carrot,mushroom,mushroom,ArrowRight,"fewer, more",0,FEWER,"geo, color, icon",2,icon,6
640ec4ee-2a4e-4047-9463-2ef916b8dd86,1,2468,real,pie,1,tomato,corn,corn,ArrowRight,"fewer, more",0,FEWER,"geo, color, icon",2,icon,7
640ec4ee-2a4e-4047-9463-2ef916b8dd86,1,4668,real,pie,7,mushroom,corn,mushroom,ArrowLeft,"fewer, more",0,FEWER,"geo, color, icon",2,icon,8
640ec4ee-2a4e-4047-9463-2ef916b8dd86,1,4005,real,pie,6,olive,mushroom,olive,ArrowLeft,"fewer, more",0,FEWER,"geo, color, icon",2,icon,9
640ec4ee-2a4e-4047-9463-2ef916b8dd86,1,3358,training,pie,10,eggplant,celery,celery,ArrowRight,"fewer, more",1,MORE,"icon, geo, color",0,icon,0
640ec4ee-2a4e-4047-9463-2ef916b8dd86,1,2004,training,pie,10,eggplant,celery,celery,ArrowRight,"fewer, more",1,MORE,"icon, geo, color",0,icon,1
640ec4ee-2a4e-4047-9463-2ef916b8dd86,1,2937,training,pie,5,olive,carrot,olive,ArrowLeft,"fewer, more",1,MORE,"icon, geo, color",0,icon,2
640ec4ee-2a4e-4047-9463-2ef916b8dd86,0,2757,real,pie,5,celery,olive,celery,ArrowRight,"fewer, more",1,MORE,"icon, geo, color",0,icon,0
640ec4ee-2a4e-4047-9463-2ef916b8dd86,1,3157,real,pie,9,corn,mushroom,mushroom,ArrowRight,"fewer, more",1,MORE,"icon, geo, color",0,icon,1
640ec4ee-2a4e-4047-9463-2ef916b8dd86,1,2726,real,pie,3,olive,corn,corn,ArrowRight,"fewer, more",1,MORE,"icon, geo, color",0,icon,2
640ec4ee-2a4e-4047-9463-2ef916b8dd86,1,2527,real,pie,8,corn,celery,corn,ArrowLeft,"fewer, more",1,MORE,"icon, geo, color",0,icon,3
640ec4ee-2a4e-4047-9463-2ef916b8dd86,1,3064,real,pie,2,mushroom,celery,mushroom,ArrowLeft,"fewer, more",1,MORE,"icon, geo, color",0,icon,4
640ec4ee-2a4e-4047-9463-2ef916b8dd86,1,3523,real,pie,0,eggplant,corn,corn,ArrowRight,"fewer, more",1,MORE,"icon, geo, color",0,icon,5
640ec4ee-2a4e-4047-9463-2ef916b8dd86,1,2815,real,pie,4,carrot,mushroom,carrot,ArrowLeft,"fewer, more",1,MORE,"icon, geo, color",0,icon,6
640ec4ee-2a4e-4047-9463-2ef916b8dd86,1,2968,real,pie,1,tomato,corn,tomato,ArrowLeft,"fewer, more",1,MORE,"icon, geo, color",0,icon,7
640ec4ee-2a4e-4047-9463-2ef916b8dd86,1,2820,real,pie,7,mushroom,corn,corn,ArrowRight,"fewer, more",1,MORE,"icon, geo, color",0,icon,8
640ec4ee-2a4e-4047-9463-2ef916b8dd86,1,2775,real,pie,6,olive,mushroom,mushroom,ArrowRight,"fewer, more",1,MORE,"icon, geo, color",0,icon,9
640ec4ee-2a4e-4047-9463-2ef916b8dd86,1,2450,training,pie,25,eggplant,corn,corn,ArrowRight,"fewer, more",1,MORE,"icon, geo, color",1,geo,0
640ec4ee-2a4e-4047-9463-2ef916b8dd86,1,2691,training,pie,12,corn,celery,corn,ArrowLeft,"fewer, more",1,MORE,"icon, geo, color",1,geo,1
640ec4ee-2a4e-4047-9463-2ef916b8dd86,1,4476,training,pie,7,celery,eggplant,celery,ArrowLeft,"fewer, more",1,MORE,"icon, geo, color",1,geo,2
640ec4ee-2a4e-4047-9463-2ef916b8dd86,0,3178,real,pie,5,celery,olive,celery,ArrowRight,"fewer, more",1,MORE,"icon, geo, color",1,geo,0
640ec4ee-2a4e-4047-9463-2ef916b8dd86,1,2593,real,pie,4,carrot,mushroom,carrot,ArrowLeft,"fewer, more",1,MORE,"icon, geo, color",1,geo,1
640ec4ee-2a4e-4047-9463-2ef916b8dd86,1,3205,real,pie,7,mushroom,corn,corn,ArrowRight,"fewer, more",1,MORE,"icon, geo, color",1,geo,2
640ec4ee-2a4e-4047-9463-2ef916b8dd86,1,2922,real,pie,2,mushroom,celery,mushroom,ArrowLeft,"fewer, more",1,MORE,"icon, geo, color",1,geo,3
640ec4ee-2a4e-4047-9463-2ef916b8dd86,1,2613,real,pie,1,tomato,corn,tomato,ArrowLeft,"fewer, more",1,MORE,"icon, geo, color",1,geo,4
640ec4ee-2a4e-4047-9463-2ef916b8dd86,0,2978,real,pie,9,corn,mushroom,mushroom,ArrowLeft,"fewer, more",1,MORE,"icon, geo, color",1,geo,5
640ec4ee-2a4e-4047-9463-2ef916b8dd86,1,2481,real,pie,0,eggplant,corn,corn,ArrowRight,"fewer, more",1,MORE,"icon, geo, color",1,geo,6
640ec4ee-2a4e-4047-9463-2ef916b8dd86,1,2572,real,pie,8,corn,celery,corn,ArrowLeft,"fewer, more",1,MORE,"icon, geo, color",1,geo,7
640ec4ee-2a4e-4047-9463-2ef916b8dd86,1,1405,real,pie,3,olive,corn,corn,ArrowRight,"fewer, more",1,MORE,"icon, geo, color",1,geo,8
640ec4ee-2a4e-4047-9463-2ef916b8dd86,1,2490,real,pie,6,olive,mushroom,mushroom,ArrowRight,"fewer, more",1,MORE,"icon, geo, color",1,geo,9
640ec4ee-2a4e-4047-9463-2ef916b8dd86,-1,5000,training,pie,19,eggplant,carrot,carrot,none,"fewer, more",1,MORE,"icon, geo, color",2,color,0
640ec4ee-2a4e-4047-9463-2ef916b8dd86,1,2177,training,pie,11,carrot,tomato,tomato,ArrowRight,"fewer, more",1,MORE,"icon, geo, color",2,color,1
640ec4ee-2a4e-4047-9463-2ef916b8dd86,1,2675,training,pie,2,mushroom,tomato,mushroom,ArrowLeft,"fewer, more",1,MORE,"icon, geo, color",2,color,2
640ec4ee-2a4e-4047-9463-2ef916b8dd86,1,1549,real,pie,4,carrot,mushroom,carrot,ArrowLeft,"fewer, more",1,MORE,"icon, geo, color",2,color,0
640ec4ee-2a4e-4047-9463-2ef916b8dd86,1,1814,real,pie,7,mushroom,corn,corn,ArrowRight,"fewer, more",1,MORE,"icon, geo, color",2,color,1
640ec4ee-2a4e-4047-9463-2ef916b8dd86,0,2321,real,pie,5,celery,olive,celery,ArrowRight,"fewer, more",1,MORE,"icon, geo, color",2,color,2
640ec4ee-2a4e-4047-9463-2ef916b8dd86,1,1514,real,pie,8,corn,celery,corn,ArrowLeft,"fewer, more",1,MORE,"icon, geo, color",2,color,3
640ec4ee-2a4e-4047-9463-2ef916b8dd86,1,1527,real,pie,3,olive,corn,corn,ArrowRight,"fewer, more",1,MORE,"icon, geo, color",2,color,4
640ec4ee-2a4e-4047-9463-2ef916b8dd86,1,2741,real,pie,2,mushroom,celery,mushroom,ArrowLeft,"fewer, more",1,MORE,"icon, geo, color",2,color,5
640ec4ee-2a4e-4047-9463-2ef916b8dd86,1,2180,real,pie,0,eggplant,corn,corn,ArrowRight,"fewer, more",1,MORE,"icon, geo, color",2,color,6
640ec4ee-2a4e-4047-9463-2ef916b8dd86,1,2254,real,pie,6,olive,mushroom,mushroom,ArrowRight,"fewer, more",1,MORE,"icon, geo, color",2,color,7
640ec4ee-2a4e-4047-9463-2ef916b8dd86,1,2317,real,pie,1,tomato,corn,tomato,ArrowLeft,"fewer, more",1,MORE,"icon, geo, color",2,color,8
640ec4ee-2a4e-4047-9463-2ef916b8dd86,1,2320,real,pie,9,corn,mushroom,mushroom,ArrowRight,"fewer, more",1,MORE,"icon, geo, color",2,color,9
