participant_id,answer_accuracy,elapsed_time,trial_type,condition,current_stimulus_index,target_left,target_right,correct_answer,key_pressed,questions_order,question_index,question_condition,textures_order_for_question,texture_index,texture_condition,trial_number
66948349-4522-4bf3-a790-84a8a0412427,-1,5000,training,pie,7,celery,eggplant,eggplant,none,"fewer, more",0,FEWER,"icon, color, geo",0,icon,0
66948349-4522-4bf3-a790-84a8a0412427,0,3456,training,pie,10,eggplant,celery,eggplant,ArrowRight,"fewer, more",0,FEWER,"icon, color, geo",0,icon,1
66948349-4522-4bf3-a790-84a8a0412427,1,2902,training,pie,24,mushroom,celery,mushroom,ArrowLeft,"fewer, more",0,FEWER,"icon, color, geo",0,icon,2
66948349-4522-4bf3-a790-84a8a0412427,0,3914,real,pie,5,celery,olive,olive,ArrowLeft,"fewer, more",0,FEWER,"icon, color, geo",0,icon,0
66948349-4522-4bf3-a790-84a8a0412427,1,3752,real,pie,3,olive,corn,olive,ArrowLeft,"fewer, more",0,FEWER,"icon, color, geo",0,icon,1
66948349-4522-4bf3-a790-84a8a0412427,1,3571,real,pie,8,corn,celery,celery,ArrowRight,"fewer, more",0,FEWER,"icon, color, geo",0,icon,2
66948349-4522-4bf3-a790-84a8a0412427,1,3336,real,pie,2,mushroom,celery,celery,ArrowRight,"fewer, more",0,FEWER,"icon, color, geo",0,icon,3
66948349-4522-4bf3-a790-84a8a0412427,1,4286,real,pie,4,carrot,mushroom,mushroom,ArrowRight,"fewer, more",0,FEWER,"icon, color, geo",0,icon,4
66948349-4522-4bf3-a790-84a8a0412427,1,2311,real,pie,7,mushroom,corn,mushroom,ArrowLeft,"fewer, more",0,FEWER,"icon, color, geo",0,icon,5
66948349-4522-4bf3-a790-84a8a0412427,1,4256,real,pie,0,eggplant,corn,eggplant,ArrowLeft,"fewer, more",0,FEWER,"icon, color, geo",0,icon,6
66948349-4522-4bf3-a790-84a8a0412427,1,1680,real,pie,1,tomato,corn,corn,ArrowRight,"fewer, more",0,FEWER,"icon, color, geo",0,icon,7
66948349-4522-4bf3-a790-84a8a0412427,1,3784,real,pie,6,olive,mushroom,olive,ArrowLeft,"fewer, more",0,FEWER,"icon, color, geo",0,icon,8
66948349-4522-4bf3-a790-84a8a0412427,1,2520,real,pie,9,corn,mushroom,corn,ArrowLeft,"fewer, more",0,FEWER,"icon, color, geo",0,icon,9
66948349-4522-4bf3-a790-84a8a0412427,1,3924,training,pie,10,eggplant,celery,eggplant,ArrowLeft,"fewer, more",0,FEWER,"icon, color, geo",1,color,0
66948349-4522-4bf3-a790-84a8a0412427,1,3823,training,pie,1,mushroom,corn,corn,ArrowRight,"fewer, more",0,FEWER,"icon, color, geo",1,color,1
66948349-4522-4bf3-a790-84a8a0412427,1,2849,training,pie,20,tomato,eggplant,tomato,ArrowLeft,"fewer, more",0,FEWER,"icon, color, geo",1,color,2
66948349-4522-4bf3-a790-84a8a0412427,1,2843,real,pie,2,mushroom,celery,celery,ArrowRight,"fewer, more",0,FEWER,"icon, color, geo",1,color,0
66948349-4522-4bf3-a790-84a8a0412427,1,3257,real,pie,5,celery,olive,olive,ArrowRight,"fewer, more",0,FEWER,"icon, color, geo",1,color,1
66948349-4522-4bf3-a790-84a8a0412427,1,2840,real,pie,8,corn,celery,celery,ArrowRight,"fewer, more",0,FEWER,"icon, color, geo",1,color,2
