participant_id,answer_accuracy,elapsed_time,trial_type,condition,current_stimulus_index,target_left,target_right,correct_answer,key_pressed,questions_order,question_index,question_condition,textures_order_for_question,texture_index,texture_condition,trial_number
6aa972ab-3d06-4376-bbdd-d80a589aad52,-1,5000,training,pie,16,olive,mushroom,mushroom,none,"more, fewer",0,MORE,"geo, color, icon",0,geo,0
6aa972ab-3d06-4376-bbdd-d80a589aad52,1,1643,training,pie,5,olive,carrot,olive,ArrowLeft,"more, fewer",0,MORE,"geo, color, icon",0,geo,1
6aa972ab-3d06-4376-bbdd-d80a589aad52,1,1982,training,pie,9,eggplant,mushroom,mushroom,ArrowRight,"more, fewer",0,MORE,"geo, color, icon",0,geo,2
6aa972ab-3d06-4376-bbdd-d80a589aad52,1,1647,real,pie,8,corn,celery,corn,ArrowLeft,"more, fewer",0,MORE,"geo, color, icon",0,geo,0
6aa972ab-3d06-4376-bbdd-d80a589aad52,1,2464,real,pie,9,corn,mushroom,mushroom,ArrowRight,"more, fewer",0,MORE,"geo, color, icon",0,geo,1
6aa972ab-3d06-4376-bbdd-d80a589aad52,1,1245,real,pie,1,tomato,corn,tomato,ArrowLeft,"more, fewer",0,MORE,"geo, color, icon",0,geo,2
6aa972ab-3d06-4376-bbdd-d80a589aad52,1,1904,real,pie,6,olive,mushroom,mushroom,ArrowRight,"more, fewer",0,MORE,"geo, color, icon",0,geo,3
6aa972ab-3d06-4376-bbdd-d80a589aad52,1,1392,real,pie,4,carrot,mushroom,carrot,ArrowLeft,"more, fewer",0,MORE,"geo, color, icon",0,geo,4
6aa972ab-3d06-4376-bbdd-d80a589aad52,0,2065,real,pie,5,celery,olive,celery,ArrowRight,"more, fewer",0,MORE,"geo, color, icon",0,geo,5
6aa972ab-3d06-4376-bbdd-d80a589aad52,1,2767,real,pie,2,mushroom,celery,mushroom,ArrowLeft,"more, fewer",0,MORE,"geo, color, icon",0,geo,6
6aa972ab-3d06-4376-bbdd-d80a589aad52,0,2400,real,pie,3,olive,corn,corn,ArrowLeft,"more, fewer",0,MORE,"geo, color, icon",0,geo,7
6aa972ab-3d06-4376-bbdd-d80a589aad52,1,2638,real,pie,7,mushroom,corn,corn,ArrowRight,"more, fewer",0,MORE,"geo, color, icon",0,geo,8
6aa972ab-3d06-4376-bbdd-d80a589aad52,1,1710,real,pie,0,eggplant,corn,corn,ArrowRight,"more, fewer",0,MORE,"geo, color, icon",0,geo,9
6aa972ab-3d06-4376-bbdd-d80a589aad52,1,1247,training,pie,6,celery,mushroom,celery,ArrowLeft,"more, fewer",0,MORE,"geo, color, icon",1,color,0
6aa972ab-3d06-4376-bbdd-d80a589aad52,0,2044,training,pie,28,celery,mushroom,mushroom,ArrowLeft,"more, fewer",0,MORE,"geo, color, icon",1,color,1
6aa972ab-3d06-4376-bbdd-d80a589aad52,1,2512,training,pie,6,celery,mushroom,celery,ArrowLeft,"more, fewer",0,MORE,"geo, color, icon",1,color,2
6aa972ab-3d06-4376-bbdd-d80a589aad52,1,2590,real,pie,2,mushroom,celery,mushroom,ArrowLeft,"more, fewer",0,MORE,"geo, color, icon",1,color,0
6aa972ab-3d06-4376-bbdd-d80a589aad52,1,1824,real,pie,7,mushroom,corn,corn,ArrowRight,"more, fewer",0,MORE,"geo, color, icon",1,color,1
6aa972ab-3d06-4376-bbdd-d80a589aad52,1,2241,real,pie,9,corn,mushroom,mushroom,ArrowRight,"more, fewer",0,MORE,"geo, color, icon",1,color,2
6aa972ab-3d06-4376-bbdd-d80a589aad52,1,1745,real,pie,5,celery,olive,celery,ArrowLeft,"more, fewer",0,MORE,"geo, color, icon",1,color,3
6aa972ab-3d06-4376-bbdd-d80a589aad52,1,835,real,pie,8,corn,celery,corn,ArrowLeft,"more, fewer",0,MORE,"geo, color, icon",1,color,4
6aa972ab-3d06-4376-bbdd-d80a589aad52,0,1837,real,pie,3,olive,corn,corn,ArrowLeft,"more, fewer",0,MORE,"geo, color, icon",1,color,5
6aa972ab-3d06-4376-bbdd-d80a589aad52,0,3118,real,pie,0,eggplant,corn,corn,ArrowLeft,"more, fewer",0,MORE,"geo, color, icon",1,color,6
6aa972ab-3d06-4376-bbdd-d80a589aad52,1,1374,real,pie,1,tomato,corn,tomato,ArrowLeft,"more, fewer",0,MORE,"geo, color, icon",1,color,7
6aa972ab-3d06-4376-bbdd-d80a589aad52,1,1969,real,pie,6,olive,mushroom,mushroom,ArrowRight,"more, fewer",0,MORE,"geo, color, icon",1,color,8
6aa972ab-3d06-4376-bbdd-d80a589aad52,1,1214,real,pie,4,carrot,mushroom,carrot,ArrowLeft,"more, fewer",0,MORE,"geo, color, icon",1,color,9
6aa972ab-3d06-4376-bbdd-d80a589aad52,0,2128,training,pie,22,mushroom,corn,corn,ArrowLeft,"more, fewer",0,MORE,"geo, color, icon",2,icon,0
6aa972ab-3d06-4376-bbdd-d80a589aad52,1,1825,training,pie,14,tomato,eggplant,tomato,ArrowLeft,"more, fewer",0,MORE,"geo, color, icon",2,icon,1
6aa972ab-3d06-4376-bbdd-d80a589aad52,0,2143,training,pie,26,olive,mushroom,olive,ArrowRight,"more, fewer",0,MORE,"geo, color, icon",2,icon,2
6aa972ab-3d06-4376-bbdd-d80a589aad52,1,3056,real,pie,0,eggplant,corn,corn,ArrowRight,"more, fewer",0,MORE,"geo, color, icon",2,icon,0
6aa972ab-3d06-4376-bbdd-d80a589aad52,1,1120,real,pie,8,corn,celery,corn,ArrowLeft,"more, fewer",0,MORE,"geo, color, icon",2,icon,1
6aa972ab-3d06-4376-bbdd-d80a589aad52,1,1968,real,pie,4,carrot,mushroom,carrot,ArrowLeft,"more, fewer",0,MORE,"geo, color, icon",2,icon,2
6aa972ab-3d06-4376-bbdd-d80a589aad52,1,2544,real,pie,2,mushroom,celery,mushroom,ArrowLeft,"more, fewer",0,MORE,"geo, color, icon",2,icon,3
6aa972ab-3d06-4376-bbdd-d80a589aad52,0,1791,real,pie,3,olive,corn,corn,ArrowLeft,"more, fewer",0,MORE,"geo, color, icon",2,icon,4
6aa972ab-3d06-4376-bbdd-d80a589aad52,1,1809,real,pie,6,olive,mushroom,mushroom,ArrowRight,"more, fewer",0,MORE,"geo, color, icon",2,icon,5
6aa972ab-3d06-4376-bbdd-d80a589aad52,1,2304,real,pie,7,mushroom,corn,corn,ArrowRight,"more, fewer",0,MORE,"geo, color, icon",2,icon,6
6aa972ab-3d06-4376-bbdd-d80a589aad52,0,2383,real,pie,5,celery,olive,celery,ArrowRight,"more, fewer",0,MORE,"geo, color, icon",2,icon,7
6aa972ab-3d06-4376-bbdd-d80a589aad52,1,1939,real,pie,1,tomato,corn,tomato,ArrowLeft,"more, fewer",0,MORE,"geo, color, icon",2,icon,8
6aa972ab-3d06-4376-bbdd-d80a589aad52,0,3103,real,pie,9,corn,mushroom,mushroom,ArrowLeft,"more, fewer",0,MORE,"geo, color, icon",2,icon,9
6aa972ab-3d06-4376-bbdd-d80a589aad52,0,2095,training,pie,13,carrot,olive,olive,ArrowLeft,"more, fewer",1,FEWER,"geo, icon, color",0,geo,0
6aa972ab-3d06-4376-bbdd-d80a589aad52,0,2768,training,pie,22,mushroom,corn,mushroom,ArrowRight,"more, fewer",1,FEWER,"geo, icon, color",0,geo,1
6aa972ab-3d06-4376-bbdd-d80a589aad52,1,2238,training,pie,12,corn,celery,celery,ArrowRight,"more, fewer",1,FEWER,"geo, icon, color",0,geo,2
6aa972ab-3d06-4376-bbdd-d80a589aad52,1,2015,real,pie,8,corn,celery,celery,ArrowRight,"more, fewer",1,FEWER,"geo, icon, color",0,geo,0
6aa972ab-3d06-4376-bbdd-d80a589aad52,1,2257,real,pie,9,corn,mushroom,corn,ArrowLeft,"more, fewer",1,FEWER,"geo, icon, color",0,geo,1
6aa972ab-3d06-4376-bbdd-d80a589aad52,1,1181,real,pie,1,tomato,corn,corn,ArrowRight,"more, fewer",1,FEWER,"geo, icon, color",0,geo,2
6aa972ab-3d06-4376-bbdd-d80a589aad52,0,2722,real,pie,6,olive,mushroom,olive,ArrowRight,"more, fewer",1,FEWER,"geo, icon, color",0,geo,3
6aa972ab-3d06-4376-bbdd-d80a589aad52,1,1311,real,pie,4,carrot,mushroom,mushroom,ArrowRight,"more, fewer",1,FEWER,"geo, icon, color",0,geo,4
6aa972ab-3d06-4376-bbdd-d80a589aad52,0,2207,real,pie,5,celery,olive,olive,ArrowLeft,"more, fewer",1,FEWER,"geo, icon, color",0,geo,5
6aa972ab-3d06-4376-bbdd-d80a589aad52,1,2225,real,pie,2,mushroom,celery,celery,ArrowRight,"more, fewer",1,FEWER,"geo, icon, color",0,geo,6
6aa972ab-3d06-4376-bbdd-d80a589aad52,1,1488,real,pie,3,olive,corn,olive,ArrowLeft,"more, fewer",1,FEWER,"geo, icon, color",0,geo,7
6aa972ab-3d06-4376-bbdd-d80a589aad52,1,2495,real,pie,7,mushroom,corn,mushroom,ArrowLeft,"more, fewer",1,FEWER,"geo, icon, color",0,geo,8
6aa972ab-3d06-4376-bbdd-d80a589aad52,0,2479,real,pie,0,eggplant,corn,eggplant,ArrowRight,"more, fewer",1,FEWER,"geo, icon, color",0,geo,9
6aa972ab-3d06-4376-bbdd-d80a589aad52,1,2254,training,pie,17,mushroom,corn,corn,ArrowRight,"more, fewer",1,FEWER,"geo, icon, color",1,icon,0
6aa972ab-3d06-4376-bbdd-d80a589aad52,0,2016,training,pie,10,eggplant,celery,eggplant,ArrowRight,"more, fewer",1,FEWER,"geo, icon, color",1,icon,1
6aa972ab-3d06-4376-bbdd-d80a589aad52,1,1839,training,pie,21,eggplant,mushroom,eggplant,ArrowLeft,"more, fewer",1,FEWER,"geo, icon, color",1,icon,2
6aa972ab-3d06-4376-bbdd-d80a589aad52,0,2398,real,pie,0,eggplant,corn,eggplant,ArrowRight,"more, fewer",1,FEWER,"geo, icon, color",1,icon,0
6aa972ab-3d06-4376-bbdd-d80a589aad52,1,1249,real,pie,8,corn,celery,celery,ArrowRight,"more, fewer",1,FEWER,"geo, icon, color",1,icon,1
6aa972ab-3d06-4376-bbdd-d80a589aad52,1,1250,real,pie,4,carrot,mushroom,mushroom,ArrowRight,"more, fewer",1,FEWER,"geo, icon, color",1,icon,2
6aa972ab-3d06-4376-bbdd-d80a589aad52,1,1822,real,pie,2,mushroom,celery,celery,ArrowRight,"more, fewer",1,FEWER,"geo, icon, color",1,icon,3
6aa972ab-3d06-4376-bbdd-d80a589aad52,1,2317,real,pie,3,olive,corn,olive,ArrowLeft,"more, fewer",1,FEWER,"geo, icon, color",1,icon,4
6aa972ab-3d06-4376-bbdd-d80a589aad52,0,2113,real,pie,6,olive,mushroom,olive,ArrowRight,"more, fewer",1,FEWER,"geo, icon, color",1,icon,5
6aa972ab-3d06-4376-bbdd-d80a589aad52,0,1745,real,pie,7,mushroom,corn,mushroom,ArrowRight,"more, fewer",1,FEWER,"geo, icon, color",1,icon,6
6aa972ab-3d06-4376-bbdd-d80a589aad52,1,1377,real,pie,5,celery,olive,olive,ArrowRight,"more, fewer",1,FEWER,"geo, icon, color",1,icon,7
6aa972ab-3d06-4376-bbdd-d80a589aad52,0,1328,real,pie,1,tomato,corn,corn,ArrowLeft,"more, fewer",1,FEWER,"geo, icon, color",1,icon,8
6aa972ab-3d06-4376-bbdd-d80a589aad52,1,2161,real,pie,9,corn,mushroom,corn,ArrowLeft,"more, fewer",1,FEWER,"geo, icon, color",1,icon,9
6aa972ab-3d06-4376-bbdd-d80a589aad52,1,2493,training,pie,10,eggplant,celery,eggplant,ArrowLeft,"more, fewer",1,FEWER,"geo, icon, color",2,color,0
6aa972ab-3d06-4376-bbdd-d80a589aad52,1,1266,training,pie,13,carrot,olive,olive,ArrowRight,"more, fewer",1,FEWER,"geo, icon, color",2,color,1
6aa972ab-3d06-4376-bbdd-d80a589aad52,0,1760,training,pie,20,tomato,eggplant,tomato,ArrowRight,"more, fewer",1,FEWER,"geo, icon, color",2,color,2
6aa972ab-3d06-4376-bbdd-d80a589aad52,1,1984,real,pie,2,mushroom,celery,celery,ArrowRight,"more, fewer",1,FEWER,"geo, icon, color",2,color,0
6aa972ab-3d06-4376-bbdd-d80a589aad52,1,2320,real,pie,7,mushroom,corn,mushroom,ArrowLeft,"more, fewer",1,FEWER,"geo, icon, color",2,color,1
6aa972ab-3d06-4376-bbdd-d80a589aad52,1,2191,real,pie,9,corn,mushroom,corn,ArrowLeft,"more, fewer",1,FEWER,"geo, icon, color",2,color,2
6aa972ab-3d06-4376-bbdd-d80a589aad52,0,2145,real,pie,5,celery,olive,olive,ArrowLeft,"more, fewer",1,FEWER,"geo, icon, color",2,color,3
6aa972ab-3d06-4376-bbdd-d80a589aad52,1,1375,real,pie,8,corn,celery,celery,ArrowRight,"more, fewer",1,FEWER,"geo, icon, color",2,color,4
6aa972ab-3d06-4376-bbdd-d80a589aad52,1,1824,real,pie,3,olive,corn,olive,ArrowLeft,"more, fewer",1,FEWER,"geo, icon, color",2,color,5
6aa972ab-3d06-4376-bbdd-d80a589aad52,0,1792,real,pie,0,eggplant,corn,eggplant,ArrowRight,"more, fewer",1,FEWER,"geo, icon, color",2,color,6
6aa972ab-3d06-4376-bbdd-d80a589aad52,1,1502,real,pie,1,tomato,corn,corn,ArrowRight,"more, fewer",1,FEWER,"geo, icon, color",2,color,7
6aa972ab-3d06-4376-bbdd-d80a589aad52,1,2751,real,pie,6,olive,mushroom,olive,ArrowLeft,"more, fewer",1,FEWER,"geo, icon, color",2,color,8
6aa972ab-3d06-4376-bbdd-d80a589aad52,1,1230,real,pie,4,carrot,mushroom,mushroom,ArrowRight,"more, fewer",1,FEWER,"geo, icon, color",2,color,9
