participant_id,answer_accuracy,elapsed_time,trial_type,condition,current_stimulus_index,target_left,target_right,correct_answer,key_pressed,questions_order,question_index,question_condition,textures_order_for_question,texture_index,texture_condition,trial_number
6ec84b99-9a7a-40f1-8384-b4f9b80a8f8f,1,2465,training,bar,24,celery,mushroom,celery,ArrowLeft,"more, fewer",0,MORE,"color, icon, geo",0,color,0
6ec84b99-9a7a-40f1-8384-b4f9b80a8f8f,1,2274,training,bar,28,mushroom,celery,mushroom,ArrowLeft,"more, fewer",0,MORE,"color, icon, geo",0,color,1
6ec84b99-9a7a-40f1-8384-b4f9b80a8f8f,1,3016,training,bar,21,mushroom,eggplant,mushroom,ArrowLeft,"more, fewer",0,MORE,"color, icon, geo",0,color,2
6ec84b99-9a7a-40f1-8384-b4f9b80a8f8f,1,2898,real,bar,9,mushroom,corn,mushroom,ArrowLeft,"more, fewer",0,MORE,"color, icon, geo",0,color,0
6ec84b99-9a7a-40f1-8384-b4f9b80a8f8f,1,2044,real,bar,3,corn,olive,corn,ArrowLeft,"more, fewer",0,MORE,"color, icon, geo",0,color,1
6ec84b99-9a7a-40f1-8384-b4f9b80a8f8f,1,1967,real,bar,6,mushroom,olive,mushroom,ArrowLeft,"more, fewer",0,MORE,"color, icon, geo",0,color,2
6ec84b99-9a7a-40f1-8384-b4f9b80a8f8f,1,2881,real,bar,5,olive,celery,celery,ArrowRight,"more, fewer",0,MORE,"color, icon, geo",0,color,3
6ec84b99-9a7a-40f1-8384-b4f9b80a8f8f,1,1925,real,bar,1,corn,tomato,tomato,ArrowRight,"more, fewer",0,MORE,"color, icon, geo",0,color,4
6ec84b99-9a7a-40f1-8384-b4f9b80a8f8f,1,2698,real,bar,7,corn,mushroom,corn,ArrowLeft,"more, fewer",0,MORE,"color, icon, geo",0,color,5
6ec84b99-9a7a-40f1-8384-b4f9b80a8f8f,1,2887,real,bar,8,celery,corn,corn,ArrowRight,"more, fewer",0,MORE,"color, icon, geo",0,color,6
6ec84b99-9a7a-40f1-8384-b4f9b80a8f8f,1,1428,real,bar,2,celery,mushroom,mushroom,ArrowRight,"more, fewer",0,MORE,"color, icon, geo",0,color,7
6ec84b99-9a7a-40f1-8384-b4f9b80a8f8f,1,2475,real,bar,0,eggplant,corn,corn,ArrowRight,"more, fewer",0,MORE,"color, icon, geo",0,color,8
6ec84b99-9a7a-40f1-8384-b4f9b80a8f8f,1,2873,real,bar,4,mushroom,carrot,carrot,ArrowRight,"more, fewer",0,MORE,"color, icon, geo",0,color,9
6ec84b99-9a7a-40f1-8384-b4f9b80a8f8f,1,2838,training,bar,0,corn,carrot,carrot,ArrowRight,"more, fewer",0,MORE,"color, icon, geo",1,icon,0
6ec84b99-9a7a-40f1-8384-b4f9b80a8f8f,1,4961,training,bar,6,celery,mushroom,celery,ArrowLeft,"more, fewer",0,MORE,"color, icon, geo",1,icon,1
6ec84b99-9a7a-40f1-8384-b4f9b80a8f8f,1,2046,training,bar,17,corn,mushroom,mushroom,ArrowRight,"more, fewer",0,MORE,"color, icon, geo",1,icon,2
6ec84b99-9a7a-40f1-8384-b4f9b80a8f8f,1,2833,real,bar,4,mushroom,carrot,carrot,ArrowRight,"more, fewer",0,MORE,"color, icon, geo",1,icon,0
6ec84b99-9a7a-40f1-8384-b4f9b80a8f8f,1,2689,real,bar,8,celery,corn,corn,ArrowRight,"more, fewer",0,MORE,"color, icon, geo",1,icon,1
6ec84b99-9a7a-40f1-8384-b4f9b80a8f8f,1,1207,real,bar,1,corn,tomato,tomato,ArrowRight,"more, fewer",0,MORE,"color, icon, geo",1,icon,2
6ec84b99-9a7a-40f1-8384-b4f9b80a8f8f,1,2456,real,bar,9,mushroom,corn,mushroom,ArrowLeft,"more, fewer",0,MORE,"color, icon, geo",1,icon,3
6ec84b99-9a7a-40f1-8384-b4f9b80a8f8f,1,2174,real,bar,6,mushroom,olive,mushroom,ArrowLeft,"more, fewer",0,MORE,"color, icon, geo",1,icon,4
6ec84b99-9a7a-40f1-8384-b4f9b80a8f8f,1,2205,real,bar,3,corn,olive,corn,ArrowLeft,"more, fewer",0,MORE,"color, icon, geo",1,icon,5
6ec84b99-9a7a-40f1-8384-b4f9b80a8f8f,1,1779,real,bar,5,olive,celery,celery,ArrowRight,"more, fewer",0,MORE,"color, icon, geo",1,icon,6
6ec84b99-9a7a-40f1-8384-b4f9b80a8f8f,1,4882,real,bar,2,celery,mushroom,mushroom,ArrowRight,"more, fewer",0,MORE,"color, icon, geo",1,icon,7
6ec84b99-9a7a-40f1-8384-b4f9b80a8f8f,1,2932,real,bar,0,eggplant,corn,corn,ArrowRight,"more, fewer",0,MORE,"color, icon, geo",1,icon,8
6ec84b99-9a7a-40f1-8384-b4f9b80a8f8f,1,1797,real,bar,7,corn,mushroom,corn,ArrowLeft,"more, fewer",0,MORE,"color, icon, geo",1,icon,9
6ec84b99-9a7a-40f1-8384-b4f9b80a8f8f,1,4610,training,bar,12,celery,corn,corn,ArrowRight,"more, fewer",0,MORE,"color, icon, geo",2,geo,0
6ec84b99-9a7a-40f1-8384-b4f9b80a8f8f,1,2105,training,bar,1,corn,mushroom,mushroom,ArrowRight,"more, fewer",0,MORE,"color, icon, geo",2,geo,1
6ec84b99-9a7a-40f1-8384-b4f9b80a8f8f,1,1582,training,bar,6,celery,mushroom,celery,ArrowLeft,"more, fewer",0,MORE,"color, icon, geo",2,geo,2
6ec84b99-9a7a-40f1-8384-b4f9b80a8f8f,1,1447,real,bar,7,corn,mushroom,corn,ArrowLeft,"more, fewer",0,MORE,"color, icon, geo",2,geo,0
6ec84b99-9a7a-40f1-8384-b4f9b80a8f8f,1,4301,real,bar,0,eggplant,corn,corn,ArrowRight,"more, fewer",0,MORE,"color, icon, geo",2,geo,1
6ec84b99-9a7a-40f1-8384-b4f9b80a8f8f,1,4878,real,bar,2,celery,mushroom,mushroom,ArrowRight,"more, fewer",0,MORE,"color, icon, geo",2,geo,2
6ec84b99-9a7a-40f1-8384-b4f9b80a8f8f,1,2012,real,bar,4,mushroom,carrot,carrot,ArrowRight,"more, fewer",0,MORE,"color, icon, geo",2,geo,3
6ec84b99-9a7a-40f1-8384-b4f9b80a8f8f,1,1258,real,bar,9,mushroom,corn,mushroom,ArrowLeft,"more, fewer",0,MORE,"color, icon, geo",2,geo,4
6ec84b99-9a7a-40f1-8384-b4f9b80a8f8f,1,2002,real,bar,1,corn,tomato,tomato,ArrowRight,"more, fewer",0,MORE,"color, icon, geo",2,geo,5
6ec84b99-9a7a-40f1-8384-b4f9b80a8f8f,1,1976,real,bar,8,celery,corn,corn,ArrowRight,"more, fewer",0,MORE,"color, icon, geo",2,geo,6
6ec84b99-9a7a-40f1-8384-b4f9b80a8f8f,1,2215,real,bar,3,corn,olive,corn,ArrowLeft,"more, fewer",0,MORE,"color, icon, geo",2,geo,7
6ec84b99-9a7a-40f1-8384-b4f9b80a8f8f,1,2553,real,bar,6,mushroom,olive,mushroom,ArrowLeft,"more, fewer",0,MORE,"color, icon, geo",2,geo,8
6ec84b99-9a7a-40f1-8384-b4f9b80a8f8f,1,1653,real,bar,5,olive,celery,celery,ArrowRight,"more, fewer",0,MORE,"color, icon, geo",2,geo,9
