participant_id,answer_accuracy,elapsed_time,trial_type,condition,current_stimulus_index,target_left,target_right,correct_answer,key_pressed,questions_order,question_index,question_condition,textures_order_for_question,texture_index,texture_condition,trial_number
743882d5-c3df-41e3-aa4e-4c964f0e81ff,1,3954,training,bar,2,tomato,mushroom,mushroom,ArrowRight,"more, fewer",0,MORE,"color, geo, icon",0,color,0
743882d5-c3df-41e3-aa4e-4c964f0e81ff,1,3554,training,bar,25,corn,eggplant,corn,ArrowLeft,"more, fewer",0,MORE,"color, geo, icon",0,color,1
743882d5-c3df-41e3-aa4e-4c964f0e81ff,1,3062,training,bar,9,mushroom,eggplant,mushroom,ArrowLeft,"more, fewer",0,MORE,"color, geo, icon",0,color,2
743882d5-c3df-41e3-aa4e-4c964f0e81ff,1,3433,real,bar,4,mushroom,carrot,carrot,ArrowRight,"more, fewer",0,MORE,"color, geo, icon",0,color,0
743882d5-c3df-41e3-aa4e-4c964f0e81ff,1,3631,real,bar,0,eggplant,corn,corn,ArrowRight,"more, fewer",0,MORE,"color, geo, icon",0,color,1
743882d5-c3df-41e3-aa4e-4c964f0e81ff,1,4081,real,bar,9,mushroom,corn,mushroom,ArrowLeft,"more, fewer",0,MORE,"color, geo, icon",0,color,2
743882d5-c3df-41e3-aa4e-4c964f0e81ff,1,3342,real,bar,1,corn,tomato,tomato,ArrowRight,"more, fewer",0,MORE,"color, geo, icon",0,color,3
743882d5-c3df-41e3-aa4e-4c964f0e81ff,1,2549,real,bar,8,celery,corn,corn,ArrowRight,"more, fewer",0,MORE,"color, geo, icon",0,color,4
743882d5-c3df-41e3-aa4e-4c964f0e81ff,1,2698,real,bar,2,celery,mushroom,mushroom,ArrowRight,"more, fewer",0,MORE,"color, geo, icon",0,color,5
743882d5-c3df-41e3-aa4e-4c964f0e81ff,1,2523,real,bar,7,corn,mushroom,corn,ArrowLeft,"more, fewer",0,MORE,"color, geo, icon",0,color,6
743882d5-c3df-41e3-aa4e-4c964f0e81ff,1,3021,real,bar,6,mushroom,olive,mushroom,ArrowLeft,"more, fewer",0,MORE,"color, geo, icon",0,color,7
743882d5-c3df-41e3-aa4e-4c964f0e81ff,1,2836,real,bar,3,corn,olive,corn,ArrowLeft,"more, fewer",0,MORE,"color, geo, icon",0,color,8
