participant_id,answer_accuracy,elapsed_time,trial_type,condition,current_stimulus_index,target_left,target_right,correct_answer,key_pressed,questions_order,question_index,question_condition,textures_order_for_question,texture_index,texture_condition,trial_number
7a2d9d75-1ca8-492d-bcb7-b46a720f2fc6,1,2722,training,pie,1,mushroom,corn,mushroom,ArrowLeft,"more, fewer",0,MORE,"color, icon, geo",0,color,0
7a2d9d75-1ca8-492d-bcb7-b46a720f2fc6,1,1754,training,pie,5,olive,carrot,olive,ArrowLeft,"more, fewer",0,MORE,"color, icon, geo",0,color,1
7a2d9d75-1ca8-492d-bcb7-b46a720f2fc6,1,4273,training,pie,7,celery,eggplant,celery,ArrowLeft,"more, fewer",0,MORE,"color, icon, geo",0,color,2
7a2d9d75-1ca8-492d-bcb7-b46a720f2fc6,1,3241,real,pie,0,eggplant,corn,corn,ArrowRight,"more, fewer",0,MORE,"color, icon, geo",0,color,0
7a2d9d75-1ca8-492d-bcb7-b46a720f2fc6,1,3451,real,pie,9,corn,mushroom,mushroom,ArrowRight,"more, fewer",0,MORE,"color, icon, geo",0,color,1
7a2d9d75-1ca8-492d-bcb7-b46a720f2fc6,1,4618,real,pie,5,celery,olive,celery,ArrowLeft,"more, fewer",0,MORE,"color, icon, geo",0,color,2
7a2d9d75-1ca8-492d-bcb7-b46a720f2fc6,1,1868,real,pie,8,corn,celery,corn,ArrowLeft,"more, fewer",0,MORE,"color, icon, geo",0,color,3
7a2d9d75-1ca8-492d-bcb7-b46a720f2fc6,1,2757,real,pie,1,tomato,corn,tomato,ArrowLeft,"more, fewer",0,MORE,"color, icon, geo",0,color,4
7a2d9d75-1ca8-492d-bcb7-b46a720f2fc6,1,2580,real,pie,7,mushroom,corn,corn,ArrowRight,"more, fewer",0,MORE,"color, icon, geo",0,color,5
7a2d9d75-1ca8-492d-bcb7-b46a720f2fc6,1,3580,real,pie,6,olive,mushroom,mushroom,ArrowRight,"more, fewer",0,MORE,"color, icon, geo",0,color,6
7a2d9d75-1ca8-492d-bcb7-b46a720f2fc6,1,2834,real,pie,2,mushroom,celery,mushroom,ArrowLeft,"more, fewer",0,MORE,"color, icon, geo",0,color,7
7a2d9d75-1ca8-492d-bcb7-b46a720f2fc6,1,3632,real,pie,3,olive,corn,corn,ArrowRight,"more, fewer",0,MORE,"color, icon, geo",0,color,8
7a2d9d75-1ca8-492d-bcb7-b46a720f2fc6,1,2914,real,pie,4,carrot,mushroom,carrot,ArrowLeft,"more, fewer",0,MORE,"color, icon, geo",0,color,9
7a2d9d75-1ca8-492d-bcb7-b46a720f2fc6,1,1493,training,pie,6,celery,mushroom,celery,ArrowLeft,"more, fewer",0,MORE,"color, icon, geo",1,icon,0
7a2d9d75-1ca8-492d-bcb7-b46a720f2fc6,-1,5000,training,pie,24,mushroom,celery,celery,none,"more, fewer",0,MORE,"color, icon, geo",1,icon,1
7a2d9d75-1ca8-492d-bcb7-b46a720f2fc6,1,4498,training,pie,22,mushroom,corn,corn,ArrowRight,"more, fewer",0,MORE,"color, icon, geo",1,icon,2
7a2d9d75-1ca8-492d-bcb7-b46a720f2fc6,1,2383,real,pie,5,celery,olive,celery,ArrowLeft,"more, fewer",0,MORE,"color, icon, geo",1,icon,0
7a2d9d75-1ca8-492d-bcb7-b46a720f2fc6,1,3306,real,pie,4,carrot,mushroom,carrot,ArrowLeft,"more, fewer",0,MORE,"color, icon, geo",1,icon,1
