participant_id,answer_accuracy,elapsed_time,trial_type,condition,current_stimulus_index,target_left,target_right,correct_answer,key_pressed,questions_order,question_index,question_condition,textures_order_for_question,texture_index,texture_condition,trial_number
7a707249-a495-495b-bc05-18e16bb7d1ae,1,2609,training,pie,14,tomato,eggplant,tomato,ArrowLeft,"more, fewer",0,MORE,"icon, color, geo",0,icon,0
7a707249-a495-495b-bc05-18e16bb7d1ae,-1,5000,training,pie,26,olive,mushroom,olive,none,"more, fewer",0,MORE,"icon, color, geo",0,icon,1
7a707249-a495-495b-bc05-18e16bb7d1ae,1,2388,training,pie,26,olive,mushroom,olive,ArrowLeft,"more, fewer",0,MORE,"icon, color, geo",0,icon,2
7a707249-a495-495b-bc05-18e16bb7d1ae,0,1327,real,pie,3,olive,corn,corn,ArrowLeft,"more, fewer",0,MORE,"icon, color, geo",0,icon,0
7a707249-a495-495b-bc05-18e16bb7d1ae,1,2116,real,pie,6,olive,mushroom,mushroom,ArrowRight,"more, fewer",0,MORE,"icon, color, geo",0,icon,1
7a707249-a495-495b-bc05-18e16bb7d1ae,1,1777,real,pie,5,celery,olive,celery,ArrowLeft,"more, fewer",0,MORE,"icon, color, geo",0,icon,2
7a707249-a495-495b-bc05-18e16bb7d1ae,0,3421,real,pie,0,eggplant,corn,corn,ArrowLeft,"more, fewer",0,MORE,"icon, color, geo",0,icon,3
7a707249-a495-495b-bc05-18e16bb7d1ae,1,2430,real,pie,2,mushroom,celery,mushroom,ArrowLeft,"more, fewer",0,MORE,"icon, color, geo",0,icon,4
7a707249-a495-495b-bc05-18e16bb7d1ae,1,1370,real,pie,7,mushroom,corn,corn,ArrowRight,"more, fewer",0,MORE,"icon, color, geo",0,icon,5
7a707249-a495-495b-bc05-18e16bb7d1ae,1,2048,real,pie,4,carrot,mushroom,carrot,ArrowLeft,"more, fewer",0,MORE,"icon, color, geo",0,icon,6
7a707249-a495-495b-bc05-18e16bb7d1ae,1,1442,real,pie,1,tomato,corn,tomato,ArrowLeft,"more, fewer",0,MORE,"icon, color, geo",0,icon,7
7a707249-a495-495b-bc05-18e16bb7d1ae,1,901,real,pie,8,corn,celery,corn,ArrowLeft,"more, fewer",0,MORE,"icon, color, geo",0,icon,8
7a707249-a495-495b-bc05-18e16bb7d1ae,1,3084,real,pie,9,corn,mushroom,mushroom,ArrowRight,"more, fewer",0,MORE,"icon, color, geo",0,icon,9
