participant_id,answer_accuracy,elapsed_time,trial_type,condition,current_stimulus_index,target_left,target_right,correct_answer,key_pressed,questions_order,question_index,question_condition,textures_order_for_question,texture_index,texture_condition,trial_number
81bcc0a2-7d3e-474e-96c0-791cbed3973b,1,1230,training,bar,1,corn,mushroom,mushroom,ArrowRight,"more, fewer",0,MORE,"color, geo, icon",0,color,0
81bcc0a2-7d3e-474e-96c0-791cbed3973b,1,3010,training,bar,18,corn,eggplant,eggplant,ArrowRight,"more, fewer",0,MORE,"color, geo, icon",0,color,1
81bcc0a2-7d3e-474e-96c0-791cbed3973b,1,1218,training,bar,22,corn,mushroom,corn,ArrowLeft,"more, fewer",0,MORE,"color, geo, icon",0,color,2
81bcc0a2-7d3e-474e-96c0-791cbed3973b,0,1465,real,bar,3,corn,olive,corn,ArrowRight,"more, fewer",0,MORE,"color, geo, icon",0,color,0
81bcc0a2-7d3e-474e-96c0-791cbed3973b,1,2096,real,bar,1,corn,tomato,tomato,ArrowRight,"more, fewer",0,MORE,"color, geo, icon",0,color,1
81bcc0a2-7d3e-474e-96c0-791cbed3973b,1,2182,real,bar,5,olive,celery,celery,ArrowRight,"more, fewer",0,MORE,"color, geo, icon",0,color,2
81bcc0a2-7d3e-474e-96c0-791cbed3973b,1,2491,real,bar,0,eggplant,corn,corn,ArrowRight,"more, fewer",0,MORE,"color, geo, icon",0,color,3
81bcc0a2-7d3e-474e-96c0-791cbed3973b,1,1791,real,bar,2,celery,mushroom,mushroom,ArrowRight,"more, fewer",0,MORE,"color, geo, icon",0,color,4
81bcc0a2-7d3e-474e-96c0-791cbed3973b,1,1763,real,bar,4,mushroom,carrot,carrot,ArrowRight,"more, fewer",0,MORE,"color, geo, icon",0,color,5
81bcc0a2-7d3e-474e-96c0-791cbed3973b,1,1509,real,bar,8,celery,corn,corn,ArrowRight,"more, fewer",0,MORE,"color, geo, icon",0,color,6
81bcc0a2-7d3e-474e-96c0-791cbed3973b,1,2385,real,bar,6,mushroom,olive,mushroom,ArrowLeft,"more, fewer",0,MORE,"color, geo, icon",0,color,7
81bcc0a2-7d3e-474e-96c0-791cbed3973b,1,3181,real,bar,9,mushroom,corn,mushroom,ArrowLeft,"more, fewer",0,MORE,"color, geo, icon",0,color,8
81bcc0a2-7d3e-474e-96c0-791cbed3973b,1,2625,real,bar,7,corn,mushroom,corn,ArrowLeft,"more, fewer",0,MORE,"color, geo, icon",0,color,9
81bcc0a2-7d3e-474e-96c0-791cbed3973b,1,2852,training,bar,19,carrot,eggplant,carrot,ArrowLeft,"more, fewer",0,MORE,"color, geo, icon",1,geo,0
81bcc0a2-7d3e-474e-96c0-791cbed3973b,1,2479,training,bar,19,carrot,eggplant,carrot,ArrowLeft,"more, fewer",0,MORE,"color, geo, icon",1,geo,1
81bcc0a2-7d3e-474e-96c0-791cbed3973b,1,1851,training,bar,24,celery,mushroom,celery,ArrowLeft,"more, fewer",0,MORE,"color, geo, icon",1,geo,2
81bcc0a2-7d3e-474e-96c0-791cbed3973b,1,2639,real,bar,6,mushroom,olive,mushroom,ArrowLeft,"more, fewer",0,MORE,"color, geo, icon",1,geo,0
81bcc0a2-7d3e-474e-96c0-791cbed3973b,1,2157,real,bar,2,celery,mushroom,mushroom,ArrowRight,"more, fewer",0,MORE,"color, geo, icon",1,geo,1
81bcc0a2-7d3e-474e-96c0-791cbed3973b,1,2682,real,bar,1,corn,tomato,tomato,ArrowRight,"more, fewer",0,MORE,"color, geo, icon",1,geo,2
81bcc0a2-7d3e-474e-96c0-791cbed3973b,-1,5000,real,bar,0,eggplant,corn,corn,none,"more, fewer",0,MORE,"color, geo, icon",1,geo,3
81bcc0a2-7d3e-474e-96c0-791cbed3973b,1,2335,real,bar,4,mushroom,carrot,carrot,ArrowRight,"more, fewer",0,MORE,"color, geo, icon",1,geo,4
81bcc0a2-7d3e-474e-96c0-791cbed3973b,1,3268,real,bar,9,mushroom,corn,mushroom,ArrowLeft,"more, fewer",0,MORE,"color, geo, icon",1,geo,5
81bcc0a2-7d3e-474e-96c0-791cbed3973b,1,1240,real,bar,8,celery,corn,corn,ArrowRight,"more, fewer",0,MORE,"color, geo, icon",1,geo,6
81bcc0a2-7d3e-474e-96c0-791cbed3973b,1,1263,real,bar,3,corn,olive,corn,ArrowLeft,"more, fewer",0,MORE,"color, geo, icon",1,geo,7
81bcc0a2-7d3e-474e-96c0-791cbed3973b,1,907,real,bar,5,olive,celery,celery,ArrowRight,"more, fewer",0,MORE,"color, geo, icon",1,geo,8
81bcc0a2-7d3e-474e-96c0-791cbed3973b,1,1567,real,bar,7,corn,mushroom,corn,ArrowLeft,"more, fewer",0,MORE,"color, geo, icon",1,geo,9
