participant_id,answer_accuracy,elapsed_time,trial_type,condition,current_stimulus_index,target_left,target_right,correct_answer,key_pressed,questions_order,question_index,question_condition,textures_order_for_question,texture_index,texture_condition,trial_number
8f823c53-0f42-4545-8f69-fe64965ebe14,-1,5000,training,pie,0,carrot,corn,corn,none,"fewer, more",0,FEWER,"geo, icon, color",0,geo,0
8f823c53-0f42-4545-8f69-fe64965ebe14,0,1030,training,pie,13,carrot,olive,olive,ArrowLeft,"fewer, more",0,FEWER,"geo, icon, color",0,geo,1
8f823c53-0f42-4545-8f69-fe64965ebe14,1,870,training,pie,10,eggplant,celery,eggplant,ArrowLeft,"fewer, more",0,FEWER,"geo, icon, color",0,geo,2
8f823c53-0f42-4545-8f69-fe64965ebe14,1,2174,real,pie,1,tomato,corn,corn,ArrowRight,"fewer, more",0,FEWER,"geo, icon, color",0,geo,0
8f823c53-0f42-4545-8f69-fe64965ebe14,1,1833,real,pie,6,olive,mushroom,olive,ArrowLeft,"fewer, more",0,FEWER,"geo, icon, color",0,geo,1
8f823c53-0f42-4545-8f69-fe64965ebe14,0,1428,real,pie,5,celery,olive,olive,ArrowLeft,"fewer, more",0,FEWER,"geo, icon, color",0,geo,2
8f823c53-0f42-4545-8f69-fe64965ebe14,1,1116,real,pie,0,eggplant,corn,eggplant,ArrowLeft,"fewer, more",0,FEWER,"geo, icon, color",0,geo,3
8f823c53-0f42-4545-8f69-fe64965ebe14,1,1048,real,pie,4,carrot,mushroom,mushroom,ArrowRight,"fewer, more",0,FEWER,"geo, icon, color",0,geo,4
8f823c53-0f42-4545-8f69-fe64965ebe14,1,739,real,pie,2,mushroom,celery,celery,ArrowRight,"fewer, more",0,FEWER,"geo, icon, color",0,geo,5
8f823c53-0f42-4545-8f69-fe64965ebe14,1,688,real,pie,3,olive,corn,olive,ArrowLeft,"fewer, more",0,FEWER,"geo, icon, color",0,geo,6
8f823c53-0f42-4545-8f69-fe64965ebe14,1,788,real,pie,9,corn,mushroom,corn,ArrowLeft,"fewer, more",0,FEWER,"geo, icon, color",0,geo,7
8f823c53-0f42-4545-8f69-fe64965ebe14,1,880,real,pie,7,mushroom,corn,mushroom,ArrowLeft,"fewer, more",0,FEWER,"geo, icon, color",0,geo,8
8f823c53-0f42-4545-8f69-fe64965ebe14,0,943,real,pie,8,corn,celery,celery,ArrowLeft,"fewer, more",0,FEWER,"geo, icon, color",0,geo,9
8f823c53-0f42-4545-8f69-fe64965ebe14,0,1147,training,pie,18,eggplant,corn,corn,ArrowLeft,"fewer, more",0,FEWER,"geo, icon, color",1,icon,0
8f823c53-0f42-4545-8f69-fe64965ebe14,1,2581,training,pie,3,celery,carrot,carrot,ArrowRight,"fewer, more",0,FEWER,"geo, icon, color",1,icon,1
8f823c53-0f42-4545-8f69-fe64965ebe14,1,2898,training,pie,6,celery,mushroom,mushroom,ArrowRight,"fewer, more",0,FEWER,"geo, icon, color",1,icon,2
8f823c53-0f42-4545-8f69-fe64965ebe14,0,2516,real,pie,5,celery,olive,olive,ArrowLeft,"fewer, more",0,FEWER,"geo, icon, color",1,icon,0
8f823c53-0f42-4545-8f69-fe64965ebe14,1,2001,real,pie,8,corn,celery,celery,ArrowRight,"fewer, more",0,FEWER,"geo, icon, color",1,icon,1
8f823c53-0f42-4545-8f69-fe64965ebe14,0,2563,real,pie,2,mushroom,celery,celery,ArrowLeft,"fewer, more",0,FEWER,"geo, icon, color",1,icon,2
8f823c53-0f42-4545-8f69-fe64965ebe14,1,1389,real,pie,7,mushroom,corn,mushroom,ArrowLeft,"fewer, more",0,FEWER,"geo, icon, color",1,icon,3
8f823c53-0f42-4545-8f69-fe64965ebe14,1,2410,real,pie,4,carrot,mushroom,mushroom,ArrowRight,"fewer, more",0,FEWER,"geo, icon, color",1,icon,4
8f823c53-0f42-4545-8f69-fe64965ebe14,1,1655,real,pie,1,tomato,corn,corn,ArrowRight,"fewer, more",0,FEWER,"geo, icon, color",1,icon,5
8f823c53-0f42-4545-8f69-fe64965ebe14,0,1205,real,pie,0,eggplant,corn,eggplant,ArrowRight,"fewer, more",0,FEWER,"geo, icon, color",1,icon,6
8f823c53-0f42-4545-8f69-fe64965ebe14,1,2005,real,pie,3,olive,corn,olive,ArrowLeft,"fewer, more",0,FEWER,"geo, icon, color",1,icon,7
8f823c53-0f42-4545-8f69-fe64965ebe14,1,1522,real,pie,9,corn,mushroom,corn,ArrowLeft,"fewer, more",0,FEWER,"geo, icon, color",1,icon,8
8f823c53-0f42-4545-8f69-fe64965ebe14,1,1506,real,pie,6,olive,mushroom,olive,ArrowLeft,"fewer, more",0,FEWER,"geo, icon, color",1,icon,9
8f823c53-0f42-4545-8f69-fe64965ebe14,1,2273,training,pie,24,mushroom,celery,mushroom,ArrowLeft,"fewer, more",0,FEWER,"geo, icon, color",2,color,0
8f823c53-0f42-4545-8f69-fe64965ebe14,1,2064,training,pie,5,olive,carrot,carrot,ArrowRight,"fewer, more",0,FEWER,"geo, icon, color",2,color,1
8f823c53-0f42-4545-8f69-fe64965ebe14,0,2573,training,pie,4,carrot,celery,carrot,ArrowRight,"fewer, more",0,FEWER,"geo, icon, color",2,color,2
