participant_id,answer_accuracy,elapsed_time,trial_type,condition,current_stimulus_index,target_left,target_right,correct_answer,key_pressed,questions_order,question_index,question_condition,textures_order_for_question,texture_index,texture_condition,trial_number
8fa05d6b-fda7-477e-a140-e96424aab50c,1,2725,training,bar,11,tomato,carrot,tomato,ArrowLeft,"more, fewer",0,MORE,"icon, geo, color",0,icon,0
8fa05d6b-fda7-477e-a140-e96424aab50c,1,3128,training,bar,1,corn,mushroom,mushroom,ArrowRight,"more, fewer",0,MORE,"icon, geo, color",0,icon,1
8fa05d6b-fda7-477e-a140-e96424aab50c,1,3681,training,bar,21,mushroom,eggplant,mushroom,ArrowLeft,"more, fewer",0,MORE,"icon, geo, color",0,icon,2
8fa05d6b-fda7-477e-a140-e96424aab50c,1,4079,real,bar,4,mushroom,carrot,carrot,ArrowRight,"more, fewer",0,MORE,"icon, geo, color",0,icon,0
8fa05d6b-fda7-477e-a140-e96424aab50c,1,2108,real,bar,3,corn,olive,corn,ArrowLeft,"more, fewer",0,MORE,"icon, geo, color",0,icon,1
8fa05d6b-fda7-477e-a140-e96424aab50c,1,2831,real,bar,9,mushroom,corn,mushroom,ArrowLeft,"more, fewer",0,MORE,"icon, geo, color",0,icon,2
8fa05d6b-fda7-477e-a140-e96424aab50c,1,3551,real,bar,1,corn,tomato,tomato,ArrowRight,"more, fewer",0,MORE,"icon, geo, color",0,icon,3
8fa05d6b-fda7-477e-a140-e96424aab50c,1,3251,real,bar,5,olive,celery,celery,ArrowRight,"more, fewer",0,MORE,"icon, geo, color",0,icon,4
8fa05d6b-fda7-477e-a140-e96424aab50c,1,1920,real,bar,7,corn,mushroom,corn,ArrowLeft,"more, fewer",0,MORE,"icon, geo, color",0,icon,5
8fa05d6b-fda7-477e-a140-e96424aab50c,1,3224,real,bar,0,eggplant,corn,corn,ArrowRight,"more, fewer",0,MORE,"icon, geo, color",0,icon,6
8fa05d6b-fda7-477e-a140-e96424aab50c,1,2457,real,bar,2,celery,mushroom,mushroom,ArrowRight,"more, fewer",0,MORE,"icon, geo, color",0,icon,7
8fa05d6b-fda7-477e-a140-e96424aab50c,1,2224,real,bar,6,mushroom,olive,mushroom,ArrowLeft,"more, fewer",0,MORE,"icon, geo, color",0,icon,8
8fa05d6b-fda7-477e-a140-e96424aab50c,1,2550,real,bar,8,celery,corn,corn,ArrowRight,"more, fewer",0,MORE,"icon, geo, color",0,icon,9
8fa05d6b-fda7-477e-a140-e96424aab50c,1,2759,training,bar,8,olive,eggplant,eggplant,ArrowRight,"more, fewer",0,MORE,"icon, geo, color",1,geo,0
8fa05d6b-fda7-477e-a140-e96424aab50c,1,2485,training,bar,15,eggplant,tomato,tomato,ArrowRight,"more, fewer",0,MORE,"icon, geo, color",1,geo,1
8fa05d6b-fda7-477e-a140-e96424aab50c,1,2544,training,bar,11,tomato,carrot,tomato,ArrowLeft,"more, fewer",0,MORE,"icon, geo, color",1,geo,2
