participant_id,answer_accuracy,elapsed_time,trial_type,condition,current_stimulus_index,target_left,target_right,correct_answer,key_pressed,questions_order,question_index,question_condition,textures_order_for_question,texture_index,texture_condition,trial_number
947936b5-e9b0-47cf-9323-8635083d65fb,1,2464,training,pie,17,mushroom,corn,corn,ArrowRight,"fewer, more",0,FEWER,"color, icon, geo",0,color,0
947936b5-e9b0-47cf-9323-8635083d65fb,-1,5000,training,pie,14,tomato,eggplant,eggplant,none,"fewer, more",0,FEWER,"color, icon, geo",0,color,1
947936b5-e9b0-47cf-9323-8635083d65fb,-1,5000,training,pie,7,celery,eggplant,eggplant,none,"fewer, more",0,FEWER,"color, icon, geo",0,color,2
947936b5-e9b0-47cf-9323-8635083d65fb,1,3145,real,pie,9,corn,mushroom,corn,ArrowLeft,"fewer, more",0,FEWER,"color, icon, geo",0,color,0
947936b5-e9b0-47cf-9323-8635083d65fb,1,3385,real,pie,3,olive,corn,olive,ArrowLeft,"fewer, more",0,FEWER,"color, icon, geo",0,color,1
947936b5-e9b0-47cf-9323-8635083d65fb,1,3855,real,pie,6,olive,mushroom,olive,ArrowLeft,"fewer, more",0,FEWER,"color, icon, geo",0,color,2
947936b5-e9b0-47cf-9323-8635083d65fb,1,3790,real,pie,2,mushroom,celery,celery,ArrowRight,"fewer, more",0,FEWER,"color, icon, geo",0,color,3
947936b5-e9b0-47cf-9323-8635083d65fb,1,2623,real,pie,8,corn,celery,celery,ArrowRight,"fewer, more",0,FEWER,"color, icon, geo",0,color,4
947936b5-e9b0-47cf-9323-8635083d65fb,1,3380,real,pie,4,carrot,mushroom,mushroom,ArrowRight,"fewer, more",0,FEWER,"color, icon, geo",0,color,5
947936b5-e9b0-47cf-9323-8635083d65fb,1,2687,real,pie,7,mushroom,corn,mushroom,ArrowLeft,"fewer, more",0,FEWER,"color, icon, geo",0,color,6
947936b5-e9b0-47cf-9323-8635083d65fb,0,4128,real,pie,5,celery,olive,olive,ArrowLeft,"fewer, more",0,FEWER,"color, icon, geo",0,color,7
947936b5-e9b0-47cf-9323-8635083d65fb,1,3700,real,pie,0,eggplant,corn,eggplant,ArrowLeft,"fewer, more",0,FEWER,"color, icon, geo",0,color,8
