participant_id,answer_accuracy,elapsed_time,trial_type,condition,current_stimulus_index,target_left,target_right,correct_answer,key_pressed,questions_order,question_index,question_condition,textures_order_for_question,texture_index,texture_condition,trial_number
97ab59bd-3111-4b5e-8c0b-4cff1866f224,-1,5000,training,pie,11,carrot,tomato,tomato,none,"more, fewer",0,MORE,"icon, geo, color",0,icon,0
97ab59bd-3111-4b5e-8c0b-4cff1866f224,1,3081,training,pie,23,olive,carrot,olive,ArrowLeft,"more, fewer",0,MORE,"icon, geo, color",0,icon,1
97ab59bd-3111-4b5e-8c0b-4cff1866f224,1,4200,training,pie,0,carrot,corn,carrot,ArrowLeft,"more, fewer",0,MORE,"icon, geo, color",0,icon,2
97ab59bd-3111-4b5e-8c0b-4cff1866f224,1,2643,real,pie,8,corn,celery,corn,ArrowLeft,"more, fewer",0,MORE,"icon, geo, color",0,icon,0
97ab59bd-3111-4b5e-8c0b-4cff1866f224,1,2232,real,pie,3,olive,corn,corn,ArrowRight,"more, fewer",0,MORE,"icon, geo, color",0,icon,1
97ab59bd-3111-4b5e-8c0b-4cff1866f224,1,2207,real,pie,1,tomato,corn,tomato,ArrowLeft,"more, fewer",0,MORE,"icon, geo, color",0,icon,2
97ab59bd-3111-4b5e-8c0b-4cff1866f224,1,2036,real,pie,7,mushroom,corn,corn,ArrowRight,"more, fewer",0,MORE,"icon, geo, color",0,icon,3
97ab59bd-3111-4b5e-8c0b-4cff1866f224,1,3969,real,pie,2,mushroom,celery,mushroom,ArrowLeft,"more, fewer",0,MORE,"icon, geo, color",0,icon,4
97ab59bd-3111-4b5e-8c0b-4cff1866f224,0,2539,real,pie,5,celery,olive,celery,ArrowRight,"more, fewer",0,MORE,"icon, geo, color",0,icon,5
97ab59bd-3111-4b5e-8c0b-4cff1866f224,1,3428,real,pie,6,olive,mushroom,mushroom,ArrowRight,"more, fewer",0,MORE,"icon, geo, color",0,icon,6
97ab59bd-3111-4b5e-8c0b-4cff1866f224,1,4208,real,pie,9,corn,mushroom,mushroom,ArrowRight,"more, fewer",0,MORE,"icon, geo, color",0,icon,7
97ab59bd-3111-4b5e-8c0b-4cff1866f224,1,3222,real,pie,4,carrot,mushroom,carrot,ArrowLeft,"more, fewer",0,MORE,"icon, geo, color",0,icon,8
97ab59bd-3111-4b5e-8c0b-4cff1866f224,1,2701,real,pie,0,eggplant,corn,corn,ArrowRight,"more, fewer",0,MORE,"icon, geo, color",0,icon,9
97ab59bd-3111-4b5e-8c0b-4cff1866f224,1,2558,training,pie,15,eggplant,tomato,tomato,ArrowRight,"more, fewer",0,MORE,"icon, geo, color",1,geo,0
97ab59bd-3111-4b5e-8c0b-4cff1866f224,1,3268,training,pie,17,mushroom,corn,mushroom,ArrowLeft,"more, fewer",0,MORE,"icon, geo, color",1,geo,1
97ab59bd-3111-4b5e-8c0b-4cff1866f224,1,1884,training,pie,22,mushroom,corn,corn,ArrowRight,"more, fewer",0,MORE,"icon, geo, color",1,geo,2
97ab59bd-3111-4b5e-8c0b-4cff1866f224,1,3915,real,pie,2,mushroom,celery,mushroom,ArrowLeft,"more, fewer",0,MORE,"icon, geo, color",1,geo,0
97ab59bd-3111-4b5e-8c0b-4cff1866f224,1,3595,real,pie,6,olive,mushroom,mushroom,ArrowRight,"more, fewer",0,MORE,"icon, geo, color",1,geo,1
97ab59bd-3111-4b5e-8c0b-4cff1866f224,1,4140,real,pie,1,tomato,corn,tomato,ArrowLeft,"more, fewer",0,MORE,"icon, geo, color",1,geo,2
97ab59bd-3111-4b5e-8c0b-4cff1866f224,0,2203,real,pie,5,celery,olive,celery,ArrowRight,"more, fewer",0,MORE,"icon, geo, color",1,geo,3
97ab59bd-3111-4b5e-8c0b-4cff1866f224,1,1982,real,pie,0,eggplant,corn,corn,ArrowRight,"more, fewer",0,MORE,"icon, geo, color",1,geo,4
97ab59bd-3111-4b5e-8c0b-4cff1866f224,1,3230,real,pie,4,carrot,mushroom,carrot,ArrowLeft,"more, fewer",0,MORE,"icon, geo, color",1,geo,5
97ab59bd-3111-4b5e-8c0b-4cff1866f224,1,2395,real,pie,7,mushroom,corn,corn,ArrowRight,"more, fewer",0,MORE,"icon, geo, color",1,geo,6
97ab59bd-3111-4b5e-8c0b-4cff1866f224,1,4983,real,pie,8,corn,celery,corn,ArrowLeft,"more, fewer",0,MORE,"icon, geo, color",1,geo,7
97ab59bd-3111-4b5e-8c0b-4cff1866f224,1,3177,real,pie,3,olive,corn,corn,ArrowRight,"more, fewer",0,MORE,"icon, geo, color",1,geo,8
97ab59bd-3111-4b5e-8c0b-4cff1866f224,-1,5000,real,pie,9,corn,mushroom,mushroom,none,"more, fewer",0,MORE,"icon, geo, color",1,geo,9
97ab59bd-3111-4b5e-8c0b-4cff1866f224,1,1850,training,pie,22,mushroom,corn,corn,ArrowRight,"more, fewer",0,MORE,"icon, geo, color",2,color,0
97ab59bd-3111-4b5e-8c0b-4cff1866f224,1,3446,training,pie,16,olive,mushroom,mushroom,ArrowRight,"more, fewer",0,MORE,"icon, geo, color",2,color,1
97ab59bd-3111-4b5e-8c0b-4cff1866f224,0,3241,training,pie,0,carrot,corn,carrot,ArrowRight,"more, fewer",0,MORE,"icon, geo, color",2,color,2
97ab59bd-3111-4b5e-8c0b-4cff1866f224,1,2893,real,pie,7,mushroom,corn,corn,ArrowRight,"more, fewer",0,MORE,"icon, geo, color",2,color,0
97ab59bd-3111-4b5e-8c0b-4cff1866f224,1,2247,real,pie,1,tomato,corn,tomato,ArrowLeft,"more, fewer",0,MORE,"icon, geo, color",2,color,1
97ab59bd-3111-4b5e-8c0b-4cff1866f224,1,3050,real,pie,9,corn,mushroom,mushroom,ArrowRight,"more, fewer",0,MORE,"icon, geo, color",2,color,2
97ab59bd-3111-4b5e-8c0b-4cff1866f224,1,2992,real,pie,2,mushroom,celery,mushroom,ArrowLeft,"more, fewer",0,MORE,"icon, geo, color",2,color,3
97ab59bd-3111-4b5e-8c0b-4cff1866f224,1,2354,real,pie,6,olive,mushroom,mushroom,ArrowRight,"more, fewer",0,MORE,"icon, geo, color",2,color,4
97ab59bd-3111-4b5e-8c0b-4cff1866f224,1,3437,real,pie,4,carrot,mushroom,carrot,ArrowLeft,"more, fewer",0,MORE,"icon, geo, color",2,color,5
97ab59bd-3111-4b5e-8c0b-4cff1866f224,1,4067,real,pie,5,celery,olive,celery,ArrowLeft,"more, fewer",0,MORE,"icon, geo, color",2,color,6
97ab59bd-3111-4b5e-8c0b-4cff1866f224,1,3942,real,pie,3,olive,corn,corn,ArrowRight,"more, fewer",0,MORE,"icon, geo, color",2,color,7
97ab59bd-3111-4b5e-8c0b-4cff1866f224,1,2804,real,pie,8,corn,celery,corn,ArrowLeft,"more, fewer",0,MORE,"icon, geo, color",2,color,8
97ab59bd-3111-4b5e-8c0b-4cff1866f224,1,4246,real,pie,0,eggplant,corn,corn,ArrowRight,"more, fewer",0,MORE,"icon, geo, color",2,color,9
97ab59bd-3111-4b5e-8c0b-4cff1866f224,-1,5000,training,pie,25,eggplant,corn,eggplant,none,"more, fewer",1,FEWER,"geo, icon, color",0,geo,0
97ab59bd-3111-4b5e-8c0b-4cff1866f224,1,2527,training,pie,2,mushroom,tomato,tomato,ArrowRight,"more, fewer",1,FEWER,"geo, icon, color",0,geo,1
97ab59bd-3111-4b5e-8c0b-4cff1866f224,1,2632,training,pie,27,corn,olive,olive,ArrowRight,"more, fewer",1,FEWER,"geo, icon, color",0,geo,2
97ab59bd-3111-4b5e-8c0b-4cff1866f224,1,3248,real,pie,2,mushroom,celery,celery,ArrowRight,"more, fewer",1,FEWER,"geo, icon, color",0,geo,0
97ab59bd-3111-4b5e-8c0b-4cff1866f224,1,3241,real,pie,6,olive,mushroom,olive,ArrowLeft,"more, fewer",1,FEWER,"geo, icon, color",0,geo,1
97ab59bd-3111-4b5e-8c0b-4cff1866f224,1,3675,real,pie,1,tomato,corn,corn,ArrowRight,"more, fewer",1,FEWER,"geo, icon, color",0,geo,2
97ab59bd-3111-4b5e-8c0b-4cff1866f224,1,3514,real,pie,5,celery,olive,olive,ArrowRight,"more, fewer",1,FEWER,"geo, icon, color",0,geo,3
97ab59bd-3111-4b5e-8c0b-4cff1866f224,1,2171,real,pie,0,eggplant,corn,eggplant,ArrowLeft,"more, fewer",1,FEWER,"geo, icon, color",0,geo,4
97ab59bd-3111-4b5e-8c0b-4cff1866f224,1,3190,real,pie,4,carrot,mushroom,mushroom,ArrowRight,"more, fewer",1,FEWER,"geo, icon, color",0,geo,5
97ab59bd-3111-4b5e-8c0b-4cff1866f224,1,2921,real,pie,7,mushroom,corn,mushroom,ArrowLeft,"more, fewer",1,FEWER,"geo, icon, color",0,geo,6
97ab59bd-3111-4b5e-8c0b-4cff1866f224,1,2694,real,pie,8,corn,celery,celery,ArrowRight,"more, fewer",1,FEWER,"geo, icon, color",0,geo,7
97ab59bd-3111-4b5e-8c0b-4cff1866f224,1,2495,real,pie,3,olive,corn,olive,ArrowLeft,"more, fewer",1,FEWER,"geo, icon, color",0,geo,8
97ab59bd-3111-4b5e-8c0b-4cff1866f224,1,3321,real,pie,9,corn,mushroom,corn,ArrowLeft,"more, fewer",1,FEWER,"geo, icon, color",0,geo,9
97ab59bd-3111-4b5e-8c0b-4cff1866f224,1,4747,training,pie,6,celery,mushroom,mushroom,ArrowRight,"more, fewer",1,FEWER,"geo, icon, color",1,icon,0
97ab59bd-3111-4b5e-8c0b-4cff1866f224,1,3115,training,pie,17,mushroom,corn,corn,ArrowRight,"more, fewer",1,FEWER,"geo, icon, color",1,icon,1
97ab59bd-3111-4b5e-8c0b-4cff1866f224,1,4508,training,pie,27,corn,olive,olive,ArrowRight,"more, fewer",1,FEWER,"geo, icon, color",1,icon,2
97ab59bd-3111-4b5e-8c0b-4cff1866f224,1,2272,real,pie,8,corn,celery,celery,ArrowRight,"more, fewer",1,FEWER,"geo, icon, color",1,icon,0
97ab59bd-3111-4b5e-8c0b-4cff1866f224,1,3993,real,pie,3,olive,corn,olive,ArrowLeft,"more, fewer",1,FEWER,"geo, icon, color",1,icon,1
97ab59bd-3111-4b5e-8c0b-4cff1866f224,1,2235,real,pie,1,tomato,corn,corn,ArrowRight,"more, fewer",1,FEWER,"geo, icon, color",1,icon,2
97ab59bd-3111-4b5e-8c0b-4cff1866f224,1,4195,real,pie,7,mushroom,corn,mushroom,ArrowLeft,"more, fewer",1,FEWER,"geo, icon, color",1,icon,3
97ab59bd-3111-4b5e-8c0b-4cff1866f224,1,3224,real,pie,2,mushroom,celery,celery,ArrowRight,"more, fewer",1,FEWER,"geo, icon, color",1,icon,4
97ab59bd-3111-4b5e-8c0b-4cff1866f224,1,3889,real,pie,5,celery,olive,olive,ArrowRight,"more, fewer",1,FEWER,"geo, icon, color",1,icon,5
97ab59bd-3111-4b5e-8c0b-4cff1866f224,1,1875,real,pie,6,olive,mushroom,olive,ArrowLeft,"more, fewer",1,FEWER,"geo, icon, color",1,icon,6
97ab59bd-3111-4b5e-8c0b-4cff1866f224,1,4457,real,pie,9,corn,mushroom,corn,ArrowLeft,"more, fewer",1,FEWER,"geo, icon, color",1,icon,7
97ab59bd-3111-4b5e-8c0b-4cff1866f224,1,2301,real,pie,4,carrot,mushroom,mushroom,ArrowRight,"more, fewer",1,FEWER,"geo, icon, color",1,icon,8
97ab59bd-3111-4b5e-8c0b-4cff1866f224,1,2649,real,pie,0,eggplant,corn,eggplant,ArrowLeft,"more, fewer",1,FEWER,"geo, icon, color",1,icon,9
97ab59bd-3111-4b5e-8c0b-4cff1866f224,1,2239,training,pie,18,eggplant,corn,corn,ArrowRight,"more, fewer",1,FEWER,"geo, icon, color",2,color,0
97ab59bd-3111-4b5e-8c0b-4cff1866f224,1,2702,training,pie,2,mushroom,tomato,tomato,ArrowRight,"more, fewer",1,FEWER,"geo, icon, color",2,color,1
97ab59bd-3111-4b5e-8c0b-4cff1866f224,1,2801,training,pie,20,tomato,eggplant,tomato,ArrowLeft,"more, fewer",1,FEWER,"geo, icon, color",2,color,2
97ab59bd-3111-4b5e-8c0b-4cff1866f224,1,2817,real,pie,7,mushroom,corn,mushroom,ArrowLeft,"more, fewer",1,FEWER,"geo, icon, color",2,color,0
97ab59bd-3111-4b5e-8c0b-4cff1866f224,1,3965,real,pie,1,tomato,corn,corn,ArrowRight,"more, fewer",1,FEWER,"geo, icon, color",2,color,1
97ab59bd-3111-4b5e-8c0b-4cff1866f224,0,3905,real,pie,9,corn,mushroom,corn,ArrowRight,"more, fewer",1,FEWER,"geo, icon, color",2,color,2
97ab59bd-3111-4b5e-8c0b-4cff1866f224,1,3642,real,pie,2,mushroom,celery,celery,ArrowRight,"more, fewer",1,FEWER,"geo, icon, color",2,color,3
