participant_id,answer_accuracy,elapsed_time,trial_type,condition,current_stimulus_index,target_left,target_right,correct_answer,key_pressed,questions_order,question_index,question_condition,textures_order_for_question,texture_index,texture_condition,trial_number
9c86b7bb-2114-4d8b-9d4b-a799d2044613,1,2301,training,pie,8,olive,eggplant,olive,ArrowLeft,"fewer, more",0,FEWER,"icon, color, geo",0,icon,0
9c86b7bb-2114-4d8b-9d4b-a799d2044613,1,4634,training,pie,25,eggplant,corn,eggplant,ArrowLeft,"fewer, more",0,FEWER,"icon, color, geo",0,icon,1
9c86b7bb-2114-4d8b-9d4b-a799d2044613,1,3407,training,pie,7,celery,eggplant,eggplant,ArrowRight,"fewer, more",0,FEWER,"icon, color, geo",0,icon,2
9c86b7bb-2114-4d8b-9d4b-a799d2044613,0,4053,real,pie,0,eggplant,corn,eggplant,ArrowRight,"fewer, more",0,FEWER,"icon, color, geo",0,icon,0
9c86b7bb-2114-4d8b-9d4b-a799d2044613,-1,5000,real,pie,2,mushroom,celery,celery,none,"fewer, more",0,FEWER,"icon, color, geo",0,icon,1
9c86b7bb-2114-4d8b-9d4b-a799d2044613,1,1551,real,pie,3,olive,corn,olive,ArrowLeft,"fewer, more",0,FEWER,"icon, color, geo",0,icon,2
9c86b7bb-2114-4d8b-9d4b-a799d2044613,1,3037,real,pie,8,corn,celery,celery,ArrowRight,"fewer, more",0,FEWER,"icon, color, geo",0,icon,3
9c86b7bb-2114-4d8b-9d4b-a799d2044613,-1,5000,real,pie,4,carrot,mushroom,mushroom,none,"fewer, more",0,FEWER,"icon, color, geo",0,icon,4
9c86b7bb-2114-4d8b-9d4b-a799d2044613,1,2457,real,pie,6,olive,mushroom,olive,ArrowLeft,"fewer, more",0,FEWER,"icon, color, geo",0,icon,5
9c86b7bb-2114-4d8b-9d4b-a799d2044613,1,2677,real,pie,1,tomato,corn,corn,ArrowRight,"fewer, more",0,FEWER,"icon, color, geo",0,icon,6
9c86b7bb-2114-4d8b-9d4b-a799d2044613,1,2906,real,pie,7,mushroom,corn,mushroom,ArrowLeft,"fewer, more",0,FEWER,"icon, color, geo",0,icon,7
9c86b7bb-2114-4d8b-9d4b-a799d2044613,1,4320,real,pie,5,celery,olive,olive,ArrowRight,"fewer, more",0,FEWER,"icon, color, geo",0,icon,8
9c86b7bb-2114-4d8b-9d4b-a799d2044613,1,3250,real,pie,9,corn,mushroom,corn,ArrowLeft,"fewer, more",0,FEWER,"icon, color, geo",0,icon,9
9c86b7bb-2114-4d8b-9d4b-a799d2044613,1,4698,training,pie,15,eggplant,tomato,eggplant,ArrowLeft,"fewer, more",0,FEWER,"icon, color, geo",1,color,0
9c86b7bb-2114-4d8b-9d4b-a799d2044613,1,2631,training,pie,1,mushroom,corn,corn,ArrowRight,"fewer, more",0,FEWER,"icon, color, geo",1,color,1
9c86b7bb-2114-4d8b-9d4b-a799d2044613,1,4508,training,pie,11,carrot,tomato,carrot,ArrowLeft,"fewer, more",0,FEWER,"icon, color, geo",1,color,2
