participant_id,answer_accuracy,elapsed_time,trial_type,condition,current_stimulus_index,target_left,target_right,correct_answer,key_pressed,questions_order,question_index,question_condition,textures_order_for_question,texture_index,texture_condition,trial_number
a075a675-d758-4957-9349-3458c4ed90b6,1,3949,training,bar,7,eggplant,celery,celery,ArrowRight,"more, fewer",0,MORE,"icon, geo, color",0,icon,0
a075a675-d758-4957-9349-3458c4ed90b6,1,3751,training,bar,23,carrot,olive,olive,ArrowRight,"more, fewer",0,MORE,"icon, geo, color",0,icon,1
a075a675-d758-4957-9349-3458c4ed90b6,1,2097,training,bar,20,eggplant,tomato,eggplant,ArrowLeft,"more, fewer",0,MORE,"icon, geo, color",0,icon,2
a075a675-d758-4957-9349-3458c4ed90b6,1,2078,real,bar,5,olive,celery,celery,ArrowRight,"more, fewer",0,MORE,"icon, geo, color",0,icon,0
a075a675-d758-4957-9349-3458c4ed90b6,1,2473,real,bar,0,eggplant,corn,corn,ArrowRight,"more, fewer",0,MORE,"icon, geo, color",0,icon,1
a075a675-d758-4957-9349-3458c4ed90b6,0,1895,real,bar,3,corn,olive,corn,ArrowRight,"more, fewer",0,MORE,"icon, geo, color",0,icon,2
a075a675-d758-4957-9349-3458c4ed90b6,1,4292,real,bar,4,mushroom,carrot,carrot,ArrowRight,"more, fewer",0,MORE,"icon, geo, color",0,icon,3
a075a675-d758-4957-9349-3458c4ed90b6,1,1044,real,bar,7,corn,mushroom,corn,ArrowLeft,"more, fewer",0,MORE,"icon, geo, color",0,icon,4
a075a675-d758-4957-9349-3458c4ed90b6,1,3000,real,bar,1,corn,tomato,tomato,ArrowRight,"more, fewer",0,MORE,"icon, geo, color",0,icon,5
a075a675-d758-4957-9349-3458c4ed90b6,1,4085,real,bar,9,mushroom,corn,mushroom,ArrowLeft,"more, fewer",0,MORE,"icon, geo, color",0,icon,6
a075a675-d758-4957-9349-3458c4ed90b6,1,2999,real,bar,2,celery,mushroom,mushroom,ArrowRight,"more, fewer",0,MORE,"icon, geo, color",0,icon,7
a075a675-d758-4957-9349-3458c4ed90b6,1,2796,real,bar,8,celery,corn,corn,ArrowRight,"more, fewer",0,MORE,"icon, geo, color",0,icon,8
a075a675-d758-4957-9349-3458c4ed90b6,1,3984,real,bar,6,mushroom,olive,mushroom,ArrowLeft,"more, fewer",0,MORE,"icon, geo, color",0,icon,9
a075a675-d758-4957-9349-3458c4ed90b6,1,3390,training,bar,18,corn,eggplant,eggplant,ArrowRight,"more, fewer",0,MORE,"icon, geo, color",1,geo,0
a075a675-d758-4957-9349-3458c4ed90b6,1,1882,training,bar,1,corn,mushroom,mushroom,ArrowRight,"more, fewer",0,MORE,"icon, geo, color",1,geo,1
a075a675-d758-4957-9349-3458c4ed90b6,1,3652,training,bar,26,mushroom,olive,olive,ArrowRight,"more, fewer",0,MORE,"icon, geo, color",1,geo,2
a075a675-d758-4957-9349-3458c4ed90b6,1,2163,real,bar,0,eggplant,corn,corn,ArrowRight,"more, fewer",0,MORE,"icon, geo, color",1,geo,0
a075a675-d758-4957-9349-3458c4ed90b6,1,3023,real,bar,6,mushroom,olive,mushroom,ArrowLeft,"more, fewer",0,MORE,"icon, geo, color",1,geo,1
a075a675-d758-4957-9349-3458c4ed90b6,1,2961,real,bar,2,celery,mushroom,mushroom,ArrowRight,"more, fewer",0,MORE,"icon, geo, color",1,geo,2
a075a675-d758-4957-9349-3458c4ed90b6,0,1976,real,bar,3,corn,olive,corn,ArrowRight,"more, fewer",0,MORE,"icon, geo, color",1,geo,3
a075a675-d758-4957-9349-3458c4ed90b6,1,1161,real,bar,8,celery,corn,corn,ArrowRight,"more, fewer",0,MORE,"icon, geo, color",1,geo,4
a075a675-d758-4957-9349-3458c4ed90b6,1,3195,real,bar,1,corn,tomato,tomato,ArrowRight,"more, fewer",0,MORE,"icon, geo, color",1,geo,5
