participant_id,answer_accuracy,elapsed_time,trial_type,condition,current_stimulus_index,target_left,target_right,correct_answer,key_pressed,questions_order,question_index,question_condition,textures_order_for_question,texture_index,texture_condition,trial_number
a196f703-414e-4de0-b0e3-d7a033066f4c,1,4631,training,bar,25,corn,eggplant,corn,ArrowLeft,"more, fewer",0,MORE,"geo, color, icon",0,geo,0
a196f703-414e-4de0-b0e3-d7a033066f4c,1,2208,training,bar,18,corn,eggplant,eggplant,ArrowRight,"more, fewer",0,MORE,"geo, color, icon",0,geo,1
a196f703-414e-4de0-b0e3-d7a033066f4c,1,4544,training,bar,5,olive,carrot,olive,ArrowLeft,"more, fewer",0,MORE,"geo, color, icon",0,geo,2
a196f703-414e-4de0-b0e3-d7a033066f4c,1,3417,real,bar,8,celery,corn,corn,ArrowRight,"more, fewer",0,MORE,"geo, color, icon",0,geo,0
a196f703-414e-4de0-b0e3-d7a033066f4c,1,3872,real,bar,2,celery,mushroom,mushroom,ArrowRight,"more, fewer",0,MORE,"geo, color, icon",0,geo,1
a196f703-414e-4de0-b0e3-d7a033066f4c,1,2537,real,bar,9,mushroom,corn,mushroom,ArrowLeft,"more, fewer",0,MORE,"geo, color, icon",0,geo,2
a196f703-414e-4de0-b0e3-d7a033066f4c,1,2368,real,bar,1,corn,tomato,tomato,ArrowRight,"more, fewer",0,MORE,"geo, color, icon",0,geo,3
a196f703-414e-4de0-b0e3-d7a033066f4c,1,1480,real,bar,6,mushroom,olive,mushroom,ArrowLeft,"more, fewer",0,MORE,"geo, color, icon",0,geo,4
a196f703-414e-4de0-b0e3-d7a033066f4c,1,2152,real,bar,5,olive,celery,celery,ArrowRight,"more, fewer",0,MORE,"geo, color, icon",0,geo,5
a196f703-414e-4de0-b0e3-d7a033066f4c,1,2726,real,bar,3,corn,olive,corn,ArrowLeft,"more, fewer",0,MORE,"geo, color, icon",0,geo,6
a196f703-414e-4de0-b0e3-d7a033066f4c,1,2129,real,bar,4,mushroom,carrot,carrot,ArrowRight,"more, fewer",0,MORE,"geo, color, icon",0,geo,7
a196f703-414e-4de0-b0e3-d7a033066f4c,1,2752,real,bar,0,eggplant,corn,corn,ArrowRight,"more, fewer",0,MORE,"geo, color, icon",0,geo,8
a196f703-414e-4de0-b0e3-d7a033066f4c,1,3369,real,bar,7,corn,mushroom,corn,ArrowLeft,"more, fewer",0,MORE,"geo, color, icon",0,geo,9
