participant_id,answer_accuracy,elapsed_time,trial_type,condition,current_stimulus_index,target_left,target_right,correct_answer,key_pressed,questions_order,question_index,question_condition,textures_order_for_question,texture_index,texture_condition,trial_number
a9e0d56f-0aa9-4db7-910c-74ce4fe54d46,1,4843,training,pie,0,carrot,corn,corn,ArrowRight,"fewer, more",0,FEWER,"geo, color, icon",0,geo,0
a9e0d56f-0aa9-4db7-910c-74ce4fe54d46,1,4679,training,pie,0,carrot,corn,corn,ArrowRight,"fewer, more",0,FEWER,"geo, color, icon",0,geo,1
a9e0d56f-0aa9-4db7-910c-74ce4fe54d46,1,3998,training,pie,7,celery,eggplant,eggplant,ArrowRight,"fewer, more",0,FEWER,"geo, color, icon",0,geo,2
a9e0d56f-0aa9-4db7-910c-74ce4fe54d46,1,4397,real,pie,4,carrot,mushroom,mushroom,ArrowRight,"fewer, more",0,FEWER,"geo, color, icon",0,geo,0
a9e0d56f-0aa9-4db7-910c-74ce4fe54d46,1,2749,real,pie,8,corn,celery,celery,ArrowRight,"fewer, more",0,FEWER,"geo, color, icon",0,geo,1
a9e0d56f-0aa9-4db7-910c-74ce4fe54d46,1,1816,real,pie,1,tomato,corn,corn,ArrowRight,"fewer, more",0,FEWER,"geo, color, icon",0,geo,2
a9e0d56f-0aa9-4db7-910c-74ce4fe54d46,1,3685,real,pie,5,celery,olive,olive,ArrowRight,"fewer, more",0,FEWER,"geo, color, icon",0,geo,3
a9e0d56f-0aa9-4db7-910c-74ce4fe54d46,1,2909,real,pie,0,eggplant,corn,eggplant,ArrowLeft,"fewer, more",0,FEWER,"geo, color, icon",0,geo,4
a9e0d56f-0aa9-4db7-910c-74ce4fe54d46,1,2384,real,pie,3,olive,corn,olive,ArrowLeft,"fewer, more",0,FEWER,"geo, color, icon",0,geo,5
a9e0d56f-0aa9-4db7-910c-74ce4fe54d46,1,2852,real,pie,9,corn,mushroom,corn,ArrowLeft,"fewer, more",0,FEWER,"geo, color, icon",0,geo,6
a9e0d56f-0aa9-4db7-910c-74ce4fe54d46,1,2574,real,pie,7,mushroom,corn,mushroom,ArrowLeft,"fewer, more",0,FEWER,"geo, color, icon",0,geo,7
a9e0d56f-0aa9-4db7-910c-74ce4fe54d46,1,1723,real,pie,6,olive,mushroom,olive,ArrowLeft,"fewer, more",0,FEWER,"geo, color, icon",0,geo,8
a9e0d56f-0aa9-4db7-910c-74ce4fe54d46,1,2141,real,pie,2,mushroom,celery,celery,ArrowRight,"fewer, more",0,FEWER,"geo, color, icon",0,geo,9
a9e0d56f-0aa9-4db7-910c-74ce4fe54d46,1,1506,training,pie,9,eggplant,mushroom,eggplant,ArrowLeft,"fewer, more",0,FEWER,"geo, color, icon",1,color,0
a9e0d56f-0aa9-4db7-910c-74ce4fe54d46,1,2404,training,pie,23,olive,carrot,carrot,ArrowRight,"fewer, more",0,FEWER,"geo, color, icon",1,color,1
a9e0d56f-0aa9-4db7-910c-74ce4fe54d46,1,1844,training,pie,14,tomato,eggplant,eggplant,ArrowRight,"fewer, more",0,FEWER,"geo, color, icon",1,color,2
a9e0d56f-0aa9-4db7-910c-74ce4fe54d46,1,1554,real,pie,2,mushroom,celery,celery,ArrowRight,"fewer, more",0,FEWER,"geo, color, icon",1,color,0
a9e0d56f-0aa9-4db7-910c-74ce4fe54d46,1,2084,real,pie,3,olive,corn,olive,ArrowLeft,"fewer, more",0,FEWER,"geo, color, icon",1,color,1
a9e0d56f-0aa9-4db7-910c-74ce4fe54d46,1,2579,real,pie,5,celery,olive,olive,ArrowRight,"fewer, more",0,FEWER,"geo, color, icon",1,color,2
a9e0d56f-0aa9-4db7-910c-74ce4fe54d46,1,2196,real,pie,4,carrot,mushroom,mushroom,ArrowRight,"fewer, more",0,FEWER,"geo, color, icon",1,color,3
a9e0d56f-0aa9-4db7-910c-74ce4fe54d46,1,3081,real,pie,9,corn,mushroom,corn,ArrowLeft,"fewer, more",0,FEWER,"geo, color, icon",1,color,4
a9e0d56f-0aa9-4db7-910c-74ce4fe54d46,1,2125,real,pie,6,olive,mushroom,olive,ArrowLeft,"fewer, more",0,FEWER,"geo, color, icon",1,color,5
a9e0d56f-0aa9-4db7-910c-74ce4fe54d46,1,3271,real,pie,8,corn,celery,celery,ArrowRight,"fewer, more",0,FEWER,"geo, color, icon",1,color,6
a9e0d56f-0aa9-4db7-910c-74ce4fe54d46,1,2240,real,pie,7,mushroom,corn,mushroom,ArrowLeft,"fewer, more",0,FEWER,"geo, color, icon",1,color,7
a9e0d56f-0aa9-4db7-910c-74ce4fe54d46,1,2863,real,pie,0,eggplant,corn,eggplant,ArrowLeft,"fewer, more",0,FEWER,"geo, color, icon",1,color,8
a9e0d56f-0aa9-4db7-910c-74ce4fe54d46,1,1794,real,pie,1,tomato,corn,corn,ArrowRight,"fewer, more",0,FEWER,"geo, color, icon",1,color,9
a9e0d56f-0aa9-4db7-910c-74ce4fe54d46,1,1914,training,pie,7,celery,eggplant,eggplant,ArrowRight,"fewer, more",0,FEWER,"geo, color, icon",2,icon,0
a9e0d56f-0aa9-4db7-910c-74ce4fe54d46,1,2853,training,pie,6,celery,mushroom,mushroom,ArrowRight,"fewer, more",0,FEWER,"geo, color, icon",2,icon,1
a9e0d56f-0aa9-4db7-910c-74ce4fe54d46,1,3630,training,pie,4,carrot,celery,carrot,ArrowLeft,"fewer, more",0,FEWER,"geo, color, icon",2,icon,2
a9e0d56f-0aa9-4db7-910c-74ce4fe54d46,1,1517,real,pie,1,tomato,corn,corn,ArrowRight,"fewer, more",0,FEWER,"geo, color, icon",2,icon,0
a9e0d56f-0aa9-4db7-910c-74ce4fe54d46,1,2514,real,pie,0,eggplant,corn,eggplant,ArrowLeft,"fewer, more",0,FEWER,"geo, color, icon",2,icon,1
a9e0d56f-0aa9-4db7-910c-74ce4fe54d46,1,3007,real,pie,5,celery,olive,olive,ArrowRight,"fewer, more",0,FEWER,"geo, color, icon",2,icon,2
a9e0d56f-0aa9-4db7-910c-74ce4fe54d46,1,2799,real,pie,9,corn,mushroom,corn,ArrowLeft,"fewer, more",0,FEWER,"geo, color, icon",2,icon,3
a9e0d56f-0aa9-4db7-910c-74ce4fe54d46,0,3900,real,pie,6,olive,mushroom,olive,ArrowRight,"fewer, more",0,FEWER,"geo, color, icon",2,icon,4
a9e0d56f-0aa9-4db7-910c-74ce4fe54d46,1,2940,real,pie,2,mushroom,celery,celery,ArrowRight,"fewer, more",0,FEWER,"geo, color, icon",2,icon,5
a9e0d56f-0aa9-4db7-910c-74ce4fe54d46,1,2614,real,pie,3,olive,corn,olive,ArrowLeft,"fewer, more",0,FEWER,"geo, color, icon",2,icon,6
a9e0d56f-0aa9-4db7-910c-74ce4fe54d46,1,2934,real,pie,7,mushroom,corn,mushroom,ArrowLeft,"fewer, more",0,FEWER,"geo, color, icon",2,icon,7
a9e0d56f-0aa9-4db7-910c-74ce4fe54d46,1,1516,real,pie,8,corn,celery,celery,ArrowRight,"fewer, more",0,FEWER,"geo, color, icon",2,icon,8
a9e0d56f-0aa9-4db7-910c-74ce4fe54d46,1,3575,real,pie,4,carrot,mushroom,mushroom,ArrowRight,"fewer, more",0,FEWER,"geo, color, icon",2,icon,9
a9e0d56f-0aa9-4db7-910c-74ce4fe54d46,1,2443,training,pie,5,olive,carrot,olive,ArrowLeft,"fewer, more",1,MORE,"color, icon, geo",0,color,0
a9e0d56f-0aa9-4db7-910c-74ce4fe54d46,1,3596,training,pie,0,carrot,corn,carrot,ArrowLeft,"fewer, more",1,MORE,"color, icon, geo",0,color,1
a9e0d56f-0aa9-4db7-910c-74ce4fe54d46,1,2071,training,pie,25,eggplant,corn,corn,ArrowRight,"fewer, more",1,MORE,"color, icon, geo",0,color,2
a9e0d56f-0aa9-4db7-910c-74ce4fe54d46,1,2284,real,pie,2,mushroom,celery,mushroom,ArrowLeft,"fewer, more",1,MORE,"color, icon, geo",0,color,0
a9e0d56f-0aa9-4db7-910c-74ce4fe54d46,1,1566,real,pie,3,olive,corn,corn,ArrowRight,"fewer, more",1,MORE,"color, icon, geo",0,color,1
a9e0d56f-0aa9-4db7-910c-74ce4fe54d46,1,2259,real,pie,5,celery,olive,celery,ArrowLeft,"fewer, more",1,MORE,"color, icon, geo",0,color,2
a9e0d56f-0aa9-4db7-910c-74ce4fe54d46,1,1909,real,pie,4,carrot,mushroom,carrot,ArrowLeft,"fewer, more",1,MORE,"color, icon, geo",0,color,3
a9e0d56f-0aa9-4db7-910c-74ce4fe54d46,1,2310,real,pie,9,corn,mushroom,mushroom,ArrowRight,"fewer, more",1,MORE,"color, icon, geo",0,color,4
a9e0d56f-0aa9-4db7-910c-74ce4fe54d46,1,2414,real,pie,6,olive,mushroom,mushroom,ArrowRight,"fewer, more",1,MORE,"color, icon, geo",0,color,5
a9e0d56f-0aa9-4db7-910c-74ce4fe54d46,1,1485,real,pie,8,corn,celery,corn,ArrowLeft,"fewer, more",1,MORE,"color, icon, geo",0,color,6
a9e0d56f-0aa9-4db7-910c-74ce4fe54d46,1,1388,real,pie,7,mushroom,corn,corn,ArrowRight,"fewer, more",1,MORE,"color, icon, geo",0,color,7
a9e0d56f-0aa9-4db7-910c-74ce4fe54d46,1,2796,real,pie,0,eggplant,corn,corn,ArrowRight,"fewer, more",1,MORE,"color, icon, geo",0,color,8
a9e0d56f-0aa9-4db7-910c-74ce4fe54d46,1,2564,real,pie,1,tomato,corn,tomato,ArrowLeft,"fewer, more",1,MORE,"color, icon, geo",0,color,9
a9e0d56f-0aa9-4db7-910c-74ce4fe54d46,1,2771,training,pie,17,mushroom,corn,mushroom,ArrowLeft,"fewer, more",1,MORE,"color, icon, geo",1,icon,0
a9e0d56f-0aa9-4db7-910c-74ce4fe54d46,1,2565,training,pie,8,olive,eggplant,eggplant,ArrowRight,"fewer, more",1,MORE,"color, icon, geo",1,icon,1
a9e0d56f-0aa9-4db7-910c-74ce4fe54d46,1,2015,training,pie,14,tomato,eggplant,tomato,ArrowLeft,"fewer, more",1,MORE,"color, icon, geo",1,icon,2
