participant_id,answer_accuracy,elapsed_time,trial_type,condition,current_stimulus_index,target_left,target_right,correct_answer,key_pressed,questions_order,question_index,question_condition,textures_order_for_question,texture_index,texture_condition,trial_number
af0b04e3-49f4-4492-b1f0-868c01bfb6e6,-1,5000,training,pie,24,mushroom,celery,mushroom,none,"fewer, more",0,FEWER,"geo, color, icon",0,geo,0
af0b04e3-49f4-4492-b1f0-868c01bfb6e6,1,2664,training,pie,19,eggplant,carrot,eggplant,ArrowLeft,"fewer, more",0,FEWER,"geo, color, icon",0,geo,1
af0b04e3-49f4-4492-b1f0-868c01bfb6e6,1,3696,training,pie,23,olive,carrot,carrot,ArrowRight,"fewer, more",0,FEWER,"geo, color, icon",0,geo,2
af0b04e3-49f4-4492-b1f0-868c01bfb6e6,-1,5000,real,pie,6,olive,mushroom,olive,none,"fewer, more",0,FEWER,"geo, color, icon",0,geo,0
af0b04e3-49f4-4492-b1f0-868c01bfb6e6,1,4016,real,pie,4,carrot,mushroom,mushroom,ArrowRight,"fewer, more",0,FEWER,"geo, color, icon",0,geo,1
af0b04e3-49f4-4492-b1f0-868c01bfb6e6,1,3208,real,pie,5,celery,olive,olive,ArrowRight,"fewer, more",0,FEWER,"geo, color, icon",0,geo,2
af0b04e3-49f4-4492-b1f0-868c01bfb6e6,1,2816,real,pie,1,tomato,corn,corn,ArrowRight,"fewer, more",0,FEWER,"geo, color, icon",0,geo,3
af0b04e3-49f4-4492-b1f0-868c01bfb6e6,1,2951,real,pie,3,olive,corn,olive,ArrowLeft,"fewer, more",0,FEWER,"geo, color, icon",0,geo,4
af0b04e3-49f4-4492-b1f0-868c01bfb6e6,0,2463,real,pie,2,mushroom,celery,celery,ArrowLeft,"fewer, more",0,FEWER,"geo, color, icon",0,geo,5
af0b04e3-49f4-4492-b1f0-868c01bfb6e6,1,4410,real,pie,7,mushroom,corn,mushroom,ArrowLeft,"fewer, more",0,FEWER,"geo, color, icon",0,geo,6
af0b04e3-49f4-4492-b1f0-868c01bfb6e6,1,4048,real,pie,9,corn,mushroom,corn,ArrowLeft,"fewer, more",0,FEWER,"geo, color, icon",0,geo,7
af0b04e3-49f4-4492-b1f0-868c01bfb6e6,1,2480,real,pie,0,eggplant,corn,eggplant,ArrowLeft,"fewer, more",0,FEWER,"geo, color, icon",0,geo,8
af0b04e3-49f4-4492-b1f0-868c01bfb6e6,1,1431,real,pie,8,corn,celery,celery,ArrowRight,"fewer, more",0,FEWER,"geo, color, icon",0,geo,9
af0b04e3-49f4-4492-b1f0-868c01bfb6e6,0,4464,training,pie,27,corn,olive,olive,ArrowLeft,"fewer, more",0,FEWER,"geo, color, icon",1,color,0
af0b04e3-49f4-4492-b1f0-868c01bfb6e6,1,4679,training,pie,18,eggplant,corn,corn,ArrowRight,"fewer, more",0,FEWER,"geo, color, icon",1,color,1
af0b04e3-49f4-4492-b1f0-868c01bfb6e6,1,2145,training,pie,14,tomato,eggplant,eggplant,ArrowRight,"fewer, more",0,FEWER,"geo, color, icon",1,color,2
af0b04e3-49f4-4492-b1f0-868c01bfb6e6,1,1535,real,pie,1,tomato,corn,corn,ArrowRight,"fewer, more",0,FEWER,"geo, color, icon",1,color,0
af0b04e3-49f4-4492-b1f0-868c01bfb6e6,1,3336,real,pie,7,mushroom,corn,mushroom,ArrowLeft,"fewer, more",0,FEWER,"geo, color, icon",1,color,1
af0b04e3-49f4-4492-b1f0-868c01bfb6e6,1,1928,real,pie,0,eggplant,corn,eggplant,ArrowLeft,"fewer, more",0,FEWER,"geo, color, icon",1,color,2
af0b04e3-49f4-4492-b1f0-868c01bfb6e6,1,2896,real,pie,9,corn,mushroom,corn,ArrowLeft,"fewer, more",0,FEWER,"geo, color, icon",1,color,3
af0b04e3-49f4-4492-b1f0-868c01bfb6e6,1,3553,real,pie,5,celery,olive,olive,ArrowRight,"fewer, more",0,FEWER,"geo, color, icon",1,color,4
af0b04e3-49f4-4492-b1f0-868c01bfb6e6,1,2303,real,pie,6,olive,mushroom,olive,ArrowLeft,"fewer, more",0,FEWER,"geo, color, icon",1,color,5
af0b04e3-49f4-4492-b1f0-868c01bfb6e6,1,1880,real,pie,2,mushroom,celery,celery,ArrowRight,"fewer, more",0,FEWER,"geo, color, icon",1,color,6
af0b04e3-49f4-4492-b1f0-868c01bfb6e6,1,3729,real,pie,4,carrot,mushroom,mushroom,ArrowRight,"fewer, more",0,FEWER,"geo, color, icon",1,color,7
af0b04e3-49f4-4492-b1f0-868c01bfb6e6,1,2127,real,pie,8,corn,celery,celery,ArrowRight,"fewer, more",0,FEWER,"geo, color, icon",1,color,8
af0b04e3-49f4-4492-b1f0-868c01bfb6e6,1,3016,real,pie,3,olive,corn,olive,ArrowLeft,"fewer, more",0,FEWER,"geo, color, icon",1,color,9
af0b04e3-49f4-4492-b1f0-868c01bfb6e6,1,3905,training,pie,11,carrot,tomato,carrot,ArrowLeft,"fewer, more",0,FEWER,"geo, color, icon",2,icon,0
af0b04e3-49f4-4492-b1f0-868c01bfb6e6,1,3391,training,pie,5,olive,carrot,carrot,ArrowRight,"fewer, more",0,FEWER,"geo, color, icon",2,icon,1
af0b04e3-49f4-4492-b1f0-868c01bfb6e6,1,1880,training,pie,25,eggplant,corn,eggplant,ArrowLeft,"fewer, more",0,FEWER,"geo, color, icon",2,icon,2
af0b04e3-49f4-4492-b1f0-868c01bfb6e6,-1,5000,real,pie,7,mushroom,corn,mushroom,none,"fewer, more",0,FEWER,"geo, color, icon",2,icon,0
af0b04e3-49f4-4492-b1f0-868c01bfb6e6,1,4288,real,pie,4,carrot,mushroom,mushroom,ArrowRight,"fewer, more",0,FEWER,"geo, color, icon",2,icon,1
af0b04e3-49f4-4492-b1f0-868c01bfb6e6,0,3201,real,pie,6,olive,mushroom,olive,ArrowRight,"fewer, more",0,FEWER,"geo, color, icon",2,icon,2
af0b04e3-49f4-4492-b1f0-868c01bfb6e6,1,2512,real,pie,3,olive,corn,olive,ArrowLeft,"fewer, more",0,FEWER,"geo, color, icon",2,icon,3
af0b04e3-49f4-4492-b1f0-868c01bfb6e6,1,2080,real,pie,1,tomato,corn,corn,ArrowRight,"fewer, more",0,FEWER,"geo, color, icon",2,icon,4
af0b04e3-49f4-4492-b1f0-868c01bfb6e6,1,1184,real,pie,8,corn,celery,celery,ArrowRight,"fewer, more",0,FEWER,"geo, color, icon",2,icon,5
af0b04e3-49f4-4492-b1f0-868c01bfb6e6,1,2143,real,pie,0,eggplant,corn,eggplant,ArrowLeft,"fewer, more",0,FEWER,"geo, color, icon",2,icon,6
af0b04e3-49f4-4492-b1f0-868c01bfb6e6,1,2832,real,pie,5,celery,olive,olive,ArrowRight,"fewer, more",0,FEWER,"geo, color, icon",2,icon,7
af0b04e3-49f4-4492-b1f0-868c01bfb6e6,1,3274,real,pie,2,mushroom,celery,celery,ArrowRight,"fewer, more",0,FEWER,"geo, color, icon",2,icon,8
af0b04e3-49f4-4492-b1f0-868c01bfb6e6,1,2344,real,pie,9,corn,mushroom,corn,ArrowLeft,"fewer, more",0,FEWER,"geo, color, icon",2,icon,9
af0b04e3-49f4-4492-b1f0-868c01bfb6e6,1,2726,training,pie,24,mushroom,celery,celery,ArrowRight,"fewer, more",1,MORE,"color, geo, icon",0,color,0
af0b04e3-49f4-4492-b1f0-868c01bfb6e6,1,4720,training,pie,7,celery,eggplant,celery,ArrowLeft,"fewer, more",1,MORE,"color, geo, icon",0,color,1
af0b04e3-49f4-4492-b1f0-868c01bfb6e6,1,1384,training,pie,22,mushroom,corn,corn,ArrowRight,"fewer, more",1,MORE,"color, geo, icon",0,color,2
af0b04e3-49f4-4492-b1f0-868c01bfb6e6,1,3119,real,pie,1,tomato,corn,tomato,ArrowLeft,"fewer, more",1,MORE,"color, geo, icon",0,color,0
af0b04e3-49f4-4492-b1f0-868c01bfb6e6,1,3152,real,pie,7,mushroom,corn,corn,ArrowRight,"fewer, more",1,MORE,"color, geo, icon",0,color,1
af0b04e3-49f4-4492-b1f0-868c01bfb6e6,1,2248,real,pie,0,eggplant,corn,corn,ArrowRight,"fewer, more",1,MORE,"color, geo, icon",0,color,2
af0b04e3-49f4-4492-b1f0-868c01bfb6e6,1,3936,real,pie,9,corn,mushroom,mushroom,ArrowRight,"fewer, more",1,MORE,"color, geo, icon",0,color,3
af0b04e3-49f4-4492-b1f0-868c01bfb6e6,1,2640,real,pie,5,celery,olive,celery,ArrowLeft,"fewer, more",1,MORE,"color, geo, icon",0,color,4
af0b04e3-49f4-4492-b1f0-868c01bfb6e6,1,3400,real,pie,6,olive,mushroom,mushroom,ArrowRight,"fewer, more",1,MORE,"color, geo, icon",0,color,5
af0b04e3-49f4-4492-b1f0-868c01bfb6e6,1,2496,real,pie,2,mushroom,celery,mushroom,ArrowLeft,"fewer, more",1,MORE,"color, geo, icon",0,color,6
