participant_id,answer_accuracy,elapsed_time,trial_type,condition,current_stimulus_index,target_left,target_right,correct_answer,key_pressed,questions_order,question_index,question_condition,textures_order_for_question,texture_index,texture_condition,trial_number
b732bba2-460e-4db5-b534-b913ec044a5d,1,2860,training,pie,5,olive,carrot,carrot,ArrowRight,"fewer, more",0,FEWER,"color, icon, geo",0,color,0
b732bba2-460e-4db5-b534-b913ec044a5d,-1,5000,training,pie,26,olive,mushroom,mushroom,none,"fewer, more",0,FEWER,"color, icon, geo",0,color,1
b732bba2-460e-4db5-b534-b913ec044a5d,1,2503,training,pie,24,mushroom,celery,mushroom,ArrowLeft,"fewer, more",0,FEWER,"color, icon, geo",0,color,2
b732bba2-460e-4db5-b534-b913ec044a5d,1,1881,real,pie,2,mushroom,celery,celery,ArrowRight,"fewer, more",0,FEWER,"color, icon, geo",0,color,0
b732bba2-460e-4db5-b534-b913ec044a5d,1,2397,real,pie,6,olive,mushroom,olive,ArrowLeft,"fewer, more",0,FEWER,"color, icon, geo",0,color,1
b732bba2-460e-4db5-b534-b913ec044a5d,1,1918,real,pie,7,mushroom,corn,mushroom,ArrowLeft,"fewer, more",0,FEWER,"color, icon, geo",0,color,2
b732bba2-460e-4db5-b534-b913ec044a5d,1,1733,real,pie,9,corn,mushroom,corn,ArrowLeft,"fewer, more",0,FEWER,"color, icon, geo",0,color,3
b732bba2-460e-4db5-b534-b913ec044a5d,1,3099,real,pie,3,olive,corn,olive,ArrowLeft,"fewer, more",0,FEWER,"color, icon, geo",0,color,4
b732bba2-460e-4db5-b534-b913ec044a5d,1,2525,real,pie,8,corn,celery,celery,ArrowRight,"fewer, more",0,FEWER,"color, icon, geo",0,color,5
b732bba2-460e-4db5-b534-b913ec044a5d,0,2249,real,pie,4,carrot,mushroom,mushroom,ArrowLeft,"fewer, more",0,FEWER,"color, icon, geo",0,color,6
b732bba2-460e-4db5-b534-b913ec044a5d,1,4197,real,pie,0,eggplant,corn,eggplant,ArrowLeft,"fewer, more",0,FEWER,"color, icon, geo",0,color,7
