participant_id,answer_accuracy,elapsed_time,trial_type,condition,current_stimulus_index,target_left,target_right,correct_answer,key_pressed,questions_order,question_index,question_condition,textures_order_for_question,texture_index,texture_condition,trial_number
b8a8958e-6c4b-4e66-ad20-cf45369d2970,-1,5000,training,pie,8,olive,eggplant,olive,none,"fewer, more",0,FEWER,"color, icon, geo",0,color,0
b8a8958e-6c4b-4e66-ad20-cf45369d2970,1,3181,training,pie,16,olive,mushroom,olive,ArrowLeft,"fewer, more",0,FEWER,"color, icon, geo",0,color,1
b8a8958e-6c4b-4e66-ad20-cf45369d2970,1,2633,training,pie,17,mushroom,corn,corn,ArrowRight,"fewer, more",0,FEWER,"color, icon, geo",0,color,2
b8a8958e-6c4b-4e66-ad20-cf45369d2970,1,3416,real,pie,3,olive,corn,olive,ArrowLeft,"fewer, more",0,FEWER,"color, icon, geo",0,color,0
b8a8958e-6c4b-4e66-ad20-cf45369d2970,1,2175,real,pie,2,mushroom,celery,celery,ArrowRight,"fewer, more",0,FEWER,"color, icon, geo",0,color,1
b8a8958e-6c4b-4e66-ad20-cf45369d2970,-1,5000,real,pie,5,celery,olive,olive,none,"fewer, more",0,FEWER,"color, icon, geo",0,color,2
b8a8958e-6c4b-4e66-ad20-cf45369d2970,1,3312,real,pie,0,eggplant,corn,eggplant,ArrowLeft,"fewer, more",0,FEWER,"color, icon, geo",0,color,3
b8a8958e-6c4b-4e66-ad20-cf45369d2970,1,3622,real,pie,8,corn,celery,celery,ArrowRight,"fewer, more",0,FEWER,"color, icon, geo",0,color,4
b8a8958e-6c4b-4e66-ad20-cf45369d2970,1,2570,real,pie,6,olive,mushroom,olive,ArrowLeft,"fewer, more",0,FEWER,"color, icon, geo",0,color,5
b8a8958e-6c4b-4e66-ad20-cf45369d2970,1,2155,real,pie,4,carrot,mushroom,mushroom,ArrowRight,"fewer, more",0,FEWER,"color, icon, geo",0,color,6
b8a8958e-6c4b-4e66-ad20-cf45369d2970,1,4466,real,pie,7,mushroom,corn,mushroom,ArrowLeft,"fewer, more",0,FEWER,"color, icon, geo",0,color,7
b8a8958e-6c4b-4e66-ad20-cf45369d2970,1,2479,real,pie,1,tomato,corn,corn,ArrowRight,"fewer, more",0,FEWER,"color, icon, geo",0,color,8
b8a8958e-6c4b-4e66-ad20-cf45369d2970,1,2549,real,pie,9,corn,mushroom,corn,ArrowLeft,"fewer, more",0,FEWER,"color, icon, geo",0,color,9
b8a8958e-6c4b-4e66-ad20-cf45369d2970,1,3455,training,pie,11,carrot,tomato,carrot,ArrowLeft,"fewer, more",0,FEWER,"color, icon, geo",1,icon,0
b8a8958e-6c4b-4e66-ad20-cf45369d2970,1,1679,training,pie,23,olive,carrot,carrot,ArrowRight,"fewer, more",0,FEWER,"color, icon, geo",1,icon,1
b8a8958e-6c4b-4e66-ad20-cf45369d2970,1,2705,training,pie,3,celery,carrot,carrot,ArrowRight,"fewer, more",0,FEWER,"color, icon, geo",1,icon,2
b8a8958e-6c4b-4e66-ad20-cf45369d2970,1,2245,real,pie,4,carrot,mushroom,mushroom,ArrowRight,"fewer, more",0,FEWER,"color, icon, geo",1,icon,0
b8a8958e-6c4b-4e66-ad20-cf45369d2970,1,2778,real,pie,6,olive,mushroom,olive,ArrowLeft,"fewer, more",0,FEWER,"color, icon, geo",1,icon,1
b8a8958e-6c4b-4e66-ad20-cf45369d2970,1,2955,real,pie,1,tomato,corn,corn,ArrowRight,"fewer, more",0,FEWER,"color, icon, geo",1,icon,2
b8a8958e-6c4b-4e66-ad20-cf45369d2970,1,2575,real,pie,9,corn,mushroom,corn,ArrowLeft,"fewer, more",0,FEWER,"color, icon, geo",1,icon,3
b8a8958e-6c4b-4e66-ad20-cf45369d2970,1,1701,real,pie,8,corn,celery,celery,ArrowRight,"fewer, more",0,FEWER,"color, icon, geo",1,icon,4
b8a8958e-6c4b-4e66-ad20-cf45369d2970,1,3757,real,pie,7,mushroom,corn,mushroom,ArrowLeft,"fewer, more",0,FEWER,"color, icon, geo",1,icon,5
