participant_id,answer_accuracy,elapsed_time,trial_type,condition,current_stimulus_index,target_left,target_right,correct_answer,key_pressed,questions_order,question_index,question_condition,textures_order_for_question,texture_index,texture_condition,trial_number
b92f9d87-fe50-4315-8f1d-837d6e13bcae,1,4304,training,pie,6,celery,mushroom,celery,ArrowLeft,"more, fewer",0,MORE,"geo, color, icon",0,geo,0
b92f9d87-fe50-4315-8f1d-837d6e13bcae,1,2657,training,pie,15,eggplant,tomato,tomato,ArrowRight,"more, fewer",0,MORE,"geo, color, icon",0,geo,1
b92f9d87-fe50-4315-8f1d-837d6e13bcae,1,3632,training,pie,16,olive,mushroom,mushroom,ArrowRight,"more, fewer",0,MORE,"geo, color, icon",0,geo,2
b92f9d87-fe50-4315-8f1d-837d6e13bcae,1,3240,real,pie,2,mushroom,celery,mushroom,ArrowLeft,"more, fewer",0,MORE,"geo, color, icon",0,geo,0
b92f9d87-fe50-4315-8f1d-837d6e13bcae,1,2896,real,pie,5,celery,olive,celery,ArrowLeft,"more, fewer",0,MORE,"geo, color, icon",0,geo,1
b92f9d87-fe50-4315-8f1d-837d6e13bcae,1,1511,real,pie,8,corn,celery,corn,ArrowLeft,"more, fewer",0,MORE,"geo, color, icon",0,geo,2
b92f9d87-fe50-4315-8f1d-837d6e13bcae,0,3103,real,pie,4,carrot,mushroom,carrot,ArrowRight,"more, fewer",0,MORE,"geo, color, icon",0,geo,3
b92f9d87-fe50-4315-8f1d-837d6e13bcae,1,3696,real,pie,9,corn,mushroom,mushroom,ArrowRight,"more, fewer",0,MORE,"geo, color, icon",0,geo,4
b92f9d87-fe50-4315-8f1d-837d6e13bcae,0,4761,real,pie,0,eggplant,corn,corn,ArrowLeft,"more, fewer",0,MORE,"geo, color, icon",0,geo,5
b92f9d87-fe50-4315-8f1d-837d6e13bcae,1,2864,real,pie,1,tomato,corn,tomato,ArrowLeft,"more, fewer",0,MORE,"geo, color, icon",0,geo,6
b92f9d87-fe50-4315-8f1d-837d6e13bcae,1,3870,real,pie,7,mushroom,corn,corn,ArrowRight,"more, fewer",0,MORE,"geo, color, icon",0,geo,7
b92f9d87-fe50-4315-8f1d-837d6e13bcae,0,3072,real,pie,3,olive,corn,corn,ArrowLeft,"more, fewer",0,MORE,"geo, color, icon",0,geo,8
b92f9d87-fe50-4315-8f1d-837d6e13bcae,1,3008,real,pie,6,olive,mushroom,mushroom,ArrowRight,"more, fewer",0,MORE,"geo, color, icon",0,geo,9
b92f9d87-fe50-4315-8f1d-837d6e13bcae,1,2103,training,pie,16,olive,mushroom,mushroom,ArrowRight,"more, fewer",0,MORE,"geo, color, icon",1,color,0
b92f9d87-fe50-4315-8f1d-837d6e13bcae,1,1673,training,pie,11,carrot,tomato,tomato,ArrowRight,"more, fewer",0,MORE,"geo, color, icon",1,color,1
b92f9d87-fe50-4315-8f1d-837d6e13bcae,1,1913,training,pie,1,mushroom,corn,mushroom,ArrowLeft,"more, fewer",0,MORE,"geo, color, icon",1,color,2
b92f9d87-fe50-4315-8f1d-837d6e13bcae,1,2680,real,pie,1,tomato,corn,tomato,ArrowLeft,"more, fewer",0,MORE,"geo, color, icon",1,color,0
b92f9d87-fe50-4315-8f1d-837d6e13bcae,1,2728,real,pie,0,eggplant,corn,corn,ArrowRight,"more, fewer",0,MORE,"geo, color, icon",1,color,1
b92f9d87-fe50-4315-8f1d-837d6e13bcae,1,1256,real,pie,8,corn,celery,corn,ArrowLeft,"more, fewer",0,MORE,"geo, color, icon",1,color,2
b92f9d87-fe50-4315-8f1d-837d6e13bcae,1,1440,real,pie,7,mushroom,corn,corn,ArrowRight,"more, fewer",0,MORE,"geo, color, icon",1,color,3
b92f9d87-fe50-4315-8f1d-837d6e13bcae,1,2712,real,pie,2,mushroom,celery,mushroom,ArrowLeft,"more, fewer",0,MORE,"geo, color, icon",1,color,4
b92f9d87-fe50-4315-8f1d-837d6e13bcae,1,2888,real,pie,5,celery,olive,celery,ArrowLeft,"more, fewer",0,MORE,"geo, color, icon",1,color,5
b92f9d87-fe50-4315-8f1d-837d6e13bcae,1,2943,real,pie,6,olive,mushroom,mushroom,ArrowRight,"more, fewer",0,MORE,"geo, color, icon",1,color,6
b92f9d87-fe50-4315-8f1d-837d6e13bcae,0,3952,real,pie,3,olive,corn,corn,ArrowLeft,"more, fewer",0,MORE,"geo, color, icon",1,color,7
b92f9d87-fe50-4315-8f1d-837d6e13bcae,1,4000,real,pie,9,corn,mushroom,mushroom,ArrowRight,"more, fewer",0,MORE,"geo, color, icon",1,color,8
b92f9d87-fe50-4315-8f1d-837d6e13bcae,1,3351,real,pie,4,carrot,mushroom,carrot,ArrowLeft,"more, fewer",0,MORE,"geo, color, icon",1,color,9
b92f9d87-fe50-4315-8f1d-837d6e13bcae,1,3119,training,pie,23,olive,carrot,olive,ArrowLeft,"more, fewer",0,MORE,"geo, color, icon",2,icon,0
