participant_id,answer_accuracy,elapsed_time,trial_type,condition,current_stimulus_index,target_left,target_right,correct_answer,key_pressed,questions_order,question_index,question_condition,textures_order_for_question,texture_index,texture_condition,trial_number
ba794426-e11e-40cb-8efb-2a322dcfb3d6,-1,5000,training,bar,1,corn,mushroom,corn,none,"fewer, more",0,FEWER,"icon, geo, color",0,icon,0
ba794426-e11e-40cb-8efb-2a322dcfb3d6,1,2832,training,bar,9,mushroom,eggplant,eggplant,ArrowRight,"fewer, more",0,FEWER,"icon, geo, color",0,icon,1
ba794426-e11e-40cb-8efb-2a322dcfb3d6,1,2928,training,bar,14,eggplant,tomato,eggplant,ArrowLeft,"fewer, more",0,FEWER,"icon, geo, color",0,icon,2
ba794426-e11e-40cb-8efb-2a322dcfb3d6,1,3137,real,bar,2,celery,mushroom,celery,ArrowLeft,"fewer, more",0,FEWER,"icon, geo, color",0,icon,0
ba794426-e11e-40cb-8efb-2a322dcfb3d6,1,2313,real,bar,8,celery,corn,celery,ArrowLeft,"fewer, more",0,FEWER,"icon, geo, color",0,icon,1
ba794426-e11e-40cb-8efb-2a322dcfb3d6,1,2752,real,bar,5,olive,celery,olive,ArrowLeft,"fewer, more",0,FEWER,"icon, geo, color",0,icon,2
ba794426-e11e-40cb-8efb-2a322dcfb3d6,1,3898,real,bar,4,mushroom,carrot,mushroom,ArrowLeft,"fewer, more",0,FEWER,"icon, geo, color",0,icon,3
ba794426-e11e-40cb-8efb-2a322dcfb3d6,1,3055,real,bar,6,mushroom,olive,olive,ArrowRight,"fewer, more",0,FEWER,"icon, geo, color",0,icon,4
ba794426-e11e-40cb-8efb-2a322dcfb3d6,1,4704,real,bar,0,eggplant,corn,eggplant,ArrowLeft,"fewer, more",0,FEWER,"icon, geo, color",0,icon,5
ba794426-e11e-40cb-8efb-2a322dcfb3d6,1,3481,real,bar,1,corn,tomato,corn,ArrowLeft,"fewer, more",0,FEWER,"icon, geo, color",0,icon,6
ba794426-e11e-40cb-8efb-2a322dcfb3d6,-1,5000,real,bar,9,mushroom,corn,corn,none,"fewer, more",0,FEWER,"icon, geo, color",0,icon,7
ba794426-e11e-40cb-8efb-2a322dcfb3d6,1,3496,real,bar,3,corn,olive,olive,ArrowRight,"fewer, more",0,FEWER,"icon, geo, color",0,icon,8
ba794426-e11e-40cb-8efb-2a322dcfb3d6,1,1647,real,bar,7,corn,mushroom,mushroom,ArrowRight,"fewer, more",0,FEWER,"icon, geo, color",0,icon,9
ba794426-e11e-40cb-8efb-2a322dcfb3d6,1,3160,training,bar,15,eggplant,tomato,eggplant,ArrowLeft,"fewer, more",0,FEWER,"icon, geo, color",1,geo,0
ba794426-e11e-40cb-8efb-2a322dcfb3d6,1,3297,training,bar,4,celery,carrot,carrot,ArrowRight,"fewer, more",0,FEWER,"icon, geo, color",1,geo,1
ba794426-e11e-40cb-8efb-2a322dcfb3d6,1,2856,training,bar,18,corn,eggplant,corn,ArrowLeft,"fewer, more",0,FEWER,"icon, geo, color",1,geo,2
ba794426-e11e-40cb-8efb-2a322dcfb3d6,0,1680,real,bar,9,mushroom,corn,corn,ArrowLeft,"fewer, more",0,FEWER,"icon, geo, color",1,geo,0
ba794426-e11e-40cb-8efb-2a322dcfb3d6,0,1536,real,bar,0,eggplant,corn,eggplant,ArrowRight,"fewer, more",0,FEWER,"icon, geo, color",1,geo,1
ba794426-e11e-40cb-8efb-2a322dcfb3d6,1,2320,real,bar,6,mushroom,olive,olive,ArrowRight,"fewer, more",0,FEWER,"icon, geo, color",1,geo,2
ba794426-e11e-40cb-8efb-2a322dcfb3d6,1,2488,real,bar,5,olive,celery,olive,ArrowLeft,"fewer, more",0,FEWER,"icon, geo, color",1,geo,3
ba794426-e11e-40cb-8efb-2a322dcfb3d6,1,2016,real,bar,3,corn,olive,olive,ArrowRight,"fewer, more",0,FEWER,"icon, geo, color",1,geo,4
ba794426-e11e-40cb-8efb-2a322dcfb3d6,1,2696,real,bar,2,celery,mushroom,celery,ArrowLeft,"fewer, more",0,FEWER,"icon, geo, color",1,geo,5
ba794426-e11e-40cb-8efb-2a322dcfb3d6,1,2401,real,bar,1,corn,tomato,corn,ArrowLeft,"fewer, more",0,FEWER,"icon, geo, color",1,geo,6
ba794426-e11e-40cb-8efb-2a322dcfb3d6,1,1920,real,bar,8,celery,corn,celery,ArrowLeft,"fewer, more",0,FEWER,"icon, geo, color",1,geo,7
ba794426-e11e-40cb-8efb-2a322dcfb3d6,1,2016,real,bar,4,mushroom,carrot,mushroom,ArrowLeft,"fewer, more",0,FEWER,"icon, geo, color",1,geo,8
ba794426-e11e-40cb-8efb-2a322dcfb3d6,1,1424,real,bar,7,corn,mushroom,mushroom,ArrowRight,"fewer, more",0,FEWER,"icon, geo, color",1,geo,9
ba794426-e11e-40cb-8efb-2a322dcfb3d6,1,2295,training,bar,1,corn,mushroom,corn,ArrowLeft,"fewer, more",0,FEWER,"icon, geo, color",2,color,0
ba794426-e11e-40cb-8efb-2a322dcfb3d6,1,2248,training,bar,3,carrot,celery,carrot,ArrowLeft,"fewer, more",0,FEWER,"icon, geo, color",2,color,1
ba794426-e11e-40cb-8efb-2a322dcfb3d6,0,3536,training,bar,11,tomato,carrot,carrot,ArrowLeft,"fewer, more",0,FEWER,"icon, geo, color",2,color,2
ba794426-e11e-40cb-8efb-2a322dcfb3d6,1,2312,real,bar,2,celery,mushroom,celery,ArrowLeft,"fewer, more",0,FEWER,"icon, geo, color",2,color,0
ba794426-e11e-40cb-8efb-2a322dcfb3d6,1,2808,real,bar,0,eggplant,corn,eggplant,ArrowLeft,"fewer, more",0,FEWER,"icon, geo, color",2,color,1
ba794426-e11e-40cb-8efb-2a322dcfb3d6,1,3143,real,bar,3,corn,olive,olive,ArrowRight,"fewer, more",0,FEWER,"icon, geo, color",2,color,2
ba794426-e11e-40cb-8efb-2a322dcfb3d6,1,3120,real,bar,9,mushroom,corn,corn,ArrowRight,"fewer, more",0,FEWER,"icon, geo, color",2,color,3
ba794426-e11e-40cb-8efb-2a322dcfb3d6,1,2424,real,bar,7,corn,mushroom,mushroom,ArrowRight,"fewer, more",0,FEWER,"icon, geo, color",2,color,4
ba794426-e11e-40cb-8efb-2a322dcfb3d6,1,3447,real,bar,1,corn,tomato,corn,ArrowLeft,"fewer, more",0,FEWER,"icon, geo, color",2,color,5
ba794426-e11e-40cb-8efb-2a322dcfb3d6,1,2840,real,bar,5,olive,celery,olive,ArrowLeft,"fewer, more",0,FEWER,"icon, geo, color",2,color,6
ba794426-e11e-40cb-8efb-2a322dcfb3d6,1,2408,real,bar,6,mushroom,olive,olive,ArrowRight,"fewer, more",0,FEWER,"icon, geo, color",2,color,7
ba794426-e11e-40cb-8efb-2a322dcfb3d6,1,2215,real,bar,8,celery,corn,celery,ArrowLeft,"fewer, more",0,FEWER,"icon, geo, color",2,color,8
