participant_id,answer_accuracy,elapsed_time,trial_type,condition,current_stimulus_index,target_left,target_right,correct_answer,key_pressed,questions_order,question_index,question_condition,textures_order_for_question,texture_index,texture_condition,trial_number
c0a846b4-01e2-4276-8436-afc66c57ece6,1,2016,training,pie,17,mushroom,corn,corn,ArrowRight,"fewer, more",0,FEWER,"icon, color, geo",0,icon,0
c0a846b4-01e2-4276-8436-afc66c57ece6,1,2352,training,pie,12,corn,celery,celery,ArrowRight,"fewer, more",0,FEWER,"icon, color, geo",0,icon,1
c0a846b4-01e2-4276-8436-afc66c57ece6,1,3640,training,pie,5,olive,carrot,carrot,ArrowRight,"fewer, more",0,FEWER,"icon, color, geo",0,icon,2
c0a846b4-01e2-4276-8436-afc66c57ece6,0,2839,real,pie,7,mushroom,corn,mushroom,ArrowRight,"fewer, more",0,FEWER,"icon, color, geo",0,icon,0
c0a846b4-01e2-4276-8436-afc66c57ece6,1,2640,real,pie,3,olive,corn,olive,ArrowLeft,"fewer, more",0,FEWER,"icon, color, geo",0,icon,1
c0a846b4-01e2-4276-8436-afc66c57ece6,0,2319,real,pie,5,celery,olive,olive,ArrowLeft,"fewer, more",0,FEWER,"icon, color, geo",0,icon,2
c0a846b4-01e2-4276-8436-afc66c57ece6,1,2936,real,pie,4,carrot,mushroom,mushroom,ArrowRight,"fewer, more",0,FEWER,"icon, color, geo",0,icon,3
c0a846b4-01e2-4276-8436-afc66c57ece6,1,3888,real,pie,6,olive,mushroom,olive,ArrowLeft,"fewer, more",0,FEWER,"icon, color, geo",0,icon,4
c0a846b4-01e2-4276-8436-afc66c57ece6,1,3975,real,pie,0,eggplant,corn,eggplant,ArrowLeft,"fewer, more",0,FEWER,"icon, color, geo",0,icon,5
c0a846b4-01e2-4276-8436-afc66c57ece6,1,2872,real,pie,1,tomato,corn,corn,ArrowRight,"fewer, more",0,FEWER,"icon, color, geo",0,icon,6
c0a846b4-01e2-4276-8436-afc66c57ece6,1,3040,real,pie,8,corn,celery,celery,ArrowRight,"fewer, more",0,FEWER,"icon, color, geo",0,icon,7
c0a846b4-01e2-4276-8436-afc66c57ece6,1,2159,real,pie,9,corn,mushroom,corn,ArrowLeft,"fewer, more",0,FEWER,"icon, color, geo",0,icon,8
c0a846b4-01e2-4276-8436-afc66c57ece6,1,4048,real,pie,2,mushroom,celery,celery,ArrowRight,"fewer, more",0,FEWER,"icon, color, geo",0,icon,9
c0a846b4-01e2-4276-8436-afc66c57ece6,1,1808,training,pie,14,tomato,eggplant,eggplant,ArrowRight,"fewer, more",0,FEWER,"icon, color, geo",1,color,0
c0a846b4-01e2-4276-8436-afc66c57ece6,1,1848,training,pie,23,olive,carrot,carrot,ArrowRight,"fewer, more",0,FEWER,"icon, color, geo",1,color,1
c0a846b4-01e2-4276-8436-afc66c57ece6,1,2208,training,pie,27,corn,olive,olive,ArrowRight,"fewer, more",0,FEWER,"icon, color, geo",1,color,2
c0a846b4-01e2-4276-8436-afc66c57ece6,1,1889,real,pie,1,tomato,corn,corn,ArrowRight,"fewer, more",0,FEWER,"icon, color, geo",1,color,0
c0a846b4-01e2-4276-8436-afc66c57ece6,1,3407,real,pie,0,eggplant,corn,eggplant,ArrowLeft,"fewer, more",0,FEWER,"icon, color, geo",1,color,1
