participant_id,answer_accuracy,elapsed_time,trial_type,condition,current_stimulus_index,target_left,target_right,correct_answer,key_pressed,questions_order,question_index,question_condition,textures_order_for_question,texture_index,texture_condition,trial_number
c599c211-cca9-4710-a63d-ac03d1c8ea68,-1,5000,training,bar,10,celery,eggplant,eggplant,none,"fewer, more",0,FEWER,"icon, geo, color",0,icon,0
c599c211-cca9-4710-a63d-ac03d1c8ea68,1,3271,training,bar,0,corn,carrot,corn,ArrowLeft,"fewer, more",0,FEWER,"icon, geo, color",0,icon,1
c599c211-cca9-4710-a63d-ac03d1c8ea68,1,2356,training,bar,3,carrot,celery,carrot,ArrowLeft,"fewer, more",0,FEWER,"icon, geo, color",0,icon,2
c599c211-cca9-4710-a63d-ac03d1c8ea68,1,2172,real,bar,2,celery,mushroom,celery,ArrowLeft,"fewer, more",0,FEWER,"icon, geo, color",0,icon,0
c599c211-cca9-4710-a63d-ac03d1c8ea68,1,2437,real,bar,0,eggplant,corn,eggplant,ArrowLeft,"fewer, more",0,FEWER,"icon, geo, color",0,icon,1
c599c211-cca9-4710-a63d-ac03d1c8ea68,1,2757,real,bar,4,mushroom,carrot,mushroom,ArrowLeft,"fewer, more",0,FEWER,"icon, geo, color",0,icon,2
c599c211-cca9-4710-a63d-ac03d1c8ea68,0,3174,real,bar,5,olive,celery,olive,ArrowRight,"fewer, more",0,FEWER,"icon, geo, color",0,icon,3
c599c211-cca9-4710-a63d-ac03d1c8ea68,1,2894,real,bar,8,celery,corn,celery,ArrowLeft,"fewer, more",0,FEWER,"icon, geo, color",0,icon,4
c599c211-cca9-4710-a63d-ac03d1c8ea68,1,2484,real,bar,3,corn,olive,olive,ArrowRight,"fewer, more",0,FEWER,"icon, geo, color",0,icon,5
c599c211-cca9-4710-a63d-ac03d1c8ea68,1,2904,real,bar,1,corn,tomato,corn,ArrowLeft,"fewer, more",0,FEWER,"icon, geo, color",0,icon,6
c599c211-cca9-4710-a63d-ac03d1c8ea68,0,2591,real,bar,9,mushroom,corn,corn,ArrowLeft,"fewer, more",0,FEWER,"icon, geo, color",0,icon,7
c599c211-cca9-4710-a63d-ac03d1c8ea68,1,2768,real,bar,6,mushroom,olive,olive,ArrowRight,"fewer, more",0,FEWER,"icon, geo, color",0,icon,8
c599c211-cca9-4710-a63d-ac03d1c8ea68,1,2737,real,bar,7,corn,mushroom,mushroom,ArrowRight,"fewer, more",0,FEWER,"icon, geo, color",0,icon,9
