participant_id,answer_accuracy,elapsed_time,trial_type,condition,current_stimulus_index,target_left,target_right,correct_answer,key_pressed,questions_order,question_index,question_condition,textures_order_for_question,texture_index,texture_condition,trial_number
c692ebfd-05fd-4c8c-9ac9-3713dd92f3c4,-1,5000,training,bar,12,celery,corn,celery,none,"fewer, more",0,FEWER,"color, icon, geo",0,color,0
c692ebfd-05fd-4c8c-9ac9-3713dd92f3c4,1,4776,training,bar,15,eggplant,tomato,eggplant,ArrowLeft,"fewer, more",0,FEWER,"color, icon, geo",0,color,1
c692ebfd-05fd-4c8c-9ac9-3713dd92f3c4,1,4248,training,bar,6,celery,mushroom,mushroom,ArrowRight,"fewer, more",0,FEWER,"color, icon, geo",0,color,2
c692ebfd-05fd-4c8c-9ac9-3713dd92f3c4,1,2304,real,bar,4,mushroom,carrot,mushroom,ArrowLeft,"fewer, more",0,FEWER,"color, icon, geo",0,color,0
c692ebfd-05fd-4c8c-9ac9-3713dd92f3c4,1,3218,real,bar,6,mushroom,olive,olive,ArrowRight,"fewer, more",0,FEWER,"color, icon, geo",0,color,1
c692ebfd-05fd-4c8c-9ac9-3713dd92f3c4,1,2808,real,bar,9,mushroom,corn,corn,ArrowRight,"fewer, more",0,FEWER,"color, icon, geo",0,color,2
c692ebfd-05fd-4c8c-9ac9-3713dd92f3c4,1,2872,real,bar,3,corn,olive,olive,ArrowRight,"fewer, more",0,FEWER,"color, icon, geo",0,color,3
c692ebfd-05fd-4c8c-9ac9-3713dd92f3c4,-1,5000,real,bar,5,olive,celery,olive,none,"fewer, more",0,FEWER,"color, icon, geo",0,color,4
c692ebfd-05fd-4c8c-9ac9-3713dd92f3c4,1,0,real,bar,8,celery,corn,celery,ArrowLeft,"fewer, more",0,FEWER,"color, icon, geo",0,color,5
c692ebfd-05fd-4c8c-9ac9-3713dd92f3c4,1,3680,real,bar,7,corn,mushroom,mushroom,ArrowRight,"fewer, more",0,FEWER,"color, icon, geo",0,color,6
c692ebfd-05fd-4c8c-9ac9-3713dd92f3c4,1,1968,real,bar,0,eggplant,corn,eggplant,ArrowLeft,"fewer, more",0,FEWER,"color, icon, geo",0,color,7
c692ebfd-05fd-4c8c-9ac9-3713dd92f3c4,0,2871,real,bar,1,corn,tomato,corn,ArrowRight,"fewer, more",0,FEWER,"color, icon, geo",0,color,8
c692ebfd-05fd-4c8c-9ac9-3713dd92f3c4,1,2963,real,bar,2,celery,mushroom,celery,ArrowLeft,"fewer, more",0,FEWER,"color, icon, geo",0,color,9
c692ebfd-05fd-4c8c-9ac9-3713dd92f3c4,-1,5000,training,bar,1,corn,mushroom,corn,none,"fewer, more",0,FEWER,"color, icon, geo",1,icon,0
c692ebfd-05fd-4c8c-9ac9-3713dd92f3c4,1,3088,training,bar,27,corn,olive,olive,ArrowRight,"fewer, more",0,FEWER,"color, icon, geo",1,icon,1
c692ebfd-05fd-4c8c-9ac9-3713dd92f3c4,1,1734,training,bar,1,corn,mushroom,corn,ArrowLeft,"fewer, more",0,FEWER,"color, icon, geo",1,icon,2
